The_Old_Path_(TOP)_Channel,Daniel_Razon
TEAMS_Design,Paul_Hatch
Ushahidi,David_Kobia
Walkersteel,Jack_Walker
Liberty_Films,Samuel_J._Briskin
Friends_of_Lulu,Trina_Robbins
S.P.A._(automobile),Michele_Ansaldi
News_UK,Rupert_Murdoch
Cubicle_7,Dominic_McDowall-Thomas
MMX_Mineração,Eike_Batista
UPR_Info,Miloon_Kothari
Immune_Therapy_Holdings,Niclas_Adler
Guardian_Media_Group,Andrew_Miller_(executive)
HP_SiteScope,Meg_Whitman
Eurasia_Group,Kevin_Rudd
A&E_Networks,Abbe_Raven
Dawood_Hercules_Corporation_Limited,Hussain_Dawood
Feronia_Inc.,Ravi_Sood
Wirtz_Corporation,Arthur_Wirtz
Klarna,Michael_Moritz
SuperGroup,Peter_Bamford
Texaco,John_S._Watson_(Chevron)
Prosto,Sokół_(rapper)
Red_Ventures,Ric_Elias
Belvision_Studios,Raymond_Leblanc
Banas_Dairy,Shankar_Chaudhary
Animax,Masao_Takiyama
IMDEA_Networks_Institute,Arturo_Azcorra
Barrett_Technology,William_T._Townsend
Canonical_(company),Mark_Shuttleworth
Egmont_Group,Steen_Riisgaard
21st_Century_Fox,Chase_Carey
Alliance_Healthcare,Ornella_Barra
Malpaso_Productions,Robert_Lorenz
Crop_Trust,Åslaug_Haga
ICAP_(company),Michael_Spencer
IMI_plc,"Robert_Smith,_Baron_Smith_of_Kelvin"
"Narayana_Multispeciality_Hospital,_HSR_Layout",Devi_Shetty
PeoplePlus,Emma_Harrison_(entrepreneur)
MicroProse,Sandy_Petersen
Mercury_(automobile),Edsel_Ford
Permodalan_Nasional_Berhad,Abdul_Wahid_Omar
Marvel_Animation,Dan_Buckley
Joseph_Schlitz_Brewing_Company,Joseph_Schlitz
Garlin_Pictures,Brian_R._Etting
Allied_Artists_International,Robert_Fitzpatrick
Siti_Nurhaliza_Collections,Siti_Nurhaliza
Two_Guys_from_Andromeda,Chris_Pope
Shed_Productions,Spencer_Campbell
Valhalla_Game_Studios,Tomonobu_Itagaki
Berliner-Joyce,Henry_Berliner
Famous_Studios,Isadore_Sparber
Cisco_Videoscape,Abe_Peled
Maryland_Jockey_Club,George_Washington
Avro,Harry_Broadhurst
Blind_Skateboards,Mark_Gonzales
MGSCOMM,Manuel_E._Machado
Hawker_Aircraft,Sydney_Camm
CRH_plc,Albert_Manifold
Mattel,Christopher_A._Sinclair
Notable_employees_of_Boston_Consulting_Group,Rich_Lesser
George_England_and_Co.,Robert_Francis_Fairlie
Land_Rover,Ralf_Speth
GB_Railways,Michael_Schabas
Edison_and_Swan_Electric_Light_Company,James_Staats_Forbes
Campaign_for_the_North,Harold_Elletson
Shalimar_Paints,Girish_Jhunjhnuwala
WKE_(WKEntertainment),Dan_Wieden
Rotary_Rocket,Gary_Hudson_(engineer)
Perlan_Project,Dennis_Tito
Creative_Impulse_Entertainment,Jan_C._Childress
National_Youth_Science_Forum,Tanya_Monro
Poker_Players_Alliance,Greg_Raymer
National_Electric_Vehicle_Sweden,Kai_Johan_Jiang
Kazpost,Arken_Arystanov
Noerr,Friedrich_Zimmermann
U-Haul,Mark_Shoen
Citroën,Linda_Jackson_(businesswoman)
Liverpool_Data_Research_Associates,Michael_Hennell
SNCF__Société_nationale_des_chemins_de_fer_français_SNCF__1,Guillaume_Pepy
AmMetLife,Azman_Hashim
SnagFilms,Ted_Leonsis
Brose_Fahrzeugteile,Michael_Stoschek
Suresh_Productions,Daggubati_Suresh_Babu
TechSoup_Global,Daniel_Ben-Horin
Filmation,Lou_Scheimer
Metropolitan_Stores,Morley_Cohen
Manila_Water,Fernando_Zobel_de_Ayala
S_9,Orlando_S._Mercado
Medici_Bank,Francesco_Sassetti
Computers_and_Structures,Ashraf_Habibullah
Qatar_Financial_Centre,Ali_Sharif_Al_Emadi
Summit_Group,Aziz_Khan_(businessman)
Pemex,José_Antonio_González_Anaya
Radius_(hardware_company),Andy_Hertzfeld
BBC_Worldwide,Tim_Davie
I.TV,Carlton_Cuse
ArtistAloud.com,Neeraj_Roy
Entra_Eiendom,Siri_Hatlen
Investment_Bank_of_Greece,Chris_Pavlou_(banker)
Ukroboronprom,Romanov_Roman
National_Centre_for_Promotion_of_Employment_for_Disabled_People,Javed_Abidi
H-E-B,Charles_Butt
Better_Together_(campaign),Alistair_Darling
Locus_Computing_Corporation,Gerald_J._Popek
Pink_Triangle_Press,Ken_Popert
Claiborne_Farm,"Arthur_B._Hancock,_Jr."
Kleiner_Perkins_Caufield_&_Byers,John_Doerr
Color_Labs,Geoff_Ralston
Udaya_Studios,Navodaya_Appachan
Excalibur_Almaz,Arthur_M._Dula
Seva_Dal,Jagdish_Tytler
Khmer_Mekong_Films,Matthew_Robinson_(producer)
Hawes_&_Curtis,Touker_Suleyman
Artistdirect,Marc_Geiger
Xirrus,Dirk_Gates
Newbridge_Silverware,William_Doyle_(Irish_businessman)
Umeme,Patrick_Bitature
YouTube,Chad_Hurley
Google,Sundar_Pichai
Seadrill,John_Fredriksen
British_American_Tobacco,Nicandro_Durante
LeEco,Jia_Yueting
Nama_Chemicals,Saud_Abdul_Aziz_Al_Gosaibi
Tim_Hortons,Alex_Behring
Costco,W._Craig_Jelinek
Idea_Cellular,Kumar_Mangalam_Birla
AstraZeneca,Pascal_Soriot
Waste_Control_Specialists,Harold_Simmons
L._Wagner_Type_Foundry,Carlos_Winkow
Switzer_Entertainment_Group,Richard_Switzer
True_Corporation,Suphachai_Chearavanont
Indorama_Corporation,Sri_Prakash_Lohia
GrammaTech,Tim_Teitelbaum
Jobandtalent,Felix_Ruiz_Hernandez
World_Events_Productions,Peter_Keefe
Repsol,Antonio_Brufau_Niubó
Casa_Ley,Juan_Manuel_Ley
Tata_Chemicals,Cyrus_Pallonji_Mistry
William_Davies_Company,William_Henry_Davies_(entrepreneur)
Central_Dupon_Images,Lucien_Lorelle
Volcanic_Repeating_Arms,Horace_Smith_(inventor)
Teneo,Declan_Kelly_(businessperson)
Cencosud,Horst_Paulmann
A_Rocha,Ghillean_Prance
VBS.tv,Shane_Smith_(journalist)
"Atomium_-_European_Institute_for_Science,_Media_and_Democracy",Michelangelo_Baracchi_Bonvicini
ErgoGroup,Dag_Mejdell
Zepter_International,Philip_Zepter
CyberFlix,William_Appleton_(entrepreneur)
"Palm,_Inc.",Donna_Dubinsky
Teklogix,Rod_Coutts
Bloggingheads.tv,Robert_Wright_(journalist)
Phar-Mor,David_Shapira
The_Blackstone_Group,J._Tomilson_Hill
Y_Combinator_(company),Andrew_Mason
Fancy.com,Jack_Dorsey
Institute_of_Human_Origins,Curtis_Marean
Storage_Technology_Corporation,Mark_Hurd
Novation_Digital_Music_Systems,Chris_Huggett
EyeVerify,Reza_Derakhshani
Religare,Sunil_Godhwani
Tea_Party_Patriots_Citizens_Fund,Jenny_Beth_Martin
21st_Century_Fox,Lachlan_Murdoch
"Alberta_Ranches,_Ltd.",Vance_Longden
Granada_plc,"Sidney_Bernstein,_Baron_Bernstein"
Action_International_Pictures,David_A._Prior
Dahabshiil,Abdirashid_Duale
Dalton_Maag,Ron_Carpenter_(designer)
Charter_School_Growth_Fund,John_J._Fisher
Long_Now_Foundation,Stewart_Brand
"Maudslay,_Sons_and_Field",Henry_Maudslay
Democratic_Freedom_Caucus,Mike_O'Mara_(politician)
Daniels_Fund,Bill_Daniels
New_World_China_Land,Henry_Cheng
"Kyoto_Sanga_FC__Kyoto_Purple_Sanga_Co.,Ltd.__1",Kazuo_Inamori
Marvel_UK,Dez_Skinn
Y_Combinator_(company),Geoff_Ralston
Berling_Type_Foundry,Karl-Erik_Forsberg
A._H._Wheeler,Émile_Moreau_(playwright)
The_Conference_Board,Jon_Spector
Hardee's,Andrew_Puzder
Paris_Aéroport,Augustin_de_Romanet_de_Beaune
DB_Cargo_UK,Edward_Burkhardt
G4S_Secure_Solutions,George_Wackenhut
Golub_Capital,David_B._Golub
Itsu,Julian_Metcalfe
ONE_Championship,Matt_Hume
A.F.S.K._Hom_Tov,Moshe_Shahal
CDNow,Jason_Olim
The_Rank_Group,Henry_Birch
George_Weston_Limited,Galen_Weston
ReliantHeart_Inc.,Rodger_Ford
Cray,Peter_Ungaro
Oliver_Wyman,Scott_McDonald_(CEO)
Red_Bull_Racing__Red_Bull_Technology_Ltd.__1,Christian_Horner
Amitabh_Bachchan_Corporation,Abhishek_Bachchan
Alphabet_Inc.,Larry_Page
General_Motors,Mary_Barra
BES_Utilities,Andrew_Pilley
Dish_Network,Charlie_Ergen
Loblaw_Companies,Galen_Weston_Jr.
ManpowerGroup,Jonas_Prising
LaunchCode,Jim_McKelvey
Magyar_Telekom,Christopher_Mattheisen
GS_Group,Huh_Chang-soo
Producers_Releasing_Corporation,Sam_Newfield
Berggruen_Institute,Craig_Calhoun
Intratec,George_Kellgren
National_Enterprise_Corporation,Michael_Ondoga
International_Multilateral_Partnership_Against_Cyber_Threats,Mohd_Noor_Amin
PlanetOut_Inc.,Lowell_Selvin
CenturyLink,Glen_Post
Aurora_Degree_College,Ravi_Paturi
Abu_Dhabi_MAR,Iskandar_Safa
Lighthouse_Wien,Christian_Michelides
IHeartRadio,Robert_Pittman_(media_executive)
Porsche_SE,Wolfgang_Porsche
Labour_India,Santhosh_George_Kulangara
Neuberger_Berman,George_Herbert_Walker_IV
Promenade_Pictures,Frank_Yablans
Skoll_Foundation,Sally_R._Osberg
The_Carsey-Werner_Company,Marcy_Carsey
UPM_(company),Björn_Wahlroos
Restoration_Hardware,Gary_Friedman
The_Hongkong_and_Shanghai_Banking_Corporation,Stuart_Gulliver
Trussed_Concrete_Steel_Company,Julius_Kahn_(inventor)
Old_HB,Gregory_F._Rayburn
"Unbound_Creative,_Inc.",Eric_Radomski
Quattro_GmbH,Stephan_Winkelmann
Gateway_Group,R._I._T._Alles
Daimler_Company,Edward_Manville
Mainframe_Films_and_Television_Productions,Tunde_Kelani
Fusion_Asset_Management,Kirill_Ilinski
Mystic_Entertainment,Yoon_Jong-shin
The_Imaginarium_Studios,Jonathan_Cavendish
Fueled_Collective,Rameet_Chawla
Bajaao,Ashutosh_Pande
Cox_Communications,Anne_Cox_Chambers
Cavenham_Foods,James_Goldsmith
Y_Combinator_(company),Drew_Houston
Worker_Studio,Barry_Kooser
Digital_Revolution_Studios,Craig_Tanner_(producer)
JCE_Movies_Limited,Willie_Chan
The_Bank_of_New_York_Mellon,Karen_Peetz
Axilor_Ventures,Kris_Gopalakrishnan
InMobi,Naveen_Tewari
Reliance_Entertainment,Anil_Ambani
Novomatic,Johann_Graf
"Boies,_Schiller_&_Flexner",David_Boies
Oaktree_Capital_Management,Howard_Marks_(investor)
Al_Rayan_Bank,Sultan_Choudhury
Red_Giant_Software,John_Knoll
MonaVie,Henry_Marsh_(athlete)
Bellona_Foundation,Frederic_Hauge
JobStreet.com,Mark_Chang_Mun_Kee
PhishTank,David_Ulevitch
Banco_Ambrosiano,Roberto_Calvi
Cinimod_Studio,Dominic_Harris
Alagang_Kapatid_Foundation,Manuel_V._Pangilinan
"Proofpoint,_Inc.",Eric_Hahn
Troika_Games,Leonard_Boyarsky
BBC_News,James_Harding_(journalist)
GMA_News_TV,Eddie_Villanueva
Intelligent_Systems,Yuka_Tsujiyoko
Steak_'n_Shake,Sardar_Biglari
TomTom,Harold_Goddijn
Grupo_Reforma,Alejandro_Junco_de_la_Vega
Nikanor_Plc,Dan_Gertler
Udaya_Studios,Kunchacko_Boban
Almost_Skateboards,Rodney_Mullen
Parents_Television_Council,C._Delores_Tucker
Rowntree's,Henry_Isaac_Rowntree
Kellogg's,John_A._Bryant_(businessman)
Falkland_Islands_Company,Dick_Sawle
Versace,Donatella_Versace
Intertrust_Technologies_Corporation,Talal_Shamoon
Argo_Group,Mark_E._Watson_III
CS_Communication_&_Systèmes,Yazid_Sabeg
Nightfall_Games,Dave_Allsop
Royal_Bank_of_Canada,David_I._McKay
BOK_Financial_Corporation,George_Kaiser
Gibson_Guitar_Corporation,Ted_McCarty
Posten_Norge,Dag_Mejdell
Clarkson_plc,James_Hughes-Hallett
G_by_GUESS_(clothing),Paul_Marciano
BMG_Rights_Management,John_Telfer
WWE_Performance_Center,Canyon_Ceman
"Palm,_Inc.",Jon_Rubinstein
Terminal_Reality,Mark_Randel
Marine_Farms,Trygve_Bruvik
Vornado_Realty_Trust,Steven_Roth
Richard_Shepherd_Software,Pete_Cooke
Telia_Company,Marie_Ehrling
Anjana_Productions,Nagendra_Babu
New_York_Public_Interest_Research_Group,Gene_Russianoff
Asian_Americans_Advancing_Justice_-_Los_Angeles,Stewart_Kwoh
General_Mills,Ken_Powell
David_Horowitz_Freedom_Center,David_Horowitz
Dbx_(company),David_E._Blackmer
Duke_Energy,Lynn_Good
Royal_Bank_of_Scotland,Ross_McEwan
MCM_Worldwide,Kim_Sung-joo_(entrepreneur)
Walt_Disney_Studios_(division),Alan_F._Horn
Chancellor_House_(company),Popo_Molefe
Control4,Martin_Plaehn
GEO_Group,George_Zoley
Godolphin_Stables,Mohammed_bin_Rashid_Al_Maktoum
AltaVista,Louis_Monier
Turkcell,Ahmet_Akça
Sands_China,Sheldon_Adelson
Excel_Entertainment,Farhan_Akhtar
Dharma_Productions,Karan_Johar
Gawker_Media,Gina_Trapani
MediaDefender,Randy_Saaf
OneHope,Rob_Hoskins
Key_(company),Jun_Maeda
Observer_Media,Tim_Ferriss
Sportsvision,Jerry_Reinsdorf
Bangkok_Bank,Chartsiri_Sophonpanich
The_Elders_(organization),Nelson_Mandela
Mojiva,Miles_Spencer
Ben_Dunne_Gyms,Ben_Dunne_(entrepreneur)
Equity_Bank_Kenya_Limited,James_Mwangi
Industrial_Light_&_Magic,John_Knoll
Bain_&_Company,Orit_Gadiesh
UCWeb,Yu_Yongfu
Recovering_from_Religion,Jerry_DeWitt
Sri_Venkateswara_Creations,Dil_Raju
Kinetic_Concepts,James_R._Leininger
Yash_Raj_Films,Aditya_Chopra
Benetech,Jim_Fruchterman
Section_Eight_Productions,Jennifer_Fox_(film_producer)
Republic_Services,Don_Slager
Abanca,Juan_Carlos_Escotet
Fernsehsender_Paul_Nipkow,Carl_Boese
Design_Council,Martin_Temple
Powszechny_Zakład_Ubezpieczeń,Michał_Krupiński
SimEx-Iwerks,Don_Iwerks
Kno,Osman_Rashid
Detroit_Copper_Mining_Company_of_Arizona,James_Douglas_(businessman)
Max_Myanmar,Zaw_Zaw
Vizio,William_Wang
Aspen_Pharmacare,Stephen_Saad
Dixons_Retail,"Stanley_Kalms,_Baron_Kalms"
Levi9_Ukraine,Paul_Schuyt
Christian_Broadcasting_Network,Pat_Robertson
Beijing_Genomics_Institute,Yang_Huanming
Kombat_Armouring,Mikhail_Gorbachev
FedEx,Frederick_W._Smith
Illusive_Networks,Shlomo_Touboul
Coca-Cola_FEMSA,José_Antonio_Fernández_Carbajal
DreamUp,Jeffrey_Manber
Gazprom,Alexey_Miller
TEAMS_Design,Hans_Peter_Aglassinger
Grezzo,Koichi_Ishii
Iranian_Central_Oil_Fields_Company,Roknodin_Javadi
Risk_Capital_Partners,Luke_Johnson_(businessman)
Cyfrowy_Polsat,Zygmunt_Solorz-Żak
AECOM,John_Dionisio
Swagbucks,Chuck_Davis_(businessman)
Rajah_Broadcasting_Network,Ramon_Jacinto
21st_Century_Fox,Rupert_Murdoch
Intelligent_Systems,Shouzou_Kaga
Capital_One,Richard_Fairbank
Wright_Stephenson,William_Duffus_Hunt
Microgame_(company),Fabrizio_D'Aloia
Days_Inn_China,Harry_Tan
Shanghai_Tang,David_Tang
Bisichi_Mining,Michael_Heller_(businessman)
The_Nantucket_Project,Wendy_Schmidt
NTA_Film_Network,Oliver_A._Unger
Popego,Santiago_Siri
ENAV,Nani_Beccalli
European_Spatial_Development_Planning,Frank_Moulaert
CafeMom,Andrew_Shue
Carmeuse,Axel_Miller
Western_Wireless_Corporation,John_W._Stanton
Legacy_Audio,Bill_Dudleston
North_American_Native_Plant_Society,Adrienne_Clarkson
U2_Clothing,Michael_Tien
POET,Jeff_Broin
Oculus_VR,Michael_Abrash
TV_Verdade,Daniel_Razon
Cisco_Systems,John_T._Chambers
Norske_Skog,Eivind_Reiten
Treasure_Entertainment,Jesse_Felsot
AJ+,Dima_Khatib
Sindicatum,Tom_Daschle
Pirelli,Marco_Tronchetti_Provera
Sisu_Auto,Erik_Gillberg
American_Century_Investments,James_E._Stowers
Spigit,James_Alexander_Gardner
DDB_Mudra,A.G_Krishnamurthy
Crown_Property_Bureau,Chirayu_Isarangkun_Na_Ayuthaya
V._V._Creations,Shoba_Chandrasekhar
ProServ,Donald_Dell
Günsel,Suat_Günsel
DisneyToon_Studios,John_Lasseter
Consortium_on_Financial_Systems_and_Poverty,Kenneth_Singleton
Galatasaray_Mobile,Ünal_Aysal
Station_Casinos,Frank_Fertitta_III
National_Freight_Corporation,Christopher_Bland
MaxCDN,Christopher_Ueland
ASICS,Motoi_Oyama
Finance_Trust_Bank,Irene_Muloni
Groupe_Lucien_Barrière,Dominique_Desseigne
Neve_Electronics,Rupert_Neve
Salesforce.com,Marc_Benioff
Zeta_Interactive,David_A._Steinberg
Columbia_Games,Tom_Dalgliesh
WingNut_Films,Peter_Jackson
Iflix,Patrick_Grove
Jacob_&_Co,Jacob_Arabo
Save-On-Foods,Jim_Pattison
LVMH,Bernard_Arnault
Team_Ico,Fumito_Ueda
Irene_Marie_Models,Irene_Marie
Mashable,Pete_Cashmore
Equity_Group_Holdings_Limited,Peter_Munga
Beiersdorf,Reinhard_Pöllath
Discount_Tire,Bruce_Halle
Global_Vectra_Helicorp,Ravi_Rishi
Twin_City_Rapid_Transit_Company,Thomas_Lowry
Blue_Sky_Studios,Carlos_Saldanha
Cowen_Group,Peter_A._Cohen
Kraft_Foods_Inc,Irene_Rosenfeld
Orange_Sky_Golden_Harvest,Raymond_Chow
Capital_City_Distribution,Richard_Bruning
Saudi_Oger,Ayman_Hariri
Pratt_&_Whitney_Measurement_Systems,Francis_A._Pratt
Quebec_Bank,John_William_Woolsey
Suresh_Productions,Daggubati_Venkatesh
Gift_of_Life_Marrow_Registry,Jay_Feinberg
Hangar_13_(company),Haden_Blackman
Good_Deeds_Global,Corey_Shoblom_Davis
DNB_ASA,Rune_Bjerke
Osborne_Computer_Corporation,Adam_Osborne
Telenor,Gunn_Wærsted
Sequoia_Capital,Douglas_Leone
Norwegian_National_Rail_Administration,Elisabeth_Enger
Independent_Journal_Review,Alex_Skatell
NetObjects,Samir_Arora
Harbinger_Knowledge_Products,Vikas_Joshi
Cadbury,Irene_Rosenfeld
Swallow_Sidecar_Company,William_Lyons
7th_Level,Bob_Ezrin
Tesla_Motors,JB_Straubel
United_Stations_Radio_Networks,Ed_Salamon
Company_of_Scotland,"Adam_Cockburn,_Lord_Ormiston"
Intertrust_Technologies_Corporation,Robert_Tarjan
"The_Cannon_Group,_Inc.",Ovidio_G._Assonitis
Banana_Republic,Art_Peck
Diesel_(brand),Renzo_Rosso
National_House_Building_Council,Helena_Shovelton
Rossiya_Bank,Yury_Kovalchuk
Universal_Interactive,Mark_Cerny
Sistema,Vladimir_Yevtushenkov
Film_Workshop,Nansun_Shi
Aamir_Khan_Productions,Kiran_Rao
3dvia,Bernard_Charlès
ARA_Capital,Roman_Abramovich
Atomic_Monster_Productions,James_Wan
Midhurst_Brickworks,"Weetman_Pearson,_1st_Viscount_Cowdray"
Slaight_Communications,Allan_Slaight
Anheuser-Busch_InBev,Carlos_Brito_(businessman)
Imagic,Rob_Fulop
Capital_Maharaja,Chevaan_Daniel
Shardul_Amarchand_Mangaldas_&_Co,Shardul_S._Shroff
MaximaTelecom,Sergey_Aslanyan_(entrepreneur)
Digimarc,Bruce_Davis_(video_game_industry)
Automobiles_Darracq_France,Alexandre_Darracq
Supermarine,R._J._Mitchell
ImageMovers,Doug_Chiang
500_Startups,Dave_McClure
Hot_Topic,Betsy_McLaughlin
Moneypaper_Inc,Vita_Nelson
Cone_Mills_Corporation,Moses_H._Cone
Famous_Writers_School,Bruce_Catton
Institute_for_Systems_Biology,Leroy_Hood
Gibson_Guitar_Corporation,Lloyd_Loar
World_Industries,Steve_Rocco
Rare_(company),Gregg_Mayles
Interscope_Communications,Robert_W._Cort
The_Show_People,Sathya_(actor)
DC_Shoes,Rob_Dyrdek
Bills.com,Bradford_Stroh
Chenab_Group,Mian_Muhammad_Latif
InPhonic,David_A._Steinberg
Connaught_plc,Roy_Gardner_(businessman)
Banco_Alfa,Aloysio_de_Andrade_Faria
British_Quality_Foundation,"Anne,_Princess_Royal"
Grupo_Cisneros,Gustavo_Cisneros
Daily_Mail_and_General_Trust,"Jonathan_Harmsworth,_4th_Viscount_Rothermere"
ArenaNet,Jeff_Strain
Kommunal_Landspensjonskasse,Arne_Øren
Soccer_United_Marketing,Russell_Findlay
Dell_Compellent,Michael_Dell
Surrey_Satellite_Technology,Martin_Sweeting
Ocean_Shores_Video,Jimmy_Heung
MongoDB_Inc.,Kevin_P._Ryan
Sanofi,Olivier_Brandicourt
European_Movement_Germany,Michael_Gahler
American_Foundation_for_Equal_Rights,Ken_Mehlman
Loopt,Sam_Altman
"Cuneo_Gilbert_&_LaDuca,_LLP",Jonathan_Cuneo
Acergy,Peter_Mason_(businessman)
NHST_Media_Group,Anette_S._Olsen
PA_Consulting_Group,Marcus_Agius
Florida's_News_Channel,Gordon_Graham_(journalist)
ASC_Finance_for_Business,Henry_Ejdelbaum
Friends_of_the_Earth_Middle_East,Nader_Al-Khateeb
SunTrust_Banks,"William_H._Rogers,_Jr."
Top_Up_TV,Nick_Markham
Blue-Tongue_Films,Nash_Edgerton
PJ_Media,Roger_L._Simon
Khatam-al_Anbiya_Construction_Headquarter,Abolghasem_Mozaffari
Staples_Argentina,Santiago_Bilinkis
VicRoads,John_Merritt_(public_servant)
Marucci_Sports,Kurt_Ainsworth
The_Times_Group,Vineet_Jain
Chaosium,Rick_Meints
Liquid_Entertainment,Ed_Del_Castillo
Reckitt_Benckiser,Adrian_Bellamy
Rundell_and_Bridge,Paul_Storr
Xoom_Corporation,Roelof_Botha
Systembolaget,Cecilia_Schelin_Seidegård
Dan_Gernatt_Farms,Flavia_C._Gernatt
Cassa_Depositi_e_Prestiti,Claudio_Costamagna
Ivoclar_Vivadent,Christoph_Zeller
Ulupono_Initiative,Pierre_Omidyar
Shree_Cement,Benu_Gopal_Bangur
Manga_Entertainment,Kaoru_Mfaume
Hasbro,Brian_Goldner
Mighty_Corporation,Edilberto_Adan
Industrial_and_Commercial_Bank_of_China,Jiang_Jianqing
Bank_One_Corporation,Jamie_Dimon
CBS,Leslie_Moonves
Macromedia,Marc_Canter
Speedway_Motorsports,Marcus_G._Smith
E._W._Scripps_Company,E._W._Scripps
Hewlett_Packard_Enterprise,Meg_Whitman
SNOCAP,Ali_Aydar
Selena_Etc.,Selena
Stroymontazh,Artur_Kirilenko
Mental_Floss,John_Green_(author)
Texas_Instruments,Rich_Templeton
Pampered_Chef,Tracy_Britt_Cool
Maxposure_Media_Group,Jorge_Arauz
Topps_Comics,Jim_Salicrup
RCB_Bank,Kirill_Zimarin
Legrand_(company),Gilles_Schnepp
ArrayComm,Martin_Cooper_(inventor)
Enron_scandal,Rebecca_Mark-Jusbasche
Golf_Wang,"Tyler,_The_Creator"
DCMA_Collective,Joel_Madden
Clinton_Foundation,Donna_Shalala
Mazumdar_Shaw_Medical_Centre,Devi_Shetty
Precision_Group,Shaun_Bonétt
Transnational_Corporation_of_Nigeria,Tony_Chukwueke
Kinnevik_AB,Lorenzo_Grabau
National_Computing_Centre,Anthony_Cleaver
Box_(company),Aaron_Levie
Main_Frame_Software_Communications,Eliza_Lewis
Q_Entertainment,Tetsuya_Mizuguchi
Godrej_&_Boyce,Jamshyd_Godrej
"Rothwell,_Hick_and_Rothwell",Benjamin_Hick
Whisbi,Jon_Smith
Aegis_Defence_Services,Nicholas_Soames
Marshall_Wace,Ian_Wace
J.Lindeberg,Johan_Lindeberg
Tupolev,Alexei_Tupolev
STAR_(Greater_China),Richard_Li
Houston_Advanced_Research_Center,Jim_Lester
Baby_Cow_Productions,Steve_Coogan
The_Hongkong_and_Shanghai_Banking_Corporation,Peter_Wong_(banker)
Lucid_Inc.,Richard_P._Gabriel
LongHorn_Steakhouse,"Clarence_Otis,_Jr."
Duplass_Brothers_Productions,Stephanie_Langhoff
Honor_the_Earth,Emily_Saliers
Sam_the_Record_Man,Sam_Sniderman
Royal_Bank_of_Scotland_Group,Ross_McEwan
International_Union_for_Conservation_of_Nature,Zhang_Xinsheng
Friends_of_the_Earth_Middle_East,Munqeth_Mehyar
Windfields_Farm,Macdonald_Benson
Japan_Tobacco,Hiroshi_Kimura
Fleischer_Studios,Max_Fleischer
Sarrell_Dental_&_Eye_Centers,Jeffrey_A._Parker
Recovering_from_Religion,Darrel_Ray
Urban_Bank,Teodoro_Borlongan
Aricom,Jay_Hambro
DonorsChoose,Charles_Best_(businessman)
4_Digital_Group,Simon_Cole
NOS_(Portuguese_media_company),Isabel_dos_Santos
Blacksburg_Tactical_Research_Center,Greg_Porter_(game_designer)
Safran,Ross_McInnes
Continental_Type_Founders_Association,Douglas_Crawford_McMurtrie
Colossal_Pictures,Japhet_Asher
Carolina_Herrera_runway_shows_and_fashion_collections,Carolina_Herrera_(fashion_designer)
Ralph_&_Russo,Tamara_Ralph
