Clipse,Pharrell_Williams
Trinbago_Knight_Riders,Shah_Rukh_Khan
Department_of_External_Territories_(1968–73),Andrew_Peacock
Chanel,Coco_Chanel
Himgiri_Zee_University,Subhash_Chandra
ASA_Productions_and_Enterprises,Vikram_Bhatt
Digital_Domain,James_Cameron
Fox_Television_Stations,Barry_Diller
Department_of_Immigration_and_Multicultural_Affairs_(2006–07),Andrew_Metcalfe
CBS_Records_(2006),Leslie_Moonves
Virgin_Cinemas,Richard_Branson
New_England_Patriots,Jonathan_Kraft
Metro-Goldwyn-Mayer,Louis_B._Mayer
Gulf_Medical_University,Thumbay_Moideen
P-Square,T.I.
Caribbean_Star_Airlines,Allen_Stanford
Tha_Bizness,Nicki_Minaj
Mainline_Publications,Jack_Kirby
Fath_Union_Sport,Mounir_Majidi
Avin_International_S.A.,Vardis_Vardinogiannis
NRJ_Group,Max_Guazzini
Virgin_Records,Richard_Branson
DTEK,Rinat_Akhmetov
Ultimate_Fighting_Championship,Art_Davie
Plan_C_Studios,Anil_Ambani
DreamWorks_Records,David_Geffen
Kohler_Company,John_Michael_Kohler
Too_Phat,Siti_Nurhaliza
Kellner-Béchereau,Louis_Béchereau
Kohlberg_Kravis_Roberts,Henry_Kravis
Swagelok,Fred_A._Lennon
Kolkata_Knight_Riders,Shah_Rukh_Khan
Rockstar_North,Dan_Houser
MNA_Media,Andrew_Carnegie
FRAM_(filter),Graeme_Hart
HKMA_David_Li_Kwok_Po_College,Michael_Tien
Panda_Express,Andrew_Cherng
Soviet_Armed_Forces,Mikhail_Gorbachev
Qualys,Gilles_Samoun
Chegg,Osman_Rashid
Compassion_in_World_Farming,Peter_Roberts_(activist)
Worldwide_Pants,David_Letterman
Evraz,Roman_Abramovich
LLamasoft,Donald_Hicks
Ankcom,Charlene_C._Ank
Kasımpaşa_S.K.,Turgay_Ciner
The_Def_Dames,Queen_Latifah
Intuit,Scott_Cook
Kroger,Bernard_Kroger
Privacy_International,Simon_Davies_(privacy_advocate)
W._L._Gore_and_Associates,Bill_Gore
Jaguar_Cars,William_Lyons
Rizzoli_Bookstore,Angelo_Rizzoli
Star_TV_(Turkey),Ferit_Şahenk
Dhirubhai_Ambani_Institute_of_Information_and_Communication_Technology,Anil_Ambani
Virgin_Radio_Lebanon,Richard_Branson
"4th_Battalion,_Parachute_Regiment","Charles,_Prince_of_Wales"
Aygaz,Vehbi_Koç
Walgreens,Charles_Rudolph_Walgreen
Philips,Gerard_Philips
Portland_Trail_Blazers,Paul_Allen
Picchio_Racing_Cars,Giotto_Bizzarrini
The_Blackstone_Group,Peter_George_Peterson
Cypress_Hill,Snoop_Dogg
Azim_Premji_University,Azim_Premji
Chelsea_F.C.,Roman_Abramovich
Miramax,Bob_Weinstein
Smoke_Fairies,Jack_White
"Niantic,_Inc.",John_Hanke
Grupo_Silvio_Santos,Silvio_Santos
CourseInfo,Daniel_Cane
The_Neptunes,Snoop_Dogg
Far_East_Organization,Ng_Teng_Fong
National_College_of_Ireland,Denis_O'Brien
Rotana_Group,Al-Waleed_bin_Talal
Alfa_Romeo,Alexandre_Darracq
Hyatt_Roller_Bearing_Company,John_Wesley_Hyatt
Mobb_Deep,50_Cent
Station_Casinos,Lorenzo_Fertitta
Family_(Willie_Nelson's_band),Willie_Nelson
WANdisco,David_James_Richards
Verville_Aircraft_Company,Alfred_V._Verville
BIG_FM_92.7,Anil_Ambani
Adani_Ports_&_SEZ_Limited,Gautam_Adani
Panathinaikos_F.C.,Giannis_Alafouzos
37_Signal_Regiment,"Anne,_Princess_Royal"
Bigfoot_Entertainment,Michael_Gleissner
TV_Record_Rio_de_Janeiro,Edir_Macedo
Dick_Clark_Productions,Dick_Clark
Ilitch_Holdings,Marian_Ilitch
The_John_Denver_Band,John_Denver
Lanchester_Motor_Company,George_Lanchester
Diesel_(brand),Adriano_Goldschmied
Ralph_Myerz_and_the_Jack_Herren_Band,Snoop_Dogg
The_WB,Jamie_Kellner
Chegg,Osman_Rashid
Landmark_Theatres,Todd_Wagner
Iran_national_football_team,Ali_Daei
Paris_Saint-Germain_F.C.,Nasser_Al-Khelaifi
Opera_Software,Jon_Stephenson_von_Tetzchner
E_TV_(India),Ramoji_Rao
Skype_Technologies,Janus_Friis
Mercadona,Fernando_Roig
INSEAD,Andreas_Jacobs
Zodiac_Aerospace,Maurice_Mallet
Authenticity_and_Modernity_Party,Fouad_Ali_El_Himma
Studio_Festi,Monica_Maimone
Funny_or_Die,Will_Ferrell
Turkcell,Mehmet_Emin_Karamehmet
Overtone_(musical_group),Clint_Eastwood
Swedish_House_Mafia,Sebastian_Ingrosso
Dhirubhai_Ambani_Institute_of_Information_and_Communication_Technology,Anil_Ambani
Agrokor,Ivica_Todorić
Compassion_Over_Killing,Paul_Shapiro_(activist)
New_Artists_Alliance,Gabriel_Cowan
Virgin_Active,Richard_Branson
FSN_Chicago,Jerry_Reinsdorf
Costa_Rica_national_football_team,Patrick_Pemberton
Destination_Games,Starr_Long
Intuit,Tom_Proulx
Texaco,Joseph_S._Cullinan
Dhirubhai_Ambani_Institute_of_Information_and_Communication_Technology,Anil_Ambani
Avinashilingam_University,P._R._Krishna_Kumar
Heineken_International,Charlene_de_Carvalho-Heineken
Islamic_Texts_Society,Martin_Lings
Society_of_Cannabis_Clinicians,Tod_H._Mikuriya
Blake's_Lotaburger,Blake_Chanslor
Songkick,Ian_Hogarth
DreamWorks,David_Geffen
Red_Bull_Racing__Red_Bull_Technology_Ltd.__1,Dietrich_Mateschitz
Conservatoire_national_des_arts_et_métiers,Gérard_Mestrallet
Feld_Entertainment,Irvin_Feld
ABRSM,Walter_Parratt
Berlitz_Corporation,Maximilian_Berlitz
Naughty_by_Nature,Queen_Latifah
Rover_Company,John_Kemp_Starley
Worcester_Warriors,Cecil_Duckworth
"Kasturba_Medical_College,_Manipal",Ramdas_Pai
Royal_Navy_Medical_Service,"Camilla,_Duchess_of_Cornwall"
Ceramic_Hello,Brett_Wickens
LJ_Hooker,Leslie_Joseph_Hooker
The_Ataris,Mark_Hoppus
Team_Lotus_(2010–11),Tony_Fernandes
Balenciaga,Cristóbal_Balenciaga
Conservatoire_national_des_arts_et_métiers,Gérard_Mestrallet
35_(South_Midlands)_Signal_Regiment,"Anne,_Princess_Royal"
Selfridges,Galen_Weston
Whitey_(band),Willie_Nelson
YouthAIDS,Kate_Roberts_(YouthAIDS)
The_Freedom_Association,John_Gouriet
Liquid_Comics,Richard_Branson
National_Rifle_Association,William_Conant_Church
Hilton_Worldwide,Conrad_Hilton
Miramax,Harvey_Weinstein
"Ministry_of_Energy,_Industry_and_Mineral_Resources",Khalid_A._Al-Falih
BETDAQ,Dermot_Desmond
The_Black_Watch_(Royal_Highland_Regiment)_of_Canada,"Charles,_Prince_of_Wales"
Rooster_Teeth,Matt_Hullum
TRU_(band),Snoop_Dogg
Lotus_Cars,Colin_Chapman
Crowd_Mobile,Domenic_Carosa
The_Matheson_Trust,Donald_Macleod_Matheson
Parachute_Regiment_(United_Kingdom),"Charles,_Prince_of_Wales"
Iberia_(airline),Antonio_Vázquez_Romero
United_States_Coast_Guard,President_of_the_United_States
Ganong_Bros.,Gilbert_Ganong
JCE_Movies_Limited,Albert_Yeung
"Atari,_Inc.",Nolan_Bushnell
Jio,Mukesh_Ambani
Compañía_Cervecera_de_Puerto_Rico,Alfonso_Valdés_Cobián
El_Corte_Inglés,Ramón_Areces
"Birla_Institute_of_Technology_and_Science,_Pilani_–_Dubai_Campus",Kumar_Mangalam_Birla
The_Smashing_Pumpkins,Billy_Corgan
TomTom,Corinne_Vigreux
TeraView,Michael_Pepper
List_of_assets_owned_by_Berkshire_Hathaway,Warren_Buffett
Fox_Television_Stations,Barry_Diller
Radar_Networks,Kristinn_R._Thórisson
Chesapeake_Energy,Aubrey_McClendon
Cox_Enterprises,Anne_Cox_Chambers
Glory_(kickboxing),Pierre_Andurand
Uphold,Halsey_Minor
Zac_Brown_Band,Avicii
Morgan_Stanley_Wealth_Management,Harold_Stanley
The_Lost_Trailers,Willie_Nelson
United_States_Coast_Guard,President_of_the_United_States
Disney_Publishing_Worldwide,Stan_Lee
The_Weinstein_Company,Harvey_Weinstein
ReConnected,Duncan_Bannatyne
"Cogan,_Berlind,_Weill_&_Levitt",Roger_Berlind
Coursera,Andrew_Ng
Watch_the_Duck,T.I.
Alcon_Entertainment,Broderick_Johnson
Sunbeam_Cycles,John_Marston_(businessman)
Norilsk_Nickel,Roman_Abramovich
Day26,Sean_Combs
Barnes_family,Rebecca_Barnes_Wentworth
Stagecoach_in_Lincolnshire,Brian_Souter
Marvel_Comics,Stan_Lee
Channel_Frederator_Network,Fred_Seibert
Virgin_Megastores,Richard_Branson
Dahn_yoga,Ilchi_Lee
Rooster_Teeth,Gus_Sorola
R2Bees,Tinchy_Stryder
McKinsey_&_Company,James_O._McKinsey
Man_in_Gray,Jared_Friedman
Zhané,Queen_Latifah
Zilog,Federico_Faggin
Alberto-Culver,Leonard_H._Lavin
General_Motors,Frederic_L._Smith
Hermès,Thierry_Hermès
CoorsTek,Adolph_Coors
Audi,August_Horch
Sisu_(band),Sandra_Vu
Syrian_Armed_Forces,Bashar_al-Assad
Oasis_Academy_Hadley,Bill_Gates
Dubai_Group,Mohammed_bin_Rashid_Al_Maktoum
General_Motors,William_C._Durant
Apple_Corps,George_Harrison
Boyz_II_Men,Sean_Combs
Zady,Soraya_Darabi
Lukas_Nelson_&_Promise_of_the_Real,Willie_Nelson
Department_of_Immigration_and_Citizenship,Andrew_Metcalfe
TRU_(band),Snoop_Dogg
Japanese_Foundation_for_Cancer_Research,Shibusawa_Eiichi
V_Australia,Richard_Branson
Bloomberg_L.P.,Thomas_Secunda
Good_Charlotte,Benji_Madden
Saatchi_&_Saatchi,"Maurice_Saatchi,_Baron_Saatchi"
Packard,William_Doud_Packard
Facebook,Eduardo_Saverin
ETV_Network,Ramoji_Rao
Sirius_XM_Holdings,David_Margolese
National_Institute_of_Technology_Sikkim,Sudhir_Mehta
Societas_eruditorum_incognitorum_in_terris_Austriacis,Joseph_von_Petrasch
Parliament_of_South_Australia,Elizabeth_II
2nd_Royal_Tank_Regiment,Elizabeth_II
Johnson_Publishing_Company,Eunice_W._Johnson
Edmond_de_Rothschild_Group,Edmond_Adolphe_de_Rothschild
Olympiacos_B.C.,Giorgos_Angelopoulos
Inditex,Rosalía_Mera
Makoto_Izumitani,Gwen_Stefani
Mahindra_Group,Malik_Ghulam_Muhammad
Hapshash_and_the_Coloured_Coat,Brian_Jones
Leadership_Dynamics,William_Penn_Patrick
Yelp,Jordan_Mendelson
Trackmasters,Sean_Combs
Polymetal_International,Petr_Kellner
Veooz,Srini_Koppolu
Cox_Enterprises,Anne_Cox_Chambers
Blackstreet,Rodney_Jerkins
Amblin_Partners,Darren_Throop
Melbourne_City_FC,Khaldoon_Al_Mubarak
Rajshri_Productions,Tarachand_Barjatya
Warner_Bros.,Sam_Warner
Bombardier_Inc.,Joseph-Armand_Bombardier
Fisher_&_Paykel,Woolf_Fisher
Bouygues,Francis_Bouygues
Pabst_Brewing_Company,Jacob_Best
Bank_of_Hawaii,Peter_Cushman_Jones
Columbia_Pictures,Harry_Cohn
Spelling_Television,George_A._Romero
Oculus_VR,Jack_McCauley
Chicago_State_University,President_of_the_United_States
Black_Watch,"Charles,_Prince_of_Wales"
Welsh_Guards,Elizabeth_II
Barnes_family,Nicolas_Treviño
Sound_Horizon,Motoi_Sakuraba
Excel_Communications,Kenny_Troutt
LucasArts,George_Lucas
Birmingham_International_Holdings,Carson_Yeung
Fullers_Group,Brian_Souter
Spümcø,Lynne_Naylor
Marussia_F1,Pat_Symonds
Nelvana,Patrick_Loubert
Can-Am_Off-Road,Joseph-Armand_Bombardier
Safeway_Inc.,Marion_Barton_Skaggs
Rothmans_International,Louis_Rothman
Gorillaz,Snoop_Dogg
Marussia_F1,Graeme_Lowdon
Foreign_Intelligence_Service_(Russia),Sergey_Naryshkin
Repretel,Remigio_Ángel_González
Renault_in_Formula_One,Carlos_Ghosn
Comcast_SportsNet_Chicago,Joe_Ricketts
Metropolitan-Vickers,George_Westinghouse
Barrett_Firearms_Manufacturing,Ronnie_Barrett
"Nuffield_College,_Oxford","William_Morris,_1st_Viscount_Nuffield"
EdisonLearning,Chris_Whittle
Laze_&_Royal,Bruno_Mars
Blink-182,Mark_Hoppus
PayPal,Dan_Schulman
Goliath_(company),Carl_F._W._Borgward
Wildfire_Communications,Rich_Miner
Kenyatta_University,Benson_Wairegi
Gainax,Hideaki_Anno
Inditex,Amancio_Ortega
University_College_London,"Anne,_Princess_Royal"
Milan_Direct,Ruslan_Kogan
Paris_Saint-Germain_Féminines,Nasser_Al-Khelaifi
Gresham's_School,"Prince_Philip,_Duke_of_Edinburgh"
Electronics_for_Imaging,Efi_Arazi
Williams-Sonoma,Chuck_Williams_(author)
San_Miguel-Team_Pilipinas,Chot_Reyes
Grenadier_Guards,"Prince_Philip,_Duke_of_Edinburgh"
La_Sombra,Selena
Fovea_Hex,Brian_Eno
Dawahares,Ralph_Lauren
Magic_Leap,Rony_Abovitz
Alliance_Française,Ferdinand_de_Lesseps
The_Vandals,Joe_Escalante
The_Black_Mages,Nobuo_Uematsu
Duplass_Brothers_Productions,Jay_Duplass
Front_Line_(record_label),Richard_Branson
Virgin_Money_UK,Richard_Branson
TMS_(production_team),Tinchy_Stryder
Red_Hat,Marc_Ewing
Nyctv,Seth_Unger
Pledge_of_Loyalty_Act_2006,Elizabeth_II
Nanosys,Larry_Bock
Polymetal_International,Petr_Kellner
Infosys,Nandan_Nilekani
"Nike,_Inc.",Bill_Bowerman
Sony,Akio_Morita
Agrokor,Ivica_Todorić
Willie's_Roadhouse,Willie_Nelson
Galatasaray_Athletics,Ünal_Aysal
Oriflame,Jonas_af_Jochnick
AC_Sparta_Prague,Daniel_Křetínský
Nutanix,Mohit_Aron
Pink_Floyd,Richard_Wright_(musician)
EuroCup_Basketball,Jordi_Bertomeu
Lehman_Brothers,Henry_Lehman
Amusic,Peter_Lam
Royal_Canadian_Medical_Service,"Anne,_Princess_Royal"
36_(Eastern)_Signal_Regiment,"Anne,_Princess_Royal"
Queen's_Own_Highlanders_(Seaforth_and_Camerons),"Prince_Philip,_Duke_of_Edinburgh"
Kering,François_Pinault
G-Note_Records,50_Cent
Thomas_Built_Buses,Perley_A._Thomas
Unkle,Mike_Shinoda
Kent_and_Sharpshooters_Yeomanry,Nicholas_Soames
Mendocino_Brewing_Company,Vijay_Mallya
BioWare,Ray_Muzyka
The_Rhythm_Boys,Bing_Crosby
Marcos_Engineering,Jem_Marsh
Soul_Diggaz,Sean_Combs
TV_Alterosa,Assis_Chateaubriand
Union_Defence_Force_(UAE),Khalifa_bin_Zayed_Al_Nahyan
Benetton_Formula,Rory_Byrne
K11_Art_Foundation,Adrian_Cheng
The_Royal_Canadian_Dragoons,"Charles,_Prince_of_Wales"
Maidan_People's_Union,Yulia_Tymoshenko
Virgin_Racing,Pat_Symonds
109th_Signals_Squadron,"Anne,_Princess_Royal"
Pan_Am_Systems,Timothy_Mellon
The_Memphis_Horns,Neil_Young
DeepMind,Demis_Hassabis
Circle_(company),Jeremy_Allaire
Lord_Strathcona's_Horse_(Royal_Canadians),"Charles,_Prince_of_Wales"
Third_Man_Records,Jack_White
Treasure_Entertainment,Jack_L._Warner
Seattle_Seahawks,Paul_Allen
Cracker_Barrel,Dan_Evins
Mumbai_Metropolitan_Region_Development_Authority,Devendra_Fadnavis
Huntington_Ingalls_Industries,Collis_Potter_Huntington
Scots_Guards,Elizabeth_II
Family_(Willie_Nelson's_band),Willie_Nelson
Ryan_Adams_&_the_Cardinals,Willie_Nelson
Silver_Pictures,Joel_Silver
+44_(band),Mark_Hoppus
C2_Pictures,Andrew_G._Vajna
VMFA-312,James_F._Amos
Emblem3,Selena_Gomez
Tower_Hill_School,Ben_duPont
"Birla_Institute_of_Technology_and_Science,_Pilani_–_Dubai_Campus",Kumar_Mangalam_Birla
Outdoor_Channel,Stan_Kroenke
Koç_University,Rahmi_Koç
Ion_Television,Bud_Paxson
Scissor_Sisters,Elton_John
Global_Pastors_Network,Bill_Bright
B612_Foundation,Piet_Hut
Mixi,Batara_Eto
E._F._Hutton_&_Co.,Bill_Cosby
Andreessen_Horowitz,Marc_Andreessen
Virgin_Racing,Richard_Branson
Duplass_Brothers_Productions,Mark_Duplass
Gap_Inc.,Donald_Fisher
The_New_York_Times_Company,Carlos_Slim
Cypress_Hill,Ice_Cube
St_James_Holdings,Mike_Ashley_(businessman)
Lionhead_Studios,Peter_Molyneux
Japanese_Foundation_for_Cancer_Research,Aoyama_Tanemichi
Puzzy_Power,Lene_Børglum
The_Vandals,Warren_Fitzgerald
Çalık_Holding,Ahmet_Çalık
McMaster_University_Medical_School,Roberta_Bondar
Google,Sergey_Brin
Pei_Cobb_Freed_&_Partners,I._M._Pei
Suning_Real_Estate,Zhang_Jindong
Admiral_Group,Henry_Engelhardt
Vulcan_Productions,Jody_Allen
University_of_Guelph,David_Mirvish
MySQL_AB,David_Axmark
Pharmacyclics,Jonathan_Sessler
Concord_Pacific_Developments,Li_Ka-shing
Obsidian_Entertainment,Darren_Monahan
Renault–Nissan_Alliance,Louis_Schweitzer_(businessman)
Ilitch_Holdings,Marian_Ilitch
WWE_Music_Group,Vince_McMahon
DJ_Lynnwood,Selena_Gomez
Stanley_Consultants,C._Maxwell_Stanley
Chelsea_F.C.,Roman_Abramovich
TomTom,Pieter_Geelen
Vijaya_Vauhini_Studios,Moola_Narayana_Swamy
Sky_plc,Rupert_Murdoch
Ripple_(company),Chris_Larsen
Image_Comics,Todd_McFarlane
Royal_Canadian_Air_Cadets,"Prince_Philip,_Duke_of_Edinburgh"
Virgin_Oceanic,Richard_Branson
T-Mobile_US,John_W._Stanton
Parliament_of_Western_Australia,Elizabeth_II
International_Metalworking_Companies,Stef_Wertheimer
XLRI_-_Xavier_School_of_Management,T._V._Narendran
Vionnet_(company),Madeleine_Vionnet
Kroll_Bond_Rating_Agency,Jules_B._Kroll
Cape_Cod_Buccaneers,Vince_McMahon
Koestlin,Dragutin_Wolf
Society_for_Industrial_Microbiology_and_Biotechnology,Charles_Thom
Windstar_Records,John_Denver
Colony_Capital,Thomas_J._Barrack_Jr.
Federal_Supreme_Council_(United_Arab_Emirates),Khalifa_bin_Zayed_Al_Nahyan
Numenta,Dileep_George
Victorinox,Karl_Elsener_(inventor)
Panathinaikos_F.C.,Giannis_Alafouzos
Calgary_Sports_and_Entertainment,Alvin_Libin
War_Democrat,Andrew_Johnson
Stadiumx,David_Guetta
Nissan,William_Gorham_(engineer)
Fenway_Sports_Management,LeBron_James
"Square,_Inc.",Jack_Dorsey
Branson_School_of_Entrepreneurship,Richard_Branson
Tanduay_Rhum_Masters,Lucio_Tan
WWE,Linda_McMahon
Ganong_Bros.,James_H._Ganong
Indigo_Books_and_Music,Heather_Reisman
Custom_Floor,Tod_Swank
Living_Videotext,Dave_Winer
Adani_Ports_&_SEZ_Limited,Gautam_Adani
Mercedes-Benz,Gottlieb_Daimler
Commmons,Max_Matsuura
Koç_University,Rahmi_Koç
NWS_Holdings,Cheng_Yu-tung
Puma_SE,Rudolf_Dassler
The_Queen's_Own_Cameron_Highlanders_of_Canada,"Prince_Philip,_Duke_of_Edinburgh"
ARY_Films,Salman_Iqbal
Tupolev,Andrei_Tupolev
Société_des_bains_de_mer_de_Monaco,François_Blanc
Virgin_Mobile_UK,Richard_Branson
Terra_Networks,Juan_Villalonga
Positronic_(company),Jack_Gentry_(entrepreneur)
CTV_Television_Network,Spence_Caldwell
Seattle_Seahawks,Paul_Allen
Gainax,Yasuhiro_Takeda
Booz_Allen_Hamilton,Edwin_G._Booz
Propaganda_Films,Steve_Golin
Anurag_Kashyap_Films,Anurag_Kashyap
DuMont_Television_Network,Allen_B._DuMont
Amblin_Partners,Anil_Ambani
Arkansas_Army_National_Guard,John_M._McHugh
Walt_Disney_Pictures,Roy_O._Disney
TGW_Logistics_Group,Heinz_König
Platinum_Studios,Scott_Mitchell_Rosenberg
University_of_St_Andrews_School_of_Medicine,Benjamin_Ward_Richardson
Tractors_and_Farm_Equipment_Limited,Mallika_Srinivasan
Hardy_Amies_(fashion_house),Hardy_Amies
Browser_Forum,Melih_Abdulhayoğlu
Reliance_Communications,Anil_Ambani
Royal_Academy_of_Music,"Birgitte,_Duchess_of_Gloucester"
La_Sombra,Selena
Toleman,Rory_Byrne
Jack_Ü,Sean_Combs
Kaiser_Broadcasting,Henry_J._Kaiser
The_Bomb_Squad,Ice_Cube
Broadway_Comics,Jim_Shooter
Time_Warner,Steve_Ross_(Time_Warner_CEO)
Seagate_Technology,Alan_Shugart
112_(band),Sean_Combs
Heckler_&_Koch,Edmund_Heckler
Illuminati_Films,Dinesh_Vijan
Fox_Television_Stations,Barry_Diller
Dead_Executives,Joel_Madden
Alfa_Romeo,Nicola_Romeo
Schneider_Electric,Eugène_Schneider
Interim_Batasang_Pambansa,Ferdinand_Marcos
Globus_(music),Jeffrey_Fayman
Blue_(English_band),Elton_John
The_Marcy_Brothers,Billy_Ray_Cyrus
National_Youth_Theatre,Kenneth_Spring
TMS_(production_team),Tinchy_Stryder
Rogers_Communications,Edward_Samuel_Rogers
Disagree_(band),Jason_Lo
Arab_Socialist_Ba'ath_Party_–_Syria_Region,Bashar_al-Assad
Parse_(company),Tikhon_Bernstam
Ryan_Adams_&_the_Cardinals,Willie_Nelson
Scheller_College_of_Business,Robert_Milton
Jong_Ajax,Hans_Wijers
A_Plus_(aplus.com),Ashton_Kutcher
Concord_Pacific_Developments,Li_Ka-shing
Divan_Group,Vehbi_Koç
Royal_Australian_Corps_of_Signals,"Anne,_Princess_Royal"
14th_Light_Horse_Regiment,"Charles,_Prince_of_Wales"
SUP_Media,Alexander_Mamut
FC_Dnipro_Dnipropetrovsk,Ihor_Kolomoyskyi
Country_Garden,Yang_Guoqiang
Leicestershire_Yeomanry,"Albert,_Prince_Consort"
Not_on_Our_Watch_(organization),Brad_Pitt
Corbis,Bill_Gates
Parachute_Regiment_(United_Kingdom),"Charles,_Prince_of_Wales"
Spiegel_(catalog),Joseph_Spiegel
Gundersen_Health_System,Adolf_Gundersen
48th_Highlanders_of_Canada,Elizabeth_II
The_Band_of_Holy_Joy,Franny_Armstrong
Unilever,Samuel_van_den_Bergh
Affiliated_Computer_Services,Darwin_Deason
Texas_Instruments,J._Erik_Jonsson
The_Row_(fashion_label),Ashley_Olsen
Stevie_Wonder's_Superego,Stevie_Wonder
The_Blues_Brothers,Dan_Aykroyd
C.D._Tapatío,Jorge_Vergara
Liberal_Party_of_Australia,Malcolm_Turnbull
MGM_Resorts_International,Kirk_Kerkorian
Harper_Adams_University,"Anne,_Princess_Royal"
Ning_(website),Gina_Bianchini
Knoll_(company),Hans_Knoll
Sage_Group,David_Goldman_(businessman)
Virgin_Group,Nik_Powell
Cover_Drive,Jennifer_Lopez
Nuyorican_Productions,Jennifer_Lopez
ACF_Fiorentina,Diego_Della_Valle
Queen's_University_Belfast,Elizabeth_II
FK_Sarajevo_Academy,Vincent_Tan
McKinsey_&_Company,Raj_Rajaratnam
Barrio_Boyzz,Selena
Craigslist,Craig_Newmark
The_Toronto_Scottish_Regiment_(Queen_Elizabeth_The_Queen_Mother's_Own),"Charles,_Prince_of_Wales"
Nissan_Group,Yoshisuke_Aikawa
Ramoji_Group,Ramoji_Rao
GAZ,Oleg_Deripaska
Team_Stronach,Frank_Stronach
Red_Bull_GmbH,Chaleo_Yoovidhya
