Rossiya_Bank,Yury_Kovalchuk
PRQ,Gottfrid_Svartholm
L'Oréal,Jean-Paul_Agon
Sophia_Search_Limited,Dave_Patterson
Evil_Hat_Productions,Fred_Hicks
Godrej_Group,Nadir_Godrej
Equality_Florida,Nadine_Smith
Acer_Records,Tim_Scott_(guitarist)
Southdown_Creative,Ryan_McFaul
Retail_Ventures,Jay_Schottenstein
Jennifer_Lopez_Collection,Jennifer_Lopez
United_Artists,Mark_Burnett
Shindig_(video_chat_platform),Steve_Gottlieb
Italian_Society_for_International_Organizations,Luigi_Ferrari_Bravo
British_Athletes_Commission,Karen_Pickering
Greenwich_Pizza,Tony_Tan_(entrepreneur)
Bombay_Dyeing,Nusli_Wadia
Campo_Santo_(company),Olly_Moss
John_S._and_James_L._Knight_Foundation,Alberto_Ibargüen
Walt_Disney_Pictures,Sean_Bailey
Versace,Santo_Versace
SuperGroup,Euan_Sutherland
"The_Cannon_Group,_Inc.",Yoram_Globus
Oilers_Entertainment_Group,Kevin_Lowe
Fishburners,Peter_Davison_(investor)
Pan_Britannica_Industries,D._G._Hessayon
Pacific_Century_Regional_Developments_Limited,Richard_Li
Rocket_Pictures,David_Furnish
First_Security_Corporation,Marriner_Stoddard_Eccles
SELCO_India,Harish_Hande
GMG_Radio,John_Myers_(radio_executive)
Sonic_Team,Kazuyuki_Hoshino
American_Type_Founders,Morris_Fuller_Benton
Alimentation_Couche-Tard,Alain_Bouchard
American_Media_(publisher),Roger_Altman
Saturn_Corporation,Jill_Lajdziak
Institute_of_Robotics_in_Scandinavia_AB,Peter_Nordin
Bouygues,Martin_Bouygues
Heritage_Film_Project,Eduardo_Montes-Bradley
UPA_(animation_studio),John_Hubley
Lanka_Graphite_Limited,Jitto_Arulampalam
Barnhart_Brothers_&_Spindler,Will_Ransom
Caja_Madrid,Rodrigo_Rato
Aardman_Animations,Nick_Park
Evercore_Partners,Roger_Altman
Halifax_International_Security_Forum,Jonathan_Tepperman
Juniper_Networks,Scott_Kriens
Marv_Films,Matthew_Vaughn
Birks_Group,Henry_Birks
Goodman_Games,Joseph_Goodman_(game_designer)
Western_Norway_Regional_Health_Authority,Oddvard_Nilsen
Buena_Televisión,Willian_Lara
Aston_Martin,Ulrich_Bez
Synergy_Group,José_Efromovich
Wagner_Motorcycle_Company,Clara_Wagner
Al_Jazeera_Media_Network,Hamad_bin_Thamer_Al_Thani
New_World_Development,Adrian_Cheng
Hill+Knowlton_Strategies,Jack_Martin_(executive)
ZF_Friedrichshafen,Stefan_Sommer
Prince_Motor_Company,Jiro_Tanaka
Six_Apart,Nobuhiro_Seki
Infinitum_AS,Kjell_Olav_A._Maldum
Walgreens_Boots_Alliance,James_A._Skinner
Bank_of_New_York,Isaac_Roosevelt_(politician)
Sledgehammer_Games,Michael_Condrey
Commonwealth_Fund,David_Blumenthal
Twin_City_Rapid_Transit_Company,Thomas_Lowry
Glencore,Tony_Hayward
Abu_Dhabi_Ports,Sultan_Ahmed_Al_Jaber
The_Rouse_Company,James_Rouse
Aladdin_(food_&_beverage_containers),"Victor_S._Johnson,_Jr."
Wataniya_Mobile,Durgham_Maraee
Netscape,James_H._Clark
Opening_Day_Partners,Brooks_Robinson
CapeRay,Kit_Vaughan
Grupo_Reforma,Alejandro_Junco_de_la_Vega
UPA_(animation_studio),Henry_G._Saperstein
Bunzl,Philip_Rogerson
Scor_SE,Denis_Kessler
"Baron_&_Budd,_P.C.",Russell_Budd
Hyperion_Pictures,Chris_Young_(actor)
Fiat_S.p.A.,John_Elkann
UserLand_Software,Dave_Winer
Terra_Securities,Svein_Erik_Nordang
Lackawanna_Steel_Company,William_Liston_Brown
Triumph_Motorcycles_Ltd,John_Bloor
Anurag_Kashyap_Films,Guneet_Monga
G4S,Ashley_Almanza
Haldor_Topsøe_(company),Haldor_Topsøe_(1913–2013)
Gallup_&_Robinson,George_Gallup
Jumio,Daniel_Mattes
Mylan,Heather_Bresch
Piramal_Group,Ajay_Piramal
Ad_Council_Japan,Nobutada_Saji
Japan_Tobacco,Mitsuomi_Koizumi
ITC_(company),Yogesh_Chander_Deveshwar
S&P_Global,Douglas_L._Peterson
KeyEast,Bae_Yong-joon
Nidec_ASI,Claudio_Andrea_Gemme
Fresnillo_plc,Octavio_Alvídrez
Televisa,Emilio_Azcárraga_Jean
Pontiac,John_DeLorean
Petron_Corporation,Ramon_S._Ang
Coriant,Shaygan_Kheradpir
KBR_(company),Stuart_Bradie
British_Motor_Corporation,Leonard_Lord
ASOS.com,Brian_McBride_(director)
Jenni_Rivera_Fashion,Jenni_Rivera
Kommunal_Landspensjonskasse,Arne_Øren
Luxe_(company),Curtis_Lee_(entrepreneur)
Pei_Cobb_Freed_&_Partners,"George_H._Miller_(architect,_born_1949)"
Burton_Snowboards,Jake_Burton_Carpenter
ImageMovers,Jack_Rapke
MDS_America,Kirk_Kirkpatrick
DMG_Media,Paul_Dacre
Burberry,John_Peace
Kojima_Productions,Yoji_Shinkawa
Twofour54,Noura_Al_Kaabi
Resonate_(company),Sara_Taylor
Hobby_Lobby,David_Green_(entrepreneur)
Kyboe,Marc_Bell_(entrepreneur)
Welk_Resort_Group,Lawrence_Welk
TIM_(brand),Flavio_Cattaneo
Red_Bull_GmbH,Dietrich_Mateschitz
The_Conference_Board,Jon_Spector
Smith_and_Dimon_Shipyard,John_W._Griffiths
Planet_Hollywood,Arnold_Schwarzenegger
Middle_East_Broadcasting_Center,Waleed_bin_Ibrahim_Al_Ibrahim
Jungle_Fight,Wallid_Ismail
China_National_Offshore_Oil_Corporation,Wang_Yilin
Century_Properties,Washington_SyCip
Netflix,Ted_Sarandos
Enterprise_Holdings,Andrew_C._Taylor
Fosun,Liang_Xinjun
Onex_Corporation,Gerry_Schwartz
GiveWell,Holden_Karnofsky
Smule,Ge_Wang
Landry's_Seafood,Tilman_J._Fertitta
Transamerica_Corporation,Amadeo_Giannini
Alkarama,Rachid_Mesli
Icebreaker_(clothing),Rob_Fyfe
Pabst_Brewing_Company,Frederick_Pabst
Nikanor_Plc,Dan_Gertler
Greentree_Stable,Payne_Whitney
Ilitch_Holdings,Christopher_Ilitch
AutoMotion,Ben_Anderson_(entrepreneur)
Medallia,Douglas_Leone
First_Allied_Corporation,Malcolm_Glazer
Photoville_International,Daniel_Razon
National_Australia_Bank,Ken_Henry_(public_servant)
Everex,Paul_C._Kim
Bodyarmor_SuperDrink,Skylar_Diggins
Goldwyn_Pictures,Samuel_Goldwyn
Christian_Dior_SE,Maria_Grazia_Chiuri
Bradley_Foundation,Michael_W._Grebe
The_Trump_Organization,Ivanka_Trump
John_Brown_&_Company,"Charles_McLaren,_3rd_Baron_Aberconway"
Sinclair_Research,Jim_Westwood
PeoplePlus,Emma_Harrison_(entrepreneur)
LeEco,Jia_Yueting
Avaya,Kevin_J._Kennedy
Common_Crawl,Nova_Spivack
DeCODE_genetics,Kári_Stefánsson
Beximco,Salman_F_Rahman
Stardock,Brad_Wardell
Golub_Capital,Lawrence_E._Golub
Isuzu_Motors,Susumu_Hosoi
Zero_Emission_Resource_Organisation,Silje_Schei_Tveitdal
Fortissimo_Films,Michael_J._Werner
Godrej_Group,Nisa_Godrej
WinStar_Farm,Kenny_Troutt
Hero_Cycles,Om_Prakash_Munjal
Rover_Group,Kevin_Morley
Grinnell_Aeroplane,Billy_Robinson_(aviator)
Rambus,Mark_Horowitz
3_Arts_Entertainment,Erwin_Stoff
Anglo-Amalgamated,Stuart_Levy_(producer)
Navy-Marine_Corps_Relief_Society,James_F._Amos
Biba,Barbara_Hulanicki
Bear_Stearns,James_Cayne
Californians_Against_Hate,Fred_Karger
Metro-Goldwyn-Mayer_cartoon_studio,Joseph_Barbera
Gul_Ahmed_Group,Bashir_Ali_Mohammad
Al-Haq,Shawan_Jabarin
Techstars,Brad_Feld
Schlecker,Anton_Schlecker
Suresh_Productions,Daggubati_Suresh_Babu
Brookfield_Property_Partners,Ric_Clark
V._V._Creations,Shoba_Chandrasekhar
BeIN_Sports,Nasser_Al-Khelaifi
Ubique_(company),Ehud_Shapiro
Ardian_(company),Dominique_Senequier
Thai_Life_Insurance,Vanich_Chaiyawan
Genesis_Energy_Limited,Jenny_Shipley
Porsche,Oliver_Blume
Eng_Wah_Global,Goh_Eng_Wah
W.D._&_H.O._Wills,"William_Wills,_1st_Baron_Winterstoke"
Marjan_Television_Network,Arman
DeLorean_Motor_Company,John_DeLorean
Garmin,Gary_Burrell
Epic_Systems,Judith_Faulkner
Zongo_Comics,Gary_Panter
Miniwiz,Arthur_Huang
United_Sun_Systems_International,Lars_Valentin_Jacobsson
Renaissance_Technologies,Robert_Mercer_(businessman)
RuffNation_Records,Kevon_Glickman
Chanel,Gérard_Wertheimer
"Matson,_Inc.","Walter_A._Dods,_Jr."
VFinity,Shen_Tong
Sullivan_Bluth_Studios,John_Pomeroy
Micromuse,Greg_Brown_(businessman)
Center_for_the_Study_of_Carbon_Dioxide_and_Global_Change,Craig_D._Idso
Second_Captains,Ken_Early
Bridgegate_Pictures,Lee_Caplin
APriori_Capital_Partners,Nicole_Arnaboldi
"Worcester,_Bosch_Group",Cecil_Duckworth
North_American_Native_Plant_Society,Farley_Mowat
Gawker_Media,Elizabeth_Spiers
Global_Ocean_Commission,David_Miliband
Griffon_Corporation,Ronald_Kramer_(business)
New_York_Circus_Arts,Cypher_Zero
Perdue_Farms,Jim_Perdue
Barnes_family,Cliff_Barnes
Treasure_Entertainment,Mark_Heidelberger
Desperado_Publishing,Joe_Pruett
Castleton_Lyons,James_R._Keene
Essel_Group,Subhash_Chandra
Razor_Boy_Music_Publishing,Anders_Bagge
Oracle_Corporation,Mark_Hurd
Tracta,Jean-Albert_Grégoire
City_National_Bank_(California),Russell_Goldsmith
Elfin_Sports_Cars,Tom_Walkinshaw
Harmony_Gold_USA,Frank_Agrama
Baldwin_Piano_Company,Henry_Juszkiewicz
Ducati,Rupert_Stadler
Minx_(comics),Karen_Berger
Chase_Distillery,William_Chase_(entrepreneur)
Permeon_Biologics,Noubar_Afeyan
Nord_Stream_AG,Gerhard_Schröder
Pirelli,Marco_Tronchetti_Provera
Montgomery_Ward,Aaron_Montgomery_Ward
FB_Design,Fabio_Buzzi
CDN_37,Nuria_Piera
Berendsen,Iain_Ferguson_(businessman)
MediaNews_Group,William_Dean_Singleton
Pakshiraja_Studios,S._M._Sriramulu_Naidu
Tallgrass_Beef_Company,Bill_Kurtis
Linfox,Lindsay_Fox
ADC_Aircraft,Frederick_Handley_Page
Coptic_Evangelical_Organization_for_Social_Services,Andrea_Zaki
Richard-Brasier,Georges_Richard
Royal_Society_for_the_Protection_of_Birds,Miranda_Krestovnikoff
Radaan_Mediaworks,R._Sarathkumar
Analysis_Group,Martha_Samuelson
Ocado,Stuart_Rose
Emeraz,Obi_Mhondera
Unipart,John_Egan_(industrialist)
DS_Smith,Gareth_Davis
Ginebra_San_Miguel,Ramon_S._Ang
Thunderfest,Frank_Melling
Duke_Energy,Lynn_Good
NFL_Films,John_Facenda
Israeli_News_Company,Yehuda_Lancry
Gerald_Online,Gerald_Ratner
European_Movement_Germany,Michael_Gahler
Courtaulds,George_Courtauld
Bauer_Media_Group,Yvonne_Bauer
Snoras,Vladimir_Aleksandrovich_Antonov
Spaceship_Earth_Grants,Frank_White_(writer)
SubLOGIC,Stu_Moment
Giant_Eagle,David_Shapira
Sleep_Country_Canada,Christine_Magee
Katz_Group_of_Companies,Daryl_Katz
Traumatology_Institute_(Canada),Anna_Baranowsky
Golf_Wang,"Tyler,_The_Creator"
Standard_Motor_Company,Reginald_Walter_Maudslay
National_Social_Security_Fund_(Uganda),Richard_Byarugaba
News_Corp,Rupert_Murdoch
Reliance_Natural_Resources_Limited,Anil_Ambani
"Palm,_Inc.",Jeff_Hawkins
Mistwalker,Hironobu_Sakaguchi
Abdullah_AlOthaim_Markets,Yousef_Algafari
Atiak_Sugar_Factory,Amina_Moghe_Hersi
Fokker,Anthony_Fokker
DP_World,Sultan_Ahmed_bin_Sulayem
Franprix,Jean-Charles_Naouri
The_Warehouse_Group,Stephen_Tindall
"Blyth,_Inc.",Robert_B._Goergen
Vicor_Corporation,Patrizio_Vinciarelli
Four_Star_Television,Dick_Powell
Comic_Relief_USA,Billy_Crystal
Carroll_Group,Anthony_Clarke_(businessman)
Noerr,Friedrich_Zimmermann
Sente_Technologies,Nolan_Bushnell
JaiHind_TV,Ramesh_Chennithala
J.A._Jones_Construction,James_Addison_Jones
Ingersoll_Rand,Simon_Ingersoll
Pixelmatic,Samson_Mow
Miller_Brewing_Company,Tom_Long_(CEO)
Easa_Saleh_Al_Gurg_Group_LLC,Abdulla_Fareed_Al_Gurg
Brummer_Gallery_(New_York),Joseph_Brummer
Fred_Wolf_Films,Fred_Wolf_(animator)
Harbortouch,Brian_Jones
NetObjects,Samir_Arora
Y_Combinator_(company),Anne_Wojcicki
Hancock_Prospecting,Gina_Rinehart
Lotte_(conglomerate),Shin_Kyuk-ho
Live_Planet,Halsey_Minor
Tutorfair,Mark_Maclaine_(director)
Kozmo.com,Joseph_Park
Gaylord_Container_Corporation,Anson_Goodyear
Prudential_plc,Mike_Wells_(businessman)
Tux_Games,Michael_Simms_(software_developer)
ESOFT_Computer_Studies,Dayan_Rajapakse
International_Union_for_Conservation_of_Nature,Zhang_Xinsheng
Gazprom,Viktor_Zubkov
Evergreen_Group,Chang_Yung-fa
Cirrus_Aero-Engines,Frank_Halford
Looking_Glass_Studios,Doug_Church
Diesel_(brand),Renzo_Rosso
KMCMusicorp,Charles_Kaman
Blind_Skateboards,Mark_Gonzales
Quebecor_Media,Brian_Mulroney
Next_Step_Realty,Blair_Brandt
Wunderman,Lester_Wunderman
Generation_Investment_Management,Al_Gore
Element_14_(company),Stan_Boland
Caliber_Comics,Jim_Pruett
ABS-CBN,Charo_Santos-Concio
Focus_Group_Holdings_Limited,Andy_Lau
Win's_Entertainment,Jimmy_Heung
RIT_Capital_Partners,"Jonathan_Kestenbaum,_Baron_Kestenbaum"
Ruter,Ragnar_Søegaard
Communicorp,Denis_O'Brien
Sonic_Solutions,James_A._Moorer
DCMA_Collective,Benji_Madden
Humyo,Peter_Dubens
Blue-Tongue_Films,David_Michôd
Waltham_Manufacturing_Company,Charles_A._Coffin
Heritage_USA,Jim_Bakker
Pixar,Jim_Morris_(film_producer)
Infolink,Mahi_B._Chowdhury
Tyrelessly,Anubhav_Wadhwa
Swallow_Airplane_Company,Emil_Matthew_Laird
Blippy,Philip_J._Kaplan
The_Animation_Picture_Company,Mark_A.Z._Dippé
Bad_Boy_(brand),Mario_Yamasaki
Sud_Aviation,Maurice_Papon
Sunbeam_Motor_Car_Company,John_Marston_(businessman)
Chooseco,R._A._Montgomery
Conservation_Services_Group,Steve_Thomas_(television)
Atari_Games,Ed_Logg
Digicel,Denis_O'Brien
Chicago_Options_Associates,Jimmy_Wales
Attic_Entertainment_Software,Guido_Henkel
Astrobotic_Technology,Red_Whittaker
Folland_Aircraft,W.E.W._Petter
Compass_Light,David_G._Conover
Bevin_Brothers_Manufacturing_Company,Matt_Bevin
Asia_Pacific_Transport_Consortium,Rick_Allert
Nestlé,Peter_Brabeck-Letmathe
Daimler_Company,Percy_Martin
Cirque_du_Soleil,Daniel_Lamarre
Dawood_Hercules_Corporation_Limited,Samad_Dawood
Wild_Rover_Productions,Kieran_Doherty_(writer)
Z_Channel,Jerry_Harvey_(screenwriter)
Home_Team_Volunteers_Network,Ho_Peng_Kee
Yieldmo,Rich_Miner
Bang_(company),Lyle_Greenfield
Wilmar_International,Kuok_Khoon_Hong
McLaren_Technology_Group,Ron_Dennis
Check_Into_Cash,Allan_Jones_(businessman)
Lagardère_Group,Arnaud_Lagardère
Pacific_Fur_Company,Duncan_McDougall_(fur_trader)
Canucks_Sports_&_Entertainment,Francesco_Aquilini
Dillard's,William_T._Dillard_II
Zend_Technologies,Zeev_Suraski
S,Jeff_Gravenhorst
Zentropa,Lars_von_Trier
Tetra_Pak,Ruben_Rausing
UserLand_Software,Jean-Louis_Gassée
Sony_Pictures_Entertainment,Michael_Lynton
Interval_Research_Corporation,Paul_Allen
Roland_Corporation,Ikutaro_Kakehashi
Strategic_Name_Development,William_Lozito
WorleyParsons,John_Grill
Ubicom,Teresa_H._Meng
Agder_Energi,Sigmund_Kroslid
ARRAY,Ava_DuVernay
The_Webster,Laure_Hériard-Dubreuil
Motherson_Sumi_Systems,Vivek_Chaand_Sehgal
Perigreen_Safe_Foods,Nikhil_Kuruganti
Barclays_Africa_Group,Maria_Ramos
Stolt-Nielsen,Niels_G._Stolt-Nielsen
Allied_Dunbar,Mark_Weinberg
Barrick_Gold,John_L._Thornton
E._W._Scripps_Company,Rich_Boehne
PIMCO,Emmanuel_Roman
Clinton_Foundation,Chelsea_Clinton
Altos_Hornos_de_México,Xavier_Autrey
Istad,Torgeir_Dahl
International_Press_Club_of_Prague,Luca_Rovinalti
Remedy_Entertainment,Sam_Lake
Warstic,Ian_Kinsler
Arka_Media_Works,Shobu_Yarlagadda
Klout,Emil_Michael
Walkersteel,Jack_Walker
Hagström,Jimmy_D'Aquisto
Eleven_(Television_Production_Company),Jamie_Campbell_(documentary_filmmaker)
O.S.C.A.,Bindo_Maserati
This_TV,Sean_Compton
Teaching_Channel,Patricia_Wasley
Pancrase,Ken_Shamrock
BBC_World_Service,Fran_Unsworth
Carnation_Auto,Jagdish_Khattar
Allied_Artists_International,Robert_Fitzpatrick
Volvo_Cars,Li_Shufu
Foursquare,Naveen_Selvadurai
Arri,Robert_Richter_(film_producer)
Beasley_Broadcast_Group,Mark_S._Fowler
Compagnie_Financière_Edmond_de_Rothschild,Benjamin_de_Rothschild
Isle_of_Man_Post_Office,Juan_Turner
Evolve_(professional_wrestling),Gabe_Sapolsky
Terra_Firma_Capital_Partners,Guy_Hands
Rover_Group,John_Towers_(businessman)
Advantage_Oil_&_Gas,Craig_Blackwood
City_(TV_network),Rick_Brace
Creators_Syndicate,Richard_S._Newcombe
The_World_(Internet_service_provider),James_Parry
"Rail_Wheel_Plant,_Bela",Suresh_Prabhu
Sina_Corp,Charles_Chao
PNC_Financial_Services,William_S._Demchak
Travis_Perkins,John_Carter_(businessman)
Cowen_Group,Peter_A._Cohen
"Goodby,_Silverstein_&_Partners",Jeff_Goodby
McDonald's_Canada,George_Cohon
Cabela's,Richard_N._Cabela
Welspun_Maxsteel_Ltd,B_K_Goenka
Dubai_International_Financial_Centre,Mohammed_bin_Rashid_Al_Maktoum
Liberty_Global,John_C._Malone
Great_Food_Hall,Li_Ka-shing
Amazing_Film_Studio,Adam_Tsuei
THF_Realty,Stan_Kroenke
SunniPath,Nuh_Ha_Mim_Keller
Palumbo's,Frank_Palumbo
Makedonski_Telekom,Lazar_Popovski
Creative_Impulse_Entertainment,Jan_Lucanus
Ek_Soch_Sandbox,Naveen_Jha
Larkin_Company,Elbert_Hubbard
Saban_Entertainment,Haim_Saban
Lionsgate,Jon_Feltheimer
Tune_Talk,Tony_Fernandes
Tonga_Broadcasting_Commission,Feleti_Sevele
Uniqlo,Tadashi_Yanai
British_UFO_Research_Association,Jenny_Randles
Chaosium,Rick_Meints
Anwar_Rasheed_Entertainments,Anwar_Rasheed
Lens_Express,Lynda_Carter
Full_House_Resorts,Lee_Iacocca
Grupo_México,Germán_Larrea_Mota-Velasco
Zambelli_Fireworks,George_Zambelli
Logitech,Guerrino_De_Luca
Cambridge_Antibody_Technology,David_Chiswell
Officine_Ferroviarie_Meridionali,Nicola_Romeo
Ford_Motor_Company,William_Clay_Ford_Jr.
Charter_School_Growth_Fund,Mason_Hawkins
NRB_Bank,Iqbal_Ahmed
AbsInt,Reinhard_Wilhelm
Warstic,Jack_White
Ral_Partha_Enterprises,Tom_Meier
Muthoot_Finance,George_Alexander_Muthoot
Y_Combinator_(company),Ben_Silbermann
Small_Enterprise_Assistance_Funds,Hubertus_van_der_Vaart
Catcha_Group,Patrick_Grove
Teneo,Declan_Kelly_(businessperson)
Syntel,Nitin_Rakesh
Asia_World,Lo_Hsing_Han
Black_Walk,Mihkel_Harilaid
Lemelson_Capital_Management,Emmanuel_Lemelson
Waste_Control_Specialists,Harold_Simmons
Poker_Players_Alliance,Greg_Raymer
Fosun,Guo_Guangchang
Blizzard_North,David_Brevik
4_Digital_Group,Dee_Ford
Sproxil,Ashifi_Gogo
Experimental_Cinema_of_the_Philippines,Imee_Marcos
Altice_(company),Patrick_Drahi
Wadjet_Eye_Games,Dave_Gilbert_(game_designer)
Epic_Comics,Al_Milgrom
Sage_Hospitality_Resources,Walter_Isenberg
Spartan_Aircraft_Company,J._Paul_Getty
Aston_Martin,Marek_Reichman
Devon_Energy,J._Larry_Nichols
Hewlett_&_Blondeau,Hilda_Hewlett
Ingra_(construction_company),Stjepan_Mesić
Saudi_Aramco,Khalid_A._Al-Falih
Umpqua_Holdings_Corporation,Peggy_Fowler
Elmendorf_Farm,Jack_Kent_Cooke
Numenta,Jeff_Hawkins
Gearbulk,Kristian_Gerhard_Jebsen
Carrozzeria_Viotti,Pietro_Frua
Aegon_N.V.,Alexander_Wynaendts
Company_of_Guinea,Manuel_I_of_Portugal
Dish_Network,Charlie_Ergen
Enso_Group,Vinay_Maloo
Godrej_Industries_Ltd,Tanya_Dubash
Merregnon_Studios,Thomas_Böcker
Sigfox,Ludovic_Le_Moan
The_Heckscher_Foundation_for_Children,Howard_Sloane
Eventbrite,Kevin_Hartz
Protecode,Mahshad_Koohgoli
Spyglass_Entertainment,Jonathan_Glickman
Morton's_The_Steakhouse,Tilman_J._Fertitta
Coffee_Time,Tom_Michalopoulos
Participant_Media,David_Linde
Norwegian_State_Housing_Bank,Bård_Øistensen
Scribd,Tikhon_Bernstam
2045_Initiative,Dmitry_Itskov
A.F.C.A_(clothing),Sven_Westendorp
Waterstones,James_Daunt
Celulosa_Arauco_y_Constitución,Julio_Ponce_Lerou
First_International_Computer,Wang_Yung-ching
Imperial_Chemical_Industries,Paul_Chambers_(industrialist)
AOL_TV,Mitchell_Kertzman
Moser_Baer_Solar_(company),Deepak_Puri
Piramal_Group,Nandini_Piramal
Topps_Comics,Jim_Salicrup
Mashreq_(Bank),Abdulla_Al_Ghurair
A&T_Bank,Osman_Arslan
Morris_Motors,Leonard_Lord
Nakilat,Mohammed_Saleh_Al_Sada
Delta_Broadcasting_System,Mike_Velarde
Warner_Bros._Cartoons,Chuck_Jones
Bloor_Homes,John_Bloor
"Goodby,_Silverstein_&_Partners",Rich_Silverstein
Millennium_&_Copthorne_Hotels,Kwek_Leng_Beng
Grupo_Cisneros,Gustavo_Cisneros
The_Bank_of_New_York_Mellon,Gerald_Hassell
Honda,Takanobu_Ito
Shardul_Amarchand_Mangaldas_&_Co,Shardul_S._Shroff
Amway_North_America,Doug_DeVos
Lerer_Hippeau_Ventures,Eric_Hippeau
Kennaway_Fine_Art_Guild,Neil_Cox_(wildlife_artist)
Sonic_Team,Jun_Senoue
Fancy.com,Chris_Hughes
Tirupati_Development_Uganda_Limited,Miraj_Barot
British_Celanese,Camille_Dreyfus_(chemist)
Sportsvision,Fred_Eychaner
SCO_Group,Ralph_Yarro_III
Aker_ASA,Kjell_Inge_Røkke
Georgia_Tech_Quantum_Institute,Richart_E._Slusher
Kajima,Rokuro_Ishikawa
DekaBank_(Germany),Georg_Fahrenschon
Caterpillar_Inc.,Douglas_R._Oberhelman
Mutato_Muzika,Mark_Mothersbaugh
Annapurna_Studios,Akhil_Akkineni
Simpsons_(department_store),Joseph_Flavelle
Aricom,Jay_Hambro
International_Forum_for_Rights_and_Security,Mario_Silva_(politician)
Automata_UK,Mel_Croucher
Imugene,Paul_A._Hopper
Vivarium_Inc.,Yoot_Saito
Greentree_Stable,Joan_Whitney_Payson
Walltopia,Ivaylo_Penchev
Bajaj_Corp,Kushagra_Bajaj
The_Trump_Organization,Donald_Trump_Jr.
Y_Combinator_(company),Paul_Buchheit
About_Face_Media,Barry_Poltermann
Symantec,Dan_Schulman
Clamp_(manga_artists),Tamayo_Akiyama
Eden_Springs,Raanan_Zilberman
Enjoy_Movies,Sarik_Andreasyan
Dionex,A._Blaine_Bowman
7th_Level,Bob_Ezrin
Bajaj_Allianz_General_Insurance,Tapan_Singhel
Cartoon_Network_Studios,Brian_A._Miller
YouTube,Susan_Wojcicki
Red_Hat,Hugh_Shelton
Banana_Republic,Art_Peck
Plum_Pictures,Galt_Niederhoffer
Dixons_Carphone,Sebastian_James
HomeAdvisor,Chris_Terrill_(executive)
Lee_Roy_Selmon's,Lee_Roy_Selmon
Avro,Harry_Broadhurst
Nvidia,Jen-Hsun_Huang
Mass_Rapid_Transit_Corporation_(Malaysia),Ali_Hamsa
Barnes_family,John_Ross_Ewing_III
LifeLock,Todd_Davis
Existence_Genetics,Brandon_Colby
Focus_Films,Malcolm_Kohll
Materials_Processing_Institute,Chris_McDonald_(MPI)
1-800-GOT-JUNK%3F,Brian_Scudamore
Morgan_Motor_Company,H.F.S._Morgan
Industrial_Development_Corporation_of_Norway,Peter_Arbo_(academic)
Spicy_Horse,American_McGee
Li-Ning,Li_Ning
Fifteen_Melbourne,Tobie_Puttock
SNR_Denton,Elliott_Portnoy
Mercia_Fund_Management,Peter_Dicks
Shellanoo_Group,Arash_Pournouri
Rocket_Science_Games,Steve_Blank
Beepi,Fabrice_Grinda
Renegade_Animation,Ashley_Postelwaite
Partech_Ventures,Reza_Malekzadeh_(entrepreneur)
Atomstroyexport,Sergei_Shmatko
UBank,Ahmed_Fahour
Steeplechase_Films,Ric_Burns
Israeli_News_Company,Yonit_Levi
