Chafurin,Saitama_Prefecture
Joonas_Jalvanti,Finland
Benyamin_(writer),Kulanada
Kathrine_Narducci,East_Harlem
Alem_Merajić,Bosnia_and_Herzegovina
Henri_Massal,"Montblanc,_Hérault"
Rem_Koolhaas,Rotterdam
Sophie_Hunter,London
Alan_Garcia_(jockey),Lima
Zaid_Orudzhev,Baku
Nancy_Rothwell,Tarleton
Chandra_Mohan_(Telugu_actor),India
Karanbahadur_Rana,Nepal
DBC_Pierre,"Old_Reynella,_South_Australia"
Gonçalo_Anes_de_Briteiros,Kingdom_of_Portugal
Kayne_Hammington,New_Zealand
Liza_Weil,"Passaic,_New_Jersey"
Romualdo_Pacheco,"Santa_Barbara,_California"
Shirley_Knight,"Goessel,_Kansas"
Joey_Covington,"Johnstown,_Pennsylvania"
Henri_Manders,Netherlands
Jarad_Klein,"Keota,_Iowa"
Tawus_ibn_Kaysan,Yemen
Pierita,Santiago_de_Compostela
Giuseppe_Palumbo,Italy
Tsatsu_Tsikata,Ghana
Akvilė_Stapušaitytė,Tauragė
Koshiro_Yamamuro,"Seya-ku,_Yokohama"
Kataxenna_Kova,North_London
"Matt_Duffy_(baseball,_born_1989)",Boston
Pallo_Jordan,Kroonstad
Elena_Gadel,Barcelona
Theodore_Timby,"Dover_Plains,_New_York"
Buck_Rasmussen,"Tekamah,_Nebraska"
Bartha_Knoppers,Netherlands
Norman_Partridge,"Vallejo,_California"
Kostis_Chatzidakis,Greece
Stuart_Hodes,New_York_City
Billy_Vojtek,Independent_State_of_Croatia
"Bernard_IV,_Lord_of_Lippe",Lemgo
Suzanna_Sheed,Riverina
Dimitris_Moustakas,Euboea
Gilbert_Imlay,"Upper_Freehold_Township,_New_Jersey"
Neely_Tucker,"Lexington,_Mississippi"
Ospan_Batyr,Fuyun_County
Joël_Moïse_Babanda,Garoua
Jeffrey_Christiaens,Belgium
Bill_Fagerbakke,California
Sabina_Moya,Colombia
Peter_de_Almeida,Brazil
Terry_Wilson_(actor),"Huntington_Park,_California"
Kamal_Khatri,Hetauda
Geir_André_Herrem,Namsos
John_Rawlence,Brockenhurst
Genevieve_Blatt,Pennsylvania
Jean-Louis_Curtis,Orthez
Jim_Berger_(statistician),Minneapolis
William_Lee_Scott,United_States
Mario_Addison,"Birmingham,_Alabama"
Jakob_Wilhelm_Hauer,Ditzingen
Carlo_Salsa,Alessandria
Eric_Poisson,Montreal
"Frederic_Augustus_Alexander,_Duke_of_Beaufort-Spontin",Namur
Daniel_Pontet,Montevideo
Takumi_Wada,Shizuoka_Prefecture
Wolfgang_Hanisch,Saxony-Anhalt
Alexander_Aschauer,Vienna
Herbert_Clogstoun,Port_of_Spain
Mick_Malone_(cricketer),"Scarborough,_Western_Australia"
James_E._Hill,"Stillwater,_Oklahoma"
Jorzolino_Falkenstein,Rotterdam
Jessica_Hall_(American_actress),Hawaii
Alberto_Entrerríos,Spain
Mapei_(musician),United_States
Mohamed_Boudiaf,M'Sila_Province
Orvar_Trolle,Malmö
Mikihito_Yamagami,"Fujimi,_Saitama"
Princess_Augusta_of_Cambridge,Hanover
Aitken_Ferguson,Glasgow
Michael_Liendl,Austria
Haruki_Seto,Japan
Ben_Hannigan,Republic_of_Ireland
Fabiana_Murer,Campinas
Carmelo_Rado,Italy
Omar_Mussa,Burundi
Helēna_Demakova,Riga
Jiang_Mianheng,Shanghai
Nikolai_Schei,Førde
Andrei_Olhovskiy,Moscow
Jan_Zamoyski,Kingdom_of_Poland_(1385–1569)
Abu_Mohammad_al-Julani,Daraa
Lea_Vivot,Šumperk
Besik_Lezhava,Tbilisi
Jan_Wouters,Netherlands
Alexandra_Piscupescu,Romania
Lucinda_Riley,Republic_of_Ireland
Shirley_Finn,Western_Australia
Larry_Bock,Brooklyn
Iosif_Boroș,Săcele
S._Ansky,Vitebsk_Governorate
Jeff_Cowan,Canada
Hassan_Azarnia,Tabriz
Robin_Ward_(singer),Hawaii
Chad_Laprise,Chatham-Kent
Willie_Chambers,Mississippi
Fábio_Paím,Estoril
Herbert_Graf,Vienna
Vivek_Sachidanand,Kerala
Femi_Ilesanmi,Southwark
Kim_Hae-jin,"Anyang,_Gyeonggi"
Stephanos_Skouloudis,Istanbul
Howard_B._Gist_Jr.,"Rapides_Parish,_Louisiana"
Kevin_Kisner,"Aiken,_South_Carolina"
Leonard_Rose_(hacker),"Elkton,_Maryland"
Steve_Gelbs,Connecticut
Bernardo_Rucellai,Florence
Albert_Bourne,Stoke-upon-Trent
Jim_Davis_(baseball),"Red_Bluff,_California"
CariDee_English,"Fargo,_North_Dakota"
Paul_Fischli,Glarus
Sami_Sandell,Finland
Charalambos_Lykogiannis,Greece
Ronny_Awat,Israel
Chen_Weiming_(sculptor),Hangzhou
Everett_W._Anderson,"Phoenixville,_Pennsylvania"
Grahame_Parker,Gloucester
Sabina_Ashirbayeva,Shymkent
W._Taylor_Reveley_IV,Virginia
Louis_Botinelly,Alpes-de-Haute-Provence
Wenceslaus_IV_of_Bohemia,Nuremberg
Haldhar_Nag,Odisha
Alpay_(singer),Ankara
Amar_Suloev,Armenian_Soviet_Socialist_Republic
Peter_J._Ortiz,New_York_City
Marian_Pană,Moreni
Infante_Gonzalo_of_Spain,Madrid
Keith_Knox_(boxer),Edinburgh
Jorge_Ampuero,Santiago
Elaine_Princi,Pennsylvania
Britt_Allcroft,Worthing
Marvin_Quijano,San_Salvador
Bobby_Hakim,Kolkata
Louis_Jaurès,Castres
Eduard_Miloslavić,"Oakland,_California"
Paul_Cleave,Christchurch
Michael_Sullivan_(Canadian_senator),County_Kerry
Raymond_Gubbay,London
Bhanu_Bharti,Rajasthan
Peter_Blake_(sailor),Auckland
Abbas_Mohammadi,Iran
Jake_Cannavale,Manhattan
Irene_Hervey,"Venice,_Los_Angeles"
Paul_van_der_Gucht,Worksop
Fernando_Santos_(Portuguese_footballer),Lisbon
Bhanu_Chander,Andhra_Pradesh
Juan_José_Martín_Delgado,"Toledo,_Spain"
Lee_Dong-phil,Uiseong_County
R._K._Krishna_Kumar,Thalassery
Felipe_Moreira_Santos,Brazil
Malcolm_Kelly,"Longview,_Texas"
Nina_Gantz,Amsterdam
Werner_Mummert,Zschaitz-Ottewig
John_II_of_Cyprus,Nicosia
Mary_Dixon_Kies,"Killingly,_Connecticut"
Stig_Lindström,Stockholm
Dennis_Mimm,Austria
Robert_E._Jones_(judge),"Portland,_Oregon"
Johannes_Popitz,Leipzig
Francis_Gruber,"Nancy,_France"
"Yuya_Hikichi_(footballer,_born_1983)",Kagoshima
Jon_Volpe,"Kincheloe,_Michigan"
Rick_Karsdorp,Schoonhoven
Loletta_Lee,Hong_Kong
Laurence_Ovens,"Bath,_Somerset"
Palak_Muchhal,Indore
Henry_Chester,London
Joseph_Langsford,South_Australia
Eric_Robinson_(veterinarian),Market_Deeping
Mykola_Kulish,Taurida_Governorate
Henry_Hobson_Richardson,United_States
David_Nykl,Prague
Siro_Marcellini,Genzano_di_Roma
Walter_Prescott_Webb,"Panola_County,_Texas"
Kueth_Duany,Sudan
Zdzisław_Krasnodębski_(sociologist),Choszczno
Harold_Sylvester,New_Orleans
Hans_Lüthi,Zürich
Tom_Joyner,"Tuskegee,_Alabama"
Jerry_Reuss,St._Louis
Chris_Axworthy,United_Kingdom
Georg_Audenrieth,Nuremberg
Charles_James_Brenham,"Frankfort,_Kentucky"
Peggy_McCay,New_York_City
Tareq_Aziz,Bangladesh
Ike_Barinholtz,Chicago
Shirley_Clarke,New_York_City
Robert_Houman,Ath
Kate_Maclean,Dundee
Chino_Moreno,"Sacramento,_California"
Rubén_González_(pianist),"Santa_Clara,_Cuba"
Susanne_Kiermayer,Zwiesel
Manfred_Bleskin,East_Germany
Kamil_Čontofalský,Košice
Alice_Matejková,Hořovice
Jerzy_Konorski,Łódź
Arie_Frederik_Lasut,Dutch_East_Indies
Romano_Prodi,Kingdom_of_Italy
David_Castle_(cricketer),Australia
Sam_Douglas,Banbury
Thomas_Sankara,Burkina_Faso
Scott_A._Lake,"Harrisburg,_Pennsylvania"
Ted_Gup,"Canton,_Ohio"
Rao_Narbir_Singh,Haryana
James_Moore_(boxer),Republic_of_Ireland
Ramon_Barnils_i_Folguera,Sabadell
Katie_Kim_(South_Korean_singer),Bucheon
Ignacio_Elizondo,New_Kingdom_of_León
Leopold_Julian_Kronenberg,Congress_Poland
Kelvin_Batey,United_Kingdom
Tsukasa_Morimoto,Aichi_Prefecture
"Alec_Broers,_Baron_Broers",India
Enrique_González,Ciudad_Bolívar
"Jiří_Prskavec_(canoeist,_born_1993)",Czech_Republic
Hansel_Robles,Dominican_Republic
Francis_Ouma,Kenya
Jack_Davies_(screenwriter),London
Dunstan_Anderson,"Fort_Worth,_Texas"
Mayura_Hoshitsuki,Tokyo
Alfredo_Simón,Santiago_de_los_Caballeros
Leroy_Johnson_(senator),United_States
Bob_Bolam,County_Durham
Graham_Wiltshire,Chipping_Sodbury
Franzo_Grande_Stevens,Naples
Steve_Larrimore,"Nassau,_Bahamas"
Lo_Lieh,Pematangsiantar
Poul_Bjørndahl_Astrup,Copenhagen
Eliane_Karp,France
Ganesh_Singh,Madhya_Pradesh
"George_Keith,_10th_Earl_Marischal",Peterhead
John_Richard_Lobo,Karnataka
Tanja_Mayer,Switzerland
Boris_Collingwood,Hither_Green
Komi_Sélom_Klassou,Togo
Muhamed_Haneef,India
Mike_Bettes,"Tallmadge,_Ohio"
Khedouri_Zilkha,Baghdad
Richard_Speck,"Kirkwood,_Illinois"
Vachagan_Khalatyan,Armenian_Soviet_Socialist_Republic
Tim_Sköld,Skövde
Sadriddin_Abdullaev,Uzbek_Soviet_Socialist_Republic
René_Alphonse_Higonnet,"Valence,_Drôme"
Alkistis_Protopsalti,Alexandria
Dragica_Džono,Croatia
Nikola_Markoski,Struga
Fredrik_Neij,Jönköping
Javier_Mercedes_González,Paraguay
Kenyon_Jones_(basketball),"Augusta,_Georgia"
Paule_Andral,Paris
Johnny_%22Guitar%22_Watson,Houston
Larry_Roberts_(American_football),"Dothan,_Alabama"
Gunadasa_Kapuge,Sri_Lanka
Alfred-Henri-Marie_Baudrillart,Paris
Marta_Anna_Wiecka,Vistula_Land
Wallace_Samuel_Bird,Fredericton
Jean-Luc_Masbou,Figeac
Kristjan_Čujec,Šempeter_pri_Gorici
Tita_von_Hardenberg,Hamburg
Juan_de_Dios_Ramírez_Heredia,Puerto_Real
Earl_Rose_(rugby_union_player),South_Africa
Sarah_Lancashire,Oldham
Anne_Helm_(voice_actress),Rostock
Anu_Anand,Thiruvarur
Nishanth_Sagar,Kerala
Greta_Almroth,Stockholm
Lauren_Socha,Derbyshire
Francheska_Yarbusova,Almaty
Bhumibol_Adulyadej,United_States
Kieran_Kennedy,Manchester
Danny_Rapp,Philadelphia
Bill_Shine,London
C._Wade_McClusky,"Buffalo,_New_York"
Alexandre_Bezerra,São_Paulo
Lee_Young,New_Orleans
Inge_Johansson,Sweden
Solomon_Perel,Peine
John_Helliwell,Todmorden
Giovanni_Battista_Andreoni,Lucca
William_Cox_Ellis,"Muncy,_Pennsylvania"
Pierre_Guichot,France
Ronald_Squire,"Tiverton,_Devon"
Fujiko_Fujio,Toyama_Prefecture
James_Theodore_Bent,Baildon
Selina_Gasparin,Samedan
Norbert_Brami,Tunisia
Mark_Priestley,Perth
List_of_Playboy_Playmates_of_1965,"Clarkdale,_Arizona"
Claude_Allègre,France
Julien-Joseph_Ducorron,Ath
Shinobu_Otowa,Japan
Norbert_Kuchinke,Silesia
Courtney_B._Vance,Detroit
Mycole_Metcalf,Salt_Lake_City
Solomon_Andrew_Layton,"Lucas_County,_Iowa"
W._Stanley_Moss,Yokohama
Bảo_Long,French_Indochina
Julia_Sawalha,Lambeth
Maria_Caterina_Rosalbina_Caradori-Allan,Milan
Fanny_von_Starhemberg,Vienna
William_Henry_Lacy,Milwaukee
Giovanni_Mantovani,Gudo_Visconti
Otto_Suhr,German_Empire
Vlado_Petković,Kraljevo
John_Laws,"Wau,_Papua_New_Guinea"
Bob_Livingston,"Colorado_Springs,_Colorado"
Menno_Oosting,Netherlands
Eric_Gaven,Brisbane
Qusai_Abu_Alieh,Amman
Alfred_Kidd,Hounslow
Gustave_Boissonade,France
Yoav_Bar_El,Tel_Aviv
Johnny_Mains,Galashiels
Alessio_di_Savino,Rome
Martin_Lundberg,Sweden
Alf_Bauman,Chicago
Robert_Braithwaite_Martineau,London
Caspar_Riffel,Büdesheim
Thomas_Gray_(VC),Urchfont
Simha_Arom,Düsseldorf
Borjana_Krišto,Socialist_Federal_Republic_of_Yugoslavia
Sule_(comedian),Cimahi
René_Beuker,Bussum
Mario_Roberto_Álvarez,Argentina
Ruslan_Gordiyenko,Russia
Frank_Y._Whiteley_Jr.,United_States
Daisy_Dee,Curaçao
Anže_Lanišek,Slovenia
Elfyn_Evans,Cardiff
Prince_Nagahisa_Kitashirakawa,Japan
David_Wilde,Manchester
Haris_Sohail,"Punjab,_Pakistan"
Jean-Pierre_Bel,"Lavaur,_Tarn"
Will_Antwi,Epsom
Erin_Mouré,Calgary
Morgan_Baker,Australia
Charles_Denner,Tarnów
Valerie_Concepcion,Philippines
Sandra_Arenas,"Pereira,_Colombia"
Alessandro_Butti,Turin
Mauro_Radaelli,Italy
Edward_Whymper,London
Lucyna_Ćwierczakiewiczowa,Warsaw
Johann_Pfeiffer,Nuremberg
Moon_Hee-jung,South_Korea
Irene_Ng_(politician),Singapore
Artūras_Milaknis,Soviet_Union
Lauritz_Smith,Hjørring
Sandra_Peabody,"Portland,_Oregon"
Gaddar,Telangana
Afshin_Chavoshi,Rasht
Ane_Bergara,"Bera,_Navarre"
Andris_Andreiko,Latvia
Ron_Tauranac,New_South_Wales
Nisar_Memon,Pakistan
Cuonzo_Martin,"East_St._Louis,_Illinois"
Ottmar_Hofmann,Frankfurt
Robert_Lowry_(writer),Cincinnati
César_Pérez_Vivas,La_Grita
Dave_Myers_(presenter),Barrow-in-Furness
George_Bradshaw_(footballer),Trimdon_Grange
Aurelio_Vidmar,Australia
Jim_Lawrence_(baseball),"Hamilton,_Ontario"
Tamorley_Thomas,Antigua_and_Barbuda
Ruslans_Sorokins,Latvia
José_Borello,Bahía_Blanca
Valeriu_Mițul,"Corjova,_Dubăsari"
Natasha_Bargeus,"Port_Hedland,_Western_Australia"
Christina_Ochoa,Barcelona
Maciej_Maleńczuk,Wojcieszów
Kana_Osafune,Japan
Adisak_Ganu,Thailand
Manfred_Noa,German_Empire
Fevzi_Elmas,Çanakkale
Tariq_Imran,Pakistan
Hortensia_Antommarchi,Cúcuta
Andrew_J._McKiernan,Sydney
Liam_Slater,West_Yorkshire
Azizan_Saperi,Malaysia
Dominik_Mader,West_Germany
Miz,"Kitami,_Hokkaido"
Richard_Kinon,New_York_City
Liam_Hennessy_(coach),Republic_of_Ireland
William_Broome,Cheshire
Francine_Berman,"Glendale,_California"
Julián_Cuesta,Granada
Peter_Sichrovsky,Vienna
Janet_Hsieh,Houston
Dibu_Ojerinde,Oyo_State
Jackie_Gayda,United_States
Alexandrine_de_Bleschamp,Calais
Ludwig_Hess,Zürich
Antonela_Radeljić,Bosnia_and_Herzegovina
"Jason_Williams_(basketball,_born_1983)",New_Orleans
Origen,Egypt_(Roman_province)
Reinhard_Kolldehoff,Berlin
Akbar_Sahraee,Shiraz
Omar_Guerrero,Mexico
Yaw_Osei-Owusu,Croydon
Karl_Deutsch,Prague
Alejandro_Mendoza_Corujo,Tenerife
August_Klingler,Bietigheim_(Baden)
Ritchie_Branagan,Gravesend
Rudolph_Bergh,Denmark
Harold_Bloom,New_York_City
George_Crable,"Kearney,_Nebraska"
Cyrus_Ramone_Pattinson,Northumberland
Constance_Demby,"Oakland,_California"
"Amjad_Hossain,_MNA",Kumarkhali
Daniel_Høegh,Denmark
Nawal_Ayoub,Colombia
Mark_Turin,London
Gary_Walsh,Wigan
Marcus_Holman,Maryland
Alirio_Díaz,Venezuela
Evan_Johns,Virginia
Nicholas_Millet,"Richmond,_New_Hampshire"
Bud_Yorkin,"Washington,_Pennsylvania"
Jay_Hoffman_(soccer),United_States
Nick_Inch,Canada
Shōgo_Arai,"Yao,_Osaka"
Maxim_Iurcu,"Bender,_Moldova"
Shin_Ji-ho,Seoul
Viktoria_Modesta,Daugavpils
Firmin_Breaux,Canada
Rebecca_Rosenblum,"Hamilton,_Ontario"
Florian_Zeller,Paris
Frederick_Halterman,Germany
Anthony_May,Reigate
William_Calder_(footballer),Edinburgh
Pierpont_Davis,Baltimore
Ray_Brooks_(actor),Brighton
William_Ruschenberger,"Bridgeton,_New_Jersey"
Ettore_Blasi,Italy
Guru_Har_Rai,Rupnagar
Philippa_Christian,"Brighton,_Victoria"
Arijac,Gonaïves
Minna_Lachs,Terebovlia
Heather_A._Ryan,"Des_Moines,_Iowa"
Alejandro_Domínguez_(Mexican_footballer),Mexico_City
Verónica_Colindres,La_Libertad_Department_(El_Salvador)
Jean_Landry_(ice_hockey),Canada
Matías_Gastón_Castro,Neuquén
"Henry_I,_Duke_of_Bavaria",Duchy_of_Thuringia
Jonelle_Allen,United_States
Tetsuro_Uki,"Chiba,_Chiba"
Theodore_H._Geballe,San_Francisco
Annemie_Turtelboom,Ninove
Michael_Uslan,"Bayonne,_New_Jersey"
Pavol_Straka,Trenčín
Artur_Gadowski,Szydłowiec
Willis_Henry_Bocock,"Halifax,_Virginia"
Regula_Tschumi,Bern
Enzo_Mascherini,Florence
William_Stephens_Smith,Long_Island
Pierre_Casiraghi,Monaco
Alisson_Farias,Lages
Andrew_Walker_(footballer),Echuca
Filippo_Ganna,Italy
Jonathan_Kent_(director),South_Africa
Saurabh_Kumar_Chaliha,Assam
Charles_I._Sparks,"Boone_County,_Iowa"
Country_Dick_Montana,"Carmel-by-the-Sea,_California"
Pedro_Aguirre_Cerda,Chile
Tina_Lattanzi,Licenza
Alberto_Guerrero_(sport_shooter),"Humacao,_Puerto_Rico"
Josh_Garbutt,Medicine_Hat
Henri_Arnold_Seyrig,"Héricourt,_Haute-Saône"
Andrew_Williams_(novelist),Sheffield
"Charles_Lemercier_de_Longpré,_baron_d'Haussez",Neufchâtel-en-Bray
Raquel_Forner,Buenos_Aires
Malkit_Singh,India
Ibrahim_Zeid_Keilani,Al-Salt
André_Cuneaz,Italy
Marius_Urukov,People's_Republic_of_Bulgaria
Antoine_Sanguin,France
Francis_J._Ricciardone_Jr.,Massachusetts
Justus_de_Harduwijn,Ghent
Bernhard_Edmaier,Munich
Élie_Mailloux,"Cacouna,_Quebec"
Abdur_Razzaq_(barrister),Sylhet
Shi_Suxi,Dengfeng
Zoë_Strachan,Kilmarnock
Giancarlo_Carloni,Civita_Castellana
Kelvin_Keech,Honolulu
Asad_Shafiq,Sindh
Ulla-Britt_Söderlund,Växjö
Adrian_Brett,"Deal,_Kent"
Anwar_Rasheed,Kollam
Ruperto_Long,"Rosario,_Uruguay"
Sherman_P._Lloyd,"St._Anthony,_Idaho"
John_Scougal,Edinburgh
Alan_Browning,"Sunderland,_Tyne_and_Wear"
Leonard_Carpenter_(rower),Minneapolis
Anna_Seghers,Mainz
Beata_Prei,Poland
"George_Jellicoe,_2nd_Earl_Jellicoe",United_Kingdom_of_Great_Britain_and_Ireland
Raul_Roulien,Rio_de_Janeiro
Carmel_Tebbutt,"Forbes,_New_South_Wales"
Tasha_Danvers,London
Paco_Godia,Barcelona
Keith_Holyoake,Pahiatua
Natalia_Chudzik,Poland
James_Kent,"Putnam_County,_New_York"
Alexander_Kapp_(dermatologist_and_allergist),Heidelberg
"Nick_Murphy_(footballer,_born_1966)",Tadcaster
Ivan_Todorović_(basketball),Montenegro
Clay_Carroll,"Clanton,_Alabama"
Seund_Ja_Rhee,Jinju
Jiří_Hudec,Brno
Jamie_Smith_(rugby_player),Ballymena
Vivienne_Haigh-Wood_Eliot,Bury
Benjamin_Bilse,Legnica
"Marcus_Brown_(cornerback,_born_1986)","Tangipahoa,_Louisiana"
Carl_Emberson,Epsom
Igor_Ozhiganov,"Krasnogorsk,_Moscow_Oblast"
