Peter_Hoagland,Jon_Lynn_Christensen
James_L._Jones,Bill_Clinton
Wigberto_Tañada,Corazon_Aquino
"Richard_of_York,_3rd_Duke_of_York","Richard_of_Conisburgh,_3rd_Earl_of_Cambridge"
"Vincenzo_Gonzaga,_Duke_of_Mantua","Ferdinando_Gonzaga,_Duke_of_Mantua"
Ann_Rork_Light,Sam_E._Rork
"George_Stanhope,_6th_Earl_of_Chesterfield","William_Hay,_18th_Earl_of_Erroll"
Benjamin_M._Miller,Bibb_Graves
Mike_Pence,Mitch_Daniels
"Baldwin_II,_Count_of_Boulogne","Arnulf_III,_Count_of_Boulogne"
Gerhard_Schröder,Horst_Köhler
Philip_the_Good,Charles_the_Bold
Edmund_Barton,George_Reid_(Australian_politician)
Amala_Shankar,Mamata_Shankar
Emmanuelle_Cosse,François_Hollande
Trygve_Bratteli,Per_Borten
William_Henry_Smith_(1825–1891),"Gathorne_Gathorne-Hardy,_1st_Earl_of_Cranbrook"
Władysław_II_Jagiełło,Władysław_III_of_Poland
Wenceslaus_I_of_Bohemia,Beatrice_of_Bohemia
Magnus_I_of_Sweden,Margaret_Fredkulla
Shah_Jahan,Aurangzeb
Billie_Holiday,Artie_Shaw
"Prince_Alfonso,_Count_of_Caserta",Prince_Gabriel_of_Bourbon-Two_Sicilies
Ronny_Jarabo,Rafael_Hernández_Colón
John_Buchan,Edward_VIII
Chen_Yun,Hua_Guofeng
Mary_Ellen_Barbera,Martin_O'Malley
Kamehameha_II,Kamehameha_I
Alan_David_Lourie,George_H._W._Bush
Herbert_Hoover,William_F._Whiting
Cyrus_Hamlin_(general),Hannibal_Hamlin
Lucien_Bonaparte,Charles_Lucien_Bonaparte
Károly_Khuen-Héderváry,László_Lukács
Thom_Bell,Elton_John
2010_Los_Angeles_Galaxy_season__David_Beckham__1,David_Beckham
Abd_Shams_ibn_Abd_Manaf,Abd_Manaf_ibn_Qusai
Isabella_of_Austria,Philip_I_of_Castile
Christina_of_Lorraine,"Charles_III,_Duke_of_Lorraine"
Philip_Pettit,Amartya_Sen
Harold_Holt,Bill_Bourke
Luca_Zaia,Silvio_Berlusconi
Robert_J._Walker,Zachary_Taylor
"Juan,_Count_of_Montizón","Carlos,_Duke_of_Madrid"
Lenore_Romney,Mitt_Romney
Bruno_Mars,Kanye_West
List_of_Babylon_5_characters,Robert_Foxworth
Carter_Glass,William_Gibbs_McAdoo
Henry_Adams,George_Bancroft
Tarabya_of_Ava,Swa_Saw_Ke
Eleanor_of_Alburquerque,"Sancho_Alfonso,_1st_Count_of_Alburquerque"
Queen_Uiin,Queen_Inmok
Miss_Trunchbull,Roald_Dahl
Denis_Healey,Aneurin_Bevan
Renata_Salecl,Jacques_Lacan
Mike_Ahern_(Australian_politician),Joh_Bjelke-Petersen
"William_Hay,_18th_Earl_of_Erroll","George_Campbell,_6th_Duke_of_Argyll"
"Georgiana_Howard,_Countess_of_Carlisle","Georgiana_Cavendish,_Duchess_of_Devonshire"
Teresa_Patrício_de_Gouveia,António_Monteiro_(politician)
"Karl,_Duke_of_Schleswig-Holstein-Sonderburg-Glücksburg","Friedrich_Wilhelm,_Duke_of_Schleswig-Holstein-Sonderburg-Glücksburg"
Jesús_T._Piñero,Luis_Muñoz_Marín
Paul_A._Porter,Charles_R._Denny
Netumbo_Nandi-Ndaitwah,Nahas_Angula
Percy_Bady,R._Kelly
Lesley_B._Wells,Bill_Clinton
George_Toogood_Smith,John_Lennon
Jack_Kerouac,Thomas_Pynchon
Rowan_Joffé,Jane_Lapotaire
Zeki_Pasha,Mehmed_V
Cezary_Grabarczyk,Bronisław_Komorowski
Princess_Louise_Sophie_of_Schleswig-Holstein-Sonderburg-Augustenburg,Princess_Victoria_Margaret_of_Prussia
"William_Cavendish-Bentinck,_3rd_Duke_of_Portland",George_III_of_the_United_Kingdom
"Prince_Andrew,_Duke_of_York",Elizabeth_II
Mills_E._Godwin_Jr.,Fred_G._Pollard
Axel_Stordahl,Tommy_Dorsey
Ulysses_S._Grant,Benjamin_Bristow
Tin_Woodman,L._Frank_Baum
Joseph_Wright_Harriman,W._Averell_Harriman
Charlotte_Hennessey,Jack_Pickford
Elizabeth_Alda,Arlene_Alda
Kekauʻōnohi,Wahinepio
Mohammed_Nadir_Shah,Mohammed_Zahir_Shah
"Richard_Wood,_Baron_Holderness",Harold_Macmillan
Tyrone_Power_Jr.,Tyrone_Power
Romy_Schneider,Sarah_Biasini
Saif_bin_Zayed_Al_Nahyan,Mouza_bint_Suhail_Al_Khaili
Athina_Livanos,Christina_Onassis
Nevile_Henderson,Stanley_Baldwin
Dan_Quayle,Walter_Mondale
Amenemopet_(Viceroy_of_Kush),Ramesses_II
"Edward_Seymour,_12th_Duke_of_Somerset","George_Howard,_7th_Earl_of_Carlisle"
George_Pearkes,Frank_Mackenzie_Ross
Meadow_Soprano,Carmela_Soprano
Hugo_Black,Franklin_D._Roosevelt
Anne_Tompkins,Barack_Obama
"Vincenzo_Gonzaga,_Duke_of_Mantua","Vincenzo_II_Gonzaga,_Duke_of_Mantua"
Lien_Chan,Ma_Ying-jeou
Chantal_Kreviazuk,Avril_Lavigne
Percy_Heath,Miles_Davis
"Jeanne_de_Béthune,_Viscountess_of_Meaux","Jeanne_de_Bar,_Countess_of_Marle_and_Soissons"
Hoşyar_Kadınefendi,Şevkefza_Sultan
Swathi_Thirunal_Rama_Varma,Gowri_Parvati_Bayi
Rehman_Chishti,Theresa_May
Adolf_IV_of_Holstein,"John_I,_Count_of_Holstein-Kiel"
Juan_Esteban_Montero,Manuel_Trucco
John_II_of_Aragon_and_Navarre,"Joanna_of_Aragon,_Queen_of_Naples"
Alojz_Rebula,Oton_Župančič
Christina_Romer,Austan_Goolsbee
"Johann_VI,_Count_of_Nassau-Dillenburg","William_Louis,_Count_of_Nassau-Dillenburg"
Don_Sebesky,Tommy_Dorsey
"Charles_Thomas,_Prince_of_Löwenstein-Wertheim-Rosenberg","Charles,_6th_Prince_of_Löwenstein-Wertheim-Rosenberg"
Isabel_Bruce,Ingeborg_Eriksdottir_of_Norway
"Jane_Boleyn,_Viscountess_Rochford","Henry_Parker,_10th_Baron_Morley"
Ian_Deans,Colin_Isaacs
Edwin_Samuel_Montagu,"William_Peel,_1st_Earl_Peel"
Nicolae_Coval,Leonid_Brezhnev
Guido_de_Lavezaris,Philip_II_of_Spain
Beatrice_of_Sicily_(1326–1365),Peter_II_of_Sicily
Bobbie_Jo_Bradley,Steve_Elliott_(character)
James_Blanchard,Gordon_Giffin
Maria_Clotilde_of_Naples_and_Sicily,Ferdinand_I_of_the_Two_Sicilies
"Félix_María_Calleja_del_Rey,_1st_Count_of_Calderón",Ferdinand_VII_of_Spain
Saddam_Hussein,Qusay_Hussein
Kim_Young-sam,Lee_Hong-koo
James_Arbuthnot,David_Willetts
Khadijeh_Aryan,Mohammad_Khatami
Jean-Louis_Borloo,Alain_Juppé
Rama_III,Mongkut
Victor_Emmanuel_II_of_Italy,Maria_Pia_of_Savoy
William_III_of_the_Netherlands,Anna_Pavlovna_of_Russia
Charlotte_Lane,George_W._Bush
"Philip_I,_Count_of_Auvergne","Joan_I,_Countess_of_Auvergne"
Maria_Caterina_Brignole,Prince_Joseph_of_Monaco
"Frederick,_Hereditary_Prince_of_Anhalt-Dessau","Leopold_III,_Duke_of_Anhalt-Dessau"
Alastair_Goodlad,John_Major
Dufferin_Roblin,Elizabeth_II
Helen_F._Holt,Daniel_Pitt_O'Brien
"Sir_Thomas_Clavering,_7th_Baronet","William_Clayton,_1st_Baron_Sundon"
Arseny_Tarkovsky,Andrei_Tarkovsky
Frank_Farrar,James_Abdnor
Guðrún_Katrín_Þorbergsdóttir,Dorrit_Moussaieff
Lester_G._Telser,Milton_Friedman
"Macbeth,_King_of_Scotland",Lulach
Koca_Sinan_Pasha,Kanijeli_Siyavuş_Pasha
Rainer_Brüderle,Karl-Theodor_zu_Guttenberg
"Francisco_Serrano,_1st_Duke_of_la_Torre",Alfonso_XII_of_Spain
List_of_Dune_secondary_characters,Robert_Russell_(actor)
John_Warner,Richard_D._Obenshain
Emily_Mortimer,John_Mortimer
Festus_Mogae,Quett_Masire
Hanna_Neumann,Peter_M._Neumann
Gertrud_Arndt,László_Moholy-Nagy
Suzanne_Côté,Louis_LeBel
Vijaya_Mulay,Suhasini_Mulay
Method_Man,The_Notorious_B.I.G.
Charlie_Ebersol,Susan_Saint_James
George_Mole,Sue_Townsend
"William,_Prince_of_Albania","William,_Prince_of_Wied"
Emperor_Gaozong_of_Tang,Emperor_Zhongzong_of_Tang
Ali,Abu_Talib_ibn_Abd_al-Muttalib
Li_Minqi,Mao_Zedong
"Ranuccio_II_Farnese,_Duke_of_Parma",Francesco_Maria_Farnese
Tony_Benn,Harold_Wilson
Captain_Blue_(Captain_Scarlet),Gerry_Anderson
List_of_Monk_characters,Kane_Ritchotte
Tarzan,Edgar_Rice_Burroughs
Khyongla_Rato,Richard_Gere
John_F._Kennedy,Dwight_D._Eisenhower
Yaza_Datu_Kalaya,Natshin_Medaw
Isabella_of_Portugal,Manuel_I_of_Portugal
Samantha_Taggart,Tony_Gates
Robert_II_of_Scotland,Robert_III_of_Scotland
"Otto_IV,_Holy_Roman_Emperor","Henry_VI,_Holy_Roman_Emperor"
"Mary_Stewart,_Duchess_of_Richmond","George_Villiers,_1st_Duke_of_Buckingham"
Xi_Jinping,Li_Yuanchao
Winston_Churchill,Clement_Attlee
"Alexander,_Prince_of_Lippe","Woldemar,_Prince_of_Lippe"
Asif_Ali_Zardari,Nawaz_Sharif
George_W._Bush,Dick_Cheney
Christina_Onassis,Stavros_Niarchos
Kylie_Minogue,Rufus_Wainwright
India_Casiraghi,Pierre_Casiraghi
Toddy_Puller,"Joseph_V._Gartlan,_Jr."
Dingiri_Banda_Wijetunga,Ranasinghe_Premadasa
Chlothar_I,Chilperic_I
Bogdan_Filov,Boris_III_of_Bulgaria
Emina_Jahović,Ognjen_Amidžić
Princess_Isabelle_of_Orléans-Braganza,"Princess_Anne,_Duchess_of_Calabria"
Simon_Templar,Louis_Hayward
"William_Onslow,_4th_Earl_of_Onslow",Queen_Victoria
Ivan_Rogers,Tony_Blair
Patrick_Swayze,Patsy_Swayze
"Isabella,_Queen_of_Armenia",Constantine_of_Baberon
Peter_Struck,Gerhard_Schröder
Gustave_Flaubert,Lord_Byron
Count_Palatine_Joseph_Charles_of_Sulzbach,"Theodore_Eustace,_Count_Palatine_of_Sulzbach"
Manuel_I_of_Trebizond,John_II_of_Trebizond
Julia_the_Elder,Lucius_Caesar
"William_Lamb,_2nd_Viscount_Melbourne","F._J._Robinson,_1st_Viscount_Goderich"
Sebastián_Piñera,Laurence_Golborne
Tommy_Vig,Quincy_Jones
Kurt_Busch,Kevin_Harvick
Jun'ichirō_Tanizaki,Edgar_Allan_Poe
Elliott_Abrams,Patricia_M._Derian
Lee_Teng-hui,Chiang_Ching-kuo
Stefan_Löfven,Svante_Lindqvist
Oswiu,Aldfrith_of_Northumbria
S._M._Krishna,Manmohan_Singh
Manuel_Moran,Sergio_Osmeña
Rupiah_Banda,George_Kunda
"Beatrice_of_Navarre,_Duchess_of_Burgundy","Isabella_of_Burgundy,_Queen_of_Germany"
Bo_Xilai,Chen_Deming
Peter_Phillips,Zara_Phillips
Matthew_Hancock,Theresa_May
Hamdan_bin_Rashid_Al_Maktoum,Khalifa_bin_Zayed_Al_Nahyan
Mark_van_Bommel,Wesley_Sneijder
Shailagh_Murray,Barack_Obama
Oleksander_Ostrogski,Zofia_Tarnowska
Joseph_Stalin,Nikita_Khrushchev
Christine_of_France,Françoise_Madeleine_d'Orléans
Constantin_Sănătescu,Ion_Antonescu
Howard_Kent_Walker,Ronald_Reagan
Ralph_Willis,Bob_Hawke
"Janet_Royall,_Baroness_Royall_of_Blaisdon",Catherine_Ashton
Liza_Fernández_Rodríguez,Roberto_Arango
"Prince_Adolphus,_Duke_of_Cambridge",George_III_of_the_United_Kingdom
Sara_Niemietz,Richard_Marx
Watto,George_Lucas
Billy_Hughes,Joseph_Lyons
Henry_Arthur_Blake,Hugh_Clifford
Wang_Jin-pyng,Liu_Sung-pan
"John_Hamilton-Gordon,_1st_Marquess_of_Aberdeen_and_Temair",William_Ewart_Gladstone
G._Kendall_Sharp,Ronald_Reagan
Princess_Marie_Auguste_of_Thurn_and_Taxis,"Charles_Eugene,_Duke_of_Württemberg"
Aleksandra_Piłsudska,Jadwiga_Piłsudska
Constans,Constantius_II
Murad_III,Nurbanu_Sultan
2002–03_Aston_Villa_F.C._season__Peter_Crouch__1,Peter_Crouch
Archie_Morris,John_Carter_(ER)
"John_Talbot,_1st_Earl_of_Shrewsbury",Henry_IV_of_England
Hsinbyushin,Alaungpaya
"Dirk_IV,_Count_of_Holland","Floris_I,_Count_of_Holland"
Eric_II_of_Norway,Ingeborg_Eriksdottir_of_Norway
Berengaria_of_Barcelona,"Douce_I,_Countess_of_Provence"
"Robert,_King_of_Naples",Joanna_I_of_Naples
Prasanna_Kumar_Roy,Charulata_Mukherjee
Pujie,Puyi
Isambard_Kingdom_Brunel,Sophia_Kingdom
Jiaqing_Emperor,Qianlong_Emperor
Holly_Kiser,Holly_Kinser
Pauline_Fossil,Elizabeth_Morgan_(actress)
Tunku_Kurshiah,Raja_Jemaah
Rusty_Anderson,Paul_McCartney
Ardeshir_Zahedi,Abbas_Aram
Kurt_Hummel,Brad_Falchuk
Philip_III_of_Spain,Philip_IV_of_Spain
"Friedrich_Günther,_Prince_of_Schwarzburg",Princess_Alexandra_of_Anhalt
Latter_Deposed_Emperor_of_Liu_Song,Emperor_Shun_of_Liu_Song
"Leopold_II,_Prince_of_Anhalt-Dessau","Leopold_I,_Prince_of_Anhalt-Dessau"
Pooja_Bhatt,Mahesh_Bhatt
Alice_of_Courtenay,Peter_I_of_Courtenay
Prince_Ernst_Heinrich_of_Saxony,Frederick_Augustus_III_of_Saxony
Louise_Marie_Anne_de_Bourbon,Louis_XIV_of_France
"Henry_Somerset,_2nd_Duke_of_Beaufort","Charles_Beauclerk,_1st_Duke_of_St_Albans"
Joey_Stivic,Archie_Bunker
Tiffany_Trump,Marla_Maples
Claudius,Claudia_Antonia
Ferdinand_III_of_Castile,Alfonso_X_of_Castile
Harry_W._Shlaudeman,Ronald_Reagan
Dinny_McGinley,Enda_Kenny
Kunti,Karna
Chuck_Robb,Bob_Graham
Abdul_Nasser_El_Hakim,Willem-Alexander_of_the_Netherlands
"James_C._Crumlish,_Jr.",Arlen_Specter
Prabha_Bannabilaya,Chulalongkorn
Fernando_Teixeira_dos_Santos,Aníbal_Cavaco_Silva
Mehmed_Said_Pasha,Sa'id_of_Egypt
Booth_Goodwin,Barack_Obama
Margaret_Woodrow_Wilson,Ellen_Axson_Wilson
Francie_Brolly,Michael_Coyle_(politician)
Robert_J._Corbett,H._John_Heinz_III
Arthur_A._Link,Allen_I._Olson
Marie_Hedwig_of_Hesse-Darmstadt,"George_II,_Landgrave_of_Hesse-Darmstadt"
Hussein_of_Jordan,Talal_of_Jordan
Nelson_Rockefeller,Gerald_Ford
"Hugh_Cholmondeley,_6th_Marquess_of_Cholmondeley",Elizabeth_II
Anna_Karen,Anna_Karen_Morrow
Chuck_Kaye,Madonna_(entertainer)
Quatlecoatl,Huitzilihuitl
Pratap_Singh_Shah,Prithvi_Narayan_Shah
Charles_C._Bradley,Harold_C._Bradley
Alla_Pugacheva,Joseph_Kobzon
Sheikh_Hasina,Khaleda_Zia
"Charles_Spencer,_3rd_Earl_of_Sunderland","William_Legge,_1st_Earl_of_Dartmouth"
Aleksandra_Lubomirska,Stanisław_Lubomirski_(1722–1782)
Charles_the_Younger,Louis_the_German
Valdemar_II_of_Denmark,Valdemar_I_of_Denmark
John_O._Bennett,Donald_DiFrancesco
Li_Xiannian,Liu_Shaoqi
Józefina_Maria_Czartoryska,Dorota_Barbara_Jabłonowska
Otto_von_Bismarck,"William_I,_German_Emperor"
Aleksander_Antoni_Sapieha,Józef_Sapieha
Alistair_Fraser,Duncan_Cameron_Fraser
James_Rollins,C._S._Lewis
"Gustav,_Landgrave_of_Hesse-Homburg","Frederick_V,_Landgrave_of_Hesse-Homburg"
Douglas_MacArthur_II,John_F._Kennedy
Nitin_Gadkari,Narendra_Modi
Steele_Hall,Don_Dunstan
"Charles_III,_Prince_of_Monaco","Florestan_I,_Prince_of_Monaco"
Calvin_Coolidge,Herbert_Hoover
Marty_Paich,Frank_Sinatra
Jackie_Corkhill,Sue_Jenkins
Kang_Sok-ju,Kim_Jong-un
Sigismund_II_Augustus,Henry_III_of_France
John_Wayne,Patrick_Wayne
Georgy_Malenkov,Joseph_Stalin
Peter_III_of_Aragon,James_I_of_Aragon
"Philip_William,_Elector_Palatine",Count_Palatine_Francis_Louis_of_Neuburg
"Wittekind,_Prince_of_Waldeck_and_Pyrmont","Josias,_Hereditary_Prince_of_Waldeck_and_Pyrmont"
Oscar_Torp,Haakon_VII_of_Norway
