Brian_Boru,Gormflaith_ingen_Murchada
Eyre_Hutson,George_V
Harry_Blackmun,Dwight_D._Eisenhower
Leopold_III_of_Belgium,Princess_Joséphine_Charlotte_of_Belgium
"Thomas_de_Mowbray,_1st_Duke_of_Norfolk","John_de_Mowbray,_2nd_Duke_of_Norfolk"
Charles_C._Gossett,Chase_A._Clark
"Robert_Willoughby,_6th_Baron_Willoughby_de_Eresby","Joan_Willoughby,_7th_Baroness_Willoughby_de_Eresby"
Rita_of_Armenia,Irene_of_Montferrat
Joseph_Bradley_Varnum,Henry_Clay
Hiram_Bingham_II,Hiram_Bingham_III
Abbas_I_of_Egypt,Sa'id_of_Egypt
Prince_Arthur_of_Connaught__Prince_Arthur_of_Connaught__1,George_V
Mohammed_V_of_Morocco,Lalla_Fatima_Zohra
Michael_Krešimir_II_of_Croatia,Miroslav_of_Croatia
D._Alan_Stevenson,David_Stevenson_(engineer)
Lokesh,Srujan_Lokesh
Francisco_de_Toledo,Philip_II_of_Spain
Lord_Charles_Somerset,George_III_of_the_United_Kingdom
"John_A._Burroughs,_Jr.",Ronald_Reagan
Sancho_I_of_León,Ordoño_III_of_León
"Edward_Wood,_1st_Earl_of_Halifax",George_VI
Haile_Selassie,Princess_Tsehai
G._E._Smith,David_Bowie
Empress_Lü_Zhi,Emperor_Hui_of_Han
Şemsettin_Günaltay,Adnan_Menderes
Robert_Sadington,"Henry,_3rd_Earl_of_Lancaster"
"Charles_Theodore,_Elector_of_Bavaria",Maximilian_I_Joseph_of_Bavaria
Mindon_Min,Pagan_Min
"Matthias,_Holy_Roman_Emperor","Ferdinand_II,_Holy_Roman_Emperor"
"Geoffrey_Plantagenet,_Count_of_Anjou",Henry_II_of_England
Girvan_Yuddha_Bikram_Shah,Rajendra_of_Nepal
"Edward_Smith-Stanley,_14th_Earl_of_Derby",Queen_Victoria
Elizabeth_Mortimer,"Henry_Percy,_2nd_Earl_of_Northumberland"
Samuel_Curtis_Johnson_Jr.,Herbert_Fisk_Johnson_III
Donald_Nixon,David_Eisenhower
Princess_Maria_Elisabeth_of_Bavaria,"Eleanora,_Princess_of_Ligne"
Baby_Jane_Hudson,Bette_Davis
Grand_Duchess_Anna_Petrovna_of_Russia,"Charles_Frederick,_Duke_of_Holstein-Gottorp"
Helen_of_Znojmo,Casimir_II_the_Just
A._R._Colquhoun,Queen_Victoria
"John_West,_1st_Earl_De_La_Warr",George_II_of_Great_Britain
Eleanor_of_Aquitaine,Henry_II_of_England
Alfonso_XI_of_Castile,Peter_of_Castile
Vic_Schoen,Bing_Crosby
Elisabeth_of_Lorraine,Renata_of_Lorraine
Mohammed_Ben_Aarafa,Mohammed_V_of_Morocco
Jacquetta_of_Luxembourg,Mary_Woodville
Charlotte_of_Bourbon,Countess_Elisabeth_of_Nassau
Stanisław_Lubomirski_(1704–1793),Józef_Aleksander_Lubomirski
Miriam_Marx,Arthur_Marx
Sneferu,Meritites_I
"Prince_Lorenz_of_Belgium,_Archduke_of_Austria-Este","Princess_Astrid_of_Belgium,_Archduchess_of_Austria-Este"
"Otto_I,_Count_of_Savoy",Bertha_of_Savoy
John_Seward_Johnson_I,John_Seward_Johnson_II
Elisabeth_Christine_of_Brunswick-Wolfenbüttel,Maria_Amalia_of_Saxony
Soleil_Moon_Frye,Sean_Frye
Crispin_Tickell,Elizabeth_II
Mike_Leavitt,George_W._Bush
Ibrahim_Lodi,Babur
"Isabella,_Princess_of_Asturias_(1851–1931)","Prince_Emanuele_Filiberto,_Duke_of_Aosta"
Duke_Huan_of_Qi,Duke_Zhao_of_Qi
"Robert_Gavron,_Baron_Gavron",Nicky_Gavron
Edward_I_of_England,Eleanor_of_Castile
Suleiman_the_Magnificent,Selim_II
Vijay_R._Singh,Elizabeth_II
Chen_Sanli,Chen_Shizeng
José_María_Cabral_Bermúdez,Manuel_Díez_Cabral
Gasim_Mirza,Kavus_Mirza
Myles_Frechette,Ronald_Reagan
Muhammad_Hassan_(Brunei),Abdul_Jalilul_Akbar
Leopold_II_of_Belgium,Marie_Henriette_of_Austria
Patrick_Stirling,Archibald_Sturrock
"Prince_George,_Duke_of_Kent",Prince_Michael_of_Kent
William_Annand,Queen_Victoria
Hedvig_Elisabeth_Charlotte_of_Holstein-Gottorp,Désirée_Clary
Jean-Claude_Rivest,Brian_Mulroney
Demetrius_the_Fair,Ptolemy_VIII_Physcon
Vasily_II_of_Moscow,Andrey_Bolshoy
"George_Spencer,_4th_Duke_of_Marlborough",George_III_of_the_United_Kingdom
Princess_Maria_Immaculata_of_Bourbon-Two_Sicilies_(1844–1899),Archduke_Karl_Salvator_of_Austria
"Frederick,_Prince_of_Wales",George_III_of_the_United_Kingdom
Elisabeth_of_Anhalt-Zerbst,"John_George,_Elector_of_Brandenburg"
Ratna_Pathak,Naseeruddin_Shah
Nitin_kumar_gupta,Hariharan_(singer)
"Brownlow_Cecil,_2nd_Marquess_of_Exeter","James_Hamilton,_1st_Duke_of_Abercorn"
Frederick_III_of_Denmark,Franz_Wilhelm_von_Wartenberg
Charlotte_of_Mecklenburg-Strelitz,"Prince_Adolphus,_Duke_of_Cambridge"
Sidney_Holland,Elizabeth_II
Tarabya_II_of_Sagaing,Nanda_Pakyan
Ahmad_Shah_of_Pahang,Tengku_Afzan
Mehmet_Müezzinoğlu,Recep_Tayyip_Erdoğan
Rupert_Murdoch,Elizabeth_Jagger
Archduke_Karl_Ludwig_of_Austria,Archduke_Franz_Ferdinand_of_Austria
"Leopold_II,_Grand_Duke_of_Tuscany",Princess_Maria_Antonia_of_the_Two_Sicilies
Kham_Tam_Sa,Lusai
Meryatum_II,Ramesses_III
Ludmila_(wife_of_Mieszko_I_Tanglefoot),Mieszko_I_Tanglefoot
"Blanche_of_Navarre,_Duchess_of_Brittany","Alix_of_Brittany,_Dame_de_Pontarcy"
Terence_Blanchard,Bill_Lee_(musician)
Maria_Theresa_of_Austria_(1816–1867),"Prince_Louis,_Count_of_Trani"
María_de_Molina,Sancho_IV_of_Castile
Pierre_Roose,Philip_IV_of_Spain
Cankili_I,Puviraja_Pandaram
"Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",Edward_VII
Mack_Gordon,Nat_King_Cole
Peter_von_Biron,Dorothea_von_Medem
Soldier_with_the_Green_Whiskers,L._Frank_Baum
Consort_Wu,Emperor_Xuanzong_of_Tang
Miklós_Istvánffy,Imre_Czobor
Djedefhor,Sneferu
John_VII_Palaiologos,Keratsa_of_Bulgaria
Minnie_Marx,Sam_Marx
Welbore_Ellis_Doyle,George_III_of_the_United_Kingdom
Samuel_Laing_(science_writer),"William_Keppel,_7th_Earl_of_Albemarle"
"Louis,_Duke_of_Vendôme","Louis_Joseph,_Duke_of_Vendôme"
"Thomas_Howard,_1st_Earl_of_Berkshire",Francis_Popham_(1573–1644)
David_Theophilus_Stafford,Charlton_Lyons
Maxentius,Valerius_Romulus
Boun_Oum,Sisavang_Vong
Tashfin_ibn_Ali,Ibrahim_ibn_Tashfin
Geoffrey_Pole,Arthur_Pole_(1531–1570)
Colin_Powell,George_H._W._Bush
Louis_VII_of_France,Eleanor_of_Aquitaine
Margaret_Leijonhufvud,Gustav_I_of_Sweden
Boki_(Hawaiian_chief),Kuini_Liliha
George_II_of_Great_Britain,Princess_Amelia_of_Great_Britain
Michael_Chaney,Fred_Chaney
"Charles_Louis,_Hereditary_Prince_of_Baden",Frederica_of_Baden
Imru_Haile_Selassie,Haile_Selassie
"George_Hamilton-Gordon,_6th_Earl_of_Aberdeen","John_Hamilton-Gordon,_1st_Marquess_of_Aberdeen_and_Temair"
Fabrizio_Sotti,Whitney_Houston
Princess_Sibylla_of_Saxe-Coburg_and_Gotha,Princess_Birgitta_of_Sweden
Nicholas_II_of_Russia,Grand_Duchess_Anastasia_Nikolaevna_of_Russia
Erik_Nielsen,Brian_Mulroney
Ana_María_de_Huarte_y_Muñiz,Agustín_de_Iturbide
Sri_Suriyendra,Mongkut
Ebrahim_Hakimi,Mohammad_Reza_Pahlavi
Luchino_Visconti_(died_1349),Azzone_Visconti
Ida_Lupino,Collier_Young
Vasili_IV_of_Russia,Robert_Nisbet_Bain
Leonidas_I,Pleistarchus
Lord_Charles_Spencer,George_III_of_the_United_Kingdom
Princess_Luise_of_Anhalt-Bernburg,Prince_George_of_Prussia
Afonso_V_of_Portugal,John_II_of_Portugal
Archduke_Ferdinand_Karl_Viktor_of_Austria-Este,Archduchess_Elisabeth_Franziska_of_Austria
"George,_Duke_of_Bavaria","Albert_IV,_Duke_of_Bavaria"
Muncimir_of_Croatia,Branimir_of_Croatia
Infanta_Catherine_Michelle_of_Spain,"Victor_Amadeus_I,_Duke_of_Savoy"
Raúl_Araiza,Armando_Araiza
"Thomas_FitzAlan,_17th_Earl_of_Arundel","William_FitzAlan,_18th_Earl_of_Arundel"
Francisco_de_Tello_de_Guzmán,Philip_III_of_Spain
Edgar_Tekere,Robert_Mugabe
Margherita_of_Savoy,Victor_Emmanuel_III_of_Italy
Blanche_of_Anjou,Alfonso_IV_of_Aragon
Jonathan_Adelstein,George_W._Bush
Princess_Elisabeth_of_Thurn_and_Taxis,"Miguel,_Duke_of_Braganza"
Gertrude_of_Brunswick,"Henry,_Margrave_of_Frisia"
King_Xiaowen_of_Qin,King_Zhuangxiang_of_Qin
Princess_Alice_of_Parma_(1849–1935),Archduke_Peter_Ferdinand_of_Austria
Ella_Pamfilova,Vladimir_Putin
Princess_Franziska_of_Hohenlohe-Waldenburg-Schillingsfürst,Archduke_Maximilian_Eugen_of_Austria
"Philip_Herbert,_4th_Earl_of_Pembroke",James_Herbert_(died_1677)
"Karl_Frederick,_Prince_of_Anhalt-Bernburg","Victor_Frederick,_Prince_of_Anhalt-Bernburg"
Prince_Gabriel_of_Belgium,Prince_Emmanuel_of_Belgium
Joseph_Grew,Woodrow_Wilson
Rupert_Murdoch,Patrick_John_Murdoch
"John_Frederick_II,_Duke_of_Saxony",Countess_Palatine_Elisabeth_of_Simmern-Sponheim
Princess_Muna_al-Hussein,Abdullah_II_of_Jordan
Vasak_of_Syunik,Yazdegerd_II
Harold_Wilson,Elizabeth_II
Ferdinand_IV_of_Castile,Alfonso_XI_of_Castile
Sandalj_Hranić,Stjepan_Vukčić_Kosača
Caterina_Sforza,Girolamo_Riario
Henry_Jarvis_Raymond,Henry_R._Selden
Fleetwood_Edwards,Queen_Victoria
"Gisela,_Margravine_of_Meissen","Alexander,_Margrave_of_Meissen"
Titiek_Suharto,Prabowo_Subianto_Djojohadikusumo
"Magnus,_Duke_of_Holstein",Maria_Vladimirovna_of_Staritsa
Zhu_Youlang,Kangxi_Emperor
Sabina_of_Brandenburg-Ansbach,"John_George,_Elector_of_Brandenburg"
Alice_M._Batchelder,Ronald_Reagan
Edward_I_of_England,Eleanor_of_Castile
Maria_II_of_Portugal,"Infante_João,_Duke_of_Beja"
Marquis_Cheng_of_Jin,Marquis_Li_of_Jin
Claude_de_la_Sengle,Philip_II_of_Spain
Andrew_Archibald_Macdonald,Queen_Victoria
Adam,Cain_and_Abel
"Pierre_de_Rigaud,_Marquis_de_Vaudreuil-Cavagnial",Louis_XV_of_France
Emil_Richards,Frank_Sinatra
Mouzinho_da_Silveira,Maria_II_of_Portugal
Rogneda_of_Polotsk,Vladimir_the_Great
Maxwell_D._Taylor,Dwight_D._Eisenhower
Piet_de_Jong,Juliana_of_the_Netherlands
Gustav_IV_Adolf_of_Sweden,Frederica_of_Baden
"Frederick_I,_Holy_Roman_Emperor","Beatrice_I,_Countess_of_Burgundy"
Pierre_Dupong,"Charlotte,_Grand_Duchess_of_Luxembourg"
"Louis,_Prince_of_Condé_(1668–1710)","Louis_Henri,_Duke_of_Bourbon"
Menen_Asfaw,Prince_Makonnen
Meghan_O'Sullivan,George_W._Bush
"Bernard_II,_Duke_of_Saxe-Lauenburg",Sophie_of_Saxe-Lauenburg
Anna_of_Brandenburg,Frederick_I_of_Denmark
Milton_Allen,Elizabeth_II
Nassir_Abdulaziz_Al-Nasser,Hamad_bin_Khalifa_Al_Thani
John_Corvinus,Beatrice_de_Frangepan
Christopher_Geidt,Elizabeth_II
Dhruva_Dharavarsha,Govinda_III
Prince_Francis_Joseph_of_Battenberg,Princess_Anna_of_Montenegro
Princess_Mathilde_Sophie_of_Oettingen-Oettingen_and_Oettingen-Spielberg,Archduchess_Margarethe_Klementine_of_Austria
Morihiro_Hosokawa,Akihito
Randy_Crane,George_W._Bush
Isabel_of_Barcelos,"John,_Constable_of_Portugal"
"Henri,_Count_of_Brionne","Louis,_Prince_of_Lambesc"
"Maud_de_Badlesmere,_Countess_of_Oxford","Thomas_de_Vere,_8th_Earl_of_Oxford"
Hu_Weiyong,Xu_Da
Herménégilde_Chiasson,Elizabeth_II
Stephen_III_of_Hungary,Béla_III_of_Hungary
Kayima_of_Buganda,Nakibinge_of_Buganda
"Margaret_of_France,_Queen_of_England_and_Hungary",Eleanor_of_Aquitaine
Alexander_III_of_Russia,Maria_Feodorovna_(Dagmar_of_Denmark)
William_Lyon_Mackenzie_King,George_V
Herbert_Stanley,George_V
"Prince_Carl,_Duke_of_Västergötland",Princess_Ingeborg_of_Denmark
Otto_of_Bavaria,Ludwig_III_of_Bavaria
"Wilhelmine_of_Prussia,_Queen_of_the_Netherlands",Prince_Frederick_of_the_Netherlands
Maria_Anna_of_Bavaria_(1574–1616),"Ferdinand_II,_Holy_Roman_Emperor"
Ba_Saw_Phyu,Min_Dawlya
Margaret_Theresa_of_Spain,"Leopold_I,_Holy_Roman_Emperor"
"Constance,_Queen_of_Sicily","Beatrice_I,_Countess_of_Burgundy"
Akbar,Jahangir
Benjamin_Sheares,Lee_Kuan_Yew
Anthony_Mamo,Elizabeth_II
"Ferdinando_I_de'_Medici,_Grand_Duke_of_Tuscany",Claudia_de'_Medici
Fern_Britton,John_Leslie_(TV_presenter)
Mary_of_Modena,James_II_of_England
Stacy_Lattisaw,Whitney_Houston
William_II_of_Dampierre,"Margaret_II,_Countess_of_Flanders"
Robert_M._Kimmitt,George_W._Bush
Mary_Landrieu,John_Kerry
William_Annand,Queen_Victoria
Jeffrey_Nape,Elizabeth_II
Al-Mutawakkil_I,Al-Qa'im_(Cairo)
"Gustav,_Landgrave_of_Hesse-Homburg","Philip,_Landgrave_of_Hesse-Homburg"
"Louis_I,_Duke_of_Anjou","Marie_of_Blois,_Duchess_of_Anjou"
Tiye,Iset_(daughter_of_Amenhotep_III)
Peter_Phillips,"Prince_Philip,_Duke_of_Edinburgh"
"Stephen_I,_Count_of_Burgundy","Reginald_II,_Count_of_Burgundy"
Pierre_Werner,"Charlotte,_Grand_Duchess_of_Luxembourg"
Conrad_III_of_Germany,"Henry_V,_Holy_Roman_Emperor"
Sri_Vikrama_Rajasinha_of_Kandy,George_III_of_the_United_Kingdom
"Charles_Gravier,_comte_de_Vergennes",Louis_XV_of_France
"Harriet_Leveson-Gower,_Countess_Granville",Frederick_Leveson-Gower_(Bodmin)
Malcolm_Fraser,Gough_Whitlam
Baha_al-Din_Sam_I,Ala_al-Din_Husayn
Lucie_Arnaz,Fred_Ball
Malik-Shah_I,Gawhar_Khatun
List_of_Coronation_Street_characters_(1960),Antony_Booth
Queen_Munjeong,Queen_Janggyeong
"Charles_Abbot,_1st_Baron_Colchester",George_III_of_the_United_Kingdom
Swa_Saw_Ke,Thilawa_of_Yamethin
Mildred_Bailey,Bing_Crosby
Japheth,Magog_(Bible)
Ahmed_II,Mustafa_II
Gertrude_of_Brunswick,Richenza_of_Northeim
Robert_B._Van_Valkenburgh,Alexander_S._Diven
"George_Brooke,_9th_Baron_Cobham",Henry_Cobham_(diplomat)
Julie_Nixon_Eisenhower,David_Eisenhower
Archduchess_Margarete_Sophie_of_Austria,"Philipp_Albrecht,_Duke_of_Württemberg"
Maria_Miloslavskaya,Alexis_of_Russia
Astrid_Olofsdotter_of_Sweden,Emma_of_Normandy
Lambert_Simnel,Henry_VII_of_England
Paris_Hilton,Kyle_Richards
Alexander_Rutskoy,Vladimir_Putin
"Charles_II,_Duke_of_Parma","Charles_III,_Duke_of_Parma"
"Robert_I,_Duke_of_Parma",Prince_Sixtus_of_Bourbon-Parma
"Francis,_Duke_of_Teck",Princess_Mary_Adelaide_of_Cambridge
Princess_Maria_Carolina_of_Savoy,Anthony_of_Saxony
She_(Qi),Duke_Yì_of_Qi
Béla_IV_of_Hungary,Stephen_V_of_Hungary
Abu_Talib_ibn_Abd_al-Muttalib,Ja'far_ibn_Abi_Talib
"Albert_Spencer,_7th_Earl_Spencer","Diana,_Princess_of_Wales"
"Francisco_José_de_Ovando,_1st_Marquis_of_Brindisi",Philip_V_of_Spain
Elisabeth_Eleonore_of_Brunswick-Wolfenbüttel,"Bernhard_I,_Duke_of_Saxe-Meiningen"
Khosrow_the_Usurper,Shapur_IV
Sri_Wikrama_Wira,Sri_Rana_Wikrama
A._Vernon_Weaver,Jimmy_Carter
"Henry_Borwin_II,_Lord_of_Mecklenburg","John_I,_Lord_of_Mecklenburg"
Frank_Mankiewicz,Lee_Frischknecht
Abdul_Elah_bin_Abdulaziz_Al_Saud,Ibn_Saud
Louise_of_Hesse-Kassel,Frederick_VIII_of_Denmark
Omar_bin_Laden,Abdallah_bin_Laden
"Joan_of_Valois,_Countess_of_Hainaut",Philippa_of_Hainault
Han_Geng,Jackie_Chan
Baderon_of_Monmouth,John_of_Monmouth
"Prince_Alfonso,_Count_of_Caserta","Prince_Ferdinand_Pius,_Duke_of_Calabria"
Arthur_Llewelyn_Davies,Sylvia_Llewelyn_Davies
Emund_the_Old,Stenkil
Philip_V_of_France,"Margaret_I,_Countess_of_Burgundy"
"Donnchadh,_Earl_of_Carrick","Niall,_Earl_of_Carrick"
Majid_bin_Abdulaziz_Al_Saud,Ibn_Saud
Wolf_Frankenstein,Mary_Shelley
"William_IV,_Landgrave_of_Hesse-Kassel","Maurice,_Landgrave_of_Hesse-Kassel"
"Joseph_Johann_Adam,_Prince_of_Liechtenstein","Joseph_Wenzel_I,_Prince_of_Liechtenstein"
Emperor_Yingzong_of_Song,Emperor_Shenzong_of_Song
"Thomas_Grey,_1st_Marquess_of_Dorset",Eleanor_Grey
Adam_Mikołaj_Sieniawski,Elżbieta_Sieniawska
William_Mulock,"Vere_Ponsonby,_9th_Earl_of_Bessborough"
Donald_M._Dickinson,Grover_Cleveland
Norah_Al_Faiz,Abdullah_of_Saudi_Arabia
"Lawrence_Dundas,_2nd_Marquess_of_Zetland",George_V
Ronald_Reagan,George_H._W._Bush
Louis_Bonaparte,Hortense_de_Beauharnais
Prince_William_of_Schaumburg-Lippe,Princess_Bathildis_of_Schaumburg-Lippe
Henry_Benedict_Stuart,Flavio_Chigi_(1711–1771)
John_Parke_Custis,George_Washington_Parke_Custis
"Bernhard_III,_Duke_of_Saxe-Meiningen","Ernst,_Prince_of_Saxe-Meiningen"
"Robert_Duff_(politician,_born_1835)",Queen_Victoria
Bertha_of_Holland,Bertrade_de_Montfort
Barney_(dog),George_W._Bush
Lucius_Junius_Polk,Leonidas_Polk
John_Pym,"William_Russell,_1st_Duke_of_Bedford"
"John_Balfour,_1st_Baron_Kinross",Queen_Victoria
"Albert_II,_Count_of_Namur","Gothelo_I,_Duke_of_Lorraine"
"Sir_George_Clerk,_6th_Baronet","Thomas_Fremantle,_1st_Baron_Cottesloe"
Margaret_I_of_Denmark,Haakon_VI_of_Norway
Al-Mu'tadid_I,Al-Mutawakkil_I
King_Nan_of_Zhou,Qin_Shi_Huang
Ernst_G._Straus,Albert_Einstein
"Alfred_Milner,_1st_Viscount_Milner",George_V
"Jules,_Prince_of_Soubise",Marie_Louise_de_Rohan
Gertrude_of_Poland,Iziaslav_I_of_Kiev
"Louis,_Count_of_Évreux",Margaret_of_Artois
Cristóbal_Vaca_de_Castro,"Charles_V,_Holy_Roman_Emperor"
Jazmin_Grace_Grimaldi,Charlotte_Casiraghi
Mithridates_II_of_Commagene,Laodice_(wife_of_Mithridates_II_of_Commagene)
Princess_Margaret_of_Connaught,Gustaf_VI_Adolf_of_Sweden
Mongkut,Chulalongkorn
"Richard_of_York,_3rd_Duke_of_York","Anne_of_York,_Duchess_of_Exeter"
Marcia_Morales_Howard,George_W._Bush
"Adolf_Frederick,_King_of_Sweden",Gustav_III_of_Sweden
Sonthi_Boonyaratglin,Bhumibol_Adulyadej
Alexandra_Feodorovna_(Charlotte_of_Prussia),Nicholas_I_of_Russia
Ali_Ri'ayat_Syah_III,Iskandar_Muda
Celia_Walden,Piers_Morgan
Christiane_Eberhardine_of_Brandenburg-Bayreuth,Augustus_III_of_Poland
Queen_Silvia_of_Sweden,"Victoria,_Crown_Princess_of_Sweden"
Duke_Mu_of_Chen,Duke_Gong_of_Chen
Eleanor_of_Sicily,Sibila_of_Fortia
Catherine_of_Vendôme,"Louis,_Count_of_Vendôme"
Louise_of_Hesse-Kassel,Alexandra_of_Denmark
Maxentius,Valeria_Maximilla
"Frederick_William,_Elector_of_Brandenburg",Margravine_Elisabeth_Sophie_of_Brandenburg_(1674–1748)
"Manfred,_King_of_Sicily",Charles_I_of_Naples
"Cecily_Bonville,_7th_Baroness_Harington","Leonard_Grey,_1st_Viscount_Grane"
Ingeborg_of_Sweden_(1263–1292),"Gerhard_II,_Count_of_Holstein-Plön"
Filippa_Duci,Henry_II_of_France
Constantin_C._Arion,Constantin_Coandă
Alfred_Gilpin_Jones,Queen_Victoria
Vlad_VI_Înecatul,Vlad_Vintilă_de_la_Slatina
Princess_Marie_Anne_of_Saxe-Altenburg,Prince_Friedrich_Christian_of_Schaumburg-Lippe
Viridis_Visconti,"Leopold_IV,_Duke_of_Austria"
Marie_of_Brandenburg-Kulmbach,"Frederick_III,_Elector_Palatine"
Elizabeth_Woodville,Edward_IV_of_England
"Louis_Henri,_Duke_of_Bourbon","Philippe_II,_Duke_of_Orléans"
Prince_Ernest_Augustus_of_Hanover_(1914–1987),"Alexandra,_Princess_of_Leiningen"
Edna_Moyle,Elizabeth_II
Gummo_Marx,Harpo_Marx
Jabal_(Bible),Jubal_(Bible)
Shigeru_Yoshida,Hirohito
Maria_Sophie_of_Bavaria,Princess_Cristina_of_Bourbon-Two_Sicilies
Benjamin_Harrison,Grover_Cleveland
Bermudo_II_of_León,Alfonso_V_of_León
Bohemond_IV_of_Antioch,Melisende_of_Lusignan
"Augustus_Keppel,_1st_Viscount_Keppel","George_Spencer,_2nd_Earl_Spencer"
"Alfonso_I_d'Este,_Duke_of_Ferrara",Lucrezia_Borgia
Isetnofret_II,Seti_II
Stephen_III_of_Hungary,Agnes_of_Austria_(1154–1182)
"Adolf,_Duke_of_Guelders",Mary_of_Burgundy
"Louis_Ferdinand,_Prince_of_Prussia",Grand_Duchess_Kira_Kirillovna_of_Russia
Iwikauikaua,Keakealaniwahine
Princess_Maria_de_los_Dolores_of_Bourbon-Two_Sicilies,Adam_Karol_Czartoryski
Betty_E._King,Bill_Clinton
"Fumihito,_Prince_Akishino","Kiko,_Princess_Akishino"
Dési_von_Halban,Jacques_Goudstikker
Huitzilihuitl,Chimalpopoca
"Sir_William_Goring,_1st_Baronet",Alexander_Temple
Bahlul_of_Shirvan,Tahmuras_of_Shirvan
Abdur_Rab_Nishtar,George_VI
Kshetra_Singh,Lakha_Singh
Eric_Bloodaxe,Amlaíb_Cuarán
"Francis_Hastings,_10th_Earl_of_Huntingdon","Granville_Leveson-Gower,_1st_Marquess_of_Stafford"
Henry_IV_of_Castile,Isabella_I_of_Castile
"Elizabeth_Rawdon,_Countess_of_Moira","Francis_Rawdon-Hastings,_1st_Marquess_of_Hastings"
Margaret_Leighton,Laurence_Harvey
Dj_Iroc,The_Notorious_B.I.G.
Nicholas_Lloyd,Eve_Pollard
K-Ci_(singer),Will_Smith
Marie_of_Saxe-Altenburg,Frederica_of_Mecklenburg-Strelitz
Leopold_Hasner_von_Artha,Franz_Joseph_I_of_Austria
"Victor_I,_Prince_of_Anhalt-Bernburg-Schaumburg-Hoym",Prince_Franz_Adolph_of_Anhalt-Bernburg-Schaumburg-Hoym
Lamar_Alexander,George_H._W._Bush
Duke_William_of_Mecklenburg-Schwerin,"Frederick_Francis_III,_Grand_Duke_of_Mecklenburg-Schwerin"
Dmitry_Medvedev,Vladimir_Putin
"Alfred,_Duke_of_Saxe-Coburg_and_Gotha",Marie_of_Romania
Christian_VII_of_Denmark,Frederick_VI_of_Denmark
