Mahmud_I,Saliha_Sultan
Sam_Chan,Shek_Sau
Bolesław_II_of_Masovia,Siemowit_I_of_Masovia
Thado_Minsaw_of_Ava,Shin_Myo_Myat
Beatrice_Bhadrayuvadi,Chulalongkorn
Caterina_Guzzanti,Paolo_Guzzanti
"Ernest_Frederick,_Duke_of_Saxe-Coburg-Saalfeld","Francis_Josias,_Duke_of_Saxe-Coburg-Saalfeld"
Robert_Stephenson,George_Stephenson
Henry_Harris_Lines,Samuel_Lines
"Frederick_I,_Holy_Roman_Emperor","Frederick_II,_Duke_of_Swabia"
Peter_D._Martin,Carlo_Tresca
"Xie,_Marquis_of_Jin",Shu_Yu_of_Tang
"Elizabeth_Stuart,_Queen_of_Bohemia",Anne_of_Denmark
Samuel_Wagan_Watson,Sam_Watson_(activist)
"Georg_Albrecht,_Margrave_of_Brandenburg-Bayreuth-Kulmbach","Marie_of_Prussia,_Margravine_of_Brandenburg-Bayreuth"
Lakhpatji,Deshalji_I
Qin_Shi_Huang,Queen_Dowager_Zhao
Lily_McMenamy,Kristen_McMenamy
"Gottfried,_Prince_of_Hohenlohe-Langenburg",Princess_Alexandra_of_Saxe-Coburg_and_Gotha
Melinda_Marx,Groucho_Marx
Aonghus_Mór,Domhnall_mac_Raghnaill
Amy_Ziering,Sigi_Ziering
Dorothea_Wilhelmine_of_Saxe-Zeitz,Marie_Amalie_of_Brandenburg
Hong_Seok-hyun,Hong_Jin-ki
Princess_Sharada_Shah_of_Nepal,"Indra,_Crown_Princess_of_Nepal"
Riya_Sen,Moon_Moon_Sen
Helena_Palaiologina_(daughter_of_Demetrios_Palaiologos),Demetrios_Palaiologos
Andrea_Koppel,Ted_Koppel
Katarzyna_Karolina_Radziwiłł,Michał_Kazimierz_%22Rybeńko%22_Radziwiłł
"Gerhard_VI_of_Jülich,_Count_of_Berg_and_Ravensberg",Joanna_of_Hainaut
Archduchess_Ludovika_Elisabeth_of_Austria,"Francis_II,_Holy_Roman_Emperor"
Angada,Vali_(Ramayana)
Shensheng,Duke_Xian_of_Jin
"Dirk_III,_Count_of_Holland","Arnulf,_Count_of_Holland"
Merrimon_Cuninggim,Jesse_Lee_Cuninggim
Minoo_Mumtaz,Mumtaz_Ali
Kate_O'Toole_(actress),Siân_Phillips
Spike_Lee,Bill_Lee_(musician)
Joanna_Sophia_of_Bavaria,Margaret_of_Brieg
Michael_Reagan,Ronald_Reagan
Pedro_V_of_Portugal,Ferdinand_II_of_Portugal
"Francis_I,_Holy_Roman_Emperor",Élisabeth_Charlotte_d'Orléans
Robby_Enthoven,Dick_Enthoven
Kunala,Rani_Padmavati
"John_Neville,_1st_Marquess_of_Montagu","Richard_Neville,_5th_Earl_of_Salisbury"
Matthew_Shepard,Dennis_Shepard
Infanta_Maria_Francisca_of_Portugal_(b._1997),"Isabel,_Duchess_of_Braganza"
Brownlow_North,"Francis_North,_1st_Earl_of_Guilford"
"Alfonso_II_d'Este,_Duke_of_Ferrara",Renée_of_France
"Ralph_de_Stafford,_1st_Earl_of_Stafford","Edmund_de_Stafford,_1st_Baron_Stafford"
Melanie_Griffith,Tippi_Hedren
Frederick_of_Denmark_(bishop),Sophie_of_Pomerania
William_Rice_(Methodist_minister),William_Rice_(1788)
Thomas_Petrie,Andrew_Petrie
"William_Zeckendorf,_Jr.",William_Zeckendorf
Maurice_Garland_Fulton,Robert_Burwell_Fulton
Gabrielle_d'Estrées,Antoine_d'Estrées
Şehzade_Korkut,Nigar_Hatun
"William_Howard,_1st_Viscount_Stafford","Alethea_Howard,_Countess_of_Arundel"
"Catherine,_Duchess_of_Cambridge",Carole_Middleton
Osred_I_of_Northumbria,Aldfrith_of_Northumbria
Władysław_Leon_Sapieha,Adam_Stanisław_Sapieha
Michael_Grade,Leslie_Grade
Spencer_Luckey,Tom_Luckey
Toljen_of_Hum,Ban_Kulin
Kate_Fischer,Pru_Goward
Princess_Pauline_of_Württemberg_(1810–1856),Princess_Charlotte_of_Saxe-Hildburghausen
Catherine_of_Bosnia,Jelena_Balšić
"Ernest_II,_Duke_of_Saxe-Gotha-Altenburg","Frederick_III,_Duke_of_Saxe-Gotha-Altenburg"
Antiochus_V_Eupator,Antiochus_IV_Epiphanes
Adam_Jerzy_Czartoryski__PrinceAdam_Jerzy_Czartoryski__1,Adam_Kazimierz_Czartoryski
Frithuwald_of_Bernicia,Ida_of_Bernicia
Cole_Younger,Bersheba_Leighton_Fristoe
Thomas_Lincoln,Abraham_Lincoln_(captain)
Duke_Huai_of_Jin,Duke_Hui_of_Jin
John_Cadbury,Richard_Tapper_Cadbury
"John_II,_Duke_of_Opava","Wenceslaus_II,_Duke_of_Opava"
Infanta_Maria_Ana_Vitória_of_Portugal,Maria_I_of_Portugal
Queen_Elizabeth_The_Queen_Mother,"Cecilia_Bowes-Lyon,_Countess_of_Strathmore_and_Kinghorne"
Mahaut_of_Albon,Guigues_III_of_Albon
Gustav_IV_Adolf_of_Sweden,Gustav_III_of_Sweden
Jan_Karol_Tarło,Stanisław_Tarło
"Catherine_Woodville,_Duchess_of_Buckingham",Jacquetta_of_Luxembourg
Charles_Wesley,Samuel_Wesley_(poet)
Jadwiga_of_Poland,Elizabeth_of_Bosnia
García_Ramírez_of_Viguera,Ramiro_Garcés_of_Viguera
Brian_Henson,Jim_Henson
"Henry_III,_Landgrave_of_Upper_Hesse","Louis_I,_Landgrave_of_Hesse"
Eric_of_Brandenburg,"John_I,_Margrave_of_Brandenburg"
Catherine_of_Poděbrady,Kunigunde_of_Sternberg
"Henry_III,_Margrave_of_Meissen",Jutta_of_Thuringia
Agnes_of_Limburg-Styrum,Hermann_Georg_of_Limburg
Mariana_of_Austria,"Ferdinand_III,_Holy_Roman_Emperor"
"Frederick_Charles,_Duke_of_Schleswig-Holstein-Sonderburg-Plön",Dorothea_Christina_of_Aichelberg
Jankibai,Prataprao_Gujar
Augustus,Julius_Caesar
Jennifer_Caron_Hall,Peter_Hall_(director)
"Alix,_Dowager_Princess_of_Ligne",Prince_Felix_of_Bourbon-Parma
Tamao_Nakamura,Ganjirō_Nakamura
Emperor_Go-Momozono,Emperor_Momozono
Ali,Abu_Talib_ibn_Abd_al-Muttalib
Tanya_Haden,Charlie_Haden
Mary_Jean_Eisenhower,John_Eisenhower
Lorenza_Agoncillo,Marcela_Agoncillo
Harun_al-Rashid,Al-Mahdi
Hieronim_Chodkiewicz,Aleksander_Chodkiewicz
Matthew_the_Apostle,Alphaeus
Alan_Durward,Thomas_de_Lundin
Laura_Martinozzi,Laura_Margherita_Mazzarini
"Yunzhi,_Prince_Cheng",Kangxi_Emperor
William_fitz_Duncan,Duncan_II_of_Scotland
Pauline_Bonaparte,Carlo_Buonaparte
Mallika_Sarabhai,Vikram_Sarabhai
George_Mason,George_Mason_III
Toby_Jones,Freddie_Jones
Kajol,Tanuja
John_Komnenos_the_Fat,Alexios_Axouch
Brad_Templeton,Sylvia_Murphy
Violant_of_Bar,"Robert,_Duke_of_Bar"
Rustam_Emomali,Emomali_Rahmon
Philippa_de_Neville,Margaret_de_Stafford
Emperor_Shengzong_of_Liao,Emperor_Jingzong_of_Liao
Prince_Georg_of_Hanover,Prince_George_William_of_Hanover_(1915–2006)
Maria_Luisa_of_Spain,Maria_Amalia_of_Saxony
"John,_Count_Palatine_of_Gelnhausen","John_Charles,_Count_Palatine_of_Gelnhausen"
Nicolete_Gray,Laurence_Binyon
Świętosława,Mieszko_I_of_Poland
Zdzisław_Zamoyski,Zofia_Czartoryska
Henry_de_La_Falaise,Georges_de_la_Falaise
Cindy_McCain,Jim_Hensley
Charles_Wertenbaker,Bill_Wertenbaker
"Manfred,_King_of_Sicily",Bianca_Lancia
Sean_Flynn_(photojournalist),Lili_Damita
Princess_Takata,Lady_Ōnu
Aditya_Raj_Kapoor,Geeta_Bali
William_Owen_Bush,George_Washington_Bush
"Charles_III,_Prince_of_Monaco","Florestan_I,_Prince_of_Monaco"
Valentinian_II,Valentinian_I
Margaret_Lee_(lady-in-waiting),Henry_Wyatt_(courtier)
Esther_Dyson,Freeman_Dyson
"William_the_Younger,_Duke_of_Brunswick-Lüneburg","Ernest_I,_Duke_of_Brunswick-Lüneburg"
Caroline_Mays_Brevard,"Theodore_W._Brevard,_Jr."
"Albert_I,_Duke_of_Mecklenburg-Stargard","John_I,_Duke_of_Mecklenburg-Stargard"
"Leopold,_Prince_of_Salerno",Maria_Carolina_of_Austria
Sara_Foster,David_Foster
Lionel_Rogosin,Israel_Rogosin
Jon-Michael_Ecker,Guy_Ecker
Juliette_Rossant,James_Rossant
Duke_Carl_Gregor_of_Mecklenburg,"George,_Duke_of_Mecklenburg"
James_Lipton,Lawrence_Lipton
Michel_Trudeau,Pierre_Trudeau
Countess_Charlotte_of_Hanau-Lichtenberg,Dorothea_Friederike_of_Brandenburg-Ansbach
"Prince_Benedetto,_Duke_of_Chablais",Charles_Emmanuel_III_of_Sardinia
Yaropolk_Izyaslavich,Iziaslav_I_of_Kiev
Joanna_of_Flanders,"Joan,_Countess_of_Rethel"
Duke_Huan_of_Zheng,King_Li_of_Zhou
"Isabel_de_Verdun,_Baroness_Ferrers_of_Groby",Elizabeth_de_Clare
"Katherine_Stanhope,_Countess_of_Chesterfield","Thomas_Wotton,_2nd_Baron_Wotton"
Gleason_Archer_Jr.,Gleason_Archer_Sr.
Adrian_Swire,John_Kidston_Swire
Soong_Ai-ling,Charlie_Soong
Kalasala_Babu,Kalamandalam_Krishnan_Nair
Laura_Flanders,Michael_Flanders
Mary_de_Bohun,"Humphrey_de_Bohun,_7th_Earl_of_Hereford"
Frances_Anne_Edgeworth,Daniel_Augustus_Beaufort
Archduke_Leopold_Salvator_of_Austria,Archduke_Karl_Salvator_of_Austria
Edward_Lewis_Young,Edward_Faitoute_Condict_Young
Maha_Chakkraphat,Ramathibodi_II
Ben_Stein,Herbert_Stein
"Charles,_Prince_of_Viana",Blanche_I_of_Navarre
"James_Hamilton,_2nd_Duke_of_Abercorn","Louisa_Hamilton,_Duchess_of_Abercorn"
Edward_V_of_England,Edward_IV_of_England
Maria_Palaiologina_Kantakouzene,John_Kantakouzenos_(pinkernes)
Kirstine_Fiil,Gudrun_Fiil
Jessica_DiCicco,Bobby_Di_Cicco
Gerloc,Poppa_of_Bayeux
Bryan_Todd_(businessman),Charles_Todd_(industrialist)
Vel_Kelu_Kuttuvan,Nedum_Cheralathan
Djoumbé_Fatima,"Abderremane,_Sultan_of_Mohéli"
"John_I,_Lord_of_Egmond","Walter_II,_Lord_of_Egmond"
August_of_Saxe-Weissenfels_(1650–1674),"Augustus,_Duke_of_Saxe-Weissenfels"
Lady_Augusta_Gordon,William_IV_of_the_United_Kingdom
"Charles_II,_Margrave_of_Baden-Durlach",Ursula_of_Rosenfeld
Tezozomoc_(son_of_Chimalpopoca),Matlalatzin
Frank_Kelly,Charles_E._Kelly_(cartoonist)
Beatrice_Straight,Dorothy_Payne_Whitney
Gigi_Hadid,Yolanda_Hadid
Liutgarde,"Otto_I,_Holy_Roman_Emperor"
Anna_Komnene,Irene_Doukaina
Shweta_Mohan,Sujatha_Mohan
Philip_II_of_Spain,Isabella_of_Portugal
Henry_Miller_Shreve,Israel_Shreve
Ilwad_Elman,Fartuun_Adan
Prince_Victor_of_Hohenlohe-Langenburg,"Ernst_I,_Prince_of_Hohenlohe-Langenburg"
Vimbai_Mutinhiri,Tracy_Mutinhiri
Prince_Adalbert_of_Prussia_(1811–1873),Prince_Wilhelm_of_Prussia_(1783–1851)
John_Doukas_(sebastokrator),Constantine_Angelos
Adelperga,Desiderius
Tengku_Amir_Shah,Sharafuddin_of_Selangor
Elisabeth_Dorothea_of_Saxe-Gotha-Altenburg,Princess_Elisabeth_Sophie_of_Saxe-Altenburg
Elisabeth_de_Bar,Marie_de_Namur
"Infante_Alvaro,_Duke_of_Galliera","Infante_Alfonso,_Duke_of_Galliera"
Li_Tan,Emperor_Suzong_of_Tang
Aza_Raskin,Jef_Raskin
Toda_of_Pamplona,Onneca_Fortúnez
Osman_III,Şehsuvar_Sultan
Franklin_Graham,Ruth_Graham
Philippe_Besnard,Paul-Albert_Besnard
"Heinrich_XXIV,_Count_Reuss_of_Ebersdorf","Heinrich_XXIX,_Count_of_Reuss-Ebersdorf"
Khalilullah_I,Ibrahim_I_of_Shirvan
Catherine_Opalińska,Jan_Karol_Opaliński
Efren_Reyes_Jr.,Efren_Reyes_Sr.
"Günther_XLIII,_Prince_of_Schwarzburg-Sondershausen","Christian_William_I,_Prince_of_Schwarzburg-Sondershausen"
"Afonso,_Duke_of_Porto",Maria_Pia_of_Savoy
"Philipp,_Landgrave_of_Hesse",Prince_Frederick_Charles_of_Hesse
Charles_Eric_Hambro,Everard_Hambro
"Blanche_of_Burgundy,_Countess_of_Savoy","Robert_II,_Duke_of_Burgundy"
Keira_Knightley,Will_Knightley
Musa_ibn_Muhanna,Muhanna_ibn_Isa
Georgia_Moffett,Sandra_Dickinson
Nicolas_Noxon,Betty_Lane
"Richeza_of_Poland,_Queen_of_Sweden",Salomea_of_Berg
"Isabel_of_Cambridge,_Countess_of_Essex",Anne_de_Mortimer
Margaret_of_Brunswick-Lüneburg_(1442–1512),"Frederick_II,_Duke_of_Brunswick-Lüneburg"
Sylvia_Pankhurst,Emmeline_Pankhurst
Eledath_Thaikkattu_Narayanan_Mooss,Eledath_Thaikkattu_Neelakandan_Mooss
Duke_Wilhelm_in_Bavaria,"John,_Count_Palatine_of_Gelnhausen"
"John_Frederick,_Duke_of_Pomerania","Philip_I,_Duke_of_Pomerania"
"Margaret_II,_Countess_of_Flanders",Marie_of_Champagne
Bernhard_von_Spanheim,Agnes_of_Austria_(1154–1182)
Theodora_Kantakouzene_(wife_of_Orhan),John_VI_Kantakouzenos
Athina_Onassis_Roussel,Thierry_Roussel
"Bernhard,_Prince_of_Saxe-Meiningen",Countess_Adelaide_of_Lippe-Biesterfeld
"Louis,_Prince_of_Condé_(1668–1710)",Anne_Henriette_of_Bavaria
Stanisław_Radziwiłł,Mikołaj_%22the_Black%22_Radziwiłł
Mary_Soames,Winston_Churchill
"Albert_IV,_Count_of_Tyrol","Henry_I,_Count_of_Tyrol"
Ahmad_Al_Ghazali,Ahmad_Dhani
Marcel_Theroux,Paul_Theroux
Túpac_Amaru,Manco_Inca_Yupanqui
Maria_II_of_Portugal,Maria_Leopoldina_of_Austria
Tamara_Czartoryska,Nora_Picciotto
Princess_Eleonore_Erdmuthe_of_Saxe-Eisenach,"John_George_I,_Duke_of_Saxe-Eisenach"
Valens,Gratian_the_Elder
İhsan_Sabancı,Hacı_Ömer_Sabancı
"Marie-Adélaïde,_Grand_Duchess_of_Luxembourg",Infanta_Marie_Anne_of_Portugal
Duke_Huan_of_Qi,Duke_Xi_of_Qi
Tlacuilolxochtzin,Matlaccoatzin
Stefan_Uroš_V,Helena_of_Bulgaria
"Richard,_6th_Prince_of_Sayn-Wittgenstein-Berleburg",Margareta_Fouché
Lucy_Davis,Jasper_Carrott
"Infanta_Catherine,_Duchess_of_Villena",Catherine_of_Lancaster
"Rudolf_II,_Duke_of_Austria",Gertrude_of_Hohenburg
Shahid_Kapoor,Pankaj_Kapur
Keaweaweulaokalani,Kamehameha_III
Raúl_Araiza,Raúl_Araiza_(director)
Ha'_K'in_Xook,Itzam_K'an_Ahk_II
"John_V,_Count_of_Armagnac","Isabella_of_Navarre,_Countess_of_Armagnac"
Gerald_Durrell,Louisa_Dixie_Durrell
Valentinian_II,Justina_(empress)
"Sophia_of_Saxe-Weissenfels,_Princess_of_Anhalt-Zerbst",Anna_Maria_of_Mecklenburg-Schwerin
King_Wei_of_Qi,Duke_Huan_of_Tian_Qi
Dubhghall_mac_Ruaidhrí,Ruaidhrí_mac_Raghnaill
Hisham_ibn_Abd_al-Malik,Abd_al-Malik_ibn_Marwan
Alexander_of_Battenberg,Prince_Alexander_of_Hesse_and_by_Rhine_(1823–1888)
Ansel_Elgort,Grethe_Barrett_Holby
Jase_Robertson,Kay_Robertson
Salvador_de_Iturbide_y_Huarte,Ana_María_de_Huarte_y_Muñiz
Jan_Lubomirski,Hieronim_Augustyn_Lubomirski
Gerry_Conlon,Sarah_Conlon
Hirut_Desta,Princess_Tenagnework
Charles_IV_of_Spain,Maria_Amalia_of_Saxony
Hattie_Morahan,Anna_Carteret
Brooks_McCormick,Chauncey_McCormick
Charles_Montague_Cooke,Amos_Starr_Cooke
Countess_Palatine_Eleonora_Catherine_of_Zweibrücken,"John_Casimir,_Count_Palatine_of_Kleeburg"
Anna_Maria_of_Liechtenstein,"Anton_Florian,_Prince_of_Liechtenstein"
Marie_Anne_de_Bourbon_(1689–1720),"François_Louis,_Prince_of_Conti"
Louise_de_Maisonblanche,Claude_de_Vin_des_Œillets
Princess_Louise_of_Saxe-Hildburghausen,"Frederick,_Duke_of_Saxe-Altenburg"
Cromwell_Lee,Margaret_Lee_(lady-in-waiting)
Mieszko_Kazimierzowic,Casimir_I_the_Restorer
Richard_Yuengling_Sr.,Frank_D._Yuengling
Murad_II,Emine_Hatun
Prosenjit_Chatterjee,Biswajit_Chatterjee
"Maximilian_I,_Prince_of_Hohenzollern-Sigmaringen","Meinrad_I,_Prince_of_Hohenzollern-Sigmaringen"
Elisabeth_of_Wrocław,"Anne_of_Bohemia,_Duchess_of_Silesia"
Jehoram_of_Judah,Jehoshaphat
Ritabhari_Chakraborty,Satarupa_Sanyal
Alfred_de_Rothschild,Lionel_de_Rothschild
Sophie_Lascelles,James_Lascelles
Rajadhiraja_Chola,Rajendra_Chola_I
Adandozan,Agonglo
William_III_of_England,"William_II,_Prince_of_Orange"
Sophie_of_Pomerania,"Bogislaw_X,_Duke_of_Pomerania"
Frank_Mankiewicz,Herman_J._Mankiewicz
Gaspard_II_de_Coligny,Gaspard_I_de_Coligny
"Roger_de_Clare,_2nd_Earl_of_Hertford",Richard_Fitz_Gilbert_de_Clare
Thiri_Thudhamma_Yaza_of_Martaban,Yaza_Dewi_of_Pegu
Emperor_Kanmu,Emperor_Kōnin
Richard_Branson,Eve_Branson
Margaret_of_Parma,"Charles_V,_Holy_Roman_Emperor"
Abijah_of_Judah,Rehoboam
Richard_Hooker_Wilmer,William_Holland_Wilmer
Gustaf_VI_Adolf_of_Sweden,Gustaf_V_of_Sweden
Shah_Berunai,Saiful_Rijal
Beatrice_of_Bohemia,Kunigunde_of_Hohenstaufen
"James_III,_Margrave_of_Baden-Hachberg",Anna_of_Veldenz
Henrietta_of_England,Henrietta_Maria_of_France
Prince_Feodor_Alexandrovich_of_Russia,Grand_Duke_Alexander_Mikhailovich_of_Russia
Melissa_Newman,Paul_Newman
"Edmund_Beaufort,_2nd_Duke_of_Somerset","John_Beaufort,_1st_Earl_of_Somerset"
Florian_Ballhaus,Michael_Ballhaus
"William_I,_Landgrave_of_Lower_Hesse","Louis_II,_Landgrave_of_Lower_Hesse"
Anna-Euphrosyne,Isaac_II_Angelos
Kshama_Metre,Waman_Bapuji_Metre
Leon_Aleksander_Sapieha,Elżbieta_Konstancja_Potulicka
Princess_Katherine_of_Greece_and_Denmark,Constantine_I_of_Greece
Badshah_Begum,Farrukhsiyar
Maria_Beatrice_of_Savoy,Victor_Emmanuel_I_of_Sardinia
Asparukh_of_Bulgaria,Kubrat
"Christopher,_Duke_of_Mecklenburg","Anna_of_Brandenburg,_Duchess_of_Mecklenburg"
Stefan_Nemanja,Zavida
Josh_Duggar,Jim_Bob_Duggar
"Charles_IV,_Duke_of_Lorraine",Christina_of_Salm
Boris_Kalamanos,Euphemia_of_Kiev
"Sir_Albert_Naylor-Leyland,_2nd_Baronet",Herbert_Naylor-Leyland
Rhoda_Haas_Goldman,Walter_A._Haas
William_Sanderson_McCormick,Robert_McCormick_(Virginia)
Jonathan_Oppenheimer,Nicky_Oppenheimer
"Reinald_IV,_Duke_of_Guelders_and_Jülich","Maria,_Duchess_of_Guelders"
