Otto_Christian_Archibald_von_Bismarck,Herbert_von_Bismarck
"Bogislaw_VI,_Duke_of_Pomerania","Barnim_IV,_Duke_of_Pomerania"
Talal_of_Jordan,Musbah_bint_Nasser
Sanjana_Kapoor,Shashi_Kapoor
Princess_Majeedah_Bolkiah,Queen_Saleha_of_Brunei
Zubdat-un-Nissa,Dilras_Banu_Begum
Princess_Louise_of_Orange-Nassau,"Wilhelmina_of_Prussia,_Princess_of_Orange"
"Isabella,_Queen_of_Armenia",Sibylla_of_Lusignan
"Louis,_Prince_of_Condé_(1668–1710)","Henri_Jules,_Prince_of_Condé"
Queen_Elizabeth_The_Queen_Mother,"Claude_Bowes-Lyon,_14th_Earl_of_Strathmore_and_Kinghorne"
Paulina_Longworth_Sturm,William_Borah
Bonny_Sengupta,Piya_Sengupta
John_Seigenthaler_(anchorman),John_Seigenthaler
Jigme_Dorji_Wangchuck_(born_1986),Jigme_Singye_Wangchuck
"Maurice_Roche,_4th_Baron_Fermoy",Frances_Ellen_Work
Lolowah_bint_Faisal_Al_Saud,Faisal_of_Saudi_Arabia
Wacław_Seweryn_Rzewuski,Seweryn_Rzewuski
Princess_Marie_of_Hanover,Marie_of_Saxe-Altenburg
"Louis_II,_Count_of_Nassau-Weilburg","Albert,_Count_of_Nassau-Weilburg"
Princess_Marguerite_Adélaïde_of_Orléans,Princess_Victoria_of_Saxe-Coburg_and_Gotha
Agnes_of_Faucigny,"Beatrice_of_Savoy,_Dame_of_Faucigny"
Bahurada_Manimaya,Saovabha_Phongsri
Emperor_Jing_of_Han,Emperor_Wen_of_Han
Walter_Slezak,Leo_Slezak
Suike,Bahai_(Jurchen)
Stephanie_Flanders,Michael_Flanders
Princess_Mathilde_of_Bavaria_(1877–1906),Maria_Theresa_of_Austria-Este_(1849–1919)
Sunjong_of_Korea,Empress_Myeongseong
Theodore_Bayard_Fletcher_Copp,Evelyn_Fletcher_Copp
Katherine_of_Bavaria,"Albert_I,_Duke_of_Bavaria"
Archduchess_Hermine_of_Austria,Princess_Hermine_of_Anhalt-Bernburg-Schaumburg-Hoym
Sam_Robards,Jason_Robards
Warwick_Fairfax,Mary_Fairfax
Hormizd_II,Narseh
Prince_Eitel_Friedrich_of_Prussia,Augusta_Victoria_of_Schleswig-Holstein
Grand_Duchess_Olga_Alexandrovna_of_Russia,Maria_Feodorovna_(Dagmar_of_Denmark)
Christopher_of_Werle,John_VI_of_Werle
Sophie_Elisabeth_of_Brandenburg,Christian_William_of_Brandenburg
"Margaret_de_Audley,_2nd_Baroness_Audley",Margaret_de_Clare
Muwenda_Mutebi_II_of_Buganda,Mutesa_II_of_Buganda
Simon_Brook_(director),Natasha_Parry
Fathia_Ghali,Nazli_Sabri
Guy_constable_of_Cyprus,Hugh_III_of_Cyprus
Princess_Marie_Adélaïde_of_France,Marie_Leszczyńska
Margrete_Skulesdatter,Skule_Bårdsson
"Henry_Herbert,_2nd_Earl_of_Pembroke","Anne_Parr,_Countess_of_Pembroke"
Roman_the_Great,Agnes_of_Poland
"Theresa_of_Portugal,_Queen_of_León",Dulce_of_Aragon
Victor_Peirce,Kath_Pettingill
Hamid_Reza_Pahlavi,Esmat_Dowlatshahi
Nick_Roth,Bobby_Roth
Alfred_Madison_Barbour,John_S._Barbour
Brandon_Peniche,Arturo_Peniche
"Isabel_de_Verdun,_Baroness_Ferrers_of_Groby",Elizabeth_de_Clare
Prince_Friedrich_of_Saxe-Meiningen,Princess_Feodora_of_Hohenlohe-Langenburg
Enrique_Iglesias,Julio_Iglesias
Saw_Hnit_of_Toungoo,Saw_Sala_of_Toungoo
"Coloman,_King_of_Hungary",Géza_I_of_Hungary
Elen_ferch_Llywelyn_(the_Elder),"Joan,_Lady_of_Wales"
James_III_of_Cyprus,Catherine_Cornaro
Gratian,Valentinian_I
"Ernest_Frederick_I,_Duke_of_Saxe-Hildburghausen","Ernest,_Duke_of_Saxe-Hildburghausen"
"Jess_Lapid,_Jr.","Jess_Lapid,_Sr."
"Agnes_of_Brandenburg,_Duchess_of_Pomerania","John_George,_Elector_of_Brandenburg"
"Edward_Courtenay,_1st_Earl_of_Devon","Henry_Courtenay,_1st_Marquess_of_Exeter"
"Godfrey_I,_Count_of_Namur","Albert_III,_Count_of_Namur"
Griffin_O'Neal,Ryan_O'Neal
Pilar_Bardem,Matilde_Muñoz_Sampedro
James_R._Cargill,Austen_Cargill
Archduchess_Maria_Maddalena_of_Austria,"Charles_II,_Archduke_of_Austria"
"Robert,_King_of_Naples",Charles_II_of_Naples
Alexei_Antonovich_of_Brunswick,Duke_Anthony_Ulrich_of_Brunswick
"Otto_V,_Margrave_of_Brandenburg-Salzwedel","Otto_III,_Margrave_of_Brandenburg"
Emma_of_Italy,Lothair_II_of_Italy
Ramiro_Garcés_of_Viguera,García_Sánchez_I_of_Pamplona
"Ferdinand_I,_Holy_Roman_Emperor",Joanna_of_Castile
Candice_Bergen,Frances_Bergen
Fiennes_Cornwallis,Charles_Wykeham_Martin
Josiah_Quincy_I,Edmund_Quincy_(1628–1698)
Maria_Christina_of_Austria,Archduke_Karl_Ferdinand_of_Austria
Al-Said_Barakah,Baibars
Liu_Pengli,"Liu_Wu,_Prince_of_Liang"
Justinus_van_Nassau,William_the_Silent
Francis_Ernuszt,John_II_Ernuszt
Prince_Christian_Oscar_of_Hanover,"Ernest_Augustus,_Duke_of_Brunswick"
Philip_the_Good,Margaret_of_Bavaria
Archduchess_Caroline_Ludovika_of_Austria,"Francis_II,_Holy_Roman_Emperor"
Suz_Andreasen,George_Andreasen
"Albert,_Duke_of_Prussia","Frederick_I,_Margrave_of_Brandenburg-Ansbach"
Nandivarman_III,Dantivarman
Doug_Meijer,Frederik_Meijer
Victor_of_Kunštát_and_Poděbrady,Boček_II_of_Poděbrady
Mwananyanda_Liwale,Mwanawina_I
Lady_Augusta_Murray,"Alexander_Stewart,_6th_Earl_of_Galloway"
"Christian,_Prince-Elect_of_Denmark",Christian_IV_of_Denmark
Shlomo_Carlebach_(musician),Hartwig_Naftali_Carlebach
Sisavang_Vatthana,Kham-Oun_I
Philip_I_of_France,Henry_I_of_France
"Louis_II,_Duke_of_Bavaria",Agnes_of_the_Palatinate
Dominic_von_Habsburg,Archduke_Anton_of_Austria
Guy_II_of_Ponthieu,Helie_of_Burgundy
Prince_Frederick_of_Hohenzollern-Sigmaringen,Princess_Josephine_of_Baden
Christopher_Mitchell_(actor),Norman_Mitchell
"Henry_Carey,_2nd_Earl_of_Monmouth","Robert_Carey,_1st_Earl_of_Monmouth"
Elizabeth_le_Despenser,"Edward_le_Despencer,_1st_Baron_le_Despencer"
Princess_Amalia_of_Saxe-Weimar-Eisenach,Princess_Ida_of_Saxe-Meiningen
"Charles,_Prince_of_Rochefort","Charles_III,_Prince_of_Guéméné"
Lawrence_Mukomberanwa,Nicholas_Mukomberanwa
James_III_of_Scotland,James_II_of_Scotland
Agnes_of_Babenberg,"Leopold_III,_Margrave_of_Austria"
L._Hamilton_McCormick,Leander_J._McCormick
Narseh,Shapur_I
Soe_Min_Hteik-Tin_of_Toungoo,Min_Sithu_of_Toungoo
Krzysztof_Radziwiłł,Krzysztof_Mikołaj_%22the_Thunderbolt%22_Radziwiłł
Seble_Desta,Desta_Damtew
Princess_Leopoldina_of_Savoy,"Louis_Victor,_Prince_of_Carignano"
"Mabell_Ogilvy,_Countess_of_Airlie","Arthur_Gore,_5th_Earl_of_Arran"
Krishna_Raja_Wadiyar_IV,Chamarajendra_Wadiyar_X
Alexander_Donaldson_(bookseller),James_Donaldson_(publisher)
Geoffrey_Pole,Sir_Richard_Pole
Kong_Jia,Bu_Jiang
"Barnim_XI,_Duke_of_Pomerania","Bogislaw_X,_Duke_of_Pomerania"
Prince_Michel_of_Bourbon-Parma,Princess_Margaret_of_Denmark
Jamshid_bin_Abdullah_of_Zanzibar,Abdullah_bin_Khalifa_of_Zanzibar
"Charles_Edward,_Duke_of_Saxe-Coburg_and_Gotha",Princess_Helena_of_Waldeck_and_Pyrmont
Catherine_of_Brandenburg-Küstrin,"Catherine_of_Brunswick-Wolfenbüttel,_Margravine_of_Brandenburg-Küstrin"
Agnes_Hedwig_of_Anhalt,"Joachim_Ernest,_Prince_of_Anhalt"
Prince_Nirajan_of_Nepal,Birendra_of_Nepal
Amalasuntha,Theoderic_the_Great
Krista_Ranillo,Mat_Ranillo_III
"Maria_of_Aragon,_Queen_of_Castile",Ferdinand_I_of_Aragon
Infanta_Maria_Josepha_of_Portugal,Adelaide_of_Löwenstein-Wertheim-Rosenberg
"Francis_II,_Duke_of_Lorraine","Charles_III,_Duke_of_Lorraine"
Susan_Lindauer,John_Howard_Lindauer
"Henry_II,_Duke_of_Austria","Leopold_III,_Margrave_of_Austria"
Gideon_Kailipalaki_Laanui,Gideon_Peleioholani_Laanui
Gao_Conghui,Gao_Jixing
Bernardo_Matte,Eliodoro_Matte_Ossa
Eleanor_of_Anhalt-Zerbst,"Rudolph,_Prince_of_Anhalt-Zerbst"
Lord_Frederick_Windsor,Prince_Michael_of_Kent
Eric_Christoffersen_of_Denmark,Christopher_II_of_Denmark
Suphankanlaya,Mahathammarachathirat_(king_of_Ayutthaya)
Shahrukh_of_Shirvan,Farrukh_Yassar_II
Prince_Christoph_of_Hesse,Prince_Frederick_Charles_of_Hesse
"Afonso,_Prince_of_Beira","Isabel,_Duchess_of_Braganza"
Robert_Stephenson,George_Stephenson
"Elia,_Crown_Princess_of_Albania",Yllka_Mujo
Wyatt_Russell,Kurt_Russell
Hedwig_of_Mecklenburg-Güstrow,Magdalene_Sibylle_of_Holstein-Gottorp
Duke_Zhuang_of_Qin,Qin_Zhong
Lady_Margaret_Burnet,"John_Kennedy,_6th_Earl_of_Cassilis"
Emperor_Gong_of_Song,Empress_Quan_(Song_dynasty)
Tracee_Ellis_Ross,Diana_Ross
Mastani,Chhatrasal
"Odoardo_Farnese,_Duke_of_Parma",Margherita_Aldobrandini
Susanna_Cole,William_Hutchinson_(Rhode_Island)
Friedelind_Wagner,Winifred_Wagner
Sadie_Miller,Brian_Miller_(actor)
Karan_Hariharan,Hariharan_(singer)
María_Aura,Carmen_Boullosa
Henry_IV_of_England,Blanche_of_Lancaster
Jeff_Bridges,Dorothy_Bridges
"Philipp_Wolfgang,_Count_of_Hanau-Lichtenberg","Johann_Reinhard_I,_Count_of_Hanau-Lichtenberg"
"Charles_VI,_Holy_Roman_Emperor",Eleonor_Magdalene_of_Neuburg
Chlothar_I,Clotilde
Sebastián_Marroquín,Pablo_Escobar
Philip_Jeyaretnam,J._B._Jeyaretnam
Zaynab_bint_Ali,Fatimah
Hodierna_of_Jerusalem,Morphia_of_Melitene
"Adolf,_Duke_of_Holstein-Gottorp",Sophie_of_Pomerania
"Catherine_of_France,_Countess_of_Charolais",Charles_VII_of_France
Adelaide_of_Löwenstein-Wertheim-Rosenberg,"Constantine,_Hereditary_Prince_of_Löwenstein-Wertheim-Rosenberg"
Charles_I._Barber,George_Franklin_Barber
"Philipp_Ludwig,_Count_Palatine_of_Neuburg",Anna_of_Hesse
Margravine_Hedwig_Sophie_of_Brandenburg,"George_William,_Elector_of_Brandenburg"
Francis_Charles_of_Saxe-Lauenburg,"Francis_II,_Duke_of_Saxe-Lauenburg"
Ermias_Sahle_Selassie,Mahisente_Habte_Mariam
Nebty-tepites,Horbaef
"Gunnhild,_Mother_of_Kings",Gorm_the_Old
Percy_Rivington_Pyne_II,Percy_Rivington_Pyne_I
Sean_Brosnan_(actor),Pierce_Brosnan
Tyler_Butterworth,Peter_Butterworth
Jeffrey_Byron,Anna_Lee
Henriette_Wegner,Ludwig_Erdwin_Seyler
Frederick_II_of_Legnica,Ludmila_of_Poděbrady
"Beatrice_of_Sicily,_Latin_Empress",Beatrice_of_Provence
George_IV_of_Georgia,David_Soslan
Princess_Sophie_of_Bavaria,Maximilian_I_Joseph_of_Bavaria
Prince_Carl_Bernadotte,"Prince_Carl,_Duke_of_Västergötland"
Ibrahim_Kura_of_Borno,Umar_of_Borno
Georg_Richter,Georg_Alexander
Johannes_von_Trapp,Maria_von_Trapp
Joseph_P._Kennedy_Jr.,Joseph_P._Kennedy_Sr.
Harald_Bluetooth,Thyra
Bermudo_II_of_León,Ordoño_III_of_León
Margaret_of_Foix,Eleanor_of_Navarre
William_Burke_Belknap,William_Richardson_Belknap
Shayne_Lamas,Lorenzo_Lamas
Felix_Yusupov,Zinaida_Yusupova
"Catherine_of_Austria,_Duchess_of_Calabria",Albert_I_of_Germany
Eric_of_Brunswick-Grubenhagen,"Albert_II,_Duke_of_Brunswick-Grubenhagen"
Maria_Pia_of_Savoy,Adelaide_of_Austria
Antoninus_Pius,Hadrian
"Princess_Alice,_Countess_of_Athlone",Princess_Helena_of_Waldeck_and_Pyrmont
"Edmund_Stafford,_5th_Earl_of_Stafford",Philippa_de_Beauchamp
Jane_Addams,John_H._Addams
Nebtyemneferes,Djedkare_Isesi
Melissa_Newman,Joanne_Woodward
Duke_Louis_of_Mecklenburg-Schwerin,"Christian_Ludwig_II,_Duke_of_Mecklenburg-Schwerin"
Meng_Chang,Meng_Zhixiang
Grand_Duchess_Maria_Nikolaevna_of_Russia_(1899–1918),Nicholas_II_of_Russia
"Welf,_Duke_of_Carinthia",Imiza_of_Luxembourg
Archduke_Otto_of_Austria_(1865–1906),Princess_Maria_Annunciata_of_Bourbon-Two_Sicilies
"Karl_Wilhelm,_Duke_of_Saxe-Meiningen","Anton_Ulrich,_Duke_of_Saxe-Meiningen"
Conrad_III_of_Germany,"Frederick_I,_Duke_of_Swabia"
Adelaide_of_Waldeck,"Henry_III,_Lord_of_Waldeck"
Prince_René_of_Bourbon-Parma,Infanta_Maria_Antonia_of_Portugal
Bernard_Briskin,Samuel_J._Briskin
S._Robson_Walton,Helen_Walton
Hashim_ibn_Abd_Manaf,Atikah_bint_Murrah
Prabha_Bannabilaya,Chulalongkorn
Hugh_the_Black,Adelaide_of_Auxerre_(born_c._849)
Rudolph_II_of_Burgundy,Rudolph_I_of_Burgundy
Beatrice_of_Swabia,Philip_of_Swabia
"Ralph_Neville,_1st_Earl_of_Westmorland","John_Neville,_3rd_Baron_Neville_de_Raby"
Nastasen,Harsiotef
"Johann_Reinhard_II,_Count_of_Hanau-Lichtenberg","Philipp_Wolfgang,_Count_of_Hanau-Lichtenberg"
"Frederick_Francis_II,_Grand_Duke_of_Mecklenburg-Schwerin",Princess_Alexandrine_of_Prussia_(1803–1892)
"Infante_Carlos,_Count_of_Molina",Charles_IV_of_Spain
Kristoffer_Tabori,Viveca_Lindfors
Princess_Maria_Ludwiga_Theresia_of_Bavaria,Ludwig_III_of_Bavaria
Alfonso_IV_of_Aragon,James_II_of_Aragon
Sigvard_Bernadotte,Gustaf_VI_Adolf_of_Sweden
Maria_Beatrix_Krasińska,Zygmunt_Krasiński
Vittoria_della_Rovere,Claudia_de'_Medici
"Maria,_Duchess_of_Gloucester_and_Edinburgh",Edward_Walpole
Konstancja_Małgorzata_Lubomirska,Elżbieta_Czartoryska_(1736–1816)
Bermudo_III_of_León,Elvira_Menéndez_(died_1022)
"Pedro_Téllez-Girón,_9th_Duke_of_Osuna","Pedro_Téllez-Girón,_8th_Duke_of_Osuna"
Sanaa_Seif,Ahmed_Seif_El-Islam
Ramiro_II_of_Aragon,Felicia_of_Roucy
Archduchess_Dolores_of_Austria,Archduke_Leopold_Salvator_of_Austria
"Jane_Howard,_Countess_of_Westmorland","Henry_Howard,_Earl_of_Surrey"
Francis_Wilson_(economist),Monica_Wilson
George_Nattin_Jr.,George_Nattin
Francesco_de'_Medici_(1614–1634),"Cosimo_II_de'_Medici,_Grand_Duke_of_Tuscany"
Thorfinn_the_Mighty,Sigurd_the_Stout
Derwent_Coleridge,Samuel_Taylor_Coleridge
Henry_Joseph_O'Leary,Henry_O'Leary
Luv_Sinha,Poonam_Sinha
Arun_Manilal_Gandhi,Manilal_Gandhi
Zog_I_of_Albania,Xhemal_Pasha_Zogu
Victor_Amadeus_III_of_Sardinia,Charles_Emmanuel_III_of_Sardinia
Amy_Irving,Jules_Irving
Isaac_Komnenos_(son_of_John_II),John_II_Komnenos
Duchess_Louise_Charlotte_of_Mecklenburg-Schwerin,"Frederick_Francis_I,_Grand_Duke_of_Mecklenburg-Schwerin"
Æthelnoth_(archbishop_of_Canterbury),Æthelmær_the_Stout
"Dorothea_of_Brandenburg,_Duchess_of_Mecklenburg","Frederick_I,_Elector_of_Brandenburg"
George_de_Lalaing,Philip_de_Lalaing
Lena_Tabori,George_Tabori
Stefan_Konstantin,Ana_Terter
Charles_de_La_Baume_Le_Blanc,Louis_XIV_of_France
"Constance,_Duchess_of_Brittany","Margaret_of_Huntingdon,_Duchess_of_Brittany"
"Otto_I,_Duke_of_Pomerania","Barnim_I,_Duke_of_Pomerania"
Robby_Enthoven,Dick_Enthoven
Virudhaka,Pasenadi
Saliha_Sultan_(daughter_of_Ahmed_III),Ahmed_III
Luís_I_of_Portugal,Ferdinand_II_of_Portugal
Prince_Rupert_of_the_Rhine,"Frederick_V,_Elector_Palatine"
Adolf_III_of_the_Marck,"Margaret_of_Cleves,_Countess_of_the_Marck"
Duchess_Marie_Antoinette_of_Mecklenburg,Duke_Paul_Frederick_of_Mecklenburg
"Arnulf,_Duke_of_Bavaria","Luitpold,_Margrave_of_Bavaria"
Princess_Elisabeth_of_Denmark,Princess_Caroline-Mathilde_of_Denmark
Louise_of_Mecklenburg-Güstrow,Magdalene_Sibylle_of_Holstein-Gottorp
"Robert_de_Brus,_2nd_Lord_of_Annandale","Robert_de_Brus,_1st_Lord_of_Annandale"
Faisal_bin_Hamad_bin_Isa_Al_Khalifa,Hamad_bin_Isa_Al_Khalifa
"Prince_William_Henry,_Duke_of_Gloucester_and_Edinburgh","Frederick,_Prince_of_Wales"
"Richard_Woodville,_3rd_Earl_Rivers","Richard_Woodville,_1st_Earl_Rivers"
Kaemsekhem,Hetepheres_II
Michel_David-Weill,Pierre_David-Weill
Emanuel_Glicen_Romano,Enrico_Glicenstein
Princess_Sophie_of_the_Netherlands,William_II_of_the_Netherlands
Malik-Shah_III,Mahmud_II_of_Great_Seljuq
Natalya_Naryshkina,Kirill_Poluektovich_Naryshkin
"Adalbert,_Margrave_of_Austria","Leopold_I,_Margrave_of_Austria"
Grand_Duchess_Alexandra_Alexandrovna_of_Russia,Alexander_II_of_Russia
Constantine_III_of_Scotland,Cuilén
"Prince_Max,_Duke_in_Bavaria",Countess_Maria_Draskovich_of_Trakostjan
David_B._Ingram,Martha_Rivers_Ingram
Al-Musta'in_(Cairo),Al-Mutawakkil_I
John_Jacob_Astor_VI,John_Jacob_Astor_IV
Willa_Holland,Brian_De_Palma
Tengku_Ampuan_Bariah,Hisamuddin_of_Selangor
Géza_I_of_Hungary,"Richeza_of_Poland,_Queen_of_Hungary"
Abu_Ishaq_Ibrahim,Mu'izz_al-Dawla
Princess_Louise_Auguste_of_Denmark,Christian_VII_of_Denmark
Tricia_Leigh_Fisher,Eddie_Fisher_(singer)
"Charles_Frederick,_Duke_of_Holstein-Gottorp",Hedvig_Sophia_of_Sweden
"Edmund_Beaufort,_2nd_Duke_of_Somerset","John_Beaufort,_1st_Earl_of_Somerset"
Qian_Hongzuo,Qian_Yuanguan
Vivien_Duffield,Charles_Clore
Prince_Alexander_of_Belgium,"Lilian,_Princess_of_Réthy"
"Otto_IV,_Count_of_Ravensberg",Otto_III_of_Ravensberg
Walter_Stone_Scott,John_Walter_Scott
Alexandra_of_Lithuania,Uliana_of_Tver
Henry_the_Young_King,Eleanor_of_Aquitaine
Jason_Schwartzman,Talia_Shire
"John_de_Mowbray,_3rd_Baron_Mowbray","John_de_Mowbray,_2nd_Baron_Mowbray"
"Rupert_I,_Elector_Palatine","Rudolf_I,_Duke_of_Bavaria"
Clementia_of_Hungary,Charles_Martel_of_Anjou
"Mary_Hamilton,_Duchess_of_Abercorn","Richard_Curzon-Howe,_1st_Earl_Howe"
"Wolfgang,_Count_Palatine_of_Zweibrücken","Louis_II,_Count_Palatine_of_Zweibrücken"
Salma_Sobhan,Mohammed_Ikramullah
Princess_Feodora_of_Saxe-Meiningen_(1890–1972),Countess_Adelaide_of_Lippe-Biesterfeld
Lord_Nicholas_Windsor,"Prince_Edward,_Duke_of_Kent"
Mansoor_Khan,Nasir_Hussain
Irene_Doukaina_Laskarina,Theodore_II_Laskaris
"Luis_of_Spain,_Count_of_Chinchón",Philip_V_of_Spain
Sancho_Ramírez,Ermesinda_of_Bigorre
Feodor_I_of_Russia,Anastasia_Romanovna
Christopher_Nixon_Cox,Tricia_Nixon_Cox
Hetepheres_I,Huni
Zoe_Kazan,Nicholas_Kazan
Princess_Alexia_of_Greece_and_Denmark,Constantine_II_of_Greece
José_Roberto_Marinho,Roberto_Marinho
Beyoncé,Mathew_Knowles
Henrietta_Mildred_Hodgson,Robert_Hodgson_(priest)
Princess_Marie_Cécile_of_Prussia,"Louis_Ferdinand,_Prince_of_Prussia"
Susanna_Kaysen,Carl_Kaysen
"Leopold_II,_Margrave_of_Austria",Adelaide_of_Eilenburg
Terry_Richardson,Bob_Richardson_(photographer)
Stavros_Niarchos,Spyros_Niarchos
"Alfonso_d'Este,_Lord_of_Montecchio",Laura_Dianti
Hyrcanus_II,Alexander_Jannaeus
"Ernest_Constantine,_Landgrave_of_Hesse-Philippsthal","William,_Landgrave_of_Hesse-Philippsthal"
Olivera_Despina,Lazar_of_Serbia
Berengaria_of_Castile,"Eleanor_of_England,_Queen_of_Castile"
Frances_Carpenter,Frank_G._Carpenter
Taddea_Visconti,Bernabò_Visconti
"William_V,_Duke_of_Aquitaine",Emma_of_Blois
"John,_Constable_of_Portugal",John_I_of_Portugal
Peter_I_of_Cyprus,Hugh_IV_of_Cyprus
Fruzhin,Dragana_of_Serbia
Frédéric_Chevillon,Joseph_Chevillon
Idris_Shah_II_of_Perak,Iskandar_of_Perak
Mumtaz_Shikoh,Dara_Shikoh
Cheyenne_Brando,Tarita_Teriipaia
Taufaʻahau_Manumataongo,Sinaitakala_Fakafanua
Stanisław_Ferdynand_Rzewuski,Wacław_Rzewuski
Zhuang_Bo_of_Quwo,Huan_Shu_of_Quwo
"Hans-Adam_II,_Prince_of_Liechtenstein","Franz_Joseph_II,_Prince_of_Liechtenstein"
Vasujyeshtha,Agnimitra
Anne-Marie_Campora,Charles_Campora
Margherita_de'_Medici,Archduchess_Maria_Maddalena_of_Austria
Helen_of_Greece_and_Denmark,Sophia_of_Prussia
Gummo_Marx,Minnie_Marx
K'inich_Janaab'_Pakal,K'an_Mo'_Hix
"Johann_Christoph,_Count_of_Hohenzollern-Haigerloch","Christoph,_Count_of_Hohenzollern-Haigerloch"
"Louis_François,_Prince_of_Conti",Louise_Élisabeth_de_Bourbon
"Otto_V,_Duke_of_Bavaria","Margaret_II,_Countess_of_Hainaut"
William_Hathaway_Forbes,John_Murray_Forbes
Infante_Alfonso_of_Spain,"Infante_Juan,_Count_of_Barcelona"
"Charles_Boyle,_3rd_Viscount_Dungarvan","Richard_Boyle,_1st_Earl_of_Burlington"
Kanaung_Mintha,Tharrawaddy_Min
Lord_Pingyuan,King_Wuling_of_Zhao
Joe_Buck,Jack_Buck
"Leopold_III,_Duke_of_Anhalt-Dessau",Gisela_Agnes_of_Anhalt-Köthen
Bill_Lancaster,Burt_Lancaster
Meridel_Le_Sueur,Arthur_LeSueur
Kier_Legaspi,Lito_Legaspi
Władysław_I_Herman,Casimir_I_the_Restorer
"Karl_August,_10th_Prince_of_Thurn_and_Taxis",Archduchess_Margarethe_Klementine_of_Austria
"Ladislaus,_Count_Esterházy","Nikolaus,_Count_Esterházy"
Miangul_Adnan_Aurangzeb,Miangul_Aurangzeb
George_Edalji,Shapurji_Edalji
Aelia_Eudoxia,Flavius_Bauto
Dhirendra_of_Nepal,"Indra,_Crown_Princess_of_Nepal"
Matilda_Ramsay,Tana_Ramsay
"Henry_III,_Margrave_of_Meissen","Theodoric_I,_Margrave_of_Meissen"
Ethel_Roosevelt_Derby,Edith_Roosevelt
"George_I,_Prince_of_Waldeck_and_Pyrmont","Karl_August,_Prince_of_Waldeck_and_Pyrmont"
Maria_Wirtemberska,Adam_Kazimierz_Czartoryski
"Maria_Francisca_of_Orléans-Braganza,_Duchess_of_Braganza","Pedro_de_Alcântara,_Prince_of_Grão-Pará"
Guru_Gobind_Singh,Mata_Gujri
Elizabeth_of_Russia,Catherine_I_of_Russia
Amanineteyerike,Malewiebamani
Mécia_Lopes_de_Haro,Lope_Díaz_II_de_Haro
"Friedrich,_Hereditary_Prince_of_Anhalt","Joachim_Ernst,_Duke_of_Anhalt"
Spytek_of_Tarnów_and_Jarosław,Jan_of_Tarnów
Sydney_Paget,Lord_Alfred_Paget
Blanche_of_Artois,"Matilda_of_Brabant,_Countess_of_Artois"
Esma_Sultan_(daughter_of_Abdul_Hamid_I),Ayşe_Seniyeperver_Sultan
Mahesh_Bhatt,Nanabhai_Bhatt
Anja_Šovagović-Despot,Fabijan_Šovagović
Randolph_Greene_Pack,Charles_Lathrop_Pack
"Otto_II,_Count_of_Waldeck","Henry_IV,_Count_of_Waldeck"
Philip_II_of_Macedon,Amyntas_III_of_Macedon
Æthelwulf,Egbert_of_Wessex
Eden_Cale,John_Cale
