Francis_Burdett,Francis_Burdett_(1743)
"William_Howard,_1st_Baron_Howard_of_Effingham","Agnes_Howard,_Duchess_of_Norfolk"
Aleksander_Michał_Lubomirski_(d._1677),Zofia_Ostrogska
Princess_Alexandrine-Louise_of_Denmark,Princess_Helena_Adelaide_of_Schleswig-Holstein-Sonderburg-Glücksburg
Oleksander_Ostrogski,Konstanty_Wasyl_Ostrogski
"Thomas_Savage,_3rd_Earl_Rivers","John_Savage,_2nd_Earl_Rivers"
Princess_Cecilia_of_Sweden_(1807–1844),Gustav_IV_Adolf_of_Sweden
Amy_Wyss,Hansjörg_Wyss
Djoumbé_Fatima,"Abderremane,_Sultan_of_Mohéli"
"Beatrice_of_Savoy,_Dame_of_Faucigny","Peter_II,_Count_of_Savoy"
Charles_I_of_Württemberg,William_I_of_Württemberg
Dmitry_Mikhailovich_Golitsyn,Mikhail_Mikhailovich_Golitsyn
Miguel_Ferrer,Rosemary_Clooney
William_Stobart,Eddie_Stobart
Tamatoa_V,Ariifaaite
Lady_Emily_Foley,"James_Graham,_3rd_Duke_of_Montrose"
Miroslav_of_Croatia,Krešimir_I_of_Croatia
Edward_Tollemache,"Timothy_Tollemache,_5th_Baron_Tollemache"
J._Peter_Grace,"Joseph_Peter_Grace,_Sr."
"Emmett_Kelly,_Jr.",Emmett_Kelly
Barry_Gibb,Hugh_Gibb
Margaret_I_of_Denmark,Helvig_of_Schleswig
Emperor_Wu_of_Han,Emperor_Jing_of_Han
Poppaea_Sabina,Titus_Ollius
Alfie_Allen,Keith_Allen_(actor)
Sri_Prakash_Lohia,Mohan_Lal_Lohia
Empress_Meishō,Emperor_Go-Mizunoo
Anna_of_Racibórz,Anna_of_Masovia
John_Louis_of_Nassau-Hadamar,Johannetta_of_Sayn-Wittgenstein
Sharayu_Daftary,Lalchand_Hirachand
Ashley_Judd,Naomi_Judd
Constanza_Manuel,"Juan_Manuel,_Prince_of_Villena"
"Ernst,_Prince_of_Saxe-Meiningen","Georg_II,_Duke_of_Saxe-Meiningen"
Władysław_III_Spindleshanks,Mieszko_III_the_Old
"Harun,_Ghaznavid_Governor_of_Khwarezm",Altun_Tash
John_Corvinus,Matthias_Corvinus
Jeremy_II,Jeremy_I
"Albert_II,_Margrave_of_Brandenburg-Ansbach",Sophie_of_Solms-Laubach
Gwenllian_ferch_Gruffydd,Gruffudd_ap_Cynan
Ritu_Nanda,Raj_Kapoor
Justin_Rockefeller,Jay_Rockefeller
Tuki_Brando,Cheyenne_Brando
Bahurada_Manimaya,Saovabha_Phongsri
James_Boon_Lankershim,Isaac_Lankershim
Livia,Marcus_Livius_Drusus_Claudianus
David_Gruzinsky,Prince_Bagrat_of_Georgia
"Archibald_Campbell,_1st_Marquess_of_Argyll","Archibald_Campbell,_7th_Earl_of_Argyll"
Juan_Ignacio_Aranda,Ignacio_López_Tarso
Anton_of_Stolberg-Wernigerode,Christian_Frederick_of_Stolberg-Wernigerode
Philip_the_Good,Margaret_of_Bavaria
"Louis,_Duke_of_Savoy","Amadeus_VIII,_Duke_of_Savoy"
Sean_Flynn_(photojournalist),Lili_Damita
Hal_Roach_Jr.,Hal_Roach
Frank_Brennan_(priest),Gerard_Brennan
"Joan_de_Beauchamp,_Countess_of_Ormond","Joan_FitzAlan,_Baroness_Bergavenny"
"Heinrich_XXIV,_Count_Reuss_of_Ebersdorf","Heinrich_XXIX,_Count_of_Reuss-Ebersdorf"
John_Lennon,Julia_Lennon
Patricia_Ancira,Carlos_Ancira
Kang_Tongbi,Kang_Youwei
Alix_of_France,Eleanor_of_Aquitaine
"Albert_II,_Count_of_Holstein-Rendsburg","Henry_II,_Count_of_Holstein-Rendsburg"
Duke_Carl_Gregor_of_Mecklenburg,Irina_Mikhailovna_Raievskya
"Charles,_6th_Prince_of_Löwenstein-Wertheim-Rosenberg",Princess_Agnes_of_Hohenlohe-Langenburg
Jan_Dobrogost_Krasiński,Jan_Kazimierz_Krasiński
Charles_de_Lasteyrie,Robert_de_Lasteyrie
Princess_Therese_of_Saxe-Altenburg,Prince_Eduard_of_Saxe-Altenburg
Princess_Charlotte_Amalie_of_Hesse-Philippsthal,"Charles_I,_Landgrave_of_Hesse-Philippsthal"
Archduke_Wilhelm_Franz_of_Austria,"Archduke_Charles,_Duke_of_Teschen"
Barbara_Berlusconi,Silvio_Berlusconi
"Prince_Carl_Philip,_Duke_of_Värmland",Carl_XVI_Gustaf_of_Sweden
"Henry_IV,_Count_of_Holstein-Rendsburg",Catherine_Elisabeth_of_Brunswick-Lüneburg
Princess_Vera_Constantinovna_of_Russia,Princess_Elisabeth_of_Saxe-Altenburg_(1865–1927)
"Elizabeth_Herbert,_Baroness_Herbert_of_Lea",Charles_Ashe_à_Court-Repington
Judith_of_Babenberg,"Leopold_III,_Margrave_of_Austria"
Peter_Brant_II,Peter_M._Brant
Margrethe_II_of_Denmark,Ingrid_of_Sweden
"William_II,_Elector_of_Hesse",Princess_Wilhelmina_Caroline_of_Denmark
Willie_Hammerstein,Oscar_Hammerstein_I
Caroline_Matilda_of_Great_Britain,"Frederick,_Prince_of_Wales"
Satan_Xerxes_Carnacki_LaVey,Anton_LaVey
Pavle_of_Serbia,Bran_Mutimirović
Merlin_Bingham_Swire,Adrian_Swire
Dappula_IV_of_Anuradhapura,Kassapa_V_of_Anuradhapura
Imogen_Holst,Gustav_Holst
Khufukhaf_II,Iuenka
Katharina_Böhm,Barbara_Kwiatkowska-Lass
"Otto_V,_Duke_of_Bavaria","Louis_IV,_Holy_Roman_Emperor"
Muncimir_of_Croatia,Trpimir_I_of_Croatia
Helen_Westcott,Gordon_Westcott
Aung_San_Oo,Aung_San
"Maria_Manuela,_Princess_of_Portugal",John_III_of_Portugal
Princess_Louise_of_Anhalt-Dessau_(1798–1858),Landgravine_Amalie_of_Hesse-Homburg
Silvestre_De_León,Patricia_de_la_Garza_De_León
Dilras_Banu_Begum,Mirza_Badi-uz-Zaman_Safavi
"Catherine_Woodville,_Duchess_of_Buckingham","Richard_Woodville,_1st_Earl_Rivers"
Sophie_Amalie_of_Brunswick-Lüneburg,Anne_Eleonore_of_Hesse-Darmstadt
Cyril_Holland,Constance_Lloyd
Prince_Alexander_of_Hesse_and_by_Rhine_(1933–1937),"Georg_Donatus,_Hereditary_Grand_Duke_of_Hesse"
"Louis,_Grand_Condé","Henri,_Prince_of_Condé_(1588–1646)"
Princess_Marie_of_Hesse-Kassel,Princess_Caroline_of_Nassau-Usingen
Catherine_of_Mecklenburg,"Magnus_II,_Duke_of_Mecklenburg"
William_Bayard_Cutting,Elise_Justine_Bayard
Abu_al-Hasan_as-Said_al-Mutadid,Idris_al-Ma'mun
Ingrid_of_Sweden,Gustaf_VI_Adolf_of_Sweden
Justin_Bieber,Pattie_Mallette
Prince_Wilhelm_of_Prussia_(1783–1851),Frederika_Louisa_of_Hesse-Darmstadt
"Louis_Joseph,_Dauphin_of_France",Marie_Antoinette
"Wirich_VI,_Count_of_Daun-Falkenstein","Philip_II,_Count_of_Daun-Falkenstein"
Sidonie_of_Saxony,"Henry_IV,_Duke_of_Saxony"
"Fernando_Fitz-James_Stuart,_15th_Duke_of_Huéscar","Carlos_Fitz-James_Stuart,_19th_Duke_of_Alba"
Konstancja_Czartoryska_(1700–1759),Kazimierz_Czartoryski
Mubarak_Al-Sabah,Sabah_II_Al-Sabah
Cosimo_de'_Medici,Piccarda_Bueri
Duchess_Cecilie_of_Mecklenburg-Schwerin,Grand_Duchess_Anastasia_Mikhailovna_of_Russia
Sisowath_Kossamak,Norodom_Kanviman_Norleak_Tevi
"Rudolf_II,_Duke_of_Austria",Rudolf_I_of_Germany
Humbert_II_of_Viennois,"Beatrice_of_Hungary,_Dauphine_of_Viennois"
Victor_of_Kunštát_and_Poděbrady,Boček_II_of_Poděbrady
Jesse_Green,Urbie_Green
Prince_Paul_of_Thurn_and_Taxis,"Maximilian_Karl,_6th_Prince_of_Thurn_and_Taxis"
Francis_Mundy,Francis_Noel_Clarke_Mundy
Tsarevna_Xenia_Borisovna_of_Russia,Maria_Skuratova-Belskaya
Victor_Emmanuel_II_of_Italy,Maria_Theresa_of_Austria_(1801–1855)
Örlygur_Hnefill_Örlygsson,Valgerður_Gunnarsdóttir
Frank_Stallone,Jackie_Stallone
Louise_Adélaïde_de_Bourbon_(1696–1750),Marie_Thérèse_de_Bourbon
Henrich_Krummedige,Hartvig_Krummedige
Anne_of_Brittany,Margaret_of_Foix
"Constance,_Duchess_of_Brittany","Margaret_of_Huntingdon,_Duchess_of_Brittany"
Trần_Khánh_Dư,Trần_Thái_Tông
Prince_Faisal_bin_Hussein,Princess_Muna_al-Hussein
Andronikos_III_Palaiologos,Michael_IX_Palaiologos
"Alexei_Nikolaevich,_Tsarevich_of_Russia",Nicholas_II_of_Russia
Princess_Anastasia_of_Georgia,Heraclius_II_of_Georgia
"Engelbert_III,_Count_of_Gorizia","Engelbert_II,_Count_of_Gorizia"
Henry_Morgenthau_III,Elinor_Morgenthau
"Anne_Blunt,_15th_Baroness_Wentworth","William_King-Noel,_1st_Earl_of_Lovelace"
Philip_Hamilton,Elizabeth_Schuyler_Hamilton
"William_Henry,_Prince_of_Nassau-Saarbrücken",Charlotte_Amalia_of_Nassau-Dillenburg
Benjamin_Franklin_Bache_(journalist),Sarah_Franklin_Bache
Ravi_Babu,Tammareddy_Chalapathi_Rao
Shō_Gen,Shō_Sei
"Ordulf,_Duke_of_Saxony","Bernard_II,_Duke_of_Saxony"
Claudia_Felicitas_of_Austria,"Anna_de'_Medici,_Archduchess_of_Austria"
"Theobald_III,_Count_of_Champagne","Henry_I,_Count_of_Champagne"
Lijo_Jose_Pellissery,Jose_Pellissery
Whitney_Ann_Kroenke,Stan_Kroenke
Marquis_of_Qin,Feizi
Neil_Bush,George_H._W._Bush
"John_William,_Duke_of_Jülich-Cleves-Berg","William,_Duke_of_Jülich-Cleves-Berg"
"John,_Constable_of_Portugal",John_I_of_Portugal
Prajwal_Devaraj,Devaraj
Odet_de_Coligny,Louise_de_Montmorency
Emperor_Gaozong_of_Tang,Empress_Zhangsun
Mswati_III,Ntfombi_of_Swaziland
François-Joseph_Bissot,François_Byssot_de_la_Rivière
Michael_of_Chernigov,Vsevolod_IV_of_Kiev
Holmger_Knutsson,Helena_Pedersdatter_Strange
"Otto_II,_Duke_of_Bavaria",Ludmilla_of_Bohemia
"Francis_I,_Holy_Roman_Emperor",Élisabeth_Charlotte_d'Orléans
Faisal_bin_Turki_I_bin_Abdulaziz_Al_Saud,Turki_I_bin_Abdulaziz_Al_Saud
Princess_Elisabeth_of_Denmark,Princess_Caroline-Mathilde_of_Denmark
Franz_Karl_of_Auersperg,Johann_Weikhard_of_Auersperg
Margaret_Stuart_(1598–1600),James_VI_and_I
"Francesco_III_d'Este,_Duke_of_Modena",Duchess_Charlotte_of_Brunswick-Lüneburg
Princess_Shova_Shahi_of_Nepal,"Indra,_Crown_Princess_of_Nepal"
Tapoa_II,Tapoa_I
Vivaan_Shah,Naseeruddin_Shah
Prince_Oscar_Bernadotte,Oscar_II_of_Sweden
Morrison_Foster,William_Barclay_Foster
Lindsay_Lohan,Dina_Lohan
"Ralph_Douglas-Scott-Montagu,_4th_Baron_Montagu_of_Beaulieu","Belinda_Douglas-Scott-Montagu,_Baroness_Montagu_of_Beaulieu"
John_Jope_Rogers,John_Rogers_(divine)
"John_de_Mowbray,_4th_Duke_of_Norfolk","John_de_Mowbray,_3rd_Duke_of_Norfolk"
Alexandra_of_Yugoslavia,Aspasia_Manos
Daniel_Bergman,Käbi_Laretei
Princess_Louise_Amelie_of_Baden,Stéphanie_de_Beauharnais
Fujiwara_no_Hiroko,Fujiwara_no_Yorimichi
"Otto_I,_Count_of_Burgundy","Beatrice_I,_Countess_of_Burgundy"
Vespasian,Vespasia_Polla
Abdullah_bin_Saud,Saud_bin_Abdul-Aziz_bin_Muhammad_bin_Saud
"Catherine_of_Hungary,_Queen_of_Serbia",Stephen_V_of_Hungary
"Svatopluk,_Duke_of_Bohemia",Euphemia_of_Hungary
Princess_Louise_of_Saxe-Hildburghausen,"Frederick,_Duke_of_Saxe-Altenburg"
Archduchess_Yolande_of_Austria,"Eugène,_11th_Prince_of_Ligne"
Mehdi_Hashemi_Rafsanjani,Effat_Marashi
Prince_Robin_of_Sayn-Wittgenstein-Berleburg,"Gustav_Albrecht,_5th_Prince_of_Sayn-Wittgenstein-Berleburg"
Diva_Zappa,Gail_Zappa
"Frederick_Christian_II,_Duke_of_Schleswig-Holstein-Sonderburg-Augustenburg","Frederick_Christian_I,_Duke_of_Schleswig-Holstein-Sonderburg-Augustenburg"
Walter_A._Haas_Jr.,Walter_A._Haas
Prince_Christian_of_Hesse-Darmstadt,Countess_Palatine_Caroline_of_Zweibrücken
"Hugh_IV,_Duke_of_Burgundy","Odo_III,_Duke_of_Burgundy"
Princess_Stephanie_of_Windisch-Graetz,Windisch-Graetz
"Victor,_Duke_of_Münsterberg",George_of_Poděbrady
"Anne_Knollys,_Baroness_De_La_Warr",Francis_Knollys_(the_elder)
Hannah_Ware,John_Ware_(TV_journalist)
Xiqi,Li_Ji_(concubine)
Anna_Teresa_Ossolińska,Józef_Kanty_Ossoliński
Mahanama_of_Anuradhapura,Buddhadasa_of_Anuradhapura
Tsarevna_Marfa_Alekseyevna_of_Russia,Maria_Miloslavskaya
Louis_XI_of_France,Marie_of_Anjou
Emilio_Osorio,Niurka_Marcos
"Beatrice,_Countess_of_Alburquerque",Peter_I_of_Portugal
Eleonore_of_Löwenstein-Wertheim,"Maximilian_Karl_Albert,_Prince_of_Löwenstein-Wertheim-Rochefort"
Quentin_Hubbard,Mary_Sue_Hubbard
"Eleanor_Percy,_Duchess_of_Buckingham","Henry_Percy,_4th_Earl_of_Northumberland"
Turki_bin_Faisal_Al_Saud,Iffat_Al-Thunayan
Sawlu,Agga_Mahethi_of_Pagan
"August_von_Finck,_Jr.","August_von_Finck,_Sr."
Khadija_bint_Khuwaylid,Khuwaylid_ibn_Asad
Thomas_Kuczynski,Jürgen_Kuczynski
Bajrakitiyabha__Bajrakitiyabha__1,Soamsawali
John_Paston_(died_1479),John_Paston_(died_1466)
Lurline_Matson_Roth,William_Matson
"James_Hamilton,_2nd_Duke_of_Abercorn","Louisa_Hamilton,_Duchess_of_Abercorn"
Norodom_Sihamoni,Norodom_Sihanouk
Donald_Trump,Fred_Trump
Julia_Gutiérrez_Caba,Irene_Caba_Alba
Anna_of_Russia,Ivan_V_of_Russia
Conrad_I_of_Burgundy,Bertha_of_Swabia
"Anne_of_Austria,_Queen_of_Poland","Charles_II,_Archduke_of_Austria"
Chumki_Chowdhury,Anjan_Choudhury
"Charles_I,_Margrave_of_Baden-Baden","Jacob,_Margrave_of_Baden-Baden"
"Beatrice_I,_Abbess_of_Quedlinburg",Gunhilda_of_Denmark
Władysław_I_Herman,Maria_Dobroniega_of_Kiev
Tracy_Reed_(English_actress),Penelope_Dudley-Ward
Hedwig_Eleonora_of_Holstein-Gottorp,Duchess_Marie_Elisabeth_of_Saxony
"John_de_Vere,_16th_Earl_of_Oxford","Elizabeth_Trussell,_Countess_of_Oxford"
Shwe_Zin_Gon,Mingyi_Swa_of_Prome
E._Paul_Waggoner,William_Thomas_Waggoner
Ferdinand_I_of_Portugal,Constanza_Manuel
Kyaswa_of_Prome,Narathihapate
Alia_Bhatt,Soni_Razdan
Dániel_Esterházy,Zsófia_Illésházy
Sri_Alam,Alauddin_al-Kahar
Robbie_Knievel,Evel_Knievel
Ferdinand_VI_of_Spain,Philip_V_of_Spain
"Philippa,_Countess_of_Toulouse","William_IV,_Count_of_Toulouse"
Melissa_Newman,Paul_Newman
"Elisabeth_of_Bavaria,_Queen_of_Belgium",Infanta_Maria_Josepha_of_Portugal
Jacqueline_Gold,David_Gold_(businessman)
Prince_Moulay_Rachid_of_Morocco,Hassan_II_of_Morocco
"Thomas_F._Frist,_III",Patricia_C._Frist
Shobhna_Samarth,Rattan_Bai
"Emmanuel_Maurice,_Duke_of_Elbeuf","Charles_III,_Duke_of_Elbeuf"
Ippolita_Maria_Sforza_(1493–1501),Gian_Galeazzo_Sforza
"Anne_St_Leger,_Baroness_de_Ros","Anne_of_York,_Duchess_of_Exeter"
Matthew_Perry,Keith_Morrison
Wang_Yanzheng,Wang_Shenzhi
Ömer_Sabancı,İhsan_Sabancı
Soumya_Swaminathan_(scientist),Mina_Swaminathan
"Zaifeng,_Prince_Chun","Yixuan,_Prince_Chun"
Dagmar_of_Bohemia,Ottokar_I_of_Bohemia
Ludovico_Sforza,Bianca_Maria_Visconti
Sophia_Desta,Princess_Tenagnework
"Eleanor_of_Aragon,_Queen_of_Portugal",Eleanor_of_Alburquerque
Mladen_II_Šubić_of_Bribir,Paul_I_Šubić_of_Bribir
Tarek_Ben_Halim,Mustafa_Ben_Halim
Henry_I_of_England,Matilda_of_Flanders
Noriko_Senge,"Hisako,_Princess_Takamado"
Mariam_Dadiani,Manuchar_I_Dadiani
Inwa_Mibaya,Atula_Thiri_Maha_Yaza_Dewi
Frederick_Lothrop_Ames,"Oliver_Ames,_Jr."
Shao_Kang,Xiang_of_Xia
Shammi_Kapoor,Prithviraj_Kapoor
Ewan_Stewart,Andy_Stewart_(musician)
Antoninus_Pius,Vibia_Sabina
Christopher_Wallace_Jr.,The_Notorious_B.I.G.
Farrukhzad,Farrukh_Hormizd
Haakon_Lorentzen,Erling_Lorentzen
Frederick_III_of_Denmark,Anne_Catherine_of_Brandenburg
Augustyn_Józef_Czartoryski,Adam_Ludwik_Czartoryski
"Cayetana_Fitz-James_Stuart,_18th_Duchess_of_Alba","María_del_Rosario_de_Silva,_Duchess_of_Alba"
"Andreas,_Prince_of_Saxe-Coburg_and_Gotha",Countess_Viktoria-Luise_of_Solms-Baruth
Margravine_Hedwig_Sophie_of_Brandenburg,"George_William,_Elector_of_Brandenburg"
"Godfrey_I,_Count_of_Verdun",Oda_of_Metz
Cao_Cao,Cao_Song
Isias,Athenais_Philostorgos_I
Elvira_Menéndez_(died_1022),Menendo_González
Ionia_Rollin_Whipper,William_James_Whipper
Solamish,Baibars
Ramona_Marquez,Martin_Marquez
Agatha_Marie_of_Hanau,"Johann_Reinhard_I,_Count_of_Hanau-Lichtenberg"
Daryn_Hinton,Ed_Hinton_(actor)
Alice_de_la_Roche,Guy_I_de_la_Roche
"Alfonso_IV_d'Este,_Duke_of_Modena","Francesco_I_d'Este,_Duke_of_Modena"
Adela_of_Normandy,Matilda_of_Flanders
Najmuddin_Ali_Khan,Mir_Jafar
Archduke_Peter_Ferdinand_of_Austria,Princess_Alice_of_Parma_(1849–1935)
Heinrich_Brockhaus,Friedrich_Arnold_Brockhaus
Prince_Pedro_Luiz_of_Orléans-Braganza,Princess_Christine_of_Orléans-Braganza
Sergey_Bezrukov,Vitali_Bezrukov
Mary_Ingalls,Caroline_Ingalls
Charles_Edward_Stuart,James_Francis_Edward_Stuart
Pōmare_V,Pōmare_IV
Maria_Josepha_Amalia_of_Saxony,Princess_Carolina_of_Parma
Princess_Maria_Teresa_of_Bourbon-Two_Sicilies_(1867–1909),Duchess_Mathilde_Ludovika_in_Bavaria
Liberty_Phoenix,Arlyn_Phoenix
Mwanawina_I,Notulu
Max_Hastings,Anne_Scott-James
Arslan-Shah_of_Ghazna,Gawhar_Khatun
Adelaide_of_Guelders,"Otto_I,_Count_of_Guelders"
Hyrcanus_II,Alexander_Jannaeus
Maria_Carolina_Zamoyska,Princess_Maria_Carolina_of_Bourbon-Two_Sicilies_(1856–1941)
Suzanne_Farrington,Vivien_Leigh
Susan_L._Tepper,Philip_J._Levin
Elisa_Napoléone_Baciocchi,Felice_Pasquale_Baciocchi
Ibrahim_of_Ghazna,Mas'ud_I_of_Ghazni
Brunhilda_of_Austrasia,Athanagild
Meghna_Gulzar,Gulzar
"Wolfgang,_Duke_of_Brunswick-Grubenhagen","Philip_I,_Duke_of_Brunswick-Grubenhagen"
Galeazzo_Maria_Sforza,Bianca_Maria_Visconti
"Johann_VII,_Duke_of_Mecklenburg",Anna_Sophia_of_Prussia
Emperor_Daigo,Emperor_Uda
Ragnall_Guthfrithson,Gofraid_ua_Ímair
Isonokami_no_Yakatsugu,Isonokami_no_Otomaro
Wheeler_Dryden,Hannah_Chaplin
Lucie_Arnaz,Desi_Arnaz
Frederick_Keppel,"Willem_van_Keppel,_2nd_Earl_of_Albemarle"
Oscar_II_of_Sweden,Oscar_I_of_Sweden
Jann_Turner,Rick_Turner_(philosopher)
Archduke_Karl_Albrecht_of_Austria,Archduke_Charles_Stephen_of_Austria
Henry_Hay_Mildred,Henry_Mildred
Adam_Stanisław_Sapieha,Leon_Sapieha
Constantine_Ypsilantis,Alexander_Ypsilantis_(1725–1805)
"Catherine_of_France,_Countess_of_Montpensier",Joanna_of_Bourbon
Penny_Chenery,Christopher_Chenery
Henry_I_of_Navarre,"Margaret_of_Bourbon,_Queen_of_Navarre"
Katinka_Andrássy,Tivadar_Andrássy
Ptolemy_of_Mauretania,Cleopatra_Selene_II
Tushar_Gandhi,Arun_Manilal_Gandhi
Mary_Estlin,John_Bishop_Estlin
Alphonse_James_de_Rothschild,James_Mayer_de_Rothschild
Bagrat_III_of_Imereti,Alexander_II_of_Imereti
Teofila_Ludwika_Zasławska,Katarzyna_Sobieska
Jemba_of_Buganda,Nakibinge_of_Buganda
Ivan_Asen_V_of_Bulgaria,Sarah-Theodora
Nick_Berg,Michael_Berg
Rosalinda_Celentano,Adriano_Celentano
Gertrude_of_Süpplingenburg,Richenza_of_Northeim
John_Richardson_(bishop_of_Bedford),John_Richardson_(Archdeacon_of_Derby)
Andrew_Lloyd_Webber,William_Lloyd_Webber
Eva_de_Braose,Eva_Marshal
"Juan_Sancho_de_Tovar,_1st_Marquis_of_Berlanga","Íñigo_Fernández_de_Velasco,_2nd_Duke_of_Frías"
Maya_Soetoro-Ng,Lolo_Soetoro
Gleb_Svyatoslavich,Sviatoslav_II_of_Kiev
"Alfonso_II_d'Este,_Duke_of_Ferrara",Renée_of_France
Joost_de_Lalaing,Simon_de_Lalaing
Princess_Caroline_Reuss_of_Greiz,Princess_Ida_of_Schaumburg-Lippe
"Friedrich_Casimir,_Count_of_Hanau-Lichtenberg","Philipp_Wolfgang,_Count_of_Hanau-Lichtenberg"
Iris_Apatow,Leslie_Mann
Anna_Leszczyńska_(1699–1717),Stanisław_Leszczyński
"George_Boscawen,_2nd_Earl_of_Falmouth","Edward_Boscawen,_1st_Earl_of_Falmouth"
"Hugh_IV,_Duke_of_Burgundy",Alice_of_Vergy
Princess_Fadia_of_Egypt,Farouk_of_Egypt
Galeazzo_I_Visconti,Bonacossa_Borri
Alexios_IV_Angelos,Isaac_II_Angelos
Frederick_VIII_of_Denmark,Louise_of_Hesse-Kassel
Rob_Kardashian,Kris_Jenner
Elizabeth_of_York,Elizabeth_Woodville
"Wilhelm_Friedrich,_Duke_of_Schleswig-Holstein","Friedrich_Ferdinand,_Duke_of_Schleswig-Holstein"
Lady_Louise_Windsor,"Prince_Edward,_Earl_of_Wessex"
Mesud_I,Kilij_Arslan_I
Jemma_Churchill,Pauline_Yates
"Louis_I,_Count_of_Nassau-Weilburg",John_III_of_Nassau-Weilburg
Al-Adil_I,Najm_ad-Din_Ayyub
Marie_Taglioni,Filippo_Taglioni
Hugh_II_of_Cyprus,Henry_I_of_Cyprus
Cerball_mac_Dúnlainge,Dúngal_mac_Fergaile
Frank_Bunker_Gilbreth_Jr.,Frank_Bunker_Gilbreth_Sr.
Curtis_Roosevelt,Curtis_Bean_Dall
"Charles_I,_Duke_of_Mecklenburg","Anna_of_Brandenburg,_Duchess_of_Mecklenburg"
Francis_Burdett_(1743),"Sir_Robert_Burdett,_4th_Baronet"
Maria_Anna_of_Schwarzenberg,Eleonore_von_Schwarzenberg
Prince_Manuel_of_Bavaria,Prince_Leopold_of_Bavaria_(b._1943)
Constantine_I_of_Georgia,"Anna_of_Trebizond,_Queen_of_Georgia"
Barbara_Bennett,Richard_Bennett_(actor)
"Jean,_Grand_Duke_of_Luxembourg",Prince_Felix_of_Bourbon-Parma
Minye_Thihathu_II_of_Toungoo,Minkhaung_II_of_Toungoo
Grand_Duchess_Catherine_Mikhailovna_of_Russia,Grand_Duke_Michael_Pavlovich_of_Russia
"Yolande_of_Dreux,_Queen_of_Scotland","Robert_IV,_Count_of_Dreux"
Sophie_of_Brandenburg-Ansbach-Kulmbach,"Sophia_Jagiellon,_Margravine_of_Brandenburg-Ansbach"
"Ulrik_Christian_Gyldenløve,_Count_of_Samsø",Sophie_Amalie_Moth
James_I_of_Cyprus,Alix_of_Ibelin
Michael_Lohan_Jr.,Dina_Lohan
Abdulkareem_Khadr,Ahmed_Khadr
Frances_Bean_Cobain,Kurt_Cobain
Ahmad_Al_Ghazali,Ahmad_Dhani
William_David_Powell,William_Powell
María_Aura,Carmen_Boullosa
"Blanche_de_Brienne,_Baroness_Tingry","Jeanne,_Dame_de_Chateaudun"
Pausanias_of_Macedon,Aeropus_II_of_Macedon
James_III_of_Scotland,Mary_of_Guelders
Jennifer_Ehle,John_Ehle
"Charles_Frederick,_Grand_Duke_of_Saxe-Weimar-Eisenach",Landgravine_Louise_of_Hesse-Darmstadt_(1757–1830)
Nepotianus,Virius_Nepotianus
Tongzhi_Emperor,Empress_Dowager_Cixi
Hubertus_Prinz_von_Sachsen-Coburg_und_Gotha,Ernst_Leopold_Prinz_von_Sachsen-Coburg_und_Gotha
Stanisław_Zamoyski,Feliks_Zamoyski
