"Prince_Amedeo,_Duke_of_Aosta",Princess_Anne_of_Orléans
"George_Rawdon-Hastings,_2nd_Marquess_of_Hastings","Francis_Rawdon-Hastings,_1st_Marquess_of_Hastings"
Henry_Bates_Grubb,Curtis_Grubb
Anastasia_of_Kiev,Andrew_I_of_Hungary
"Catherine_of_Saxe-Lauenburg,_Duchess_of_Mecklenburg","John_IV,_Duke_of_Mecklenburg"
Frederick_Kellaway,George_V
Agnetha_Fältskog,Björn_Ulvaeus
Elisabeth_of_Brandenburg-Ansbach-Kulmbach,"Ernest,_Margrave_of_Baden-Durlach"
Dweezil_Zappa,Frank_Zappa
Henry_Ponsonby,Queen_Victoria
Francesca_Hilton,Paris_Hilton
Khalid_bin_Mohammed_Al_Angari,Abdullah_of_Saudi_Arabia
Bandar_Al_Hajjar,Abdullah_of_Saudi_Arabia
Dwight_Morrow,Calvin_Coolidge
Princess_Alexandra_of_Saxe-Coburg_and_Gotha,Princess_Marie_Melita_of_Hohenlohe-Langenburg
"Ailwyn_Fellowes,_1st_Baron_Ailwyn",Queen_Victoria
Dagmar_of_Bohemia,Gertrude_of_Bavaria
Saint_Margaret_of_Scotland,Matilda_of_Scotland
Princess_Karoline_Mathilde_of_Schleswig-Holstein-Sonderburg-Augustenburg,Princess_Adelheid_of_Schaumburg-Lippe
James_P._Pope,Chase_A._Clark
Géza_I_of_Hungary,Synadene
Yaroslavna_of_Halych,Agnes_of_Austria_(1154–1182)
Vratislaus_II_of_Bohemia,Judith_of_Schweinfurt
Valdemar_of_Denmark_(bishop),Valdemar_I_of_Denmark
John_Walter_Jones,Elizabeth_II
Harry_Pulteney,"Prince_William_Henry,_Duke_of_Gloucester_and_Edinburgh"
Elisabeth_of_Meissen,"Frederick_I,_Elector_of_Brandenburg"
Francis_Blackwell_Forbes,John_Kerry
Matthias_Corvinus,"Frederick_III,_Holy_Roman_Emperor"
Beatrice_of_Luxembourg,Charles_I_of_Hungary
Tom_Hughes_(Australian_politician),William_McMahon
"Edward_Conway,_1st_Viscount_Conway",Charles_I_of_England
Talal_bin_Abdulaziz_Al_Saud,Ibn_Saud
Tribhuvan_of_Nepal,Mahendra_of_Nepal
"Richard_Woodville,_1st_Earl_Rivers",Jacquetta_of_Luxembourg
Akhenaten,Amenhotep_III
Bobby_Keys,Paul_McCartney
Hussein_of_Jordan,Abdullah_II_of_Jordan
Juan_Antonio_Garretón,Charles_III_of_Spain
"William_Weir,_1st_Viscount_Weir",George_V
"Joan,_Countess_of_Ponthieu",Ferdinand_III_of_Castile
Donna_Tanoue,George_W._Bush
Duke_Hu_of_Chen,King_Wu_of_Zhou
Christian_X_of_Denmark,"Knud,_Hereditary_Prince_of_Denmark"
"Joseph_Wenzel_I,_Prince_of_Liechtenstein","Franz_Joseph_I,_Prince_of_Liechtenstein"
Stavros_Niarchos,Elena_Ford
Vseslav_of_Polotsk,Vseslav_of_Polotsk
Jack_Dragna,Tom_Dragna
"Margherita_Gonzaga,_Duchess_of_Lorraine",Christina_of_Salm
Henry_VII_of_England,Henry_VIII_of_England
Paul_Madden_(diplomat),Elizabeth_II
Seleucus_II_Callinicus,Seleucus_III_Ceraunus
Infanta_Maria_Anna_of_Portugal_(1843–1884),Prince_Johann_Georg_of_Saxony
Teofilia_Sieniawska,Aleksander_Jan_Jabłonowski
Princess_Adelheid_of_Hohenlohe-Langenburg,Augusta_Victoria_of_Schleswig-Holstein
Duchess_Anna_Amalia_of_Brunswick-Wolfenbüttel,Prince_Frederick_Ferdinand_Constantin_of_Saxe-Weimar-Eisenach
Thomas_Bain,Queen_Victoria
John_Uroš,Alexios_Angelos_Philanthropenos
"Henry_Boyle,_1st_Baron_Carleton",George_I_of_Great_Britain
Ingegerd_Olofsdotter_of_Sweden,Elisiv_of_Kiev
Izabela_Czartoryska,Adam_Jerzy_Czartoryski
"Prince_Ferdinand,_Duke_of_Castro","Prince_Carlo,_Duke_of_Castro"
Empress_Song_(Han_dynasty),Empress_He_(Han_dynasty)
Kayima_of_Buganda,Nakibinge_of_Buganda
Hitoshi_Ashida,Hirohito
"Henry_VII,_Holy_Roman_Emperor","Louis_IV,_Holy_Roman_Emperor"
Suratissa_of_Anuradhapura,Mahasiva_of_Anuradhapura
Agnes_of_Poitou,"Henry_III,_Holy_Roman_Emperor"
"Dudley_Ryder,_3rd_Earl_of_Harrowby",Lord_Alfred_Paget
Recep_Akdağ,Recep_Tayyip_Erdoğan
"Robert_Darcy,_4th_Earl_of_Holderness","John_Stuart,_3rd_Earl_of_Bute"
Moeletsi_Mbeki,Thabo_Mbeki
Oum_Chheang_Sun,Norodom_Sihanouk
Euphrosyne_of_Kiev,Géza_II_of_Hungary
Caratacus,Epaticcus
Wenceslaus_I_of_Bohemia,Beatrice_of_Bohemia
Mohammed_Ben_Aarafa,Mohammed_V_of_Morocco
William_Brokesby,Henry_IV_of_England
"Henry_V,_Duke_of_Legnica",Bolko_I_the_Strict
Gleb_Svyatoslavich,Rostislav_of_Tmutarakan
"Robert_de_Lisle,_1st_Baron_Lisle","John_de_Lisle,_2nd_Baron_Lisle_(second_creation)"
"Drew_S._Days,_III",Jimmy_Carter
"Carlos_Hugo,_Duke_of_Parma",Princess_Irene_of_the_Netherlands
John_Alexander_Douglas_McCurdy,Elizabeth_II
Khalid_of_Saudi_Arabia,Faisal_of_Saudi_Arabia
Godfrey_Wilson,Monica_Wilson
Matilda_of_Andechs,"Meinhard_I,_Count_of_Gorizia-Tyrol"
Thihathu_of_Ava,Saw_Min_Hla
Barbara_Jagiellon,"George,_Duke_of_Saxony"
Harthacnut,Edward_the_Confessor
"Albert_IV,_Duke_of_Bavaria",Sabina_of_Bavaria
Birgit_Rausing,Gad_Rausing
"Otto_IV,_Count_of_Burgundy","Mahaut,_Countess_of_Artois"
Steve_Rodan,Elizabeth_II
Mary_Hopkin,Paul_McCartney
Infanta_Amelia_Philippina_of_Spain,Princess_Isabella_of_Bavaria
Les_Aspin,Dick_Cheney
Andrew_Murray_(Scottish_soldier),Christina_Bruce
"Anne_Stafford,_Countess_of_Huntingdon","Edward_Hastings,_1st_Baron_Hastings_of_Loughborough"
Nikola_Pašić,Alexander_I_of_Yugoslavia
John_Duncan_(diplomat),Elizabeth_II
"James_Thomas,_1st_Viscount_Cilcennin","Frank_Pakenham,_7th_Earl_of_Longford"
Walther_Funk,Hermann_Göring
"Fulk_IV,_Count_of_Anjou","Geoffrey_IV,_Count_of_Anjou"
Sidkeong_Tulku_Namgyal,Tashi_Namgyal
James_Brooks_(politician),William_E._Dodge
Guanwen,Zeng_Guofan
Isabella_I_of_Castile,Joanna_of_Castile
Pwa_Saw,Saw_Soe_of_Pagan
Pribislav_of_Mecklenburg,"Henry_Borwin_I,_Lord_of_Mecklenburg"
Abd_al-Malik_ibn_Marwan,Atikah_bint_Yazid
Narathihapate,Yadanabon_II_of_Pagan
Prince_Bernhard_of_Lippe-Biesterfeld,Beatrix_of_the_Netherlands
Balthasar_Gérard,William_the_Silent
Duchess_Elisabeth_Alexandrine_of_Mecklenburg-Schwerin,Duchess_Altburg_of_Oldenburg
"Francis_II,_Holy_Roman_Emperor",Ferdinand_I_of_Austria
Katsura_Tarō,Emperor_Taishō
Hussa_bint_Ahmed_Al_Sudairi,Sultan_bin_Abdulaziz
David_Murray_Anderson,George_V
"Philipp,_Landgrave_of_Hesse",Prince_Heinrich_of_Hesse-Kassel
Emperor_Kōkaku,Emperor_Ninkō
Nicholas_II_of_Saint_Omer,Anna_Komnene_Doukaina
Lady_Bianca,Frank_Zappa
Thomas_Stanhope,Sir_John_Stanhope
"Louis_William,_Margrave_of_Baden-Baden",Margravine_Auguste_of_Baden-Baden
David_Mellor,Margaret_Thatcher
Sena_V_of_Anuradhapura,Mahinda_V_of_Anuradhapura
Ladislaus_IV_of_Hungary,Andrew_III_of_Hungary
Maud_Chaworth,Eleanor_of_Lancaster
Prince_Xavier_of_Bourbon-Parma,"Carlos_Hugo,_Duke_of_Parma"
Les_Brownlee,George_W._Bush
Gaj_Singh,Shivraj_Singh_of_Jodhpur
Sofoklis_Venizelos,Paul_of_Greece
Dushasana,Gandhari_(character)
Harold_Lyman_Ryan,Ronald_Reagan
"Beatrice_of_Navarre,_Duchess_of_Burgundy","Hugh_IV,_Duke_of_Burgundy"
Kangxi_Emperor,Empress_Xiaozhaoren
Anne_of_Bavaria,"Charles_IV,_Holy_Roman_Emperor"
Princess_Ingeborg_of_Denmark,Princess_Märtha_of_Sweden
Casimir_II_the_Just,"Leszek,_Duke_of_Masovia"
Hashim_ibn_Abd_Manaf,Nawfal_ibn_Abd_Manaf
Duke_Wen_of_Jin,Duke_Xiang_of_Jin
Maximilian_of_Burgundy,William_the_Silent
Ptolemy_IX_Lathyros,Cleopatra_Selene_I
"Richard_of_York,_3rd_Duke_of_York","Elizabeth_of_York,_Duchess_of_Suffolk"
Abdul_Majeed_bin_Abdulaziz_Al_Saud,Ibn_Saud
Thutob_Namgyal,Tashi_Namgyal
Reginald_McKenna,George_V
Mansour_bin_Muqrin,Ibn_Saud
Higashifushimi_Kunihide,Hirohito
Richard_Leakey,Meave_Leakey
"Marie_de_Bourbon,_Duchess_of_Montpensier","Gaston,_Duke_of_Orléans"
Napoleon_III,Louis-Eugène_Cavaignac
"Charles_of_Saxony,_Duke_of_Courland",Ernst_Johann_von_Biron
"Edward_Conway,_1st_Viscount_Conway",Charles_I_of_England
"Louis,_Grand_Dauphin",Philip_V_of_Spain
Emperor_Xuan_of_Northern_Zhou,Zhu_Manyue
Princess_Maria_Antonia_of_the_Two_Sicilies,Archduchess_Maria_Isabella_of_Austria
"Abel,_King_of_Denmark",Matilda_of_Holstein
"Nicole,_Duchess_of_Lorraine",Christina_of_Salm
Charles_H._Price_II,Margaret_Thatcher
Pope_Pius_III,Pope_Julius_II
Muhammad_al-Jawad,Ali_al-Hadi
María_Isabella_of_Spain,Francis_I_of_the_Two_Sicilies
Georgia_Neese_Clark,Ivy_Baker_Priest
David_Hume,Alexander_Hamilton
"William_Weir,_1st_Viscount_Weir",George_V
William_S._Sessions,Gerald_Ford
"Peter,_Duke_of_Coimbra",Isabella_of_Coimbra
Vladimir_III_Igorevich,Andrew_II_of_Hungary
Paul-Henri_Spaak,Leopold_III_of_Belgium
Archduchess_Elisabeth_Franziska_of_Austria,Maria_Christina_of_Austria
Charles_VI_of_France,Charles_VII_of_France
Clare_Boothe_Luce,Dwight_D._Eisenhower
Maria_Rozanova,Andrei_Sinyavsky
Charlotte_de_Sauve,Henry_IV_of_France
Salim_Al-Mubarak_Al-Sabah,Jaber_II_Al-Sabah
Peleg_Sprague_(Maine_politician),Stephen_Longfellow
Henry_Brockholst_Livingston,Thomas_Jefferson
Pedro_I_of_Brazil,Princess_Januária_of_Brazil
"Agnes_Howard,_Duchess_of_Norfolk","Thomas_Howard,_2nd_Duke_of_Norfolk"
"Leopold_III,_Margrave_of_Austria__Leopold_III__1","Leopold,_Duke_of_Bavaria"
Probyn_Inniss,Elizabeth_II
Prince_Karl_Alfred_of_Liechtenstein,Maria-Pia_Kothbauer
"Thomas_Manners,_1st_Earl_of_Rutland",Anthony_Browne_(died_1548)
Jonathan_Belcher,George_II_of_Great_Britain
Empress_Wang_Zhi,Emperor_Wu_of_Han
Luchino_Visconti_(died_1349),Isabella_Fieschi
Rick_Perry,George_W._Bush
Lady_Alexandra_Etherington,Queen_Victoria
Lord_Charles_Spencer,George_III_of_the_United_Kingdom
Stanisław_%22Rewera%22_Potocki,Feliks_Kazimierz_Potocki
Tony_DiMera,Betty_Corday
Prince_Welf_Henry_of_Hanover,Alexandra_Prinzessin_von_Hannover
Jean-Paul_Elkann,Ettore_Ovazza
Alfonso_II_of_Naples,Ferdinand_II_of_Naples
John_Sparkman,Absalom_Willis_Robertson
Mikhail_Loris-Melikov,Alexander_II_of_Russia
Princess_Adelheid_of_Schaumburg-Lippe,Princess_Vilhelmine_Marie_of_Denmark
Jeanne_d'Albret,Henry_IV_of_France
Henry_Turner_Irving,Queen_Victoria
Eleanor_Parke_Custis_Lewis,Lawrence_Lewis_(1767–1839)
Dmitry_Sipyagin,Nicholas_II_of_Russia
Elizabeth_of_York,Henry_VII_of_England
Frank_Mackenzie_Ross,Elizabeth_II
Sambhaji_Shahaji_Bhosale,Shivaji
"Philip_Yorke,_3rd_Earl_of_Hardwicke",George_III_of_the_United_Kingdom
"Ramon_Berenguer_IV,_Count_of_Barcelona",Alfonso_II_of_Aragon
William_Cargill_(Berwick_MP),"Dudley_Marjoribanks,_1st_Baron_Tweedmouth"
Ferdinand_I_of_Naples,"Eleanor_of_Naples,_Duchess_of_Ferrara"
"F._J._Robinson,_1st_Viscount_Goderich",George_III_of_the_United_Kingdom
Prince_Laurent_of_Belgium,Princess_Claire_of_Belgium
Charles_A._Halleck,Gerald_Ford
"William_II,_Landgrave_of_Hesse","Philip_I,_Landgrave_of_Hesse"
George_V,Edward_VIII
"Sir_John_Ross,_1st_Baronet","Edward_Gibson,_1st_Baron_Ashbourne"
Paribatra_Sukhumbhand,Bhanurangsi_Savangwongse
Rahul_Gandhi,Sonia_Gandhi
Duchess_Augusta_of_Brunswick-Wolfenbüttel,Frederick_I_of_Württemberg
Henry_II_of_Castile,Peter_of_Castile
Elizabeth_of_Aragon,Denis_of_Portugal
George_von_Lengerke_Meyer,Theodore_Roosevelt
"Reginald_Manningham-Buller,_1st_Viscount_Dilhorne",Elizabeth_II
Duchess_Helene_in_Bavaria,"Maximilian_Maria,_7th_Prince_of_Thurn_and_Taxis"
"William_Douglas,_1st_Earl_of_Douglas","James_Douglas,_2nd_Earl_of_Douglas"
Princess_Karoline_Mathilde_of_Schleswig-Holstein-Sonderburg-Augustenburg,Princess_Adelheid_of_Schaumburg-Lippe
Ratna_Pathak,Naseeruddin_Shah
John_F._Kennedy,Rose_Kennedy
Ibrahim_of_the_Ottoman_Empire,Hatice_Muazzez_Sultan
George_Edwin_King,Queen_Victoria
Maria_Beatrix_Krasińska,Edward_Aleksander_Raczyński
Spit_Stix,Nina_Hagen
"Frederick_II,_Landgrave_of_Hesse-Kassel",Princess_Mary_of_Great_Britain
Keith_Azopardi,Elizabeth_II
Cornelius_Gurlitt_(composer),Louis_Gurlitt
Hishammuddin_Hussein,Najib_Razak
Afonso_II_of_Portugal,"Fernando,_Lord_of_Serpa"
Princess_Amalie_Zephyrine_of_Salm-Kyrburg,"Anton_Aloys,_Prince_of_Hohenzollern-Sigmaringen"
Pavel_Kridener,Nicholas_I_of_Russia
Henry_Neville_(died_1615),Edward_Norreys
Mahendra_of_Nepal,"Indra,_Crown_Princess_of_Nepal"
Abu_Marwan_Abd_al-Malik_I_Saadi,Ahmad_al-Mansur
"Marie,_Countess_of_Ponthieu","Joan,_Countess_of_Ponthieu"
Kinoiki_Kekaulike,Kūhiō_Kalanianaole
Charles_de_Worms,Mayer_Amschel_Rothschild
Louis_II_of_Naples,Marie_of_Anjou
Igor_of_Kiev,Sviatoslav_I_of_Kiev
"Christian_August,_Prince_of_Anhalt-Zerbst","John_Louis_II,_Prince_of_Anhalt-Zerbst"
David_C._Westenhaver,Woodrow_Wilson
"William_Russell,_Lord_Russell","Sir_Francis_Drake,_3rd_Baronet"
Mao_Zedong,Lin_Biao
Frederick_II_of_Denmark,Augusta_of_Denmark
Dakota_Johnson,J._K._Simmons
"John_Jacob,_Marquess_of_Montferrat","Boniface_III,_Marquess_of_Montferrat"
Peter_IV_of_Aragon,"Eleanor_of_Aragon,_Queen_of_Castile"
Premik_Russell_Tubbs,Whitney_Houston
Alexandre_de_Beauharnais,Joséphine_de_Beauharnais
Princess_Marie_Alexandra_of_Baden,Prince_Wolfgang_of_Hesse
Yelü_Bei,Emperor_Shizong_of_Liao
Susan_Eisenhower,Mary_Jean_Eisenhower
Kilab_ibn_Murrah,Muhammad
"Charles_Berkeley,_2nd_Viscount_Fitzhardinge",Alexander_Popham
"Przemysław_II,_Duke_of_Cieszyn",Władysław_of_Głogów
Al-aman_Mirza,Akbar
Maureen_Cusack,Sinéad_Cusack
"Samuel_Vestey,_3rd_Baron_Vestey","William_Peel,_3rd_Earl_Peel"
Robert_Andrews_(Resident),George_III_of_the_United_Kingdom
Cornelis_de_Graeff,Pieter_de_Graeff
Diane_von_Fürstenberg,Egon_von_Fürstenberg
Marc-Amable_Girard,Queen_Victoria
Æthelfrith,Æbbe_of_Coldingham
"Lebrecht,_Prince_of_Anhalt-Zeitz-Hoym","Victor_I,_Prince_of_Anhalt-Bernburg-Schaumburg-Hoym"
Marina_Torlonia_di_Civitella-Cesi,Frank_Shields
Anna_of_Saxony,William_the_Silent
Eleanor_of_Aquitaine,Henry_II_of_England
Alexandros_Diomidis,Paul_of_Greece
Christopher_G._Kennedy,Courtney_Kennedy_Hill
"Henry_Somerset,_2nd_Duke_of_Beaufort","Charles_Beauclerk,_1st_Duke_of_St_Albans"
Victoire_Conroy,Queen_Victoria
Maya_Vik,Lenny_Kravitz
"Mary_of_Hungary,_Queen_of_Naples","Philip_I,_Prince_of_Taranto"
Khosrow_II,Juvansher
Botho_zu_Eulenburg,"Wilhelm_II,_German_Emperor"
John_Miller_(engineer),Duncan_McLaren
Joan_of_Acre,Elizabeth_de_Clare
Oliver_Cromwell,Charles_I_of_England
Wyatt_Earp,Billy_Clanton
Moses,Zipporah
"A._V._Alexander,_1st_Earl_Alexander_of_Hillsborough",George_V
Charles_III_of_Spain,Ferdinand_I_of_the_Two_Sicilies
John_M._Walker_Jr.,Ronald_Reagan
Henrique_de_Barros_Gomes,Carlos_I_of_Portugal
"Frances_Howard,_Duchess_of_Richmond","Ludovic_Stewart,_2nd_Duke_of_Lennox"
Olaf_Hambro,James_Hambro
Gilbert_Fitz_Richard,Richard_Fitz_Gilbert_de_Clare
"William_IV,_Grand_Duke_of_Luxembourg",Infanta_Marie_Anne_of_Portugal
Yolande_of_Valois,Anne_of_Savoy
Adelbert_Theodor_Wangemann,Otto_von_Bismarck
Princess_Helena_of_the_United_Kingdom,Prince_Christian_of_Schleswig-Holstein
Muhammad_Tawfiq_Nasim_Pasha,Fuad_I_of_Egypt
Alexander_Hamilton,John_Church_Hamilton
"Princess_Maria_Laura_of_Belgium,_Archduchess_of_Austria-Este","Prince_Amedeo_of_Belgium,_Archduke_of_Austria-Este"
Dorothy_Garai,Tvrtko_II_of_Bosnia
Herbert_Taylor_(British_Army_officer),George_III_of_the_United_Kingdom
Me_Agtsom,Trisong_Detsen
Frank_Keating,Ronald_Reagan
"Henry_de_Nassau_d'Auverquerque,_1st_Earl_of_Grantham",Caroline_of_Ansbach
Joseph_W._Twinam,Richard_Nixon
Helen_Johnson-Leipold,Winnie_Johnson-Marquart
Fu_Jian_(337–385),Fu_Sheng
Kayemba_of_Buganda,Tebandeke_of_Buganda
Anna_Tyszkiewicz,Natalia_Potocka
Leonard_I._Garth,Richard_Nixon
Muhammad_ibn_Rustam_Dushmanziyar,Garshasp_I
Frank_Muir,Alan_Coren
Sher_Bahadur_Deuba,Birendra_of_Nepal
Paul_McCracken_(economist),Richard_Nixon
Jalaludin_Abdur_Rahim,Zulfikar_Ali_Bhutto
Tommy_Thompson,George_W._Bush
David_Shapell,Nathan_Shapell
Dorothea_Wilhelmine_of_Saxe-Zeitz,"William_VIII,_Landgrave_of_Hesse-Kassel"
Countess_Palatine_Dorothea_Catherine_of_Birkenfeld-Bischweiler,"John_Louis,_Count_of_Nassau-Ottweiler"
"William_Slim,_1st_Viscount_Slim",Elizabeth_II
"Prince_Edward,_Duke_of_Kent",Lady_Helen_Taylor
Cecilia_Månsdotter,Erik_Johansson_Vasa
Lu_Muzhen,Sun_Fo
Ferdinand_de_Boisschot,Philip_IV_of_Spain
William_Annand,Queen_Victoria
Les_Aspin,Bill_Clinton
Jorge_Fernández_Díaz,Juan_Carlos_I_of_Spain
Isabella_of_Bourbon,Charles_the_Bold
Helena_Bergström,Colin_Nutley
George_V,Edward_VIII
Suvadhana,Vajiravudh
"Enno_Louis,_Prince_of_East_Frisia","George_Christian,_Prince_of_East_Frisia"
Margravine_Friederike_of_Brandenburg-Schwedt,"Frederick_II_Eugene,_Duke_of_Württemberg"
Teodora-Evdokija,Jovan_Dragaš
"Henry_Howard,_7th_Duke_of_Norfolk","Thomas_Howard,_8th_Duke_of_Norfolk"
Francis_Noel_Clarke_Mundy,Francis_Mundy
"Sir_Horace_Rumbold,_9th_Baronet",George_V
"José_Manso_de_Velasco,_1st_Count_of_Superunda",Philip_V_of_Spain
John_H._Moore_II,Ronald_Reagan
Princess_Helena_of_Nassau,"Friedrich,_Prince_of_Waldeck_and_Pyrmont"
"Maximilian_Anton,_Hereditary_Prince_of_Thurn_and_Taxis",Duchess_Helene_in_Bavaria
"Magnus,_Duke_of_Holstein",Frederick_II_of_Denmark
"Henry_Vassall-Fox,_3rd_Baron_Holland",William_IV_of_the_United_Kingdom
Kesang_Choden_(born_1930),Tshering_Yangdon
Lady_Kitty_Spencer,"Prince_William,_Duke_of_Cambridge"
"Elizabeth_of_Carinthia,_Queen_of_Germany",Imagina_of_Isenburg-Limburg
Jan_Tarło_(d._1550),Jan_Tarło_(1527–1587)
Cap'n_Bill,L._Frank_Baum
Nakayama_Yoshiko,Emperor_Meiji
Maria_Alexandrovna_(Marie_of_Hesse_and_by_Rhine),Grand_Duke_Paul_Alexandrovich_of_Russia
Sergei_Witte,Nicholas_II_of_Russia
"Louis_V,_Landgrave_of_Hesse-Darmstadt",Frederick_of_Hesse-Darmstadt
Brooke_English,Julia_Barr
Lindsay_Lohan,Ali_Lohan
Christine_of_France,"Victor_Amadeus_I,_Duke_of_Savoy"
William_MacGregor,George_V
Cheryl_Benard,Zalmay_Khalilzad
Howard_Thomas_Markey,Richard_Nixon
Robert_Mueller,George_W._Bush
Charles_Hope_(politician),Queen_Victoria
Elizabeth_Gloster,Elizabeth_II
"Baldwin_III,_Count_of_Flanders","Arnulf_II,_Count_of_Flanders"
Michael_I_of_Russia,Alexis_of_Russia
"Richard_of_York,_3rd_Duke_of_York",Edward_IV_of_England
Sultan_bin_Abdulaziz,Abdullah_of_Saudi_Arabia
Elizabeth_FitzHugh,Sir_Thomas_Parr
Johnny_Harris_(musician),Paul_Anka
Elmira_Minita_Gordon,Elizabeth_II
"Augustus,_Duke_of_Saxe-Gotha-Altenburg","Ernest_II,_Duke_of_Saxe-Gotha-Altenburg"
Rudolph_of_France,Louis_IV_of_France
Muhammad_ibn_Rustam_Dushmanziyar,Garshasp_I
Frederick_II_of_Denmark,"Adolf,_Duke_of_Holstein-Gottorp"
Iyad_bin_Amin_Madani,Abdullah_of_Saudi_Arabia
Legacy_of_Pedro_II_of_Brazil,"Isabel,_Princess_Imperial_of_Brazil"
