Vernon_Singer,Odoardo_Di_Santo
Carlos_Camacho,Ricardo_Bordallo
Titus,Vespasian
Vanessa_Williams,Debra_Maffett
Jon_Sullivan,Bill_Feldman
Louis_Botha,Edward_VII
Guidobaldo_da_Montefeltro,Cesare_Borgia
"Uchter_Knox,_5th_Earl_of_Ranfurly",Richard_Seddon
Roger_Sherman,Samuel_Bishop
Tito_Sotto,Ciara_Sotto
Queen_Inwon,Gyeongjong_of_Joseon
"George_Victor,_Prince_of_Waldeck_and_Pyrmont",Princess_Pauline_of_Waldeck_and_Pyrmont
Dimitrie_I._Ghika,Carol_II_of_Romania
"Charles_Vane-Tempest-Stewart,_7th_Marquess_of_Londonderry",Stanley_Baldwin
Catherine_of_Aragon,Mary_I_of_England
Ivan_Alexander_of_Bulgaria,Ivan_Shishman_of_Bulgaria
"Alexander_Cambridge,_1st_Earl_of_Athlone",George_V
Archduchess_Maria_Anna_of_Austria_(1882–1940),"Archduke_Friedrich,_Duke_of_Teschen"
Judith_of_Flanders,Osburh
John_Rothman,Thomas_Rothman
Olaf_Tryggvason,Sweyn_Forkbeard
"Frederick,_Duke_of_Saxe-Altenburg",Therese_of_Saxe-Hildburghausen
Anna_Zofia_Sapieha,Witold_Czartoryski
Ali_Jawdat_al-Aiyubi,Faisal_II_of_Iraq
Ogden_Mills_Phipps,Ogden_Phipps
Ross_Bagdasarian_Jr.,Ross_Bagdasarian_Sr.
James_Runcie,Rosalind_Runcie
Ashton_Chen,Jackie_Chan
Herbert_Hoover,Ogden_L._Mills
Sheikh_Abdullah,Bakshi_Ghulam_Mohammad
Dean_Winchester,Jensen_Ackles
Jack_Donaghy,Alec_Baldwin
Joh_Bjelke-Petersen,Gordon_Chalk
2002–03_A.C._Milan_season__Andriy_Shevchenko__1,Andriy_Shevchenko
"Frederick_I,_Elector_of_Saxony","Frederick_II,_Elector_of_Saxony"
Joaquín_Crespo,Ignacio_Andrade
Gordon_Brown,David_Cameron
List_of_Dune_secondary_characters,Ghanima_Atreides
Stan_Mikita,Gordie_Howe
Richard_Nixon,Dwight_D._Eisenhower
Samuel_Kipi,Keelikōlani
Anna_Krystyna_Lubomirska_(d._1701),Jerzy_Sebastian_Lubomirski
Tony_Blinken,John_P._Hannah
Jacques_Chaban-Delmas,Georges_Pompidou
John_A._Danaher,Dwight_D._Eisenhower
Françoise_Marie_de_Bourbon,Anne_of_Austria
Stan_Levey,Frank_Sinatra
"Ernest_Frederick,_Margrave_of_Baden-Durlach",Anna_of_Veldenz
Jan_Lubomirski,Maria_Karolina_Lubomirska
Robert_Badinter,Michel_Crépeau
Lucien_Bonaparte,Letizia_Ramolino
Frances_Ruffelle,Sonia_(singer)
Tony_Strickland,Nao_Takasugi
Doug_Benson,Bill_Cosby
Dmitry_Donskoy,Ivan_II_of_Moscow
"Prince_Emanuele_Filiberto,_Duke_of_Aosta",Amadeo_I_of_Spain
Wong_Shun_Leung,Bruce_Lee
Svetlana_Medvedeva,Lyudmila_Putina
Gladys_Adda,Serge_Adda
Ronnie_Musgrove,Kirk_Fordice
Babusha,Budashiri
Ivan_III_of_Russia,Andrey_of_Staritsa
Leroy_Edgar_Burney,Dwight_D._Eisenhower
Nikolai_Saltykov_(1736–1816),Paul_I_of_Russia
Alexander_the_Great,Alexander_IV_of_Macedon
George_W._Romney,James_Thomas_Lynn
Michael_Dukakis,Richard_H._Stallings
Æthelstan,Edward_the_Elder
James_Kirkpatrick_(politician),Warren_E._Hearnes
"Albert_I,_Prince_of_Monaco","Louis_II,_Prince_of_Monaco"
"Louis_VI,_Landgrave_of_Hesse-Darmstadt","George_II,_Landgrave_of_Hesse-Darmstadt"
Joel_Flaum,Gerald_Ford
"Marie_of_France,_Countess_of_Champagne","Theobald_III,_Count_of_Champagne"
Prince_Francis_Xavier_of_Saxony,Maria_Josepha_of_Austria
Emma_Smith,Joseph_Smith
Tolui,Ögedei_Khan
Ameitta_Thiri_Maha_Dhamma_Dewi_of_Ava,Atula_Thiri_Maha_Yaza_Dewi_of_Ava
Kangxi_Emperor,Oboi
Eleonore_Sophie_of_Saxe-Weimar,"John_Ernest_II,_Duke_of_Saxe-Weimar"
Matthew_M._Neely,Francis_J._Love
Opal_Wilcox_Barron,Hovah_Hall_Underwood
Abu_Zayd_al-Balkhi,Muhammad
Jenny_Beth_Martin,Ronald_Reagan
Anna_Mkapa,Siti_Mwinyi
Bruce_Hornsby,Bob_Dylan
Sam_Abal,Elizabeth_II
Konrad_I_of_Masovia,Władysław_III_Spindleshanks
Anthony_Caro,Tim_Scott_(artist)
Princess_Margarita_of_Bourbon-Parma,"Carlos_Hugo,_Duke_of_Parma"
Juliette_Rossant,Susie_Orbach
Catherine_de'_Medici,Catherine_de'_Medici
Elizabeth_le_Despenser,"Edward_le_Despencer,_1st_Baron_le_Despencer"
Frederick_VIII_of_Denmark,Princess_Louise_of_Denmark_(1875–1906)
Louise_of_the_Netherlands,"Prince_Carl_Oscar,_Duke_of_Södermanland"
Yann_Martel,Leo_Tolstoy
Princess_Victoria_Adelaide_of_Schleswig-Holstein,Princess_Karoline_Mathilde_of_Schleswig-Holstein-Sonderburg-Augustenburg
Canute_I_of_Sweden,Charles_VII_of_Sweden
Selim_I,Bayezid_II
Thomas_C._Krajeski,Barack_Obama
John_Benedict,James_Lockwood_(Connecticut_politician)
Princess_Elisabeth_Sophie_of_Saxe-Altenburg,"John_Ernest_IV,_Duke_of_Saxe-Coburg-Saalfeld"
Charles_II_of_Navarre,Philip_VI_of_France
Magnus_Barefoot,Domnall_mac_Taidc
Jason_Schwartzman,Francis_Ford_Coppola
Mina_(singer),Gianni_Ferrio
Richard_A._Jones,George_W._Bush
Yaza_Datu_Kalaya,Bayinnaung
Jan_Fischer_(politician),Václav_Klaus
Mike_McKnight,Mariah_Carey
Edna_Best,Sarah_Marshall_(British_actress)
Melisa_Cantiveros,James_Reid_(entertainer)
Tal_Farlow,Artie_Shaw
Robert_III_of_Scotland,Robert_II_of_Scotland
Adrianne_Allen,Daniel_Massey_(actor)
Dan_Sperber,Noam_Chomsky
Dina_de_Marco,Rocío_Banquells
"Friedrich_Wilhelm,_Duke_of_Schleswig-Holstein-Sonderburg-Glücksburg",Christian_IX_of_Denmark
Juliana_Awada,Alejandro_Awada
Michael_Sembello,Michael_Jackson
Robb_Stark,Ned_Stark
Katarzyna_Lubomirska,Anna_Branicka
Suharto,Umar_Wirahadikusumah
"George_Brown,_Baron_George-Brown",Harold_Wilson
William_D._Hutchinson,Ronald_Reagan
Marjorie_Elliott_Sypher,Karen_Olsen_Beck
Entissar_Amer,Naglaa_Mahmoud
"Henry_IV,_Holy_Roman_Emperor","Henry_V,_Holy_Roman_Emperor"
Julie_Brill,Barack_Obama
Kekuiapoiwa_Liliha,Keōua
Grand_Duchess_Maria_Alexandrovna_of_Russia,Princess_Victoria_Melita_of_Saxe-Coburg_and_Gotha
Alfonso_XIII_of_Spain,Juan_Carlos_I_of_Spain
Dave_Guest,David_Gest
Infanta_Maria_Anna_of_Portugal_(1843–1884),Princess_Mathilde_of_Saxony_(1863–1933)
"Charles_Orlando,_Dauphin_of_France",Charles_VIII_of_France
Clarissa_Eden,Lady_Randolph_Churchill
Princess_Maria_Christina_of_Saxony_(1770–1851),"Charles_of_Saxony,_Duke_of_Courland"
"Charles_Spencer-Churchill,_9th_Duke_of_Marlborough","John_Hope,_1st_Marquess_of_Linlithgow"
"John_Ernest_IV,_Duke_of_Saxe-Coburg-Saalfeld","Albert_V,_Duke_of_Saxe-Coburg"
Teuhe,Tehaapapa_II
Maria_Pia_of_Savoy,Amélie_of_Orléans
Mary_of_Waltham,Philippa_of_Hainault
Juan_Manuel_Santos,Juan_Camilo_Restrepo_Salazar
Richard_Banda,Gertrude_Maseko
Edith_Roosevelt,Kermit_Roosevelt
Pōtatau_Te_Wherowhero,Tāwhiao
Manuel_II_of_Portugal,Carlos_I_of_Portugal
Francis_Biddle,Robert_H._Jackson
Dmytro_Antonovych,Vsevolod_Holubovych
Suleiman_the_Magnificent,Selim_I
"Marie_of_France,_Countess_of_Champagne",Louis_VII_of_France
Nicolás_Maduro,Elías_Jaua
Prince_August_Wilhelm_of_Prussia,"Wilhelm_II,_German_Emperor"
Petro_Poroshenko,Arseniy_Yatsenyuk
Prince_Eduard_of_Saxe-Altenburg,Princess_Antoinette_of_Saxe-Altenburg
Princess_Helena_Adelaide_of_Schleswig-Holstein-Sonderburg-Glücksburg,Princess_Karoline_Mathilde_of_Schleswig-Holstein-Sonderburg-Augustenburg
Leopold_II_of_Belgium,Leopold_I_of_Belgium
Harald_Bluetooth,Harald_Greycloak
"Gerhard_VII,_Count_of_Holstein-Rendsburg",Catherine_Elisabeth_of_Brunswick-Lüneburg
Rose_Kennedy,Ted_Kennedy
Kanuri_Lakshmana_Rao,Jawaharlal_Nehru
Tony_Mottola,Tommy_Mottola
Patty_Judge,Tom_Vilsack
Catherine_of_Portugal_(nun),"Eleanor_of_Aragon,_Queen_of_Portugal"
Sophie_of_Pomerania,"Anna_Jagiellon,_Duchess_of_Pomerania"
Madhu_Dandavate,Nath_Pai
Thado_Minsaw_of_Prome,Bayin_Htwe
John_Quincy_Adams,James_Monroe
Keōpūolani,Kekuiapoiwa_Liliha
Warren_Zimmermann,Phyllis_E._Oakley
George_III_of_the_United_Kingdom,George_IV_of_the_United_Kingdom
Christos_Demetriou,Mike_d'Abo
Robert_Nathan,Emma_Lazarus
Prince_Frederick_of_the_Netherlands,William_I_of_the_Netherlands
Neil_Kinnock,Jacques_Santer
Lawrence_Gama,Horace_Kolimba
Dennis_Kucinich,Martin_Hoke
Alberto_Fabra,Felipe_VI_of_Spain
Richard_Axel,David_J._Anderson
Ne_Win,Sein_Lwin
Padmé_Amidala,Han_Solo
Paul_Eyschen,"William_IV,_Grand_Duke_of_Luxembourg"
Ruqayyah_bint_Muhammad,Muhammad
Jason_Miller_(playwright),Jason_Patric
Oona_O'Neill,Agnes_Boulton
"Charles_Howard,_3rd_Earl_of_Carlisle","Anne,_Queen_of_Great_Britain"
Prince_Heinrich_XXXII_Reuss_of_Köstritz,Princess_Marie_Alexandrine_of_Saxe-Weimar-Eisenach
Cathy_Seibel,George_W._Bush
José_María_Mata,Benito_Juárez
Eleanor_of_Castile,Elizabeth_of_Rhuddlan
Aleksander_Stanisław_Potocki,Natalia_Potocka
Torbert_Macdonald,Tip_O'Neill
Patrick_Leclercq,"Albert_II,_Prince_of_Monaco"
"Uchter_Knox,_5th_Earl_of_Ranfurly","William_Plunket,_5th_Baron_Plunket"
Christian_IV_of_Denmark,"Christian,_Prince-Elect_of_Denmark"
Henry_of_Bohemia,"Meinhard,_Duke_of_Carinthia"
Prokop_Sieniawski_(d._1627),Adam_Hieronim_Sieniawski_(1576–1616)
Grand_Duchess_Maria_Kirillovna_of_Russia,Princess_Victoria_Melita_of_Saxe-Coburg_and_Gotha
Jimmy_Wakely,Roy_Rogers
George_H._W._Bush,David_K._E._Bruce
Duchess_Sophia_Charlotte_of_Oldenburg,"Frederick_Augustus_II,_Grand_Duke_of_Oldenburg"
Qiao_Guanhua,Hung_Huang
Theresa_Kufuor,Nana_Konadu_Agyeman_Rawlings
Ruth_Martin_(Lassie),Jack_Wrather
Archduchess_María_of_Austria_(b._1967),"Infante_Carlos,_Duke_of_Calabria"
Aung_San_Suu_Kyi,Thein_Sein
Jim_Flaherty,Stephen_Harper
Beatrice_of_Silesia,Margaret_of_Brabant
Simon_Case,Theresa_May
Joe_Purcell,Bill_Clinton
Anna_Freud,Martha_Bernays
Tashlultum,Rimush
Maureen_McTeer,Catherine_Clark
Really_Doe,Kanye_West
Dexter_Morgan,Michael_C._Hall
Faizur_Rahman_(police_officer),Humayun_Ahmed
Michael_Moldaver,Stephen_Harper
Kate_Beckinsale,Richard_Beckinsale
"Joanna_of_Aragon,_Countess_of_Foix",John_I_of_Aragon
"Blanche_of_Navarre,_Queen_of_Castile",García_Ramírez_of_Navarre
Stephen_Hale_Anderson,Ronald_Reagan
Lionel_de_Rothschild,William_Lawrence_(London_MP)
Husain_Haqqani,Sherry_Rehman
Jahangir,Akbar
Charles_IV_of_France,Philip_VI_of_France
Yongzheng_Emperor,Qianlong_Emperor
Bob_Matsui,John_E._Moss
Amin_Amidu_Sulemana,John_Dramani_Mahama
Carlos_Menem,Fernando_de_la_Rúa
Thomas_Cromwell_(Parliamentary_diarist),"Gregory_Cromwell,_1st_Baron_Cromwell"
Geraldine_Chaplin,Charlie_Chaplin
Dave_Tozer,John_Legend
"Edward_Smith-Stanley,_12th_Earl_of_Derby","Thomas_Villiers,_1st_Earl_of_Clarendon"
Baldwin_I_of_Jerusalem,Baldwin_II_of_Jerusalem
Greg_Hemphill,Ross_Kemp
Thandiwe_Banda,Maureen_Mwanawasa
"Bogislaw_VIII,_Duke_of_Pomerania","Bogislaw_V,_Duke_of_Pomerania"
Javed_Akhtar,Zoya_Akhtar
"Jean_Corston,_Baroness_Corston",Jonathan_Sayeed
Swa_Saw_Ke,Thihapate_of_Yamethin
Abby_McDeere,Jeanne_Tripplehorn
Mercedes_Bass,Farah_Pahlavi
Amadeo_I_of_Spain,Alfonso_XII_of_Spain
Emperor_Ruizong_of_Tang,Emperor_Gaozong_of_Tang
Yasser_Arafat,Mahmoud_Abbas
Bayezid_I,Murad_I
Laurent-Désiré_Kabila,Zoé_Kabila
Liu_Shaoqi,Zhu_De
"Isabel,_Princess_Imperial_of_Brazil",Prince_Luís_of_Orléans-Braganza_(1878–1920)
John_Daniel_Tinder,Ronald_Reagan
Francis_Nicholson,George_I_of_Great_Britain
"Louis_I,_Duke_of_Orléans","Charles,_Duke_of_Orléans"
"Ramon_Berenguer_II,_Count_of_Barcelona","Ramon_Berenguer_I,_Count_of_Barcelona"
Yulia_Tymoshenko,Mykola_Azarov
Ng_Chau-pei,Lam_Suk-yee
Emperor_Ningzong,Emperor_Guangzong_of_Song
Digvijay_Singh_(Bihar),Chandra_Shekhar
Bindusara,Ashoka
Georges_Vanier,Philippe_Roy
Nagendra_Singh_(politician),Narendra_Modi
Edgar_Ætheling,Harold_Godwinson
Ruby_Dee,Guy_Davis_(musician)
William_Foot_Mitchell,Stanley_Baldwin
George_Mkuchika,Jakaya_Kikwete
"Richeza_of_Poland,_Queen_of_Castile",Berengaria_of_Barcelona
Qianlong_Emperor,Yongrong
Duncan_Sandys,Ronald_Chamberlain
Pratap_Singh_Shah,Prithvi_Narayan_Shah
"Edmund_of_Langley,_1st_Duke_of_York","Richard_of_Conisburgh,_3rd_Earl_of_Cambridge"
Linda_Burney,Kevin_Greene_(politician)
Gerald_Ford,Rogers_Morton
Edward_Everett,Millard_Fillmore
Wyatt_Earp,Billy_Clanton
Wilhelmine_Amalia_of_Brunswick-Lüneburg,Elisabeth_Christine_of_Brunswick-Wolfenbüttel
James_Francis_Edward_Stuart,Charles_Edward_Stuart
Don_Beyer,Jeffrey_R._Cellars
Jungjong_of_Joseon,Myeongjong_of_Joseon
Jane_Alexander,John_Frohnmayer
Keohokālole,Liliuokalani
Alexandra_Feodorovna_(Charlotte_of_Prussia),Alexander_II_of_Russia
Bülent_Ulusu,Turgut_Özal
Marisa_Letícia_Lula_da_Silva,Marcela_Temer
Robert_D._Nesen,Ronald_Reagan
Paul_Reeves,Elizabeth_II
Boris_Johnson,Ken_Livingstone
Jan_Masaryk,Tomáš_Garrigue_Masaryk
Surendra_of_Nepal,Rajendra_of_Nepal
"William_IX,_Count_of_Poitiers",Eleanor_of_Aquitaine
Preneet_Kaur,Anand_Sharma
"Alix,_Dowager_Princess_of_Ligne","Charlotte,_Grand_Duchess_of_Luxembourg"
Russell_Brown_(judge),Stephen_Harper
Christian_VII_of_Denmark,Princess_Louise_Auguste_of_Denmark
Peter_Underwood,Elizabeth_II
2008–09_Torino_F.C._season__Nicola_Ventola__1,Nicola_Ventola
Benjamin_Robbins_Curtis,Millard_Fillmore
"Sir_James_Fergusson,_6th_Baronet",Queen_Victoria
Princess_Esra,Prince_Azmet_Jah
Selim_II,Selim_II_Giray
Garry_Shandling,Judd_Apatow
Kazimierz_Czartoryski,August_Aleksander_Czartoryski
"Charles,_Count_of_Valois",Philip_VI_of_France
"Urraca_of_Castile,_Queen_of_Portugal",Dulce_of_Aragon
David_Owen,James_Callaghan
William_Branch_Giles,John_Tyler
Karen_Nelson_Moore,Bill_Clinton
Princess_Sophie_of_Baden,Duchess_Elisabeth_Alexandrine_of_Württemberg
Rufus_King,John_Quincy_Adams
Maurice_Cummins,Enda_Kenny
Owen_Paterson,David_Cameron
Carlos_R._Moreno,Bill_Clinton
Atotoztli_I,Coxcoxtli
"Charles_IV,_Duke_of_Lorraine","Charles_V,_Duke_of_Lorraine"
Michael_Sata,Guy_Scott
Debesh_Bhattacharya,Debapriya_Bhattacharya
Roden_Cutler,Elizabeth_II
Hong_Taiji,Shunzhi_Emperor
Patrick_Swayze,Patsy_Swayze
"Charles_V,_Holy_Roman_Emperor",Philip_II_of_Spain
Philip_V_of_Spain,Ferdinand_VI_of_Spain
William_Benjamin_Robinson,John_Cawthra
George_Washington_Baines,Lyndon_B._Johnson
David_Cole_(record_producer),Jim_Carrey
Dianne_Pilkington,Andrew_Lloyd_Webber
John_Hancock,James_Bowdoin
Paul_Sarbanes,Phil_Gramm
Richard_Lowell_Nygaard,Ronald_Reagan
Judy_Loe,Kate_Beckinsale
George_Grey,Frederick_Baume
Roméo_LeBlanc,Adrienne_Clarkson
Néstor_Kirchner,María_Emma_Mejía_Vélez
Lawton_Chiles,Frank_Church
Florencio_Randazzo,Cristina_Fernández_de_Kirchner
Eugene_Meyer_(financier),Herbert_Hoover
Princess_Elisabeth_of_Savoy,Archduke_Leopold_Ludwig_of_Austria
William_A._Blakley,Lyndon_B._Johnson
"William,_Prince_of_Wied","William_Frederick,_Prince_of_Wied"
Jake_Siewert,Bill_Clinton
Bill_Luther,Rod_Grams
Nurhaci,Dorgon
Princess_Augusta_of_Württemberg,William_I_of_Württemberg
James_H._Billington,George_W._Bush
Andreas_Zaimis,Georgios_Kountouriotis
Chaka_Khan,Stephen_Bishop_(singer)
List_of_The_Bill_characters_(A–D),Patrick_Robinson_(actor)
Chris_Mosdell,Michael_Jackson
Gerry_Sutcliffe,Bob_Cryer
Mac_(It's_Always_Sunny_in_Philadelphia),Rob_McElhenney
Juan_Francisco_Luis,Henry_Millin
Finn_Rausing,Gad_Rausing
Hugh_Hefner,Christie_Hefner
Qianlong_Emperor,Jiaqing_Emperor
Craig_Mack,The_Notorious_B.I.G.
"Charles,_6th_Prince_of_Löwenstein-Wertheim-Rosenberg","Constantine,_Hereditary_Prince_of_Löwenstein-Wertheim-Rosenberg"
"Isabella,_Duchess_of_Lorraine","Charles_II,_Duke_of_Lorraine"
Rommel_Padilla,Robin_Padilla
John_Adams,Samuel_Dexter
Dick_Fontaine,Smokey_Fontaine
Eddie_Van_Halen,Michael_Jackson
Avel_Gordly,Ron_Cease
Michael_Coyle_(politician),Francie_Brolly
Mira_Spivak,Brian_Mulroney
Summer_Phoenix,Rain_Phoenix
Rudy_Boschwitz,Paul_Wellstone
Edith_of_Wessex,"Godwin,_Earl_of_Wessex"
Émile_Meyerson,Albert_Einstein
Joyce_Carol_Oates,Charles_Dickens
Sithu_of_Pinya,Narathihapate
Hayrünnisa_Gül,Semra_Sezer
Tim_Mathieson,Thérèse_Rein
Abraham_Ford,Rosita_Espinosa
Earl_Butz,Gerald_Ford
García_Sánchez_I_of_Pamplona,Sancho_II_of_Pamplona
"Frederick_II,_Landgrave_of_Hesse-Homburg","Frederick_I,_Landgrave_of_Hesse-Homburg"
Samuel_Henry_Strong,John_Sparrow_David_Thompson
Gina_Yashere,Richard_Pryor
Adrian_A._Basora,George_H._W._Bush
John_McEwen,Charles_Davidson_(politician)
Lucius_Sempronius_Atratinus,Mark_Antony
Tina_Tchen,Barack_Obama
"Louis_Philippe_I,_Duke_of_Orléans","Louis_Philippe_II,_Duke_of_Orléans"
Samantha_Juste,Ami_Dolenz
Prince_Antoine_of_Bourbon-Two_Sicilies,"Prince_Carlo,_Duke_of_Castro"
Sophia_Peletier,Glenn_Rhee
Keōua,Kamakaimoku
Johannetta_of_Sayn-Wittgenstein_(1632-1701),Princess_Eleonore_Erdmuthe_of_Saxe-Eisenach
Carlos_Lleras_Restrepo,Alfonso_Araújo_Gaviria
Princess_Sophie_of_Saxony,John_of_Saxony
Christine_of_Saxony,Anna_of_Mecklenburg-Schwerin
"Alix,_Duchess_of_Brittany","Constance,_Duchess_of_Brittany"
Marta_Domingo,Plácido_Domingo_Ferrer
Mihály_Károlyi,Dénes_Berinkey
Michel_Suleiman,Jean_Kahwaji
Mahbub_ul_Haq,Benazir_Bhutto
Robert_Goulet,Joan_Hackett
"Leka_II,_Crown_Prince_of_Albania",House_of_Zogu
Ratna_Omidvar,Justin_Trudeau
Robert_Tickner,Bob_Hawke
Sibylle_of_Cleves,"Johann_Wilhelm,_Duke_of_Saxe-Weimar"
Tengku_Budriah_of_Perlis,Tengku_Intan_Zaharah
Tippi_Hedren,Melanie_Griffith
Elizabeth_Chifley,Pattie_Menzies
Princess_Elisabeth_Helene_of_Thurn_and_Taxis,"Maria_Emanuel,_Margrave_of_Meissen"
Jack_Lynch,Cearbhall_Ó_Dálaigh
François_Magendie,Claude_Bernard
David_in_Islam,Solomon
Ed_Miliband,Hilary_Armstrong
Duke_Xiang_of_Qi,Duke_Xi_of_Qi
Peter_Milward,G._K._Chesterton
"Eberhard_II,_Duke_of_Württemberg","Ulrich_V,_Count_of_Württemberg"
"Henry_Fitzalan-Howard,_15th_Duke_of_Norfolk",Queen_Victoria
Daniel_Webster,John_Tyler
Béla_II_of_Hungary,Stephen_IV_of_Hungary
"Nigel_Birch,_Baron_Rhyl",Harold_Macmillan
Parviz_C._Raji,Mohammad_Reza_Pahlavi
Leontios,Justinian_II
"Isabella_d'Este,_Duchess_of_Parma","Francesco_I_d'Este,_Duke_of_Modena"
Vijay_Deenanath_Chauhan,Neelam_Kothari
Idris_bin_Abdullah_al-Senussi,Idris_of_Libya
Htilominlo,Naratheinga_Uzana
Violet_Wilson,Jenny_Platt
"Louis_II,_Landgrave_of_Thuringia",Hedwig_of_Gudensberg
Dave_Carlock,Lenny_Kravitz
"Thomas_Herbert,_8th_Earl_of_Pembroke","Charles_Seymour,_6th_Duke_of_Somerset"
John_Kasich,Mary_Taylor_(politician)
Lewis_Morris_(governor),George_II_of_Great_Britain
