0.4  negspouse(1 ,A ,B)  :-  president(C ,B)   ,  region(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(112 ,A ,B)  :-  successor(A ,C)   ,  predecessor(A ,C)   ,  successor(A ,B).
0.4  negspouse(113 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(C ,D)   ,  successor(B ,D).
0.39  negspouse(114 ,A ,B)  :-  president(C ,B)   ,  spouse(D ,A)   ,  C=D.
0.4  negspouse(115 ,A ,B)  :-  monarch(C ,A)   ,  deathPlace(C ,D)   ,  deathPlace(B ,D).
0.39  negspouse(116 ,A ,B)  :-  deathPlace(B ,C)   ,  birthPlace(D ,C)   ,  successor(D ,A).
0.4  negspouse(117 ,A ,B)  :-  predecessor(C ,A)   ,  office(C ,D)   ,  office(B ,D).
0.39  negspouse(118 ,A ,B)  :-  child(A ,C)   ,  predecessor(B ,D)   ,  C=D.
0.4  negspouse(119 ,A ,B)  :-  almaMater(A ,C)   ,  almaMater(D ,C)   ,  successor(D ,B).
0.4  negspouse(120 ,A ,B)  :-  almaMater(B ,C)   ,  almaMater(D ,C)   ,  successor(D ,A).
0.4  negspouse(121 ,A ,B)  :-  successor(C ,A)   ,  primeMinister(C ,D)   ,  successor(B ,D).
0.4  negspouse(122 ,A ,B)  :-  spouse(C ,A)   ,  child(C ,D)   ,  relative(D ,B).
0.4  negspouse(123 ,A ,B)  :-  spouse(B ,C)   ,  successor(D ,C)   ,  spouse(D ,A).
0.4  negspouse(124 ,A ,B)  :-  spouse(A ,C)   ,  successor(D ,C)   ,  spouse(D ,B).
0.4  negspouse(125 ,A ,B)  :-  relative(A ,C)   ,  relative(D ,C)   ,  relative(D ,B).
0.4  negspouse(126 ,A ,B)  :-  relative(B ,C)   ,  relative(D ,C)   ,  relative(D ,A).
0.4  negspouse(127 ,A ,B)  :-  successor(C ,B)   ,  predecessor(C ,D)   ,  successor(D ,A).
0.4  negspouse(128 ,A ,B)  :-  successor(C ,A)   ,  president(D ,C)   ,  successor(D ,B).
0.4  negspouse(129 ,A ,B)  :-  spouse(C ,B)   ,  spouse(B ,C)   ,  successor(A ,B).
0.4  negspouse(130 ,A ,B)  :-  successor(C ,B)   ,  president(C ,D)   ,  president(A ,D).
0.4  negspouse(131 ,A ,B)  :-  predecessor(B ,C)   ,  commander(D ,C)   ,  commander(D ,A).
0.4  negspouse(132 ,A ,B)  :-  predecessor(A ,C)   ,  commander(D ,C)   ,  commander(D ,B).
0.4  negspouse(133 ,A ,B)  :-  successor(A ,C)   ,  successor(C ,A)   ,  predecessor(A ,B).
0.4  negspouse(134 ,A ,B)  :-  successor(A ,B)   ,  successor(B ,C)   ,  successor(C ,B).
0.4  negspouse(135 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(A ,C)   ,  predecessor(B ,A).
0.4  negspouse(136 ,A ,B)  :-  birthPlace(B ,C)   ,  location(D ,C)   ,  birthPlace(A ,D).
0.4  negspouse(137 ,A ,B)  :-  president(C ,B)   ,  country(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(138 ,A ,B)  :-  party(B ,C)   ,  party(A ,D)   ,  D=C.
0.4  negspouse(139 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,B)   ,  predecessor(A ,B).
0.39  negspouse(140 ,A ,B)  :-  president(C ,B)   ,  spouse(A ,D)   ,  C=D.
0.4  negspouse(141 ,A ,B)  :-  president(A ,C)   ,  president(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(142 ,A ,B)  :-  successor(B ,C)   ,  president(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(143 ,A ,B)  :-  successor(A ,C)   ,  president(D ,C)   ,  predecessor(D ,B).
0.38  negspouse(144 ,A ,B)  :-  party(A ,C)   ,  termPeriod(B ,D)   ,  D=C.
0.4  negspouse(145 ,A ,B)  :-  successor(A ,C)   ,  office(C ,D)   ,  office(B ,D).
0.39  negspouse(146 ,A ,B)  :-  spouse(A ,C)   ,  president(D ,B)   ,  D=C.
0.4  negspouse(147 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(A ,C)   ,  parent(B ,A).
0.4  negspouse(148 ,A ,B)  :-  successor(B ,C)   ,  primeMinister(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(149 ,A ,B)  :-  successor(A ,C)   ,  primeMinister(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(150 ,A ,B)  :-  predecessor(B ,C)   ,  successor(C ,D)   ,  predecessor(D ,A).
0.4  negspouse(151 ,A ,B)  :-  child(A ,C)   ,  relative(B ,C).
0.39  negspouse(152 ,A ,B)  :-  activeYearsEndYear(B ,C)   ,  activeYearsStartYear(A ,D)   ,  C<D.
0.39  negspouse(153 ,A ,B)  :-  predecessor(B ,C)   ,  president(A ,D)   ,  C=D.
0.4  negspouse(154 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(D ,C)   ,  monarch(D ,A).
0.4  negspouse(155 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  monarch(D ,B).
0.45  negspouse(156 ,A ,B)  :-  parent(A ,B).
0.39  negspouse(157 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  parent(B ,D).
0.4  negspouse(158 ,A ,B)  :-  spouse(A ,C)   ,  spouse(C ,A)   ,  predecessor(B ,A).
0.4  negspouse(159 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(160 ,A ,B)  :-  successor(B ,C)   ,  nationality(C ,D)   ,  nationality(A ,D).
0.4  negspouse(161 ,A ,B)  :-  predecessor(C ,B)   ,  president(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(162 ,A ,B)  :-  predecessor(B ,C)   ,  successor(D ,C)   ,  successor(D ,A).
0.4  negspouse(163 ,A ,B)  :-  predecessor(A ,C)   ,  successor(D ,C)   ,  successor(D ,B).
0.4  negspouse(164 ,A ,B)  :-  predecessor(C ,A)   ,  successor(D ,C)   ,  successor(B ,D).
0.4  negspouse(165 ,A ,B)  :-  successor(B ,C)   ,  orderInOffice(C ,D)   ,  office(A ,D).
0.38  negspouse(166 ,A ,B)  :-  successor(C ,A)   ,  termPeriod(B ,D)   ,  D=C.
0.4  negspouse(168 ,A ,B)  :-  predecessor(C ,B)   ,  parent(C ,B)   ,  parent(A ,B).
0.4  negspouse(169 ,A ,B)  :-  child(B ,C)   ,  relative(A ,C).
0.4  negspouse(170 ,A ,B)  :-  successor(C ,B)   ,  office(C ,D)   ,  office(A ,D).
0.4  negspouse(171 ,A ,B)  :-  successor(C ,A)   ,  almaMater(C ,D)   ,  almaMater(B ,D).
0.4  negspouse(172 ,A ,B)  :-  spouse(B ,C)   ,  child(C ,A).
0.4  negspouse(173 ,A ,B)  :-  predecessor(B ,C)   ,  predecessor(C ,A).
0.4  negspouse(174 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(A ,C)   ,  successor(B ,A).
0.4  negspouse(175 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(D ,C)   ,  monarch(D ,A).
0.4  negspouse(176 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  monarch(D ,B).
0.39  negspouse(177 ,A ,B)  :-  party(B ,C)   ,  party(D ,C)   ,  president(A ,D).
0.4  negspouse(178 ,A ,B)  :-  activeYearsStartYear(B ,C)   ,  activeYearsEndYear(B ,C)   ,  parent(A ,B).
0.41  negspouse(179 ,A ,B)  :-  office(A ,C)   ,  office(D ,C)   ,  termPeriod(B ,D).
0.4  negspouse(180 ,A ,B)  :-  predecessor(C ,A)   ,  successor(D ,C)   ,  predecessor(B ,D).
0.39  negspouse(181 ,A ,B)  :-  birthPlace(A ,C)   ,  country(D ,C)   ,  party(B ,D).
0.4  negspouse(182 ,A ,B)  :-  birthPlace(A ,C)   ,  nationality(D ,C)   ,  president(D ,B).
0.39  negspouse(183 ,A ,B)  :-  birthPlace(B ,C)   ,  city(D ,C)   ,  almaMater(A ,D).
0.4  negspouse(184 ,A ,B)  :-  birthPlace(A ,C)   ,  restingPlace(D ,C)   ,  parent(D ,B).
0.39  negspouse(185 ,A ,B)  :-  party(A ,C)   ,  party(D ,C)   ,  predecessor(B ,D).
0.4  negspouse(186 ,A ,B)  :-  successor(C ,A)   ,  predecessor(A ,C)   ,  successor(B ,A).
0.4  negspouse(187 ,A ,B)  :-  deathPlace(A ,C)   ,  place(D ,C)   ,  commander(D ,B).
0.4  negspouse(189 ,A ,B)  :-  birthPlace(A ,C)   ,  country(D ,C)   ,  president(D ,B).
0.4  negspouse(190 ,A ,B)  :-  child(A ,C)   ,  parent(D ,B)   ,  D=C.
0.4  negspouse(191 ,A ,B)  :-  child(B ,C)   ,  parent(D ,A)   ,  D=C.
0.4  negspouse(192 ,A ,B)  :-  parent(B ,C)   ,  restingPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(193 ,A ,B)  :-  region(B ,C)   ,  country(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(194 ,A ,B)  :-  successor(C ,A)   ,  predecessor(A ,C)   ,  predecessor(B ,A).
0.4  negspouse(195 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  associatedMusicalArtist(D ,B).
0.4  negspouse(196 ,A ,B)  :-  relative(C ,A)   ,  relative(C ,D)   ,  relative(D ,B).
0.4  negspouse(197 ,A ,B)  :-  office(A ,C)   ,  office(D ,C)   ,  successor(D ,B).
0.4  negspouse(198 ,A ,B)  :-  office(A ,C)   ,  office(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(199 ,A ,B)  :-  office(B ,C)   ,  office(D ,C)   ,  successor(D ,A).
0.4  negspouse(200 ,A ,B)  :-  office(B ,C)   ,  office(D ,C)   ,  predecessor(D ,A).
0.39  negspouse(201 ,A ,B)  :-  party(B ,C)   ,  country(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(202 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(A ,C)   ,  parent(B ,A).
0.4  negspouse(203 ,A ,B)  :-  successor(C ,A)   ,  predecessor(C ,A)   ,  successor(B ,A).
0.4  negspouse(204 ,A ,B)  :-  successor(B ,C)   ,  successor(C ,A).
0.39  negspouse(205 ,A ,B)  :-  deathPlace(B ,C)   ,  headquarter(D ,C)   ,  party(A ,D).
0.4  negspouse(206 ,A ,B)  :-  predecessor(A ,B)   ,  birthPlace(B ,C)   ,  deathPlace(A ,C).
0.4  negspouse(207 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(B ,C)   ,  parent(A ,B).
0.39  negspouse(209 ,A ,B)  :-  monarch(C ,A)   ,  spouse(D ,B)   ,  C=D.
0.4  negspouse(210 ,A ,B)  :-  spouse(A ,C)   ,  successor(C ,D)   ,  spouse(B ,D).
0.4  negspouse(211 ,A ,B)  :-  title(B ,C)   ,  title(D ,C)   ,  parent(D ,A).
0.39  negspouse(212 ,A ,B)  :-  title(A ,C)   ,  title(D ,C)   ,  parent(D ,B).
0.4  negspouse(213 ,A ,B)  :-  activeYearsStartYear(A ,C)   ,  activeYearsEndYear(B ,C)   ,  parent(A ,B).
0.4  negspouse(214 ,A ,B)  :-  party(A ,C)   ,  party(B ,D)   ,  C=D.
0.39  negspouse(215 ,A ,B)  :-  party(A ,C)   ,  party(D ,C)   ,  successor(B ,D).
0.39  negspouse(216 ,A ,B)  :-  predecessor(C ,A)   ,  deathPlace(C ,D)   ,  birthPlace(B ,D).
0.39  negspouse(217 ,A ,B)  :-  almaMater(A ,C)   ,  almaMater(B ,C).
0.4  negspouse(218 ,A ,B)  :-  relative(B ,C)   ,  relative(A ,D)   ,  D=C.
0.4  negspouse(219 ,A ,B)  :-  successor(C ,A)   ,  predecessor(C ,D)   ,  successor(D ,B).
0.4  negspouse(220 ,A ,B)  :-  predecessor(A ,C)   ,  parent(A ,C)   ,  successor(A ,B).
0.4  negspouse(221 ,A ,B)  :-  predecessor(A ,C)   ,  predecessor(C ,A)   ,  predecessor(A ,B).
0.4  negspouse(222 ,A ,B)  :-  party(B ,C)   ,  party(A ,C)   ,  predecessor(A ,B).
0.39  negspouse(223 ,A ,B)  :-  parent(A ,C)   ,  birthPlace(C ,D)   ,  deathPlace(B ,D).
0.4  negspouse(224 ,A ,B)  :-  relative(C ,B)   ,  relative(C ,D)   ,  relative(D ,A).
0.39  negspouse(225 ,A ,B)  :-  child(C ,B)   ,  relative(D ,A)   ,  C=D.
0.4  negspouse(226 ,A ,B)  :-  successor(C ,B)   ,  commander(D ,C)   ,  commander(D ,A).
0.4  negspouse(227 ,A ,B)  :-  successor(C ,A)   ,  predecessor(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(228 ,A ,B)  :-  successor(B ,C)   ,  predecessor(D ,C)   ,  successor(D ,A).
0.4  negspouse(229 ,A ,B)  :-  successor(A ,C)   ,  predecessor(D ,C)   ,  successor(D ,B).
0.4  negspouse(230 ,A ,B)  :-  orderInOffice(B ,C)   ,  orderInOffice(D ,C)   ,  successor(A ,D).
0.4  negspouse(231 ,A ,B)  :-  relative(B ,C)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(232 ,A ,B)  :-  successor(A ,B)   ,  predecessor(B ,A).
0.39  negspouse(233 ,A ,B)  :-  child(B ,C)   ,  predecessor(A ,D)   ,  D=C.
0.39  negspouse(234 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  president(D ,B).
0.4  negspouse(235 ,A ,B)  :-  predecessor(A ,B)   ,  successor(C ,B)   ,  parent(B ,C).
0.39  negspouse(236 ,A ,B)  :-  child(C ,A)   ,  parent(D ,B)   ,  D=C.
0.4  negspouse(237 ,A ,B)  :-  spouse(C ,A)   ,  successor(C ,D)   ,  spouse(B ,D).
0.4  negspouse(238 ,A ,B)  :-  successor(A ,C)   ,  parent(C ,D)   ,  parent(B ,D).
0.4  negspouse(239 ,A ,B)  :-  successor(B ,C)   ,  predecessor(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(240 ,A ,B)  :-  successor(A ,C)   ,  predecessor(D ,C)   ,  predecessor(D ,B).
0.38  negspouse(241 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(D ,B)   ,  D=C.
0.4  negspouse(242 ,A ,B)  :-  successor(A ,B)   ,  successor(B ,A).
0.4  negspouse(243 ,A ,B)  :-  activeYearsStartYear(B ,C)   ,  activeYearsEndYear(A ,C).
0.4  negspouse(244 ,A ,B)  :-  deathPlace(B ,C)   ,  country(D ,C)   ,  almaMater(A ,D).
0.4  negspouse(245 ,A ,B)  :-  child(A ,C)   ,  child(D ,C)   ,  child(D ,B).
0.4  negspouse(246 ,A ,B)  :-  successor(C ,A)   ,  president(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(247 ,A ,B)  :-  successor(A ,C)   ,  almaMater(C ,D)   ,  almaMater(B ,D).
0.39  negspouse(249 ,A ,B)  :-  primeMinister(B ,C)   ,  spouse(A ,D)   ,  D=C.
0.4  negspouse(250 ,A ,B)  :-  successor(A ,B)   ,  deathPlace(B ,C)   ,  birthPlace(A ,C).
0.39  negspouse(251 ,A ,B)  :-  child(B ,C)   ,  child(A ,D)   ,  D=C.
0.4  negspouse(252 ,A ,B)  :-  successor(B ,A)   ,  successor(C ,B)   ,  successor(B ,C).
0.38  negspouse(253 ,A ,B)  :-  termPeriod(B ,C)   ,  predecessor(A ,D)   ,  C=D.
0.39  negspouse(254 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(D ,C)   ,  relative(D ,A).
0.39  negspouse(255 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  relative(D ,B).
