Samuel_Bogley,Blair_Lee_III
Reed_Hundt,Bill_Clinton
J._B._Van_Hollen,George_W._Bush
Edwin_T._Meredith,Woodrow_Wilson
A._J._Raffles_(character),Nigel_Havers
Sajida_Talfah,Saddam_Hussein
Juan_R._Torruella,Gerald_Ford
John_Danforth,George_W._Bush
Alberto_Gonzales,George_W._Bush
Vilma_Santos,Ralph_Recto
Raj_Kapoor,Prem_Nath
Prakash_Javadekar,Manish_Tewari
Margaret_Spellings,George_W._Bush
Malcolm_X,Betty_Shabazz
Charee_Crest,Mark_Anthony_Fernandez
Lee_Radziwill,Jacqueline_Kennedy_Onassis
H._Lee_Sarokin,Bill_Clinton
Harry_Reid,Robert_E._Rose
Ted_Hughes,T._S._Eliot
Betty_Taylor_(actress),Elizabeth_Taylor
Arthur_Meighen,William_Lyon_Mackenzie_King
Efrem_Zimbalist,Mary_Louise_Curtis_Bok_Zimbalist
Frank_Crean,Jim_Cairns
Ethel_Roosevelt_Derby,Archibald_Roosevelt
March_Fong_Eu,Nicholas_C._Petris
Wim_Duisenberg,Nout_Wellink
Anna_Murdoch_Mann,Rupert_Murdoch
James_Francis_Smith,Theodore_Roosevelt
Aristotle_Onassis,Athina_Onassis_Roussel
Al_Rabin,Ken_Corday
John_M._Walker_Jr.,Ronald_Reagan
"Charles_Grey,_2nd_Earl_Grey",Philip_Francis_(politician)
"Henry_Howard,_13th_Duke_of_Norfolk","Frederick_Spencer,_4th_Earl_Spencer"
MacCallum_Grant,James_Robson_Douglas
"Annabel_Astor,_Viscountess_Astor","Sir_Reginald_Sheffield,_8th_Baronet"
Shahid_Nadeem,Nadeem_Shahid
Bob_Bird_(politician),Mark_Begich
John_Davis_(Massachusetts_governor),Marcus_Morton
Edward_Ellice_(merchant),John_Charles_Herries
Ovid,Petrarch
John_S._D._Tory,John_Tory
Bonar_Law,Arthur_Balfour
Oliver_Cromwell,Charles_I_of_England
Lisa_Henson,Brian_Henson
Tim_Bevan,Joely_Richardson
Maria_Weigert_Brendel,Otto_Brendel
"Richard_Luce,_Baron_Luce","Thomas_Stonor,_7th_Baron_Camoys"
"John_Betts,_Jr.",Samuel_Hanford
John_Bowring,William_Bolling_(MP)
Dick_Cheney,Newt_Gingrich
Ichirō_Hatoyama,Kaoru_Hatoyama
Alexandra_Pelosi,Christine_Pelosi
Albert_Booth,Michael_Foot
William_Cranch,John_Adams
Bajirao_I,Chimaji_Appa
"Sydney_Buxton,_1st_Earl_Buxton",Winston_Churchill
Ko_Yong-hui,Kim_Jong-il
A._Joseph_DeNucci,Mitt_Romney
Eleftherios_Venizelos,Pavlos_Kountouriotis
Ghanima_Atreides,Princess_Irulan
"Robert_Sidney,_2nd_Earl_of_Leicester",William_Morgan_(of_Tredegar)
Martha_Jefferson_Randolph,Thomas_Jefferson
Zuhrah_ibn_Kilab,Muhammad
Edith_Roosevelt,Ida_Saxton_McKinley
John_Entwistle,Susanna_Hoffs
Mathieu_Kessels,"William_Cavendish,_6th_Duke_of_Devonshire"
"George_Leveson-Gower,_1st_Duke_of_Sutherland","Sir_John_Wrottesley,_8th_Baronet"
Ros_Kelly,Bob_Hawke
Alberto_Martinez_Piedra,Ronald_Reagan
"Harold_Alexander,_1st_Earl_Alexander_of_Tunis","James_Alexander,_4th_Earl_of_Caledon"
Yevgeny_Dzhugashvili,Yakov_Dzhugashvili
Gerald_Ford,Peter_J._Brennan
Rune_Gerhardsen,Terje_Andersen
Thomas_E._Dewey,Joe_R._Hanley
Mahathir_Mohamad,Siti_Hasmah_Mohamad_Ali
Paul_Holmes_(politician),Nick_Clegg
Tilak_Marapana,Chandrika_Kumaratunga
Robert_Muldoon,Roger_Douglas
Chrystia_Freeland,Justin_Trudeau
Jack_Huston,Tony_Huston
Maya_Alagh,Sunil_Alagh
Hugh_S._Legaré,John_Tyler
Kirsten_Cohen,Josh_Schwartz
William_Bramwell_Powell,John_Wesley_Powell
Nursultan_Nazarbayev,Bakhytzhan_Sagintayev
"John_Coleridge,_1st_Baron_Coleridge",Edgar_Alfred_Bowring
"Birger,_King_of_Sweden",Magnus_III_of_Sweden
Yen_Ming,Ma_Ying-jeou
Ogden_L._Mills,Ogden_Mills
George_Moscone,Joseph_Alioto
Elżbieta_Barszczewska,Marian_Wyrzykowski
Daniel_Adams-Ray,Avicii
William_Henry_Smith_(1825–1891),"Granville_Leveson-Gower,_2nd_Earl_Granville"
Ron_Dellums,Ike_Skelton
H._H._Asquith,Donald_Maclean_(British_politician)
Brenda_K._Sannes,Barack_Obama
Jacob_Hiatt,Robert_Kraft
Joe_Lhota,Andrew_Cuomo
Brenda_Schoonover,Bill_Clinton
Gopichand_Hinduja,Parmanand_Hinduja
Ellen_Lipton_Hollander,Barack_Obama
Alan_Blinder,Bill_Clinton
Clive_Davis,Barry_Weiss
Hafsa_Sultan_(wife_of_Selim_I),Selim_I
Sean_Richards,Randy_Spelling
Duncan_Sandys,Ronald_Chamberlain
Luther_Day,Alphonso_Hart
Lisa_Monaco,Barack_Obama
Evelyn_Lauder,Leonard_Lauder
Piotr_Opaliński,Jan_Opaliński_(1546–1598)
Mack_McLarty,Bill_Clinton
Nancy_Reagan,Bernice_Layne_Brown
"Robin_Butler,_Baron_Butler_of_Brockwell",Margaret_Thatcher
Mervyn_M._Dymally,Jerry_Brown
Quatlecoatl,Acamapichtli
H._H._Asquith,George_V
Janet_Davies_(Welsh_politician),Bethan_Jenkins
Robert_McNamara,Paul_Nitze
Ghulam_Mustafa_Jatoi,Benazir_Bhutto
Biju_Patnaik,Harekrushna_Mahatab
Hermann_Göring,Hjalmar_Schacht
Warren_G._Harding,Calvin_Coolidge
Qazi_Abdul_Majeed_Abid,Zulfiqar_Mirza
Richard_Rush,John_Quincy_Adams
Philander_C._Knox,Theodore_Roosevelt
William_E._Todd,George_W._Bush
Lurleen_Wallace,George_Wallace
Gillis_Bildt,Oscar_II_of_Sweden
Margaret_Thatcher,John_Crowder
Jamal_al-Atassi,Lu'ay_al-Atassi
John_Quincy_Adams,John_Adams
Asha_Bhosle,Lata_Mangeshkar
Jean_Charest,Sheila_Copps
Barney_Rubble,Pebbles_Flintstone
Meryl_Streep,Katharine_Hepburn
Maurice_Macmillan,Edmund_Dell
David_I_of_Scotland,"Simon_I_de_Senlis,_Earl_of_Huntingdon-Northampton"
Clement_Attlee,Kingsley_Wood
Benjamin_Franklin_Washington,George_Washington
Idriss_Déby,Jean_Alingué_Bawoyeu
Larry_Anthony,Doug_Anthony
Bill_Borthwick,Lindsay_Thompson
Samuel_Burk_Burnett,Anne_Windfohr_Marion
"Charlotte_Cavendish,_Marchioness_of_Hartington","Richard_Boyle,_3rd_Earl_of_Burlington"
Kirk_Douglas,Anne_Buydens
Frank_Scheffer,Frank_Schaeffer
Bibliography_of_Ulysses_S._Grant,William_Tecumseh_Sherman
Paul_Newman,Ellen_Burstyn
Robert_Peel,"Sir_George_Warrender,_4th_Baronet"
Roslyn_O._Silver,Bill_Clinton
T_La_Rock,Quincy_Jones_III
Anatoliy_Hrytsenko,Oleksandr_Kuzmuk
Paul_McKinney_(Pennsylvania_politician),Thomas_McCreesh
Wifredo_A._Ferrer,Barack_Obama
"Augustus_Hervey,_3rd_Earl_of_Bristol","Augustus_FitzRoy,_3rd_Duke_of_Grafton"
Daniel_O'Connell,Henry_Grattan_(junior)
Adam_Egede-Nissen,Emil_Løvlien
Wang_Jin-pyng,Chiang_Pin-kung
Samuel_A._Foot,Daniel_Burrows
William_Rose_Benét,Elinor_Wylie
Sahabzada_Yaqub_Khan,Gohar_Ayub_Khan
Alaa_Abd_El-Fattah,Mona_Seif
Michael_Recanati,Raphael_Recanati
Robert_Williams_(Mississippi_politician),Thomas_Jefferson
Jason_Miller_(playwright),Susan_Bernard
Michael_A._Sheehan,George_W._Bush
Lila_Mayoral_Wirshing,Rafael_Hernández_Colón
R._Harmon_Drew_Sr.,Graydon_K._Kitchens_Jr.
Zaynab_bint_Ali,Hasan_ibn_Ali
José_Alberto_Castro,Verónica_Castro
Réal_Caouette,André-Gilles_Fortin
Paul_M._Davis_Jr.,Robert_H._Bolton
Denis_Lebel,Justin_Trudeau
Barry_T._Parker,Thomas_Kean
Bob_Menendez,Bob_Corker
Melania_Trump,Donald_Trump
Lyndon_B._Johnson,Richard_Nixon
Palanivel_Thiagarajan,P._T._R._Palanivel_Rajan
David_Pryor,Daniel_Inouye
William_Slade,Norman_Williams_(politician)
Reena_Raggi,George_W._Bush
Richie_Aprile,Janice_Soprano
Carlos_Alejandro_Campo,George_Clooney
Dwight_D._Eisenhower,Mamie_Eisenhower
Donald_Nixon,Julie_Nixon_Eisenhower
George_Macartney_(British_Army_officer),"Henry_Scott,_1st_Earl_of_Deloraine"
Bernadette_Devlin_McAliskey,Les_Huckfield
Mayer_Carl_von_Rothschild,Carl_Mayer_von_Rothschild
Abner_Reid_McClelan,"John_Hamilton-Gordon,_1st_Marquess_of_Aberdeen_and_Temair"
Joseph_Lavergne,Louis_Lavergne
Chiang_Ching-kuo,Chiang_Fang-liang
Steve_Cropper,John_Lennon
"Edward_Smith-Stanley,_14th_Earl_of_Derby","John_Russell,_1st_Earl_Russell"
Price_Daniel,Ben_Ramsey
Thomas_Jefferson,George_Washington
Jerry_Abramson,Barack_Obama
Norman_Lloyd,Peggy_Lloyd
"John_Ziegler,_Jr.",Bill_Wirtz
Maud_Chaworth,Isabella_de_Beauchamp
Maurice_Barrymore,Georgiana_Drew
Raymond_Kethledge,George_W._Bush
Vasantdada_Patil,Shankarrao_Chavan
Ethan_A._Hitchcock_(Interior),Theodore_Roosevelt
"George_Curzon,_1st_Marquess_Curzon_of_Kedleston","Mary_Curzon,_Baroness_Curzon_of_Kedleston"
Thomas_G._Davidson,John_Perkins_Jr.
Tessa_Ferrer,Miguel_Ferrer
Dénes_Pázmándy_(1848–1936),Dénes_Pázmándy_(1816–1856)
Thomas_Benedict,Daniel_Kellogg_(settler)
James_Francis_Smith,William_McKinley
John_P._Kennedy,Millard_Fillmore
Jacobo_Árbenz,Carlos_Enrique_Díaz_de_León
Giulio_Andreotti,Amintore_Fanfani
Geoff_Regan,Paul_Martin
List_of_Dune_secondary_characters,Dean_Stockwell
Jiang_Jianguo,Chiang_Ching-kuo
Charles_Bolden,Barack_Obama
Sharon_Prost,George_W._Bush
Hasimir_Fenring,Margot_Fenring
Brian_Howe_(politician),Bob_Hawke
Alan_Stevenson,David_Stevenson_(engineer)
Eddie_Fisher_(singer),Billie_Lourd
William_Allan_(banker),Thomas_Ridout
"Eugène_Schneider,_II",Adolphe_Schneider
Fred_G._Sanford,Galton_and_Simpson
Elizabeth_Rees-Williams,Jonathan_Aitken
Heydar_Aliyev,Andrei_Gromyko
Saddam_Hussein,Ahmed_Hassan_al-Bakr
John_McCain,Cindy_McCain
Colleen_McMahon,Bill_Clinton
Chuck_Bass,Stephanie_Savage
Harriet_Low,Seth_Low
Benjamin_Harrison,Grover_Cleveland
Goh_Chok_Tong,Lee_Hsien_Loong
Sacha_Skarbek,Lisa_Marie_Presley
Oona_Chaplin,Charlie_Chaplin
Tito_Sotto,Alan_Peter_Cayetano
Michael_W._McConnell,George_W._Bush
Ieu_Koeus,Norodom_Sihanouk
Hayley_Mills,Juliet_Mills
Frederick_Theodore_Frelinghuysen,Alexander_G._Cattell
"Francis_Fane,_1st_Earl_of_Westmorland",Laurence_Whitaker
David_B._Dunn,Bill_Clinton
Emine_Erdoğan,Recep_Tayyip_Erdoğan
Robert_MacFarlan_Cole_III,Wertha_Pendleton_Cole
Marian_Nixon,Barbara_Lyon
Robert_G._Ingersoll,Hamlin_Garland
"John_Paulet,_2nd_Marquess_of_Winchester",John_Horsey_(died_1546)
Betty_Rubble,B._J._Ward_(actress)
Caroline_Spencer,Bradley_Bell
James_Whitcomb,Samuel_Bigger
Alison_Eastwood,Francesca_Eastwood
Michel_de_Montaigne,William_Hazlitt
Margaret_Lea_Houston,Sam_Houston
Thomas_Francis_Meagher,Green_Clay_Smith
Henry_Huttleston_Rogers,Abbie_G._Rogers
Khadija_bint_Khuwaylid,Muhammad
Joel_Flaum,Gerald_Ford
Jax_Teller,Tara_Knowles
Nadira_Babbar,Raj_Babbar
As'ad_Pasha_al-Azm,Husayn_Pasha_ibn_Makki
Askar_Akayev,Ishenbai_Kadyrbekov
Timothy_Massad,Barack_Obama
Jens_Bjørneboe,Signe_Hofgaard
Moon_Landrieu,Victor_H._Schiro
Lucy_Hayes,Rutherford_B._Hayes
Mark_Fisher_(politician),"Alan_Howarth,_Baron_Howarth_of_Newport"
Ian_C._Kelly,Barack_Obama
"Francis_Fane,_1st_Earl_of_Westmorland",Percival_Hart_(16th-century_MP)
Torii_Tadaharu,Hoshina_Masayuki
Ray_Marshall,Jimmy_Carter
Anthony_Lake,Jimmy_Carter
William_Frank_Calderon,George_Calderon
G._E._Smith,Mick_Jagger
Hernán_Cortés,Alonso_de_Estrada
Indira_Talwani,Barack_Obama
Chris_Hemsworth,Dakota_Johnson
Heather_Higginbottom,Barack_Obama
Barnabas_Bidwell,Perez_Morton
"Charles_Bingham,_1st_Earl_of_Lucan","Richard_Bingham,_2nd_Earl_of_Lucan"
Sakıp_Sabancı,Hacı_Sabancı
Louis_Fles,Michael_John_Fles
Bob_Irwin,Bindi_Irwin
Gayle_Cook,William_Cook_(entrepreneur)
Abby_Aldrich_Rockefeller,Richard_S._Aldrich
D._R._Bendre,Rabindranath_Tagore
"John_Pitt,_2nd_Earl_of_Chatham","George_Spencer,_2nd_Earl_Spencer"
Paula_Fox,Courtney_Love
Clementine_Churchill,"Violet_Attlee,_Countess_Attlee"
Rahm_Emanuel,Bill_Clinton
"F._E._Smith,_1st_Earl_of_Birkenhead","Stanley_Buckmaster,_1st_Viscount_Buckmaster"
Robert_Barrington-Ward,Geoffrey_Dawson
John_Sitgreaves,George_Washington
James_Franklin_(printer),Benjamin_Franklin
Daniel_Hoyt,Joseph_Platt
Eric_Holder,Bill_Clinton
Elizabeth_Schuyler_Hamilton,Philip_Schuyler
Clementine_Churchill,"Violet_Attlee,_Countess_Attlee"
Upasni_Maharaj,Meher_Baba
Wahb_ibn_Abd_Manaf,Barrah_bint_Abdul_Uzza
The_Mother_(How_I_Met_Your_Mother),Craig_Thomas_(screenwriter)
Arthur_Seyss-Inquart,Adolf_Hitler
Tamara_Ecclestone,Petra_Stunt
Rocío_Dúrcal,Shaila_Dúrcal
Johann_Baur,Adolf_Hitler
Steve_Erwin,Steve_Irwin
Bob_Edwards_(politician),Michael_Foot
Pompey,Antistia
Akbar_Hashemi_Rafsanjani,Mehdi_Karroubi
James_Bayley_(politician),Francis_Matthew_John_Baker
Gan_Kim_Yong,Lee_Hsien_Loong
Vibeke_Engelstad,Kristian_Smidt
Earl_Butz,Gerald_Ford
Olof_Palme,Lisbet_Palme
Barbara_Hutton,Dina_Merrill
Catherine_Allégret,Jean-Pierre_Castaldi
Chidambaram_Subramaniam,Indira_Gandhi
Helen_Levitov_Sobell,Morton_Sobell
"Charles_Paulet,_1st_Duke_of_Bolton","James_Annesley,_2nd_Earl_of_Anglesey"
"Francis_Cowper,_7th_Earl_Cowper",William_Ewart_Gladstone
Ivy_Baker_Priest,Ronald_Reagan
Magnus_Lidehäll,Britney_Spears
Duncan_Sandys,Winston_Churchill
Johannes_de_Klerk,Marais_Viljoen
Frank_Bestow_Wiborg,Levi_Addison_Ault
Jane_Irwin_Harrison,John_Scott_Harrison
Ai_Qing,Pierre-Auguste_Renoir
Robert_Mosbacher,Mica_Mosbacher
Joshua_Mills_(mayor),John_W._Allen
Hešeri_Sonin,Ebilun
"Herbert_Samuel,_1st_Viscount_Samuel",Ramsay_MacDonald
Jesse_Piper,Henry_Baigent
Lillian_Bostwick_Phipps,Ogden_Phipps
Rafic_Hariri,Nazik_Hariri
Thomas_Theodore_Crittenden,John_J._Crittenden
Abram_Irvin_McDowell,Smithson_E._Wright
Edward_L._Romero,Bill_Clinton
Orrin_Henry_Ingram,John_R._Ingram_(businessman)
Charles_A._Wickliffe,Robert_Charles_Wickliffe
Orrin_H._Ingram_II,John_R._Ingram_(businessman)
Samuel_Frederick_Biery_Jr.,Bill_Clinton
Tharbis,Moses
Nurit_Peled-Elhanan,George_W._Bush
Ali_ibn_Husayn_Zayn_al-Abidin,Sakinah_(Fatima_al-Kubra)_bint_Husayn
Elizabeth_Rees-Williams,Richard_Harris
Daniel_Hoyt,Joseph_Platt
Jessica_Simpson,Evan_Ross
Erskine_B._Ingram,John_R._Ingram_(businessman)
"Charles_Grey,_2nd_Earl_Grey",George_Canning
Beau_Biden,Ruth_Ann_Minner
Michèle_Bennett,Simone_Duvalier
William_Kennard,Bill_Clinton
Lawrence_M._Judd,Albert_Francis_Judd
Wim_Duisenberg,Christian_Noyer
Brian_H._Hook,Esther_Brimmer
"Harold_Alexander,_1st_Earl_Alexander_of_Tunis",Gerald_Templer
Cornelius_Vanderbilt_II,Gloria_Vanderbilt
Gordon_Giffin,Bill_Clinton
Melvin_Laird,Richard_Nixon
Maurice_Stans,Richard_Nixon
List_of_Hannah_Montana_main_characters,Miley_Stewart
Serge_Gainsbourg,Caroline_Paulus
Carol_Kaye,Frank_Sinatra
Coxcoxtli,Acamapichtli
Peter_B._Teets,George_W._Bush
Fox_Mulder,John_Doggett
Wayne_MacVeagh,Benjamin_H._Brewster
Hafez_al-Assad,Ahmad_al-Khatib
Gérard_Depardieu,Élisabeth_Depardieu
Peter_Brook,Natasha_Parry
William_Godwin,Peter_Kropotkin
Ted_Kennedy,Mike_Mansfield
Robert_F._Hale,Barack_Obama
Thomas_Cromwell,Hans_Holbein_the_Younger
Meresankh_IV,Djedkare_Isesi
Eskimeaux,Frankie_Cosmos
Patricia_E._Campbell-Smith,Barack_Obama
Biju_Patnaik,Morarji_Desai
Rankin_(photographer),Kate_Hardie
John_Marvin_(Connecticut_politician),Joseph_Platt
Esther_Brimmer,Barack_Obama
Archibald_Roosevelt,Edith_Roosevelt
Sean_M._Carroll,Albert_Einstein
Daniel_James_(businessman),Anson_Green_Phelps
Caroline_Ingalls,Charles_Ingalls
Walter_Huston,Allegra_Huston
Paul_Desmarais,France_Chrétien_Desmarais
Rajiv_Gandhi,V._P._Singh
"Vere_Fane,_4th_Earl_of_Westmorland","Sir_John_Knatchbull,_2nd_Baronet"
Manuel_Roxas,Elpidio_Quirino
Thomas_Benedict_(II),"John_Betts,_Jr."
David_Wallace_(Indiana_politician),John_Wesley_Davis
"Charles_Grey,_2nd_Earl_Grey",Charles_James_Fox
Xi_Jinping,Zeng_Qinghong
Joseph_Clay_(Georgia),George_Washington
Evelyn_Ward,Elliot_Silverstein
"William_Waldegrave,_9th_Earl_Waldegrave",Arthur_Balfour
Janice_Charette,Justin_Trudeau
William_Dennison_Jr.,Abraham_Lincoln
Abbas_ibn_Ali,Ali
Frances_Shand_Kydd,Peter_Shand_Kydd
Jean_Martinon,Zubin_Mehta
Mark_Hurd,Carly_Fiorina
"Frederick_Stanley,_16th_Earl_of_Derby",John_Sparrow_David_Thompson
Austen_Chamberlain,Arthur_Balfour
Deborah_Lippmann,Gwyneth_Paltrow
Hap_Day,Stafford_Smythe
Edward_Stopford_(British_Army_officer),"James_Brudenell,_7th_Earl_of_Cardigan"
Clyde_H._Hamilton,Ronald_Reagan
Hadiya_Khalaf_Abbas,Bashar_al-Assad
Julius_Caesar_(judge),William_Howard_(died_1600)
Walter_Mondale,"Robert_W._Mattson,_Sr."
Zbigniew_Brzezinski,Richard_V._Allen
Huitzilxotzin,Acamapichtli
Anna_Katarzyna_Sanguszko,Karol_Stanisław_Radziwiłł_(1669–1719)
Henry_Cabot_Lodge,Augustus_Octavius_Bacon
Thomas_Christie_(Canadian_politician),"Lemuel_Cushing,_Jr."
"Frederick_North,_Lord_North","William_Cavendish-Bentinck,_3rd_Duke_of_Portland"
Mark_Howard_Cohen,Barack_Obama
R._Harmon_Drew_Sr.,Cecil_C._Lowe
Ghulam_Mohammad_Shah,Farooq_Abdullah
Joseph-Octave_Arsenault,Mackenzie_Bowell
Professor_Farnsworth,Billy_West
Ron_Howard,Clint_Howard
William_J._Bell,James_Lipton
John_Clint_Williamson,Barack_Obama
Archibald_Roosevelt,Theodore_Roosevelt
Lawrence_Eagleburger,Jimmy_Carter
"William_Cavendish,_5th_Duke_of_Devonshire","William_Cavendish,_4th_Duke_of_Devonshire"
Sahadeva,Nakula
Topsy_Tjulyata,Walter_Pukutiwara
Juan_Ponce_Enrile,Tito_Sotto
Johnny_Sack,Carmine_Lupertazzi
Wolmar_Anton_von_Schlippenbach,Axel_Julius_De_la_Gardie
John_F._Kennedy,Orville_Freeman
Mónica_Bardem,Pilar_Bardem
Bjørn_Sand,Rolf_Sand
Joan_Crawford,Phillip_Terry
Willy_Greiner,Halvor_Stenstadvold
