William_Robert_Spencer,Aubrey_Spencer
Carlos_Menem,Zulema_María_Eva_Menem
Richard_de_Luci,Godfrey_de_Luci
Brian_Mulroney,Caroline_Mulroney_Lapham
Samuel_Taylor_Coleridge,Derwent_Coleridge
Herman_Shooster,Stephen_Shooster
Fathia_Nkrumah,Sekou_Nkrumah
Janet_Sheen,Emilio_Estevez
Geraldine_Moffat,Sam_Houser
Louis_Tourville,Rodolphe_Tourville
Sarwo_Edhie_Wibowo,Kristiani_Herrawati
Hugh_E._Rodham,Hugh_Rodham
Vladimir_A._Zorich,Anton_Zorich
Frederick_Lothrop_Ames,"Frederick_Lothrop_Ames,_Jr."
Jezebel,Ahaziah_of_Israel
Kurt_Vonnegut,Edith_Vonnegut
Samuel_Northrup_Castle,William_Richards_Castle
Paul_Johnson_(writer),Luke_Johnson_(businessman)
Eric_Roberts,Emma_Roberts
Peg_Yorkin,Nicole_Yorkin
Peder_Olivarius_Bugge,Frederik_Moltke_Bugge
Henry_Rainsford_Hulme,Anne_Perry
Martin_Gabel,Peter_Gabel
Rikard_Lang,Slobodan_Lang
Henry_Ephron,Hallie_Ephron
Herbert_A._Allen_Sr.,Herbert_Allen_Jr.
Dinah_Sheridan,Jeremy_Hanley
Eva_Norvind,Nailea_Norvind
Mumtaz_Ali,Minoo_Mumtaz
Veronique_Peck,Cecilia_Peck
Eliza_Ann_Otis,Marian_Otis_Chandler
Ronald_Cove-Smith,Rodney_Cove-Smith
Benjamin_S._Cowen,Benjamin_R._Cowen
Hulk_Hogan,Nick_Hogan
Michel_Pastor,Jean-Baptiste_Pastor
Arna_Selznick,Max_Douglas
İsmet_İnönü,Erdal_İnönü
Leslie_Crowther,Liz_Crowther
Debendranath_Tagore,Dwijendranath_Tagore
Isambard_Kingdom_Brunel,Henry_Marc_Brunel
Pope_Julius_II,Felice_della_Rovere
Hakim_Ali_Zardari,Faryal_Talpur
William_P._Fessenden,Samuel_Fessenden
Ieu_Koeus,Ieu_Pannakar
"Robert_Sidney,_2nd_Earl_of_Leicester","Henry_Sydney,_1st_Earl_of_Romney"
Merryle_Rukeyser,Louis_Rukeyser
Arturo_Peniche,Brandon_Peniche
Rita_Hayworth,Yasmin_Aga_Khan
Britta_Holmberg,Lena_Olin
"Mary_Elphinstone,_Lady_Elphinstone",Margaret_Rhodes
Frederick_Lukis,William_Collings_Lukis
Don_Johnson,Dakota_Johnson
Khair_Bakhsh_Marri,Hyrbyair_Marri
Eugene_Caputo,Felisa_Vanoff
Barbara_Bush,Neil_Bush
Anthony_James_Keck,George_Anthony_Legh_Keck
Abubakar_Olusola_Saraki,Bukola_Saraki
Maud_Chaworth,"Blanche_of_Lancaster,_Baroness_Wake_of_Liddell"
Akbar_Hashemi_Rafsanjani,Yasser_Hashemi_Rafsanjani
Winthrop_Rockefeller,Winthrop_Paul_Rockefeller
Robby_Stewart,Miley_Stewart
Thomas_Betts,Thomas_Seamer
Fritz_Windhorst,Stephen_J._Windhorst
Feʻao_Vunipola,Billy_Vunipola
Sanjay_Khan,Zayed_Khan
Cecil_B._DeMille,Katherine_DeMille
Woody_Johnson,Casey_Johnson
John_Gideon_Searle,Daniel_C._Searle
Red_Forman,Eric_Forman
Alfred_L._Kroeber,Ursula_K._Le_Guin
Alfred_Newman_(composer),David_Newman_(composer)
Frank_Stanfield,Frank_Thomas_Stanfield
Johann_I_(Habsburg-Laufenburg),Johann_II_(Habsburg-Laufenburg)
Elizabeth_Dickens,Frederick_Dickens
Brynne_Chandler,Mallory_Reaves
Ken_Hollis,Paul_Hollis
B._R._Panthulu,B._R._Vijayalakshmi
Anna_Calder-Marshall,Tom_Burke_(actor)
E._V._V._Satyanarayana,Allari_Naresh
Enrico_Dandolo,Marino_Dandolo
Atia_of_the_Julii,Gaius_Octavian_(Rome_character)
Hiram_Bingham_I,Hiram_Bingham_II
Hayashi_Razan,Hayashi_Gahō
Hugo_Black,"Hugo_Black,_Jr."
Saddam_Hussein,Uday_Hussein
Sergei_Bondarchuk,Fyodor_Bondarchuk
Thomas_Lee_(Virginia_colonist),William_Lee_(diplomat)
Crisp_Gascoyne,Bamber_Gascoyne_(the_elder)
Arthur_Bestor,Theodore_C._Bestor
Robert_Pemberton_Milnes,"Richard_Monckton_Milnes,_1st_Baron_Houghton"
Amasa_Stone,Flora_Stone_Mather
Aurania_Rouverol,Jean_Rouverol
Cesar_Montano,Diego_Loyzaga
Salim_Khan,Sohail_Khan
Kamal_(director),Jenuse_Mohamed
Carl-Gustaf_Lindstedt,Pierre_Lindstedt
Ben_Lyon,Barbara_Lyon
Ganesh_Naik,Sandeep_Naik
Thorvald_Stoltenberg,Camilla_Stoltenberg
Bing_Crosby,Gary_Crosby_(actor)
Roger_Clinton_Sr.,Bill_Clinton
David_Campion_Acheson,Eleanor_D._Acheson
François_Duvalier,Simone_Duvalier
John_Stone_(producer),Peter_Stone
Sinéad_Cusack,Max_Irons
Henry_De_Mel,R._S._F._de_Mel
Anant_Jog,Kshitee_Jog
Marcus_Raskin,Jamie_Raskin
Barbara_Blomberg,John_of_Austria
Eleanor_%22Sis%22_Daley,Richard_M._Daley
Kwa_Geok_Choo,Lee_Hsien_Loong
Samuel_Sachs,Walter_E._Sachs
Shakti_Prasad,Arjun_Sarja
Peter_Grubb_(mason),"Peter_Grubb,_Jr."
Charles_Dickens,Sydney_Smith_Haldimand_Dickens
Kit_Culkin,Rory_Culkin
Gérard_Louis-Dreyfus,Julia_Louis-Dreyfus
Aldo_Leopold,A._Starker_Leopold
Edward_Goldsmith,Clio_Goldsmith
Edward_deGraffenried,"Ryan_DeGraffenried,_Sr."
Mark_Henig,Stanley_Henig
Tom_Coburn,Sarah_Coburn
David_Nevins_Sr.,David_Nevins_Jr.
Harry_Connick_Sr.,Harry_Connick_Jr.
Rudraprasad_Sengupta,Sohini_Sengupta
Géza_Révész_(psychologist),Judith_Révész
Lady_Randolph_Churchill,Winston_Churchill
Henri_Arnold_Seyrig,Delphine_Seyrig
J._E._Jumonville_Sr.,J._E._Jumonville_Jr.
P._K._Gopi,Arya_Gopi
Rosalie_Stier_Calvert,Charles_Benedict_Calvert
Milton_H._Bren,Donald_Bren
Oakes_Ames,Oliver_Ames_(governor)
Johnny_Cash,Rosanne_Cash
Susanna_Wesley,John_Wesley
T._Rajendar,Silambarasan
James_Melvin_Scott,Cathy_Scott
Inge_Morath,Rebecca_Miller
Thomas_Rolfe,Jane_Rolfe
Henry_Lamb,Valentine_Lamb
Gisèle_Casadesus,Béatrice_Casadesus
Nancy_Priddy,Christina_Applegate
Don_Gaetz,Matt_Gaetz
Stephen_Edward_Smith,William_Kennedy_Smith
Anerood_Jugnauth,Pravind_Jugnauth
Theodore_Roosevelt,Ethel_Roosevelt_Derby
Charles_Maurice_de_Talleyrand-Périgord,Pauline_de_Talleyrand-Périgord
Roxy_LeBlanc,Trevor_LeBlanc
Otto_Plath,Sylvia_Plath
Timothy_Bevan_(apothecary),Joseph_Gurney_Bevan
George_Alexander_Currie,Neil_Currie
James_J._Rhoades,Mike_Rhoades
John_F._Kennedy,John_F._Kennedy_Jr.
Jaime_Lannister,Joffrey_Baratheon
Farooq_Leghari,Jamal_Leghari
Susan_Buffett,Howard_Graham_Buffett
Wilhelm_Carl_von_Rothschild,Adelheid_von_Rothschild
Anastasio_Somoza_García,Anastasio_Somoza_Debayle
Clive_Davis,Doug_Davis_(businessman)
Jeannette_Kagame,Ange_Kagame
Harald_Gram,Gregers_Gram
James_Mayer_de_Rothschild,Edmond_James_de_Rothschild
Marie_Walewska,Alexandre_Colonna-Walewski
Mikijirō_Hira,Takehiro_Hira
Gillian_Sankoff,Alice_Goffman
John_Wilkinson_(American_colonist),John_Wilkinson_(Syracuse_pioneer)
Henry_J._Kaiser,"Edgar_Kaiser,_Sr"
Elias_Disney,Roy_O._Disney
Maren_Sars,Ernst_Sars
Neptali_Gonzales,Neptali_Gonzales_II
John_Smith_(Vermont),Worthington_Curtis_Smith
William_Robertson_Coe,Natalie_Mai_Vitetti
Laura_Bush,Jenna_Bush_Hager
Alfred_Ely_Beach,Frederick_Converse_Beach
Derek_Bok,Hilary_Bok
Henry_Greffulhe,Élaine_Greffulhe
Al_Avila,Alex_Avila
Richard_DeVos,Doug_DeVos
Laurence_Binyon,Nicolete_Gray
David_Stevenson_(engineer),David_Alan_Stevenson
Randal_Keynes,Skandar_Keynes
Richard_Waldron_(Secretary),Richard_Waldron_IV
Khadija_bint_Khuwaylid,Qasim_ibn_Muhammad
Ada_Lovelace,"Anne_Blunt,_15th_Baroness_Wentworth"
James_McCombs,Terry_McCombs
Dharmendra,Sunny_Deol
Gloria_Sevilla,Mat_Ranillo_III
Ahmed_Seif_El-Islam,Mona_Seif
Usher_L._Burdick,Quentin_N._Burdick
John_Floyer_(physician),John_Floyer_(Tamworth_MP)
Lucianne_Goldberg,Jonah_Goldberg
Lesley_Ann_Warren,Christopher_Peters
Fathia_Nkrumah,Gamal_Nkrumah
George_Henry_Moore_(politician),Maurice_George_Moore
Julia_Grant,Jesse_Root_Grant
Alexander_Cassatt,Edward_B._Cassatt
Abd_Manaf_ibn_Qusai,Nawfal_ibn_Abd_Manaf
David_Pryor,Mark_Pryor
Anne_Sexton,Linda_Gray_Sexton
Jan_Stenbeck,Cristina_Stenbeck
Kyrano,Tin-Tin_Kyrano
Jagjivan_Ram,Meira_Kumar
Robert_B._Sherman,Robert_J._Sherman
Thomas_Tomlinson_Cussons,Alexander_Tom_Cussons
Walter_Shorenstein,Carole_Shorenstein_Hays
Thomson_Francis_Mason,Arthur_Pendleton_Mason
Elizabeth_McCombs,Terry_McCombs
Vladimir_Zhirinovsky,Igor_Lebedev_(politician)
Suzanne_Mubarak,Alaa_Mubarak
"Ruth_Roche,_Baroness_Fermoy",Frances_Shand_Kydd
Luke_Taft,Moses_Taft
Pocahontas,Thomas_Rolfe
Leila_Seth,Vikram_Seth
Lily_Tyler,Isabelle_Tyler
Roger_Townshend_(died_1551),Robert_Townshend_(judge)
William_W._Irwin,Agnes_Irwin
Dominick_Dunne,Griffin_Dunne
Zipporah,Gershom
Yang_Ye,Yang_Yanzhao
K._Padmanabhan_Nair,Latha_Raju
Edmund_C._Hinde,Harry_Hinde
Anita_Roddick,Sam_Roddick
Manuel_Roxas,Gerardo_Roxas
Jean_Joseph_de_Barth,Louis_de_Barth
Alice_Keppel,Violet_Trefusis
Sushil_Ramgoolam,Navin_Ramgoolam
M._S._Nagappa,Mani_Nagappa
Alejandro_Végh_Villegas,Carlos_A._Vegh
Keith_Sebelius,K._Gary_Sebelius
Louis_Lacoste,Alexandre_Lacoste
Abu_Talib_ibn_Abd_al-Muttalib,Aqeel_ibn_Abi_Talib
"Michael_Beaumont,_22nd_Seigneur_of_Sark","Christopher_Beaumont,_23rd_Seigneur_of_Sark"
Garfield_Todd,Judith_Todd
T._Ratna_Bai,Amar_Mitra_Peddireddy
"Arthur_Acheson,_1st_Earl_of_Gosford","Archibald_Acheson,_2nd_Earl_of_Gosford"
Tony_Belcourt,Shane_Belcourt
Dan_Inosanto,Diana_Lee_Inosanto
Francis_Scott_Key,Philip_Barton_Key_II
Bill_Hudson_(singer),Oliver_Hudson
Marjie_Lawrence,Sarah_Greene
Hu_Jintao,Hu_Haifeng
Jake_Howard,Pat_Howard
Willie_Hammerstein,Oscar_Hammerstein_II
David_Nevins_Sr.,Henry_Coffin_Nevins
Lillian_Gordy_Carter,Jimmy_Carter
Magnus_von_Braun_(senior),Wernher_von_Braun
František_Čelakovský,Ladislav_Josef_Čelakovský
Syed_Muhammad_Saleem,Syed_Abdul_Mujeeb
Maurice_Dorléac,Catherine_Deneuve
John_Thomson_Mason_(1787–1850),Stevens_T._Mason
John_Holmes_(Nova_Scotia_politician),Simon_Hugh_Holmes
Ann_Rork_Light,Gordon_Getty
Rupert_Murdoch,James_Murdoch
Hugo_Wolfram,Conrad_Wolfram
Georges_Cochevelou,Alan_Stivell
Michael_Whitehall,Jack_Whitehall
Kim_Jong-suk,Kim_Jong-il
Babita,Karisma_Kapoor
Jerzy_Vetulani,Tomasz_Vetulani
Abigail_Kapiolani_Kawānanakoa,Edward_A._Kawānanakoa
George_W._Bush,Jenna_Bush_Hager
Rowley_James,Bert_James
Charles_Kushner,Jared_Kushner
Sheriar_Irani,Meher_Baba
Charles_Campora,Anne-Marie_Campora
George_Clint,Scipio_Clint
Gloria_Stivic,Joey_Stivic
Leona_Roberts,Josephine_Hutchinson
M._A._Chidambaram,A._C._Muthiah
Julia_Grant,Nellie_Grant
Mary_Hayley_Bell,Juliet_Mills
Billy_Drago,Darren_E._Burrows
"Henry_Cary,_Jr.",Archibald_Cary
James_Earl_Carter_Sr.,Ruth_Carter_Stapleton
Pru_Goward,Kate_Fischer
MacCallum_Grant,Harold_Taylor_Wood_Grant
Duncan_Sandys,Edwina_Sandys
Aleksander_Ludwik_Radziwiłł,Dominik_Mikołaj_Radziwiłł
Gregorio_Pérez_Companc,Pablo_Pérez_Companc
Thomas_Hinde,Thomas_S._Hinde
Guy_D._Goff,Louise_Goff_Reece
Michael_Gilbert,Harriett_Gilbert
Tlacateotl,Itzquauhtzin
Mallika_Sukumaran,Indrajith_Sukumaran
Feng_Youlan,Zong_Pu
Samuel_Curtis_Johnson_Jr.,Helen_Johnson-Leipold
Richard_Oppel,"Richard_A._Oppel,_Jr."
Judy_Shepard,Matthew_Shepard
K._T._Stevens,Chris_Marlowe
Jacqueline_Andere,Chantal_Andere
Sidney_Janis,Conrad_Janis
"Edward_Seymour,_1st_Earl_of_Hertford","Edward_Seymour,_Lord_Beauchamp"
Kofi_Baako,Kweku_Baako_Jnr
Stanley_E._Hubbard,Stanley_Hubbard
Clu_Gulager,John_Gulager
Nabaneeta_Dev_Sen,Nandana_Sen
Ferdinand_Anton_Ernst_Porsche,Ferdinand_Alexander_Porsche
John_Stuart_(clergyman),Andrew_Stuart_(Canadian_politician)
Robert_Clyde_Packer,Frank_Packer
Sinhabahu,Prince_Vijaya
Rose_Kennedy,"Kathleen_Cavendish,_Marchioness_of_Hartington"
Samuel_P._Bolling,Phillip_S._Bolling
Roald_Dahl,Lucy_Dahl
Wendell_Willkie,Philip_Willkie
Dwight_Foster_(1828–1884),Roger_Sherman_Baldwin_Foster
Jean-Paul_Elkann,Alain_Elkann
Bob_Graham,Gwen_Graham
Wade_O._Martin_Sr.,Wade_O._Martin_Jr.
Clarence_John_Boettiger,John_Roosevelt_Boettiger
Robert_Mitchum,James_Mitchum
John_Dickens,Alfred_Lamert_Dickens
Shlomo_Carlebach_(musician),Neshama_Carlebach
Rajesh_Khanna,Rinke_Khanna
Shirley_Jones,Patrick_Cassidy_(actor)
Chan_Mah_Phee,Chan_Chor_Khine
Carl_Friedrich_Wilhelm_Duncker,Maximilian_Wolfgang_Duncker
Teresa_Gutiérrez,Miguel_Varoni
Del_Latta,Bob_Latta
Tommy_J._Smith,Gai_Waterhouse
Fanny_Stevenson,Lloyd_Osbourne
Norodom_Ranariddh,Norodom_Rattana_Devi
Khair_Bakhsh_Marri,Ghazan_Marri
Lachlan_Bronneach_Maclean,Lachlan_Og_Maclean
Doris_Day,Terry_Melcher
Charles_Champagne_(MLA_for_Deux-Montagnes),Louis_Napoléon_Champagne
Henry_Huttleston_Rogers,Mary_(Mai)_Huttleston_Rogers_Coe
Anthony_K._Roberts,Jason_Roberts_(author)
"Elizabeth_Seymour,_Duchess_of_Somerset","Algernon_Seymour,_7th_Duke_of_Somerset"
Jack_C._Taylor,Andrew_C._Taylor
Gert_Boyle,Timothy_Boyle
Yvon_Gattaz,Pierre_Gattaz
Augustine_Washington,Betty_Washington_Lewis
Edgar_Bronfman_Jr.,Hannah_Bronfman
Eve,Seth
Mamata_Shankar,Ratul_Shankar
Thomas_Bewick,Jane_Bewick
Stellan_Skarsgård,Alexander_Skarsgård
Guy_Benton_Johnson,Benton_Johnson
Ser_Petracco,Petrarch
Billy_Crystal,Jennifer_Crystal_Foley
George_Mason_VI,George_Thomson_Mason
Tanuja,Tanishaa_Mukerji
Sidney_Lumet,Jenny_Lumet
Peter_Barry,Deirdre_Clune
Joanna_Clore,Guy_Secretan
Robert_B._Pamplin,"Robert_B._Pamplin,_Jr."
Henry_Ephron,Delia_Ephron
Jules_B._Kroll,Nick_Kroll
Alberto_Fujimori,Keiko_Fujimori
Michele_Dotrice,Tim_Woodward
Edward_D._Newell,John_Newell_(city_founder)
"Sir_John_Hynde_Cotton,_3rd_Baronet","Sir_John_Hynde_Cotton,_4th_Baronet"
Luis_Cabrera_Lobato,Malú_Block
Sandra_Dickinson,Georgia_Moffett
Charles_Dickens,Alfred_D'Orsay_Tennyson_Dickens
Mao_Fumei,Chiang_Ching-kuo
Henry_Clews,Henry_Clews_Jr.
Antonio_Sabàto_Sr.,Antonio_Sabàto_Jr.
Valmore_A._Whitaker,Ezra_D._Whitaker
William_Henry_(gunsmith),John_Joseph_Henry
Syd_Einfeld,Marcus_Einfeld
Franz_Strauss,Richard_Strauss
Chiang_Ching-kuo,John_Chiang_(Taiwan)
Levitt_Ellsworth_Custer,Levitt_Luzern_Custer
John_Gregory_(settler),John_Benedict
Victoria_Carroll,Ashley_Bell
H._S._Rawail,Rahul_Rawail
Reshad_Feild,JJ_Feild
Janet_Lee_Bouvier,Jacqueline_Kennedy_Onassis
Edward_S._Rogers_Sr.,Edward_Samuel_Rogers
Elizabeth_Kee,James_Kee
Jon_Morgan_Searle,Dominique_Searle
Maneka_Gandhi,Varun_Gandhi
R._P._Goenka,Sanjiv_Goenka
Nusli_Wadia,Ness_Wadia
Marie_Françoise_Catherine_de_Beauvau-Craon,Stanislas_de_Boufflers
Marmaduke_Constable_(died_1545),Robert_Constable_(died_1558)
William_Saroyan,Lucy_Saroyan
D._A._Rajapaksa,Basil_Rajapaksa
Graham_Boynton,Lucy_Boynton
Peter_Fonda,Bridget_Fonda
Michel_Debré,Jean-Louis_Debré
Joseph_M._Proskauer,Ruth_P._Smith
"Peregrine_Cavendish,_12th_Duke_of_Devonshire","William_Cavendish,_Earl_of_Burlington"
Robert_Rodale,Maria_Rodale
Frank_A._Barrett,James_Emmett_Barrett
Sarah_Fairbrother,George_FitzGeorge
"Mabell_Ogilvy,_Countess_of_Airlie","David_Ogilvy,_12th_Earl_of_Airlie"
Stephen_Wheeler_Downey,June_Downey
Ellis_Arthur_Franklin,Colin_Franklin_(bibliographer)
Lisbet_Palme,Joakim_Palme
Stanley_Silverman,Ben_Silverman
Joris_Jansen_Rapelje,Sarah_Rapelje
Chua_Soi_Lek,Chua_Tee_Yong
Henry_Jarecki,Nicholas_Jarecki
Vershini,Shanta
Otto_Frank,Anne_Frank
Walter_Sisulu,Zwelakhe_Sisulu
Oona_O'Neill,Josephine_Chaplin
S._Rm._M._Annamalai_Chettiar,M._A._Chidambaram
Henry_Maxwell_(bishop),"Henry_Maxwell,_6th_Baron_Farnham"
"Orrin_Henry_Ingram,_Sr.",E._Bronson_Ingram_II
Daniel_Samper_Pizano,Daniel_Samper_Ospina
John_Huston,Tony_Huston
Andrey_Guryev,"Andrey_Guryev,_Jr."
Benjamin_Pitman_(Hawaii),Henry_Hoʻolulu_Pitman
Jacob_Safra,Joseph_Safra
John_Cadbury,Richard_Cadbury
"Fernando_Álvarez_de_Toledo,_3rd_Duke_of_Alba",Fernando_de_Toledo
August_Belmont_Jr.,Raymond_Belmont_II
"Nathan_Rothschild,_1st_Baron_Rothschild","Walter_Rothschild,_2nd_Baron_Rothschild"
Sam_Lucchese,Josephine_Lucchese
John_Carter_Brown,John_Nicholas_Brown_I
Patrick_Brontë,Emily_Brontë
Journal_Kyaw_Ma_Ma_Lay,Moe_Hein
Jack_Cassidy,Patrick_Cassidy_(actor)
Nicky_Oppenheimer,Jonathan_Oppenheimer
Helen_Connon,Millicent_Baxter
D._A._Rajapaksa,Mahinda_Rajapaksa
George_Toogood_Smith,John_Lennon
Anna_Roosevelt_Halsted,John_Roosevelt_Boettiger
Kang_Youwei,Kang_Tongbi
Gangadhar_Nehru,Motilal_Nehru
Manuel_Jimenes,Juan_Isidro_Jimenes_Pereyra
James_Cowan_(South_Australian_politician),Darcy_Rivers_Warren_Cowan
Eunice_Kennedy_Shriver,Anthony_Shriver
"Charles_Grey,_2nd_Earl_Grey",Eliza_Courtney
Boris_Sagal,Liz_Sagal
Simon_Greenberg,Daniel_Greenberg_(educator)
Gertrude_Vanderbilt_Whitney,Cornelius_Vanderbilt_Whitney
Kodavatiganti_Kutumbarao,Kodavatiganti_Rohini_Prasad
Deborah_Fisher_Wharton,Joseph_Wharton
George_Herbert_Walker,Dorothy_Walker_Bush
Zeng_Xianzhi,Ye_Xuanning
Anna_Carteret,Hattie_Morahan
Vakkom_Moulavi,Mohammed_Eeza
Henry_Ford,Edsel_Ford
Patricia_Neal,Ophelia_Dahl
William_Hutchinson_(Rhode_Island),John_Sanford_(governor)
Kekheretnebti,Tisethor
Joseph_Ruggles_Wilson,Woodrow_Wilson
John_Brice_Jr.,John_Brice_III
Christopher_Comstock,Samuel_Comstock
Wolfgang_Reitherman,Bruce_Reitherman
Ricky_Lee_Cox,Emily_Cox_(Miss_Kentucky)
Edmond_James_de_Rothschild,Maurice_de_Rothschild
John_Dunn_(miller),John_Dunn_Jr.
Henry_Townsend_(Norwich),Henry_Townsend_(Oyster_Bay)
Daniel_Kellogg_(settler),John_Betts_(Connecticut_politician)
Madurai_Pushpavanam,Rajam_Pushpavanam
Ye_Qun,Lin_Liguo
Philip_Wentworth,Henry_Wentworth
Jonah_Piikoi,David_Kahalepouli_Piikoi
Gustav_Krupp_von_Bohlen_und_Halbach,Alfried_Krupp_von_Bohlen_und_Halbach
Early_life_and_career_of_Suharto,Siti_Hardiyanti_Rukmana
William_S._Halstead,Dirck_Halstead
Ronald_Lauder,Aerin_Lauder
Nathaniel_Clarke_Wallace,Thomas_George_Wallace
Jennifer_Kendal,Karan_Kapoor
James_Fox,Jack_Fox_(actor)
Edsel_Ford,Henry_Ford_II
Frederick_Lukis,Louisa_Collings
Charles-Gaspard_de_la_Rive,Auguste_Arthur_de_la_Rive
Ray_Lyman_Wilbur,Blake_Colburn_Wilbur
William_Bramwell_Powell,Maud_Powell
Ruby_Dandridge,Vivian_Dandridge
Henrik_Ibsen,Sigurd_Ibsen
Chikao_Ohtsuka,Akio_Ōtsuka
Winthrop_M._Crane,Louise_Crane
John_Humphrey_Noyes,Pierrepont_Noyes
Libby_Gleeson,Jessica_Tovey
John_Egerton_(bishop),"Francis_Egerton,_8th_Earl_of_Bridgewater"
Edward_Fitzwilliam,Kathleen_Fitzwilliam
María_Ugarte,Carmenchu_Brusíloff
Pradyumna,Aniruddha
James_Argue,James_O._Argue
David_Bevan_(banker),Favell_Lee_Mortimer
Anisa_Makhlouf,Bushra_al-Assad
Tony_Britton,Fern_Britton
Suharto,Titiek_Suharto
Robert_Todd_Lincoln_Beckwith,Timothy_Lincoln_Beckwith
John_Henry_Dallmeyer,Thomas_Rudolphus_Dallmeyer
Bibliography_of_Ulysses_S._Grant,Frederick_Dent_Grant
Patti_Newton,Matthew_Newton
Mikołaj_Krzysztof_%22the_Orphan%22_Radziwiłł,Aleksander_Ludwik_Radziwiłł
Anthony_Bucco,Tony_Bucco
Sheree_Winton,Dale_Winton
John_Cotton_(minister),Elizabeth_I_of_England
Diosdado_Macapagal,Arturo_Macapagal
Charles_Stillman,James_Stillman
Ed_Wynn,Keenan_Wynn
Marisa_Coulter,Lyra_Belacqua
Jimmy_Tarbuck,Liza_Tarbuck
Kathy_Hilton,Nicky_Hilton_Rothschild
"Thomas_Grey,_1st_Marquess_of_Dorset",Richard_Grey
Sid_Hartman,Chad_Hartman
Henry_Irving,Laurence_Sydney_Brodribb_Irving
Jamal_al-Atassi,Suheir_Atassi
Tivadar_Andrássy,Katinka_Andrássy
Anna_Harrison,Benjamin_Harrison
John_Flanagan_(author),Penny_Flanagan
Walter_A._Haas_Jr.,Bob_Haas
Ali_ibn_Husayn_Zayn_al-Abidin,Muhammad_al-Baqir
John_Trice_Nixon,Mignon_Nixon
Ajay_Singh_Chautala,Dushyant_Chautala
Kristoffer_Throndsen,Anna_Throndsen
