Maryam_Abacha,Mohammed_Abacha
Georges-René_Saveuse_de_Beaujeu,Georges-Raoul-Léotale-Guichart-Humbert_Saveuse_de_Beaujeu
Merion_Moriarty,Edward_Orpen_Moriarty
Brian_Stewart_(diplomat),Rory_Stewart
Adrianne_Allen,Daniel_Massey_(actor)
Wu_Tingfang,Wu_Chaoshu
Sunil_Dutt,Priya_Dutt
Drupada,Shikhandi
Remi_Fani-Kayode,Femi_Fani-Kayode
Molvi_Iftikhar_Hussain_Ansari,Molvi_Imran_Raza_Ansari
David_Fleeshman,Rosie_Fleeshman
Doris_F._Fisher,John_J._Fisher
Basil_A._Paterson,David_Paterson
Claude_Pompidou,Alain_Pompidou
William_Rogers_Coe,William_Robertson_Coe_II
Helen_Silvermaster,Anatole_Boris_Volkov
Francis_Preston_Blair,Elizabeth_Blair_Lee
Ken_Lerner,Sam_Lerner
Stevens_Thomson_Mason_(Virginia),John_Thomson_Mason_(1787–1850)
Jezebel,Ahaziah_of_Israel
Serafin_Baroja,Pío_Baroja
Yvonne_de_Gaulle,Anne_de_Gaulle
Ricky_Lee_Cox,Emily_Cox_(Miss_Kentucky)
Shem,"Lud,_son_of_Shem"
Rajkumar_R._Pandey,Pradeep_Pandey
Ahmed_Jibril,Jihad_Ahmed_Jibril
Adolf_Müller_(industrialist),Leo_Müller
John_W._Thomas,Mary_Brooks
Patrick_Jane,Teresa_Lisbon
Roman_Vetulani,Adam_Vetulani
John_Tyler,John_Alexander_Tyler
Michał_Hieronim_Radziwiłł,Michał_Gedeon_Radziwiłł
Mike_Jenkins_(poet),Ciaran_Jenkins
Pattie_Mallette,Justin_Bieber
William_Markham_(bishop),George_Markham
Bill_White_(Canadian_politician),Sheila_White_(politician)
Philip_Hinchcliffe,Celina_Hinchcliffe
John_Gurney_(judge),John_Hampden_Gurney
Antony_Booth,Lauren_Booth
Benito_Mussolini,Vittorio_Mussolini
Cao_Văn_Viên,Lan_Cao
Dexter_M._Ferry,"Dexter_M._Ferry,_Jr."
Bettina_Moissi,Nicolas_Berggruen
"William_Byron,_3rd_Baron_Byron","William_Byron,_4th_Baron_Byron"
Claude_Tircuy_de_Corcelle,Francisque_de_Corcelle
"Kingdon_Gould,_Sr.","Kingdon_Gould,_Jr."
Miyahuaxochtzin,Huehue_Zaca
Ogden_Mills,Gladys_Mills_Phipps
B'alaj_Chan_K'awiil,Itzamnaaj_K'awiil
Vanessa_Redgrave,Joely_Richardson
Ronald_Reagan,Maureen_Reagan
"Frances_Anne_Spencer-Churchill,_Duchess_of_Marlborough",Lord_Randolph_Churchill
Ding_Zilin,Jiang_Jielian
Minnie_Marx,Chico_Marx
Alain_Delon,Anouchka_Delon
Piotr_Opaliński,Łukasz_Opaliński_(1612–1666)
Hero_Ibrahim_Ahmed,Qubad_Talabani
Jocelyn_Newman,Campbell_Newman
David_Rockefeller,Richard_Rockefeller
Dick_Ebersol,Charlie_Ebersol
Julius_Rosenwald,William_Rosenwald
Matilda_Heron,Bijou_Heron
Zipporah,Gershom
"Flora,_Fauna,_and_Merryweather",Aurora_(Disney_character)
Christian_Nyby,Christian_I._Nyby_II
Sivakumar,Karthi
Magnus_von_Braun_(senior),Wernher_von_Braun
"Mary,_mother_of_Jesus",Jesus
John_G._Schmitz,Mary_Kay_Letourneau
Lennart_Ekdal,Albin_Ekdal
Misael_Pastrana_Borrero,Andrés_Pastrana_Arango
Agnès_Sorel,Charlotte_de_Brézé
Sybil_Thorndike,Ann_Casson
S._A._Ashokan,Vincent_Asokan
Nagendra_Vijay,Harshal_Pushkarna
Pilar_Bardem,Mónica_Bardem
Aldo_Leopold,A._Carl_Leopold
Helen_Herron_Taft,Robert_A._Taft
Puduhepa,Tudhaliya_IV
Thomas_Brassey,Albert_Brassey
Silvia_Pinal,Alejandra_Guzmán
John_Egerton_(bishop),"Francis_Egerton,_8th_Earl_of_Bridgewater"
Bettino_Craxi,Stefania_Craxi
Rhea_Kohan,Jenji_Kohan
Allan_Cameron_(British_Army_officer),"Ewen_Cameron,_Baron_Cameron_of_Dillington"
Richard_Cheatham,Richard_Boone_Cheatham
Lynne_Cheney,Liz_Cheney
John_Seward_Johnson_I,Mary_Lea_Johnson_Richards
N._Viswanathan,Ashoke_Viswanathan
Cher,Chaz_Bono
David_Lloyd_George,Megan_Lloyd_George
Brian_Mulroney,Caroline_Mulroney_Lapham
Frances_Shand_Kydd,Lady_Sarah_McCorquodale
André_Bettencourt,Françoise_Bettencourt_Meyers
Sam_Marx,Chico_Marx
"William_Byron,_3rd_Baron_Byron","Richard_Byron,_2nd_Baron_Byron"
Mayadhar_Mansingh,Lalit_Mansingh
Ali_ibn_Husayn_Zayn_al-Abidin,Muhammad_al-Baqir
Vijay_Mallya,Siddharth_Mallya
Antonio_Frasconi,Miguel_Frasconi
Andrew_Petrie,Thomas_Petrie
Shane_Richie,Jake_Roche
Bing_Crosby,Gary_Crosby_(actor)
César_Gaviria,Simón_Gaviria_Muñoz
Thomas_J._Watson,Arthur_K._Watson
Darius_Ogden_Mills,Ogden_Mills
Robert_Maxwell,Kevin_Maxwell
Bersheba_Leighton_Fristoe,John_Younger
Mordecai_Richler,Daniel_Richler
Pieter_van_Vollenhoven,"Prince_Pieter-Christiaan_of_Orange-Nassau,_van_Vollenhoven"
K._T._Stevens,Chris_Marlowe
John_Young_(Hawaii),James_Kānehoa
Carlos_Prío_Socarrás,Carlos_Prio-Touzet
H._John_Heinz_III,Christopher_Heinz
Robert_Layton,Jack_Layton
Richard_Benjamin_Harrison,Rick_Harrison
Jennifer_Lash,Sophie_Fiennes
Asiya,Moses
Bennett_Cerf,Christopher_Cerf
Elizabeth_Brooke_(1503–1560),Thomas_Wyatt_the_Younger
Antonio_Sabàto_Sr.,Antonio_Sabàto_Jr.
Perry_O._Hooper_Sr.,Perry_O._Hooper_Jr.
Erico_Aumentado,Erico_Aristotle_Aumentado
Betty_Corday,Ken_Corday
Suniel_Shetty,Athiya_Shetty
Yang_Zongbao,Yang_Wenguang
Pie_Corbett,Poppy_Corbett
Margaret_Wycherly,Anthony_Veiller
Joe_Wilson_(U.S._politician),Alan_Wilson_(South_Carolina_politician)
Irwin_Winkler,Adam_Winkler
Ikbal_Ali_Shah,Idries_Shah
Benjamin_Harrison,Russell_Benjamin_Harrison
Thomas_Koppel,Naja_Rosa
Michael_Thomas_Bass_(1760–1827),Michael_Thomas_Bass
Alfred_L._Kroeber,Ursula_K._Le_Guin
Thomas_Harrison_Montgomery,James_Alan_Montgomery
Anna_Hall_Roosevelt,Eleanor_Roosevelt
Alicia_Vergel,Ace_Vergel
Marian_Montagu_Douglas_Scott,Ronald_Ferguson
Elisha_Warfield,Catherine_Anne_Warfield
Denise_Robins,Patricia_Robins
Jane_Fonda,Troy_Garity
Dorothy_Livesay,Peter_Macnair
Kamal_(director),Jenuse_Mohamed
Ali_Khan_Vali,"Ghassem_Khan_Vali,_Sardar_Homayoun"
Nursultan_Nazarbayev,Dinara_Nazarbayeva
Barry_Otto,Miranda_Otto
Richard_Pankhurst,Sylvia_Pankhurst
S._Kasturi_Ranga_Iyengar,K._Srinivasan
Edward_H._Funston,Frederick_Funston
"James_Marion_West,_Sr.",Wesley_West
Lindy_Boggs,Barbara_Boggs_Sigmund
Benjamin_Roden,George_Roden
Cheng_Pei-pei,Eugenia_Yuan
Fábio_Jr.,Cléo_Pires
Raj_Kapoor,Randhir_Kapoor
James_Copeland_(actor),James_Cosmo
Isidore_Proulx,Edmond_Proulx
Emmanuelle_Seigner,Morgane_Polanski
Arthur_Naparstek,Aaron_Naparstek
Frank_Sobotka,Ziggy_Sobotka
Roger_Sherman_Baldwin,Simeon_Eben_Baldwin
Lupita_Pallás,Jorge_Ortiz_de_Pinedo
Vakkom_Moulavi,Mohammed_Eeza
Nadim_Sawalha,Nadia_Sawalha
Henri_Arnold_Seyrig,Delphine_Seyrig
Elaine_Darling,Vicky_Darling
Catherine_Coll,Éamon_de_Valera
Hussein_Onn,Hishammuddin_Hussein
Amanullah_Jahanbani,Khosrow_Jahanbani
Nathaniel_Smith,Nathaniel_Benedict_Smith
Mahinda_Rajapaksa,Yoshitha_Rajapaksa
Käte_Duncker,Karl_Duncker
R._Siva_Kumar,Siddharth_Sivakumar
H._S._Rawail,Rahul_Rawail
Elizabeth_Inglis,Sigourney_Weaver
Regina_Mills,Mary_Margaret_Blanchard
Donald_Trump,Ivanka_Trump
Lammot_du_Pont_II,Esther_D._du_Pont
Rudy_Fernandez_(actor),Renz_Fernandez
Warren_Hellman,Frances_Hellman
"Charles_Wilson,_1st_Baron_Moran","John_Wilson,_2nd_Baron_Moran"
Bob_Wolff,Rick_Wolff_(writer)
"Mateo_de_Toro_Zambrano,_1st_Count_of_La_Conquista","Gregorio_José_de_Toro,_2nd_Count_of_la_Conquista"
Dwight_D._Eisenhower,John_Eisenhower
"Georgiana_Spencer,_Countess_Spencer","George_Spencer,_2nd_Earl_Spencer"
William_Henry_Vanderbilt,Florence_Adele_Vanderbilt_Twombly
Stanley_Lupino,Ida_Lupino
Harry_Payne_Whitney,Flora_Payne_Whitney
Nathaniel_B._Borden,Simeon_Borden
Devdas_Gandhi,Rajmohan_Gandhi
Paul_Steenstrup_Koht,Halvdan_Koht
Carolina_Isakson_Proctor,Virgilio_Barco_Isakson
Tokugawa_Hidetada,Senhime
Neil_Aspinall,Mona_Best
Mary_Virginia_Terhune,Albert_Payson_Terhune
"Harriet_Sutherland-Leveson-Gower,_Duchess_of_Sutherland","George_Sutherland-Leveson-Gower,_3rd_Duke_of_Sutherland"
Robert_White_(judge),John_Baker_White_(Virginia)
Stewart_Udall,Tom_Udall
Talish,Ahson_Talish
M._B._Shetty,Rohit_Shetty
Tyler_MacDuff,Dana_MacDuff
Marion_Stein,James_Lascelles
Chau_Siu-ki,Chau_Tsun-nin
Valéry_Giscard_d'Estaing,Henri_Giscard_d'Estaing
Lou_Solverson,Molly_Solverson
Fábio_Jr.,Filipe_Galvão
Lev_Dobriansky,Paula_Dobriansky
Fernando_Lamas,Lorenzo_Lamas
Pankaj_Dheer,Nikitin_Dheer
Rudolf_August_Oetker,Richard_Oetker
Thinkhaya_I_of_Toungoo,Thinkhaya_II_of_Toungoo
Andrew_Mellon,Paul_Mellon
William_Harrison_Rice,William_Hyde_Rice
Unni_Bernhoft,Jon_Ola_Sand
John_Noble,Samantha_Noble
Livia_Soprano,Tony_Soprano
Maurice_Zolotow,Crescent_Dragonwagon
Henry_Jarecki,Andrew_Jarecki
"Dudley_Gordon,_3rd_Marquess_of_Aberdeen_and_Temair","Alastair_Gordon,_6th_Marquess_of_Aberdeen_and_Temair"
Whit_Bissell,Brian_Forster
Richard_Yuengling_Sr.,Richard_Yuengling_Jr.
Joseph_Brittan,Mary_Rolleston
Eileen_Ryan,Michael_Penn
"Emily_FitzGerald,_Duchess_of_Leinster","Charlotte_Strutt,_1st_Baroness_Rayleigh"
Evabritt_Strandberg,Matti_Berenett
John_H._Addams,Jane_Addams
John_Thomson_Mason_(1787–1850),Armistead_Thomson_Mason
Nikhil_Ghosh,Nayan_Ghosh
Patrick_McGoohan,Catherine_McGoohan
Malcolm_McDowell,Charlie_McDowell
Isaac_in_Islam,Jacob_in_Islam
Victor_Gladu,Joseph_Ernest_Oscar_Gladu
Samuel_Hayes_(settler),Matthew_Seymour
Joseph-Éna_Girouard,Wilfrid_Girouard
R._C._Lehmann,Rosamond_Lehmann
Hassanal_Bolkiah,Prince_Azim_of_Brunei
Hosni_Mubarak,Alaa_Mubarak
Tony_Magnusson,Cheyne_Magnusson
"William_Paget,_1st_Baron_Paget","Henry_Paget,_2nd_Baron_Paget"
Frederick_Nutter_Chasen,Heather_Chasen
John_F._Kennedy,John_F._Kennedy_Jr.
"Mary_Stewart,_Duchess_of_Richmond","Esmé_Stewart,_2nd_Duke_of_Richmond"
Che_Guevara,Aleida_Guevara
Asif_Ali_Zardari,Bilawal_Bhutto_Zardari
Terence_Conran,Sophie_Conran
"Lucy_Baldwin,_Countess_Baldwin_of_Bewdley","Arthur_Baldwin,_3rd_Earl_Baldwin_of_Bewdley"
"Frederick_Hervey,_4th_Earl_of_Bristol","John_Creighton,_1st_Earl_Erne"
He_Jian,Tang_Fei-fan
Mohan_Lal_Lohia,Aloke_Lohia
Henry_Matthews_(judge),"Henry_Matthews,_1st_Viscount_Llandaff"
James_Caan,Scott_Caan
Tahir_Hussain,Nikhat_Khan
Maurice_Barrymore,John_Barrymore
Cassius_Marcellus_Clay_Sr.,Muhammad_Ali
David_Brower,Kenneth_Brower
Sara_Roosevelt,Franklin_D._Roosevelt
Ivor_Francis,Genie_Francis
Édouard-Raymond_Fabre,Hector_Fabre
William_H._Gates_Sr.,Bill_Gates
Susana_Dosamantes,Paulina_Rubio
Gai_Waterhouse,Tom_Waterhouse
Louis_Dudek,Gregory_Dudek
Hassanal_Bolkiah,Prince_Mateen_of_Brunei
Julia_Frankau,Gilbert_Frankau
Hermann_Raster,Walther_Berthold_Raster
George_Stephenson,Robert_Stephenson
Robert_Peel,"Arthur_Peel,_1st_Viscount_Peel"
Philip_Goodhart,David_Goodhart
Bruno_Freindlich,Alisa_Freindlich
David_S._Cordish,Blake_Cordish
Maurice_Dorléac,Catherine_Deneuve
Wilbert_Awdry,Christopher_Awdry
Sheriar_Irani,Mani_Irani
James_Grady_(author),Rachel_Grady
C._E._%22Cap%22_Barham,Charles_C._Barham
Eljas_Erkko,Aatos_Erkko
Lorenzo_Tañada,Wigberto_Tañada
Walter_A._Haas,Peter_E._Haas
Susan_Saint_James,Charlie_Ebersol
Efrem_Zimbalist_Jr.,Stephanie_Zimbalist
Ferdynand_Radziwiłł,Janusz_Radziwiłł_(1880–1967)
Richard_J._Daley,John_P._Daley
Caroline_Remond_Putnam,Charles_Lenox_Remond
Vishrava,Shurpanakha
Susan_Damante,Vinessa_Shaw
Ronglu,Youlan_(noble)
Bruce_Burnside,Robert_Bruce_Burnside
John_Murray_Forbes,William_Hathaway_Forbes
Winthrop_M._Crane,Bruce_Crane_(businessman)
John_Payne_(actor),"Julie_Payne_(actress,_born_1940)"
William_Close,Glenn_Close
Andrew_Jackson,Andrew_Jackson_Donelson
Betty_Ford,Michael_Gerald_Ford
Ferdinand_Porsche,Louise_Piëch
Carmine_Persico,Alphonse_Persico
Anna_M._Harkness,Edward_Harkness
"Sir_Charles_Tennant,_1st_Baronet","Thomas_Lister,_4th_Baron_Ribblesdale"
Buz_Kohan,David_Kohan
Arthur_Livermore,Samuel_Livermore
Zhao_Hongyin,Gao_Huaide
C._N._Balakrishnan,C_B_Geetha
A._A._Milne,Christopher_Robin_Milne
William_Frank_Buckley_Sr.,Patricia_Buckley_Bozell
Clive_James,Claerwen_James
Sudeshna,Uttarā_(Mahabharata)
William_F._Frye,E._Max_Frye
Qi_of_Xia,Tai_Kang
Joanna_Cannan,Denis_Cannan
Charles_Palmer-Tomkinson,Santa_Montefiore
Augustus_Brandegee,Frank_B._Brandegee
Esmond_Wickremesinghe,Ranil_Wickremesinghe
Aung_San,Aung_San_Suu_Kyi
Biju_Patnaik,Gita_Mehta
"Thomas_Grey,_1st_Marquess_of_Dorset","Elizabeth_Grey,_Countess_of_Kildare"
Josiah_Ogden_Hoffman,Ogden_Hoffman
James_Roosevelt_Roosevelt,Tadd_Roosevelt
R._Muthuraman,Karthik_(actor)
Bruce_Lee,Brandon_Lee
James_A._King,Samuel_Wilder_King
Hector_Hetherington,Alastair_Hetherington
"George_Lascelles,_7th_Earl_of_Harewood","David_Lascelles,_8th_Earl_of_Harewood"
Dwight_Baldwin_(missionary),Henry_Perrine_Baldwin
James_Hogg,James_Hogg_(publisher)
Eric_Thompson,Emma_Thompson
Funmilayo_Ransome-Kuti,Beko_Ransome-Kuti
N._T._Rama_Rao,Nandamuri_Balakrishna
Neoptolemus_I_of_Epirus,Olympias
Malcolm_Glazer,Bryan_Glazer
"Louisa_Hamilton,_Duchess_of_Abercorn",Lord_Claud_Hamilton_(1843–1925)
Askar_Akayev,Bermet_Akayeva
Cleveland_Abbe,"Cleveland_Abbe,_Jr."
Russ_Tamblyn,Amber_Tamblyn
Donald_Appleyard,Bruce_Appleyard
John_Woodvine,Mary_Woodvine
Pamela_Bach,Hayley_Hasselhoff
Carmela_Corleone,Connie_Corleone
Max_Evans_(Roswell),Tess_Harding
Umm_Salama,Abu_Salama_'Abd_Allah_ibn_'Abd_al-Asad
Agis-Léon_Ledru,Louis-Antoine-Marie_Ledru_Gaultier_de_Biauzat
Jean_Valjean,Cosette
Joseph_Medill_Patterson,Alicia_Patterson
Clarence_John_Boettiger,John_Roosevelt_Boettiger
Ernesto_Ramos_Antonini,Jeannette_Ramos
Biswajit_Chatterjee,Prosenjit_Chatterjee
Marcel_Dassault,Serge_Dassault
Paul_Milstein,Howard_Milstein
Kit_Culkin,Kieran_Culkin
Carole_Keeton_Strayhorn,Scott_McClellan
Payne_Whitney,Joan_Whitney_Payson
Park_Chung-hee,Park_Geun-hye
R._Balakrishna_Pillai,K._B._Ganesh_Kumar
Bracha_Peli,Alexander_Peli
Abdul_Bakeer_Markar,Imthiaz_Bakeer_Markar
Wilhelmina_Slater,Bradford_Meade
Chang_Chi-yun,Chang_Jen-Hu
Diederik_Jansz._Graeff,Jacob_Dircksz_de_Graeff
Susana_Higuchi,Keiko_Fujimori
Duncan_Fletcher_McCuaig,Janice_Laking
Susanna_Cole,William_Hutchinson_(Rhode_Island)
George_Jay_Gould_I,Gloria_Gould
Sander_Levin,Andy_Levin
Joseph_Powell_Williams,Rowland_Powell-Williams
Bob_Marley,Cedella_Marley
Adolphus_C._Bartlett,Frederic_Clay_Bartlett
John_Anthony_Swire,Barnaby_Swire
"Sarah_Churchill,_Duchess_of_Marlborough","Henrietta_Godolphin,_2nd_Duchess_of_Marlborough"
Henry_Sy,Teresita_Sy-Coson
Joan_Tisch,Steve_Tisch
Robert_Viharo,Will_Viharo
Jennifer_Kendal,Sanjana_Kapoor
Marilou_Diaz-Abaya,Marc_Abaya
William_Pike_Hall_Sr.,Pike_Hall_Jr.
Richard_Boone_Cheatham,Kitty_Cheatham
Bill_Compton_(The_Southern_Vampire_Mysteries),Jessica_Hamby
Jonathan_Bush,Jonathan_S._Bush
Archibald_Glenn,Di_Gribble
Chiang_Ching-kuo,Chiang_Hsiao-wu
Ninian_Edwards,Benjamin_S._Edwards
Birger_Jarl,Ingeborg_Birgersdotter_of_Bjelbo
Mary_Duke_Biddle,Mary_Duke_Biddle_Trent_Semans
Alexander_Carse,James_Howe_Carse
Larry_MacPhail,Bill_MacPhail
Barry_Diller,Tatiana_von_Fürstenberg
Cheng_Shewo,Cheng_Siwei
Senzangakhona_kaJama,Dingane_kaSenzangakhona
Connie_Stevens,Joely_Fisher
Charlotte_von_Rothschild,Leopold_de_Rothschild
Bradford_Meade,Alexis_Meade
"Winifred_Cavendish-Bentinck,_Duchess_of_Portland","William_Cavendish-Bentinck,_7th_Duke_of_Portland"
Zachary_Taylor,Richard_Taylor_(general)
Maumoon_Abdul_Gayoom,Dunya_Maumoon
"Michael_Beaumont,_22nd_Seigneur_of_Sark","Christopher_Beaumont,_23rd_Seigneur_of_Sark"
Richard_Pankhurst,Adela_Pankhurst
Oscar_Schlitter,Oskar_Hermann_Artur_Schlitter
Roy_Blunt,Matt_Blunt
"Frances_Anne_Spencer-Churchill,_Duchess_of_Marlborough",Sarah_Wilson_(war_correspondent)
Herbert_Fisk_Johnson_Sr.,Herbert_Fisk_Johnson_Jr.
Lin_Biao,Lin_Liheng
Barbara_Ayrton-Gould,Michael_Ayrton
Carmine_Coppola,August_Coppola
Garry_Weston,Jana_Khayat
Suchitra_Mohanlal,Pranav_Mohanlal
George_Lucas,Katie_Lucas
Boris_Sagal,Jean_Sagal
Fred_Hoyle,Geoffrey_Hoyle
Yoel_Judah,Zab_Judah
Rosa_Rosal,Toni_Rose_Gayda
Sabyasachi_Chakrabarty,Gaurav_Chakrabarty
Robert_Peel,"Sir_Robert_Peel,_3rd_Baronet"
Ruth_Graham,Franklin_Graham
Tashlultum,Manishtushu
"Ernest_Simon,_1st_Baron_Simon_of_Wythenshawe","Roger_Simon,_2nd_Baron_Simon_of_Wythenshawe"
"Charles_FitzRoy,_2nd_Duke_of_Grafton",Lord_Augustus_FitzRoy
Julia_McNamara,Annie_McNamara
Rashid_bin_Saeed_Al_Maktoum,Mohammed_bin_Rashid_Al_Maktoum
Aristotle_Onassis,John_F._Kennedy_Jr.
Mehli_Mehta,Zarin_Mehta
Roy_O._Disney,Roy_E._Disney
Guy_Benton_Johnson,Benton_Johnson
Lois_Ramsey,Penny_Ramsey
Philip_Wentworth,Henry_Wentworth
Sarita_Joshi,Ketki_Dave
Julius_Caesar_(judge),Charles_Caesar
Alexander_Smolensky,Nikolay_Smolensky
"Orrin_Henry_Ingram,_Sr.",E._Bronson_Ingram_II
Cyrus_S._Poonawalla,Adar_Poonawalla
Mahfuz_Anam,Tahmima_Anam
Daniel_James_(businessman),William_Dodge_James
Mike_Marshall_(actor),William_Marshall_(bandleader)
John_Percival_Postgate,Raymond_Postgate
Myrtle_Stedman,Lincoln_Stedman
"Michael_Grant,_12th_Baron_de_Longueuil",Rachel_Grant
John_Davis_Lodge,Lily_Lodge
Miles_Copeland_Jr.,Ian_Copeland
Louis_Marshall,Bob_Marshall_(wilderness_activist)
Eleanor_Roosevelt,John_Aspinwall_Roosevelt
Stephen_Dillane,Frank_Dillane
Sin-Muballit,Hammurabi
Hagop_Oshagan,Vahé_Oshagan
Rafic_Hariri,Fahd_Hariri
Ulysses_S._Grant,Nellie_Grant
Mohan_Singh,Kanak_Lata_Singh
Édouard-Raymond_Fabre,Édouard-Charles_Fabre
Devdas_Gandhi,Ramchandra_Gandhi
Harry_Blackstone_Sr.,Harry_Blackstone_Jr.
Abby_Aldrich_Rockefeller,Nelson_Rockefeller
Eli_Lilly,"Josiah_K._Lilly,_Sr."
Barbu_Ștefănescu_Delavrancea,Henrieta_Delavrancea
Lin_Jaldati,Jalda_Rebling
Adam,Seth
"George_Frederick_Shrady,_Sr.","George_Frederick_Shrady,_Jr."
Werner_Lindemann,Till_Lindemann
Betty_Hemings,James_Hemings
Murray_Dryden,Ken_Dryden
Natalya_Kaspersky,Ivan_Kaspersky
Allu_Rama_Lingaiah,Allu_Aravind
Robert_Hay_Drummond,"Robert_Hay-Drummond,_10th_Earl_of_Kinnoull"
"Georgiana_Spencer,_Countess_Spencer","Henrietta_Ponsonby,_Countess_of_Bessborough"
John_Dickens,Frederick_Dickens
Princess_Leia,Kylo_Ren
Lady_Randolph_Churchill,Winston_Churchill
Suharto,Tommy_Suharto
William_Henry_Vanderbilt,Frederick_William_Vanderbilt
Antônio_Abujamra,André_Abujamra
Henry_Bauchau,Patrick_Bauchau
John_Lennon,Sean_Lennon
James_Scudamore_(courtier),"John_Scudamore,_1st_Viscount_Scudamore"
Richard_Beckinsale,Kate_Beckinsale
Chuck_Heaton,Patricia_Heaton
John_Henry_Dallmeyer,Thomas_Rudolphus_Dallmeyer
Norman_Swan,Jonathan_Swan
Samuel_C._Damon,Samuel_Mills_Damon
Franca_Valeri,Stefania_Bonfadelli
Charlton_Heston,Fraser_Clarke_Heston
Abu_Aiah_Koroma,Sia_Koroma
Angie_Best,Calum_Best
"William_Byron,_4th_Baron_Byron",John_Byron
Valentin_Plătăreanu,Alexandra_Maria_Lara
Edward_Everett,William_Everett
"Harriet_Leveson-Gower,_Countess_Granville",Georgiana_Fullerton
Tokugawa_Ieyasu,Matsudaira_Nobuyasu
Erol_Ozensoy,Erdem_Duhan_Özensoy
William_D._Hare,William_G._Hare
Moritz_Christian_Julius_Thaulow,Johan_Fredrik_Thaulow
Alexander_Carse,William_Carse
Eric_Harrison_(Australian_soldier),Brian_Harrison_(Conservative_politician)
Mike_Huckabee,David_Huckabee
John_Quincy_Adams,George_Washington_Adams
Hodding_Carter_III,Finn_Carter
Patrick_Tse,Jennifer_Tse
Tim_Daly,Sam_Daly
Henry_Holland_(mayor),Sidney_Holland
Mohammed_bin_Awad_bin_Laden,Salem_bin_Laden
Adam_Clayton_Powell_Jr.,Adam_Clayton_Powell_III
Lady_Shuiqiu,Qian_Liu
John_Hervey_Crozier,Lizzie_Crozier_French
Bharata_(emperor),Bhumanyu
James_Scollay_Whitney,Henry_Melville_Whitney
Marsha_Garces_Williams,Zelda_Williams
Zillur_Rahman,Nazmul_Hasan_Papon
Alfred_Lindon,Raymond_Lindon
Thomas_F._Frist_Jr.,William_R._Frist
Cecelia_Ager,Shana_Alexander
Cecilia_Caballero_Blanco,Alfonso_López_Caballero
Betty_Shabazz,Ilyasah_Shabazz
