Henry_Hadaway,Marvin_Gaye
John_C._Brown,Dewitt_Clinton_Senter
Leonard_Asper,Gail_Asper
Michael_D._Lumpkin,Barack_Obama
Dan_Glickman,Chris_Dodd
Nancy_Pelosi,Jackie_Speier
Jacob,Abraham
Benjamin_Harrison,Mary_Dimmick_Harrison
Frederick_Chien,John_Chiang_(Taiwan)
Eliza_Jumel,Aaron_Burr
Togo_D._West_Jr.,Jimmy_Carter
Blanche_DuBois,Natasha_Richardson
John_Ward_Studebaker,Franklin_D._Roosevelt
Arthur_Ochs_Sulzberger,Floyd_Abrams
"James_Graham,_7th_Duke_of_Montrose","James_Graham,_6th_Duke_of_Montrose"
Chiang_Ching-kuo,Hsu_Ching-chung
Njenga_Karume,Mwai_Kibaki
Francis_Leigh_(died_1644),George_More
Thomas_Jefferson,Edmund_Randolph
Aldo_Mazza,Frank_Sinatra
Victor_Ehrenberg_(historian),Hans_Ehrenberg
Sweyn_Forkbeard,Cnut_the_Great
Hu_Jintao,Xu_Caihou
Seán_O'Casey,George_Bernard_Shaw
William_J._Mills,William_McKinley
Tricia_Leigh_Fisher,Carrie_Fisher
Sharon_Percy_Rockefeller,Shelley_Riley_Moore
Chiang_Ching-kuo,Huang_Chieh
Joseph_Chamberlain,William_Ewart_Gladstone
Mayawati,Akhilesh_Yadav
Richard_Kleindienst,Richard_Nixon
Edward_J._Perkins,Madeleine_Albright
William_G._Angel,Samuel_Chase_(congressman)
"Vere_Fane,_4th_Earl_of_Westmorland","Henry_Sydney,_1st_Earl_of_Romney"
Cornelius_Newton_Bliss,William_McKinley
Hacı_Sabancı,Şevket_Sabancı
John_L._Mitchell,Peter_J._Somers
Carlton_W._Reeves,Barack_Obama
Jayne_Mansfield,Matt_Cimber
"Michael_Havers,_Baron_Havers","Samuel_Silkin,_Baron_Silkin_of_Dulwich"
Elihu_Root,William_Howard_Taft
Rashid_bin_Saeed_Al_Maktoum,Saeed_bin_Maktoum_bin_Hasher_Al_Maktoum
"Arthur_Wellesley,_1st_Duke_of_Wellington","F._J._Robinson,_1st_Viscount_Goderich"
Rufus_King,George_Washington
Joseph_P._Kennedy_Sr.,Patrick_Kennedy_(1823–1858)
Arnold_Schwarzenegger,Lee_Haney
Mary_M._Lisi,Bill_Clinton
Albert_Horner,Doug_Horner
Parikshit,Uttarā_(Mahabharata)
Peter_Barry,Ray_Burke_(Irish_politician)
Barbara_Bodine,George_W._Bush
Lord_Randolph_Churchill,Francis_William_Maclean
Izzy_Asper,Charles_Huband
Goh_Chok_Tong,Lee_Hsien_Loong
Hushang_Ansary,Mohammad_Reza_Ameli_Tehrani
Tokugawa_Iesato,Tokugawa_Yoshiyori
Bajirao_I,Mastani
Samuel_Atkins_Eliot_(politician),Samuel_Turell_Armstrong
Roswell_Magill,Franklin_D._Roosevelt
"William_Legge,_2nd_Earl_of_Dartmouth","Augustus_FitzRoy,_3rd_Duke_of_Grafton"
W._Michael_Blumenthal,Jimmy_Carter
Ned_Stark,Catelyn_Stark
"George_Venables-Vernon,_2nd_Baron_Vernon","William_Cavendish-Bentinck,_3rd_Duke_of_Portland"
Ava_Lowle_Willing,Ivan_Sergeyevich_Obolensky
Chiang_Fang-liang,Tseng_Wen-hui
Marietta_Peabody_Tree,Ronald_Tree
Ray_Bridwell_White,Arthur_Kent_White
Giuseppe_Maria_Buonaparte,Joseph_Bonaparte
Michele_Dotrice,Roy_Dotrice
Raj_Kapoor,Narendra_Nath
Benjamin_Wegner,Ludwig_Erdwin_Seyler
Ibn_Tufail,Muhammad
Ann_Cryer,Bob_Cryer
Gandhari_(character),Dhritarashtra
Gil_Jamieson,Arthur_Boyd
Deng_Xiaoping,Bo_Yibo
Nevesinli_Salih_Pasha,Sultanzade_Mehmed_Pasha
Frederick_Dent_Grant,Julia_Grant
Farooq_Feroze_Khan,Nawaz_Sharif
Kim_Wayans,Keenen_Ivory_Wayans
Michael_Ratney,Barack_Obama
Maleficent,Kristin_Chenoweth
Anthony_Bucco,Gordon_MacInnes
Desi_Arnaz_Jr.,Lucie_Arnaz
"John_Stanley,_1st_Baron_Stanley_of_Alderley","George_North,_3rd_Earl_of_Guilford"
Garr_King,Bill_Clinton
Joe_Clark,Pierre_Trudeau
Toph_Beifong,Kate_Higgins
Abraham_Lincoln,Edward_Bates
Steve_Beshear,Jerry_Abramson
William_Fitzherbert_(New_Zealand_politician),John_Richardson_(New_Zealand_politician)
Jean-Baptiste_Romuald_Fiset,Adolphe-Philippe_Caron
Alberto_Fujimori,Alan_García
Georgios_Papandreou,Paul_of_Greece
Joseph_Michael_Perera,Anura_Bandaranaike
John_Lemon,John_Lennon
Gianni_Agnelli,John_Elkann
Vicki_Miles-LaGrange,Bill_Clinton
Ralph_B._Guy_Jr.,Ronald_Reagan
"Henry_Carey,_1st_Baron_Hunsdon","Robert_Dudley,_1st_Earl_of_Leicester"
William_the_Silent,"Philip_William,_Prince_of_Orange"
Robert_Todd_Lincoln,Thomas_F._Bayard
Seán_Lemass,Éamon_de_Valera
Frankie_Brady,Ken_Corday
Carlos_Holguín_Sardi,Alfonso_López_Michelsen
Michael_Yeats,Éamon_de_Valera
Mary_Margaret_Blanchard,Bailee_Madison
Chimaji_Appa,Balaji_Vishwanath
James_H._%22Jim%22_Brown,Paul_Hardy
Tim_Quinn,Campbell_Newman
Ichirō_Hatoyama,Tanzan_Ishibashi
Sid_Bass,Sid_W._Richardson
Ilona_Edelsheim-Gyulai,István_Horthy
Euan_Rabagliati,Helen_Priscilla_McLaren
Jack_Schwartzman,Talia_Shire
Jean_Chrétien,Gérard_Lamy
William_Shepherd_Allen,"Sir_William_Jackson,_1st_Baronet"
Ryan_Crocker,Bill_Clinton
William_Trousdale,Robert_C._Schenck
Rollin_Carolas_Mallary,William_Czar_Bradley
Ronald_Reagan,John_L._Harmer
William_Campbell_Preston_Breckinridge,Joseph_Clay_Stiles_Blackburn
Spencer_Perceval,"William_Cavendish-Bentinck,_3rd_Duke_of_Portland"
Niki_Sanders,Ali_Larter
Charles_D._Tandy,Anne_Valliant_Burnett_Tandy
Dingane_kaSenzangakhona,Shaka
Italo_Calvino,Gore_Vidal
Gordon_Gray_(politician),William_C._Friday
Sumitra,Dasharatha
Teodoro_Obiang_Nguema_Mbasogo,Ignacio_Milam_Tang
S._A._Ashokan,Ashokan_(actor)
Thomas_Jefferson,Henry_Dearborn
Abel_Smith_(1717–1788),"John_Hamilton,_1st_Marquess_of_Abercorn"
Simon_Crean,Bob_Hawke
Edith_Roosevelt,Theodore_Roosevelt
Isaac_Foot,Elliott_Dodds
John_Quincy_Adams,Louisa_Adams
Lucille_Ball,Fred_Ball
Wahb_ibn_Abd_Manaf,Zuhrah_ibn_Kilab
Spencer_Abraham,George_W._Bush
Michael_Guest,George_W._Bush
Farooq_Leghari,Benazir_Bhutto
Robert_Wodrow_Archbald,William_Howard_Taft
Robert_Stephens,Maggie_Smith
Angus_Ogilvy,"Princess_Alexandra,_The_Honourable_Lady_Ogilvy"
Mark_Antony,Lucius_Cornificius
Francis_Burdett,"Paul_Methuen,_1st_Baron_Methuen"
Robert_D._Orr,Evan_Bayh
Hasse_Ekman,Tutta_Rolf
Francis_Burdett,Richard_Brinsley_Sheridan
Helen_Johnson-Leipold,Herbert_Fisk_Johnson_III
Mathea_Falco,Jimmy_Carter
"Charlotte_Cavendish,_Marchioness_of_Hartington","Richard_Boyle,_3rd_Earl_of_Burlington"
Warren_Rudman,Bill_Clinton
Ingmar_Bergman,Ingrid_Bergman
Duncan_Sandys,Alec_Douglas-Home
Bertie_Ahern,Mary_O'Rourke
Antonia_Handler_Chayes,Abram_Chayes
James_Olmsted,Thomas_Betts
Andrew_Moray,Andrew_Moray_(justiciar)
Charles_A._Wickliffe,John_Tyler
Edgar_Bronfman_Sr.,Charles_Bronfman
Michael_Madsen,Georganne_LaPiere
Jim_Rosenthal,Mark_Nicholas
Norman_Frank_Wilson,Cairine_Wilson
Enrico_Echiverri,Benigno_Aquino_III
Emily_Thorn_Vanderbilt,William_Henry_Vanderbilt
William_Lowthian_Green,Paul_P._Kanoa
Janet_Frame,James_K._Baxter
Robert_F._Wagner,John_T._McCall
Hans_Fränkel,Chang_Ch'ung-ho
"Robert_Grosvenor,_5th_Duke_of_Westminster","James_Hamilton,_5th_Duke_of_Abercorn"
Carlos_Pascual_(diplomat),Bill_Clinton
David_Lloyd_George,Prime_Minister_of_the_United_Kingdom
James_E._Shadid,Barack_Obama
"Thomas_Sackville,_1st_Earl_of_Dorset","Robert_Cecil,_1st_Earl_of_Salisbury"
Marcheline_Bertrand,John_Trudell
Edith_Roosevelt,Theodore_Roosevelt
Michael_Balcon,Tamasin_Day-Lewis
Susan_Richard_Nelson,Barack_Obama
Vibhishana,Vishrava
Rozanne_L._Ridgway,Ronald_Reagan
Thomas_F._Bayard,George_Gray_(senator)
William_Greene_(governor),Nicholas_Cooke
Dennis_Hopper,Katherine_LaNasa
Uttarā_(Mahabharata),Abhimanyu
Bill_Waterhouse,Tom_Waterhouse
Zhang_Zuolin,Tan_Yankai
Walter_Sisulu,Nelson_Mandela
William_S._Archer,William_H._Roane
Ciara_Sotto,KC_Concepcion
Eleanor_Butler_Alexander-Roosevelt,Theodore_Roosevelt
Edward_Scott_(died_1646),"Mildmay_Fane,_2nd_Earl_of_Westmorland"
William_W._Irwin,Samuel_Hays_(Pennsylvania_politician)
David_Hunter_Riddle,Jonathan_Edwards_(Washington_&_Jefferson_College)
Ashikaga_Yoshimitsu,Ashikaga_Yoshiakira
Mordecai_Barbour,Alfred_Madison_Barbour
Malik_al-Ashtar,Muhammad
Katherine_Harris,Jeb_Bush
George_Henry_Murray,James_Drummond_McGregor
Laura_Tyson,Bill_Clinton
Chhatrapati_Shahu,Sambhaji
Joss_Whedon,Tom_Whedon
Margaret_Thatcher,Alfred_Roberts
Sonny_Corleone,Vito_Corleone
Timothy_Stamps,David_Parirenyatwa
Mahindananda_Aluthgamage,Mahinda_Rajapaksa
"George_Lascelles,_7th_Earl_of_Harewood","Patricia_Lascelles,_Countess_of_Harewood"
Ivanka_Trump,Donald_Trump
Alice_Palmer_(politician),Barack_Obama
Temperance_%22Bones%22_Brennan,Hart_Hanson
Tarun_Gogoi,Keshab_Mahanta
Tam_Galbraith,John_Hughes-Hallett
Mulayam_Singh_Yadav,I._K._Gujral
Daniel_O'Connell,Garrett_Standish_Barry
Farooq_Abdullah,Vilas_Muttemwar
"Francis_Fane,_1st_Earl_of_Westmorland",James_VI_and_I
John_Hays_Hammond_Jr.,Natalie_Hays_Hammond
"Herbert_Samuel,_1st_Viscount_Samuel",Edwin_Samuel_Montagu
Fitzwilliam_Coningsby,"John_Scudamore,_1st_Viscount_Scudamore"
Vilasrao_Deshmukh,Kishore_Chandra_Deo
Walter_Edward_Foster,William_Pugsley
Ginger_Rogers,William_Marshall_(bandleader)
Lewis_L._Walker,Ralph_Waldo_Emerson_Gilbert
"William_Byron,_4th_Baron_Byron","William_Byron,_3rd_Baron_Byron"
Max_Ruddock,Tim_Bruxner
Tony_Soprano,Livia_Soprano
Mário_de_Sá-Carneiro,Oscar_Wilde
"Anne_St_Leger,_Baroness_de_Ros","Anne_of_York,_Duchess_of_Exeter"
"Nicholas_Vansittart,_1st_Baron_Bexley","Robert_Jenkinson,_2nd_Earl_of_Liverpool"
Mine-a,Dawn_Zulueta
Hjalmar_Schacht,Adolf_Hitler
William_Shepherd_Allen,John_Candlish
Bill_Graves,Kathleen_Sebelius
William_Faulkner,Charles_Dickens
James_McHenry,John_Adams
Jackson_Browne,David_Crosby
Betty_Clooney,George_Clooney
"J._C._C._Davidson,_1st_Viscount_Davidson","James_Gascoyne-Cecil,_4th_Marquess_of_Salisbury"
List_of_Queer_as_Folk_characters,Peter_Paige
Ziaur_Rahman,Mashiur_Rahman_(politician_from_Rangpur)
Richard_N._Haass,George_W._Bush
H._H._Asquith,Ramsay_MacDonald
Betty_Taylor_(actress),Elizabeth_Taylor
William_Garvelink,Barack_Obama
Lettice_Knollys,"Walter_Devereux,_1st_Earl_of_Essex"
Ebenezer_J._Hill,Peter_L._Cunningham
Jan_Kaus,Ingmar_Bergman
Eva_Macapagal,Leonila_Garcia
Jacques_Chirac,Robert_Boulin
Jaquelin_H._Hume,Leslie_P._Hume
Eddie_Fisher_(singer),Billie_Lourd
Tony_Benn,James_Callaghan
The_Bride_(Kill_Bill),Uma_Thurman
Geoffrey_Pearson,Robert_Ford_(poet)
Thomas_Butler_King,Joseph_Webber_Jackson
Gerald_Ford,Charles_A._Halleck
Rodney_O'Gliasain_Kennedy-Minott,Jimmy_Carter
Sasha_Behar,Jamie_Glover
Jim_Henson,Guy_Smiley
Gerald_Ford,Donald_Rumsfeld
Victoria_Aitken,"Charles_Spencer,_9th_Earl_Spencer"
Nancy_Reagan,Rosalynn_Carter
Jack_Lew,Barack_Obama
"John_Hay,_2nd_Marquess_of_Tweeddale","James_Douglas,_2nd_Duke_of_Queensberry"
Anita_Decker_Breckenridge,Barack_Obama
Betty_Ford,Gerald_Ford
John_Verney_(judge),John_Willes_(judge)
Paul_Bryan_(musician),Susanna_Hoffs
"Edward_Strutt,_1st_Baron_Belper","Granville_Leveson-Gower,_2nd_Earl_Granville"
Mitt_Romney,George_W._Romney
Ron_Dellums,Pete_Stark
Macaulay_Culkin,Rory_Culkin
Vilhelmine_Ullmann,Mathilde_Schjøtt
Hashim_ibn_Abd_Manaf,Nawfal_ibn_Abd_Manaf
Alejandro_Char_Chaljub,Arturo_Char_Chaljub
Kirsten_Cohen,Marissa_Cooper
Jean_Clemens,Susy_Clemens
Mahesh_Bhatt,Nanabhai_Bhatt
Benjamin_Harrison,John_Wanamaker
Sulla,Lucius_Cornelius_Cinna
Ismael_Sueno,Rodrigo_Duterte
John_Williams,Barbara_Ruick
Vijaya_Lakshmi_Pandit,Lester_B._Pearson
List_of_EastEnders_characters_(2003),Mary_Woodvine
Ali_ibn_Husayn_Zayn_al-Abidin,Sakinah_(Fatima_al-Kubra)_bint_Husayn
Derek_Fatchett,Hilary_Benn
Lisa_Gretzky,Wayne_Gretzky
Alphonso_Taft,Edwards_Pierrepont
Vibia_Sabina,Faustina_the_Elder
Paul_K._Holmes_III,Barack_Obama
David_R._Francis,William_McKinley
Doris_Day,George_William_Weidler
Meresankh_IV,Djedkare_Isesi
Jenny_Durkan,Barack_Obama
William_Coddington,William_Hutchinson_(Rhode_Island)
"George_Calvert,_1st_Baron_Baltimore",Jerome_Horsey
John_Kerry,Paul_Tsongas
"Otto_III,_Holy_Roman_Emperor","Henry_II,_Holy_Roman_Emperor"
Sophia_Loren,Anna_Maria_Villani_Scicolone
Andrew_Jackson,Louis_McLane
Charles_Taylor_(Liberian_politician),Moses_Blah
Khojaste_Bagherzadeh,Ali_Khamenei
Mohammad_al-Shaar,Bashar_al-Assad
Marsha_S._Berzon,Bill_Clinton
Martin_Cullen,Brian_Cowen
Frank_Murphy,Frank_Couzens
Phyllis_J._Hamilton,Bill_Clinton
Sun_Yat-sen,Kaoru_Otsuki
Terry_Martin_(politician),David_Crean
Charlotte_von_Rothschild,Lionel_de_Rothschild
"Charles_Gordon-Lennox,_10th_Duke_of_Richmond","Frederick_Gordon-Lennox,_9th_Duke_of_Richmond"
Howard_Thomas_Markey,Richard_Nixon
Lady_Dorothy_Macmillan,Harold_Macmillan
Gregory_B._Craig,Bill_Clinton
"Henry_Dundas,_1st_Viscount_Melville",Henry_Erskine_(lawyer)
Rafael_Trujillo,Rafael_Estrella_Ureña
William_Bradford_(Attorney_General),George_Washington
Rosemary_Harris,Ellis_Rabb
"Charles_Grey,_2nd_Earl_Grey","Algernon_Percy,_1st_Earl_of_Beverley"
"George_Lascelles,_7th_Earl_of_Harewood",Elizabeth_II
Lazare_Carnot,Louis-Alexandre_Berthier
"Arthur_Wellesley,_1st_Duke_of_Wellington",Robert_Peel
Asrar-ul-Haq_Mian,Nawaz_Sharif
"Ian_Stewart,_Baron_Stewartby",Shirley_Williams
Edgar_Speyer,Lord_George_Hamilton
"Vere_Fane,_4th_Earl_of_Westmorland","Sir_Thomas_Roberts,_4th_Baronet"
John_Tory,Rob_Ford
James_A._Garfield,Chester_A._Arthur
Silvio_Dante,Steven_Van_Zandt
Bella_Swan,Edward_Cullen
Benjamin_Franklin,Isaac_Norris_(statesman)
Paul_G._Cassell,George_W._Bush
Zeng_Xianzhi,Deng_Yingchao
"Frederick_North,_Lord_North","Augustus_FitzRoy,_3rd_Duke_of_Grafton"
Joe_Biden,Jesse_Helms
Patrice_Pastor,Victor_Pastor
Thomas_S._Estes,John_F._Kennedy
Stephen_Schwartz_(diplomat),Barack_Obama
John_Quincy_Adams,John_Reed_Jr.
Rab_Butler,"Richard_Law,_1st_Baron_Coleraine"
John_Garamendi,Bill_Clinton
"Mildmay_Fane,_2nd_Earl_of_Westmorland",Charles_II_of_England
Thomas_Jefferson,Aaron_Burr
K._M._Mani,K._Karunakaran
Patrick_Michael_Duffy,Bill_Clinton
Alice_Roosevelt_Longworth,Theodore_Roosevelt
George_H._King,Bill_Clinton
William_B._Saxbe,Robert_Bork
Per_Ditlev-Simonsen,Svenn_Kristiansen
"Sir_Charles_Tennant,_1st_Baronet",George_Anderson_(MP)
Frank_Stanfield,William_Davison_Hill
Chen_Shui-bian,Ma_Ying-jeou
Allen_Shawn,Wallace_Shawn
Hjalmar_Carl_Nygaard,Quentin_N._Burdick
Mario_Cuomo,Alfred_DelBello
Annabel_Elliot,Mark_Shand
Muhyiddin_Yassin,Najib_Razak
Sudeshna,Virata
Pavel_Milyukov,Mikhail_Tereshchenko
Mary_Voytek,Barack_Obama
Saritha,Mukesh_(actor)
Vilma_Santos,Edu_Manzano
William_Aston,Joe_Fitzgerald_(politician)
Danny_Boy_(singer),Tupac_Shakur
Raneo_Abu,Rodrigo_Duterte
John_Verney_(judge),John_Willes_(judge)
Dorothy_Kitson,Thomas_Kitson
Eleanor_Holmes_Norton,Jimmy_Carter
John_Reinhardt,Richard_Nixon
William_P._Fessenden,Salmon_P._Chase
Benigno_Aquino_Sr.,José_P._Laurel
Joseph_W._Twinam,Richard_Nixon
Henry_Fawcett,William_Ewart_Gladstone
Alfonso_Arau,Laura_Esquivel
"John_Hamilton-Gordon,_1st_Marquess_of_Aberdeen_and_Temair",John_Sparrow_David_Thompson
Cornelius_Vanderbilt_III,Cornelius_Vanderbilt_II
Susan_Roosevelt_Weld,Archibald_Roosevelt
Deng_Xiaoping,Hu_Yaobang
"Charles_Brandon,_1st_Duke_of_Suffolk","William_Paulet,_1st_Marquess_of_Winchester"
"John_P._Poe,_Sr.",William_Pinkney_Whyte
"Thomas_Howard,_1st_Earl_of_Berkshire",Francis_Popham_(1573–1644)
James_Monroe,Thomas_Jefferson
Julio_Cortázar,Edgar_Allan_Poe
Ada_Lovelace,"Anne_Isabella_Byron,_Baroness_Byron"
Ellen_Horn,Åslaug_Haga
Fiennes_Cornwallis,"James_Mann,_5th_Earl_Cornwallis"
Fiona_Walker,Herbert_Wise
"George_Villiers,_1st_Duke_of_Buckingham","Francis_Manners,_6th_Earl_of_Rutland"
Ferdinand_Marcos,Eulogio_Rodriguez
Abu_Talib_ibn_Abd_al-Muttalib,Fatimah_bint_Asad
Armand_Cloutier,Wilfrid_Girouard
Stephanie_A._Finley,Barack_Obama
Giuseppe_Maria_Buonaparte,Napoleon
Silvanus_Bevan_(1661–1725),Robert_Cooper_Lee_Bevan
William_Howard_Taft,James_S._Sherman
Andries_de_Graeff,Cornelis_de_Graeff
Landon_Pearson,Geoffrey_Pearson
"James_Gascoyne-Cecil,_2nd_Marquess_of_Salisbury","Granville_Leveson-Gower,_2nd_Earl_Granville"
Samuel_Fitch,"Thomas_Fitch,_V"
"Thomas_Grey,_1st_Marquess_of_Dorset","Cecily_Bonville,_7th_Baroness_Harington"
Tudhaliya_I,Muwatalli_I
William_R._Day,John_K._Richards
"George_Villiers,_1st_Duke_of_Buckingham","Edward_Wotton,_1st_Baron_Wotton"
Barnaby_Joyce,Joel_Fitzgibbon
George_Watts_Hill,John_Sprunt_Hill
Johnnie_B._Rawlinson,Bill_Clinton
Mary_Ingalls,Caroline_Ingalls
Augustine_Washington,Mildred_Gale
Charles_Napier_(Royal_Navy_officer),Austen_Henry_Layard
Jacques_Chirac,Jean_Tiberi
David_Eugene_Thompson,Henry_Lane_Wilson
Chiang_Kai-shek,Chen_Mingshu
Jack_Lynch,Liam_Cosgrave
Jack_Quinn_(lawyer),Bill_Clinton
Pranab_Mukherjee,A._K._Antony
Bob_MacMillan,Wayne_Gretzky
James_Pleasants,James_Barbour
Rodrigo_Duterte,Benigno_Aquino_III
Kurt_Vonnegut,Jill_Krementz
"John_Dudley,_1st_Duke_of_Northumberland","Edward_Seymour,_1st_Duke_of_Somerset"
Ali_ibn_Husayn_Zayn_al-Abidin,Shahrbanu
Alexander_Cassatt,Frank_Thomson
Junior_Soprano,Janice_Soprano
Robert_Daniel_Murphy,Joseph_Grew
Rose_Kennedy,John_F._Fitzgerald
"John_P._Poe,_Sr.",Harry_M._Clabaugh
Dennis_Vacco,Eliot_Spitzer
Esther_Buckley,Constance_Horner
Chifley_Government,Robert_Menzies
Louis-Charles-François_Ledru,Louis-Antoine-Marie_Ledru_Gaultier_de_Biauzat
Glen_H._Davidson,Ronald_Reagan
Chang_Ya-juo,Chiang_Ching-kuo
William_Dennison_(Canadian_politician),Roland_Michener
Robert_Califf,Barack_Obama
Charan_Singh,Indira_Gandhi
Ronald_Reagan,Edwin_Reinecke
Nadim_Gemayel,Bachir_Gemayel
N._T._Rama_Rao,Kotla_Vijaya_Bhaskara_Reddy
Philippe_Cousteau_Jr.,Alexandra_Cousteau
Barbara_Ruick,John_Williams
Robert_Gates,George_W._Bush
Presidency_of_Nelson_Mandela,Thabo_Mbeki
Jean-Baptiste_Romuald_Fiset,Adolphe-Philippe_Caron
Pierre_R._Graham,Richard_Nixon
Gail_Carson_Levine,Louisa_May_Alcott
Andrew_Heyward,Sean_McManus_(television_executive)
John_Breckinridge_(U.S._Attorney_General),Thomas_Jefferson
Mario_Cuomo,George_Pataki
List_of_The_Game_characters,Rick_Fox
Daniel_Koch,Roscoe_R._Koch
James_Richard_Cheek,Bill_Clinton
Charles_W._Sawyer,W._Averell_Harriman
Whitney_Houston,Bobby_Brown
"George_Lambert,_1st_Viscount_Lambert",Cedric_Drewe
Saddam_Hussein,Mohammad_Bahr_al-Ulloum
Stosh_%22Piz%22_Piznarski,Veronica_Mars_(character)
Daniel_Bogden,George_W._Bush
Julia_Lennon,Alfred_Lennon
Lester_D._Volk,Emanuel_Celler
Gerald_Ford,Russell_E._Train
"Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury","Henry_Petty-Fitzmaurice,_5th_Marquess_of_Lansdowne"
Rodrigo_Duterte,Prospero_Nograles
Doug_Peterson_(politician),Pete_Ricketts
Clarence_John_Boettiger,Anna_Roosevelt_Halsted
Abd_Shams_ibn_Abd_Manaf,Muttalib_ibn_Abd_Manaf
"William_Cavendish,_Marquess_of_Hartington","Kathleen_Cavendish,_Marchioness_of_Hartington"
Sajith_Premadasa,Ranil_Wickremesinghe
Charles_Alvin_Jones,Franklin_D._Roosevelt
Nelle_Wilson_Reagan,Jack_Reagan
Margaret_Taylor,Zachary_Taylor
Terence_C._Kern,Bill_Clinton
Benigno_Aquino_Sr.,Eulogio_Rodriguez
Marilyn_Quayle,George_H._W._Bush
Silvanus_Bevan_(1661–1725),Favell_Lee_Mortimer
Guidobaldo_da_Montefeltro,Cesare_Borgia
Claude_Corea,Gunasena_de_Soyza
Bernhard_Dunker,Sofie_Schjøtt
Mary_Brooks,John_W._Thomas
Harley_High_Cartter,Andrew_Johnson
Peter_Kinder,Matt_Blunt
Keith_Wilson_(politician),Norman_Makin
William_Jackson_Creel,William_Lansing_Gleason
Chen_Bojun,Mao_Zedong
Alexander_Hamilton,Egbert_Benson
Gregory_B._Starr,George_W._Bush
Mark_J._Sullivan,Barack_Obama
"Adelbert_Brownlow-Cust,_3rd_Earl_Brownlow","William_Mansfield,_1st_Viscount_Sandhurst"
William_Wilberforce,Barbara_Spooner_Wilberforce
Thomas_Brackett_Reed,William_McKinley
Don_Gaetz,Aaron_Bean
Harriet_Nelson,Ozzie_Nelson
Johann_Heinrich_Pestalozzi,Albert_Einstein
Mika_Brzezinski,Willie_Geist
