Shobha_Mohan,Anu_Mohan
Nossis,Melinno
Evelyn_Nesbit,Russell_William_Thaw
Dinah_Sheridan,Jeremy_Hanley
José_P._Laurel,Arsenio_Laurel
Richard_Schaal,Wendy_Schaal
Brij_Sadanah,Kamal_Sadanah
Pierre_Dupuy_(diplomat),Michel_Dupuy
Remi_Fani-Kayode,Rotimi_Fani-Kayode
James_Broderick,Matthew_Broderick
Ivan_Ribar,Ivo_Lola_Ribar
Lord_Neill_Campbell,Archibald_Campbell_(bishop)
Errol_Flynn,Sean_Flynn_(photojournalist)
Edward_J._DeBartolo_Sr.,Edward_J._DeBartolo_Jr.
V._Ravichandran,Manoranjan_Ravichandran
Kenny_Friedkin,Thomas_H._Friedkin
Stephane_Groueff,Tina_Barney
Margaret_Sandhurst,"William_Mansfield,_1st_Viscount_Sandhurst"
Alois_Hitler,Adolf_Hitler
Carter_DeHaven,Gloria_DeHaven
Marie_Breen,Jeannette_Patrick
Karl_Gerhard,Per_Gerhard
Helen_Crump,Opie_Taylor
Charles_Frederick_Williams,Fred_Williams_(journalist)
Flor_Silvestre,Dalia_Inés
John_Flanagan_(author),Kitty_Flanagan
Les_Crane,Caprice_Crane
David_Rockefeller,Richard_Rockefeller
Milton_Shulman,Nicola_Shulman
Diana_Gabaldon,Sam_Sykes
William_F._Buckley_Jr.,Christopher_Buckley_(novelist)
Benjamin_Platt,Herman_Platt
Melvin_Van_Peebles,Mario_Van_Peebles
Minnie_Marx,Harpo_Marx
Susan_Saint_James,Charlie_Ebersol
Victor_Vargas,"Marie_Marguerite,_Duchess_of_Anjou"
Khushi_Ram,Ram_Kumar_(basketball)
Flora_Parker_DeHaven,Gloria_DeHaven
A._Linwood_Holton_Jr.,Anne_Holton
Francis_Burdett_(1743),Francis_Burdett
Margo_Cohen,Michael_H._Cohen
Sylvana_Tomaselli,Lady_Marina_Charlotte_Windsor
Maria_Franca_Fissolo,Giovanni_Ferrero
Edward_H._Rollins,Frank_W._Rollins
Pacencia_Laurel,Arsenio_Laurel
Gregory_Hemingway,Lorian_Hemingway
Anirul,Princess_Irulan
Esmond_Wickremesinghe,Ranil_Wickremesinghe
Guy_Benton_Johnson,Benton_Johnson
Caroline_Benn,Melissa_Benn
Geoffrey_Lewis_(actor),Juliette_Lewis
Rashid_bin_Saeed_Al_Maktoum,Mohammed_bin_Rashid_Al_Maktoum
Stanley_Price_(writer),Munro_Price
Philomena_Lee,Michael_A._Hess
Bruce_Reynolds,Nick_Reynolds_(sculptor)
Michele_Dotrice,Tim_Woodward
Zbigniew_Brzezinski,Ian_Brzezinski
Cristina_Fernández_de_Kirchner,Máximo_Kirchner
Connie_Booth,Cynthia_Cleese
Tony_Benn,"Stephen_Benn,_3rd_Viscount_Stansgate"
Jack_Watling,Giles_Watling
Peter_Kemble,Margaret_Kemble_Gage
Simon_van_der_Stel,Willem_Adriaan_van_der_Stel
Thomas_Brend,Nicholas_Brend
Ziaur_Rahman,Arafat_Rahman
Joan_Crawford,Christina_Crawford
"Ryan_DeGraffenried,_Sr.",Ryan_DeGraffenried
Raj_Kapoor,Rishi_Kapoor
Frank_Shuster,Rosie_Shuster
John_Timpson_(businessman),Edward_Timpson
M._A._Chidambaram,A._C._Muthiah
Gangadhar_Nehru,Nandlal_Nehru
Susan_Roces,Lovi_Poe
Manilal_Gandhi,Arun_Manilal_Gandhi
Helen_Herron_Taft,Helen_Taft_Manning
Annæus_Johannes_Schjødt,Annæus_Schjødt
W._Page_Keeton,Carole_Keeton_Strayhorn
"Archibald_Campbell,_1st_Marquess_of_Argyll","Archibald_Campbell,_9th_Earl_of_Argyll"
Karl_Friedrich_Knorre,Viktor_Knorre
"Geoffrey_Fitz_Peter,_1st_Earl_of_Essex","Geoffrey_FitzGeoffrey_de_Mandeville,_2nd_Earl_of_Essex"
Chimaji_Appa,Sadashivrao_Bhau
Yllka_Mujo,"Elia,_Crown_Princess_of_Albania"
Leila_Seth,Vikram_Seth
Bijon_Bhattacharya,Nabarun_Bhattacharya
Rahat_Kazmi,Ali_Kazmi
Leonard_Peikoff,Kira_Peikoff
"James_Hamilton,_Duke_of_Châtellerault","James_Hamilton,_3rd_Earl_of_Arran"
Sheikh_Hasina,Saima_Wazed
Stanley_Silverman,Ben_Silverman
Robert_Gould_Shaw_II,Robert_Gould_Shaw_III
Stephen_King,Joe_Hill_(writer)
Thaksin_Shinawatra,Panthongtae_Shinawatra
William_Henry_Vanderbilt,Eliza_Osgood_Vanderbilt_Webb
Janet_Leigh,Kelly_Curtis
Paul_Newman,Scott_Newman_(actor)
Hideki_Takahashi,Maasa_Takahashi
Oakley_Hall,Sands_Hall
Faizur_Rahman_(police_officer),Ahsan_Habib_(cartoonist)
John_Arrillaga,Laura_Arrillaga-Andreessen
Bill_Landeryou,Andrew_Landeryou
Sergey_Shoygu,Yulia_Shoygu
Klara_Hitler,Adolf_Hitler
Ned_Stark,Bran_Stark
Stephen_Edward_Smith,William_Kennedy_Smith
Soong_Mei-ling,Chiang_Wei-kuo
Esther_Victoria_Abraham,Haidar_Ali_(actor)
Bharadwaja,Drona
Lawrence_Kasdan,Jon_Kasdan
Ruby_Dee,Guy_Davis_(musician)
Hugh_Horner,Doug_Horner
Gladys_Adda,Serge_Adda
Kunti,Bhima
Thomas_F._Frist_Sr.,Thomas_F._Frist_Jr.
William_Huntington_(Mormon),Zina_D._H._Young
Leo_Wyatt,Chris_Halliwell
Eileen_Ryan,Sean_Penn
Christopher_Wordsworth_(Trinity),Charles_Wordsworth
Zhou_Xinfang,Michael_Chow_(restaurateur)
Adolphe_Lafargue,Alvan_Lafargue
Johann_Friedrich_Lübbering,Oscar_Brockmeyer
Donald_P._Bellisario,Michael_Bellisario
Eric_Trolle,Gustav_Trolle
Derek_Royle,Amanda_Royle
Cintio_Vitier,José_María_Vitier
John_Francis_Dodge,Frances_Dodge
Garry_Weston,Guy_Weston
Jacqueline_Desmarais,André_Desmarais
Morgan_Freeman,Alfonso_Freeman
Charles_Carroll_the_Settler,Charles_Carroll_of_Annapolis
Lakhumal_Hiranand_Hiranandani,Niranjan_Hiranandani
John_Kotelawala_Sr,Justin_Kotalawela
Khoo_Kay_Kim,Mavin_Khoo
Solomon_Benedict_de_Worms,"George_de_Worms,_2nd_Baron_de_Worms"
Lennart_Hjulström,Niklas_Hjulström
Wen_Qimei,Mao_Zedong
Sally_Hemings,Eston_Hemings
Carmine_Coppola,Francis_Ford_Coppola
Rufus_King,Edward_King_(Ohio_politician)
Liu_Huaqing,Liu_Zhuoming
"Edward_Astley,_22nd_Baron_Hastings","Delaval_Astley,_23rd_Baron_Hastings"
Thomas_Killam,Frank_Killam
Leonard_Lewisohn_(philanthropist),Jesse_Lewisohn
William_Allan_(banker),George_William_Allan
Abigail_Fillmore,Millard_Powers_Fillmore
George_Mason_I,George_Mason_II
Savitri_Jindal,Naveen_Jindal
Abigail_Kapiolani_Kawānanakoa,Edward_A._Kawānanakoa
Robert_Stirling,Patrick_Stirling
Richard_Isay,David_Isay
Alan_Scarfe,Jonathan_Scarfe
Roseanne_Barr,Roseanne_Barr
Kevin_Bacon,Sosie_Bacon
Eliodoro_Matte_Ossa,Eliodoro_Matte
Philip_Danforth_Armour,J._Ogden_Armour
Abdul_Razak_Hussein,Nazir_Razak
Eddie_Fisher_(singer),Joely_Fisher
Olle_Westling,"Prince_Daniel,_Duke_of_Västergötland"
Irwin_Steingut,Stanley_Steingut
"Thomas_Grey,_1st_Marquess_of_Dorset",Richard_Grey
Janusz_Radziwiłł_(1880–1967),Stanisław_Albrecht_Radziwiłł
Charles_Richard_Fairey,John_Fairey
Beryl_Vertue,Sue_Vertue
Thora_Hird,Janette_Scott
Theodore_Roosevelt,Quentin_Roosevelt
Jane_Hawking,Lucy_Hawking
Peter_L._Pond,Arn_Chorn-Pond
Leo_Ornstein,Severo_Ornstein
Alexander_Haig,Brian_Haig
Jürgen_Kuczynski,Thomas_Kuczynski
Sarah_Fairbrother,Adolphus_FitzGeorge
Arlene_Dahl,Lorenzo_Lamas
Wu_Tingfang,Wu_Chaoshu
Wee_Kheng_Chiang,Wee_Cho_Yaw
Firouz_Nosrat-ed-Dowleh_III,Mozaffar_Firouz
Cabell_Breckinridge,John_C._Breckinridge
John_Nevil_Maskelyne,Nevil_Maskelyne_(magician)
Greg_Morris,Phil_Morris_(actor)
Vinay_Chandra_Maudgalya,Mukul_Mudgal
Francis_Bell_(New_Zealand_politician),Cheviot_Wellington_Rangi_Dillon_Bell
Debbie_Arnold,Ciara_Janson
Lee_Phillip_Bell,Bradley_Bell
James_H._Ganong,Arthur_D._Ganong
Aung_San,Aung_San_Oo
Elijah_Paine,Charles_Paine
June_Lockhart,Anne_Lockhart_(actress)
John_Brice_Jr.,James_Brice
Michael_Thomas_Bass_(1760–1827),Michael_Thomas_Bass
Siân_Phillips,Kate_O'Toole_(actress)
Shobhna_Samarth,Tanuja
Jarl_Kulle,Maria_Kulle
William_Hinds,Anthony_Hinds
Paul_Teutul_Sr.,Michael_Teutul
Dan_La_Botz,Jake_La_Botz
Malaysia_Vasudevan,Prashanthini
Benjamin_Day_(publisher),"Benjamin_Henry_Day,_Jr."
Harriet_Nelson,David_Nelson_(actor)
Daniel_Ducruet,Pauline_Ducruet
Nathan_Mileikowsky,Benzion_Netanyahu
Benito_Mussolini,Bruno_Mussolini
Sergei_Bondarchuk,Natalya_Bondarchuk
N._Veeraswamy,V._Ravichandran
Ben_Vereen,Usher_(singer)
"David_Ogilvy,_9th_Earl_of_Airlie","David_Ogilvy,_10th_Earl_of_Airlie"
Oliver_Cromwell,Richard_Cromwell
Abul_Fateh,Eenasul_Fateh
Hitendra_Thakur,Kshitij_Thakur
Kathleen_Lockhart,June_Lockhart
Robert_M._La_Follette_Sr.,Robert_M._La_Follette_Jr.
Jean_Drucker,Marie_Drucker
Wang_Yeping,Jiang_Mianheng
William_Holland_Wilmer,Richard_Hooker_Wilmer
Gaius_Julius_Caesar_(Rome_character),Caesarion
Fuad_Char,Arturo_Char_Chaljub
Rose_Kennedy,Robert_F._Kennedy
Carine_Roitfeld,Julia_Restoin_Roitfeld
Grant_Notley,Rachel_Notley
"George_Calvert,_1st_Baron_Baltimore",Phillip_Calvert_(governor)
"George_Calvert,_1st_Baron_Baltimore",Leonard_Calvert
Yedidia_Shofet,David_Shofet
William_Gannaway_Brownlow,James_Patton_Brownlow
Adrien_de_Gerlache,Gaston_de_Gerlache
Jonathan_Sewall,Jonathan_Sewell
John_Derek,Sean_Catherine_Derek
Leslie_Stemmons,John_M._Stemmons
Eleanor_Calvert,Eleanor_Parke_Custis_Lewis
George_Bryson_Sr.,John_Bryson_(Canadian_politician)
Vannozza_dei_Cattanei,Gioffre_Borgia
Serafin_Baroja,Pío_Baroja
Nikal-mati,Ašmu-nikal
Gopal_Chhotray,Devdas_Chhotray
Lila_Mayoral_Wirshing,Juan_Eugenio_Hernández_Mayoral
Lewis_Nixon_(naval_architect),Stanhope_Wood_Nixon
Roger_Cukierman,Edouard_Cukierman
Catherine_Deneuve,Christian_Vadim
Tessa_Kennedy,Cassian_Elwes
Omchery_N._N._Pillai,Deepti_Omchery_Bhalla
Henry_Lamb,Henrietta_Phipps
Fabio_Ochoa_Restrepo,Juan_David_Ochoa_Vásquez
"Michael_Martin,_Baron_Martin_of_Springburn",Paul_Martin_(Scottish_politician)
Michael_Colle,Josh_Colle
Dallas_Lore_Sharp,Waitstill_Sharp
Bill_Cosby,Erika_Cosby
Shankarrao_Chavan,Ashok_Chavan
Daniel_C._Roper,John_W._Roper
Santo_Trafficante_Sr.,Santo_Trafficante_Jr.
Christopher_Stone_(actor),Gabrielle_Stone
Lu_Muzhen,Sun_Fo
David_Fleeshman,Emily_Fleeshman
Cecilie_Thoresen_Krog,Helge_Krog
"Hermione_Cobbold,_Baroness_Cobbold","David_Lytton-Cobbold,_2nd_Baron_Cobbold"
Zavida,Stracimir_Zavidović
Francesco_Cossiga,Giuseppe_Cossiga
Paul_Desmarais,"Paul_Desmarais,_Jr."
Michel_de_Sallaberry,Ignace-Michel-Louis-Antoine_d'Irumberry_de_Salaberry
"Henry_Scott,_3rd_Duke_of_Buccleuch","Charles_Montagu-Scott,_4th_Duke_of_Buccleuch"
Viktoria_Brezhneva,Galina_Brezhneva
Charles_Holland_Duell,Holland_S._Duell
Charles-Gaspard_de_la_Rive,Auguste_Arthur_de_la_Rive
Cheri_Honkala,Mark_Webber_(actor)
Edward_S._Rogers_Sr.,Edward_Samuel_Rogers
Terence_Conran,Jasper_Conran
H._H._Asquith,Herbert_Asquith_(poet)
Shiranthi_Rajapaksa,Yoshitha_Rajapaksa
Sara_Nazarbayeva,Dariga_Nazarbayeva
Edgar_J._Kaufmann,"Edgar_Kaufmann,_Jr."
Ryland_Fletcher,Henry_A._Fletcher
Stanley_Ho,Josie_Ho
Richard_Seddon,Tom_Seddon
Benjamin_Newton_Duke,Mary_Duke_Biddle
Chitra_Bhattacharya,Debapriya_Bhattacharya
"Matilda_of_Chester,_Countess_of_Huntingdon","Margaret_of_Huntingdon,_Lady_of_Galloway"
Thomas_Lincoln,Abraham_Lincoln
Gregorio_Fernandez,Rudy_Fernandez_(actor)
Blythe_Danner,Gwyneth_Paltrow
Joseph_Cahill,Tom_Cahill_(Australian_politician)
John_Hervey_Crozier,Lizzie_Crozier_French
Dorothy_Kitson,Robert_Pakington
Merryle_Rukeyser,William_S._Rukeyser
Foster_Hewitt,Bill_Hewitt_(sportscaster)
Bembol_Roco,Felix_Roco
Henry_James_Emmett,Edward_Nucella_Emmett
Jean-Antoine_Panet,Philippe_Panet
Luiz_R._S._Simmons,Rachel_Simmons
Vito_Corleone,Michael_Corleone
Bruce_Burnside,Robert_Bruce_Burnside
Bharath_Gopi,Murali_Gopy
George_Huddleston,"George_Huddleston,_Jr."
John_Moore_(Scottish_physician),Graham_Moore_(admiral)
Roxy_LeBlanc,Trevor_LeBlanc
Charles_Scribner_III,Charles_Scribner_IV
Seán_Lemass,Maureen_Haughey
Anil_Dharker,Ayesha_Dharker
Clyde_Haberman,Maggie_Haberman
Tai_Chi-tao,Chiang_Wei-kuo
Imam_Baksh_Pahalwan,Aslam_Pahalwan
"George_Villiers,_1st_Duke_of_Buckingham","Mary_Stewart,_Duchess_of_Richmond"
Winnie_Ewing,Annabelle_Ewing
Lau_Wong-fat,Kenneth_Lau
Anisa_Makhlouf,Bushra_al-Assad
Tarzan,Korak_(character)
Christopher_Columbus,Ferdinand_Columbus
Danilo_Suarez,David_C._Suarez
William_McGillivray,William_McGillivray
Tony_Magnusson,Cheyne_Magnusson
Jocelyn_Hambro,Rupert_Hambro
Tom_Hanks,Colin_Hanks
Kuli_Faletau,Taulupe_Faletau
Daniel_James_(businessman),William_Dodge_James
"Jane_Harley,_Countess_of_Oxford_and_Countess_Mortimer","Alfred_Harley,_6th_Earl_of_Oxford_and_Earl_Mortimer"
Irving_Wallace,Amy_Wallace
Wim_Duisenberg,Pieter_Duisenberg
Maud_Chaworth,"Henry_of_Grosmont,_1st_Duke_of_Lancaster"
Marie_Françoise_Catherine_de_Beauvau-Craon,Stanislas_de_Boufflers
Lynne_Franks,Josh_Howie
"Henrietta_Godolphin,_2nd_Duchess_of_Marlborough","William_Godolphin,_Marquess_of_Blandford"
Charlotte_von_Rothschild,Alfred_de_Rothschild
Mary_Margaret_Blanchard,Emma_Swan
Virata,Uttarā_(Mahabharata)
Pandurang_Pundalik_Fundkar,Akash_Pandurang_Fundkar
Julio_Argentino_Roca,Julio_Argentino_Pascual_Roca
Franz_Boas,Franziska_Boas
Charles_Chaplin_Sr,Sydney_Chaplin
Richard_Benjamin_Harrison,Rick_Harrison
Victor_Gladu,Joseph_Ernest_Oscar_Gladu
Mary_Ure,Ian_Shaw_(actor)
Preben_Kaas,Nikolaj_Lie_Kaas
Mayer_Amschel_Rothschild,Nathan_Mayer_Rothschild
Jean-Henry-Louis_Greffulhe,Louis-Charles_Greffulhe
Smita_Patil,Prateik_Babbar
William_Robert_Spencer,George_Spencer_(bishop)
Vladimir_Menshov,Yuliya_Menshova
Recep_Tayyip_Erdoğan,Bilal_Erdoğan
Howard_Hawks,Kitty_Hawks
John_Lennon,Sean_Lennon
John_Cassavetes,Alexandra_Cassavetes
Thomas_Bewick,Jane_Bewick
William_Zeckendorf,"William_Zeckendorf,_Jr."
Malcolm_Forbes,Christopher_Forbes
John_Thornton_Augustine_Washington,Benjamin_Franklin_Washington
A._A._Milne,Christopher_Robin_Milne
Tony_Richardson,Joely_Richardson
Mileva_Marić,Hans_Albert_Einstein
"Mildmay_Fane,_2nd_Earl_of_Westmorland","Vere_Fane,_4th_Earl_of_Westmorland"
John_Kerry,Alexandra_Kerry
Kenneth_Hahn,James_Hahn
Urszula_Dudziak,Mika_Urbaniak
Lewis_J._Selznick,Myron_Selznick
"Maurice_Roche,_4th_Baron_Fermoy","Edmund_Roche,_5th_Baron_Fermoy"
John_Egerton_(bishop),"Francis_Egerton,_8th_Earl_of_Bridgewater"
Ronald_Reagan,Michael_Reagan
Ole_Michael_Ludvigsen_Selberg,Sigmund_Selberg
Joris_Jansen_Rapelje,Sarah_Rapelje
Ernestine_Bowes-Lyon,"Raymond_Grant,_11th_Baron_de_Longueuil"
Lillian_Disney,Diane_Disney_Miller
Victoria_Aitken,Lady_Eliza_Spencer
Vladimir_Harkonnen,Lady_Jessica
Shari_Lewis,Mallory_Lewis
Cecil_B._DeMille,Richard_de_Mille
Josceline_Dimbleby,Henry_Dimbleby
Margery_Wentworth,Henry_Seymour_(16th-century_MP)
R._C._Lehmann,John_Lehmann
Frederick_Boland,Eavan_Boland
Louis_Marshall,Bob_Marshall_(wilderness_activist)
Alphonse_James_de_Rothschild,Édouard_Alphonse_James_de_Rothschild
Daboo_Malik,Amaal_Mallik
Stan_Kroenke,Josh_Kroenke
Frederick_Dent_Grant,Julia_Dent_Cantacuzène_Spiransky-Grant
Jacqueline_Mars,Stephen_M._Badger
Frances_Ford_Seymour,Jane_Fonda
"Charles_Morgan,_1st_Baron_Tredegar","Godfrey_Morgan,_1st_Viscount_Tredegar"
Dicky_Zulkarnaen,Nia_Zulkarnaen
Lawrence_Washington_(1659–1698),Augustine_Washington
Charles_Stewart_Mott,Stewart_Rawlings_Mott
Alan_Eppes,Don_Eppes
Eli_Oberstein,Maurice_Oberstein
Rudyard_Kipling,Elsie_Bambridge
Milorad_Drašković,Milorad_M._Drachkovitch
Herman_Ehrlich,Hugo_Ehrlich
Bill_Myrick,Bellinda_Myrick
Ann_Dunham,Barack_Obama
James_Heller,Audrey_Raines
Hubert_Lawrence_Anthony,Doug_Anthony
Lois_Andrews,Kevin_Brodie
Malin_Ek,Elin_Klinga
James_Madison_Sr.,James_Madison
Arthur_MacArthur_Sr.,Arthur_MacArthur_Jr.
Ned_Stark,Sansa_Stark
Narciso_Ramos,Leticia_Ramos-Shahani
Samuel_A._Foot,Andrew_Hull_Foote
Hans_Kristian_Seip,Jens_Arup_Seip
Loudon_Wainwright_Jr.,Sloan_Wainwright
Johnston_Forbes-Robertson,Jean_Forbes-Robertson
Pavlos_Giannakopoulos,Dimitrios_Giannakopoulos
Alice_Claypoole_Gwynne,Alfred_Gwynne_Vanderbilt_I
Carmela_Corleone,Connie_Corleone
Bengt_Eklund,Klas_Eklund
Barney_Rubble,Bamm-Bamm_Rubble
Gudrun_Fiil,Kirstine_Fiil
Sergio_Osmeña_Jr.,Sergio_Osmeña_III
Elizabeth_McCombs,Terry_McCombs
Rick_Levin,Jonathan_Levin_(economist)
"Charles_Cornwallis,_1st_Marquess_Cornwallis","Charles_Cornwallis,_2nd_Marquess_Cornwallis"
José_Ferrer,Rafael_Ferrer_(actor)
Omar_Ali_Saifuddien_III,Hassanal_Bolkiah
Herbert_Marcus,Lawrence_Marcus
Ava_Lowle_Willing,Vincent_Astor
Sylvia_Syms,Beatie_Edney
Frederick_Frelinghuysen_(general),John_Frederick_Frelinghuysen
Yang_Zongbao,Yang_Wenguang
Soichiro_Honda,Hirotoshi_Honda
Jagdish_Mali,Antara_Mali
Mamata_Shankar,Ratul_Shankar
Richard_Attenborough,Michael_Attenborough
Frank_Griffiths,Arthur_Griffiths_(businessman)
Apil-Sin,Sin-Muballit
Tom_Burke_(Australian_politician),Terry_Burke
Teresa_Carpio,T.V._Carpio
Orson_Welles,Beatrice_Welles
S._P._Adithanar,Sivanthi_Adithan
Bryan_Forbes,Emma_Forbes
Sybil_Christopher,Kate_Burton_(actress)
Guillermo_Valencia,Josefina_Valencia_Muñoz
John_D._Rockefeller_Jr.,Nelson_Rockefeller
Sumitro_Djojohadikusumo,Hashim_Djojohadikusumo
Alejandro_Végh_Villegas,Carlos_A._Vegh
Karol_Stanisław_Radziwiłł_(1669–1719),Hieronim_Florian_Radziwiłł
Sergey_Mikhalkov,Andrei_Konchalovsky
Thomas_Cresap,Michael_Cresap
Angus_L._Bonnycastle,Richard_H._G._Bonnycastle
"Robert_Grosvenor,_1st_Marquess_of_Westminster","Richard_Grosvenor,_2nd_Marquess_of_Westminster"
Susanna_Wesley,Samuel_Wesley_(the_Younger)
Marlène_Jobert,Eva_Green
Neil_Kinnock,Stephen_Kinnock
Eliphalet_Lockwood_(deacon),"John_Betts,_Jr."
Harold_A._Lafount,Lenore_Romney
Gena_Rowlands,Alexandra_Cassavetes
Mohan_Babu,Lakshmi_Manchu
Noli_de_Castro,Kat_de_Castro
Robert_Coover,Sara_Caldwell
Linda_McCartney,Stella_McCartney
Ashikaga_Yoshimitsu,Ashikaga_Yoshimochi
Hope_Portocarrero,Anastasio_Somoza_Portocarrero
William_Charles_Achi,"William_Charles_Achi,_Jr."
L._L._Zamenhof,Lidia_Zamenhof
Scotty_Moylan,Kurt_Moylan
Anna-Greta_Leijon,Britta_Lejon
Gurbax_Singh_Malhi,Harinder_Malhi
Harald_Thaulow,Frits_Thaulow
Stan_Freese,Jason_Freese
Patrick_Enthoven,Dick_Enthoven
Jane_Randolph_Jefferson,Thomas_Jefferson
Lawrence_Washington_(1602–1653),John_Washington
Betty_Hemings,John_Hemings
Nicholas_J._Sandlin,John_N._Sandlin
Loretta_Young,Christopher_Lewis
José_Coronel_Urtecho,Manuel_Coronel_Kautz
Al_Lerner,Randy_Lerner
Ngalama,Ngombala
Charlotte_von_Rothschild,Leopold_de_Rothschild
Mary_Benson,Margaret_Benson
Tyrone_Power,Romina_Power
Ganpatrao_Jadhav,Pratapsinh_Jadhav
Alfonso_Arau,Sergio_Arau
"George_de_Worms,_2nd_Baron_de_Worms",Anthony_Denis_Maurice_George_de_Worms
John_Casablancas,Julian_Casablancas
George_H._W._Bush,Jeb_Bush
"Sir_Charles_Tennant,_1st_Baronet","Thomas_Lister,_4th_Baron_Ribblesdale"
Nathan_Bedford_Forrest_II,Nathan_Bedford_Forrest_III
Marlene_Griggs-Knope,Leslie_Knope
Margarita_Isabel,Mario_Iván_Martínez
Stephen_Murray-Smith,Joanna_Murray-Smith
Malachi_Throne,Zachary_Throne
José_María_Fernández_Unsáin,Chantal_Andere
Adrian_Monk,List_of_Monk_characters
Sudhamoy_Pramanick,Diptendu_Pramanick
Ildebrando_Zacchini,Hugo_Zacchini
William_the_Silent,William_the_Silent
Virgilio_Dávila,José_Antonio_Dávila
Lidian_Jackson_Emerson,Edward_Waldo_Emerson
"Georgiana_Cavendish,_Duchess_of_Devonshire",Eliza_Courtney
Ikbal_Ali_Shah,Idries_Shah
Edward_deGraffenried,"Ryan_DeGraffenried,_Sr."
Elżbieta_Barszczewska,Juliusz_Wyrzykowski
