1989_(Ryan_Adams_album),Ryan_Adams
The_Handmaid's_Tale_(film),Margaret_Atwood
A_Grand_Night_for_Singing,Oscar_Hammerstein_II
"Bring_in_'da_Noise,_Bring_in_'da_Funk",George_C._Wolfe
Dastardly_and_Muttley_in_Their_Flying_Machines,Paul_Winchell
Frasier_(season_7),Jay_Kogen
Red_Sorghum_(film),Mo_Yan
Victoria_(1972_film),Henry_James
The_Merchant_of_Venice_(1969_film),Orson_Welles
The_Wild_Pony,Hagood_Hardy
Telling_Stories_with_Tomie_dePaola,Tomie_dePaola
Broadway_Limited_(Boardwalk_Empire),Margaret_Nagle
Cat_on_a_Hot_Tin_Roof_(1958_film),Tennessee_Williams
My_Fair_Lady,George_Bernard_Shaw
The_Thorn_Birds:_The_Missing_Years,Colleen_McCullough
Dead_On:_The_Life_and_Cinema_of_George_A._Romero,Stephen_King
Mannequin_Two:_On_the_Move,David_Isaacs_(writer)
Shōgun_(miniseries),James_Clavell
The_Wizard_of_Oz_(1987_musical),L._Frank_Baum
Acid_Eaters,Bob_Dylan
The_Red_Rope,Johnston_McCulley
Revenge_of_the_Nerds_IV:_Nerds_in_Love,Robert_Carradine
The_Sorcerer's_Apprentice_(1955_film),Johann_Wolfgang_von_Goethe
Star_Wars:_The_Clone_Wars_(2008_TV_series),George_Lucas
Plain_Truth_(film),Jodi_Picoult
Parrot_Sketch_Not_Included_–_20_Years_of_Monty_Python,Eric_Idle
When_a_Woman's_Fed_Up,R._Kelly
Salad_Days_(musical),Julian_Slade
Encore:_Movie_Partners_Sing_Broadway,Jamie_Foxx
Meet_the_Browns_(film),Tyler_Perry
The_Books_of_Magic,Neil_Gaiman
Angels_in_America_(miniseries),Patrick_Wilson_(American_actor)
Jushin_Liger_(anime),Toshiki_Inoue
Dandelion_Wine_(film),Ray_Bradbury
Up_the_Women,Georgia_Groome
A_Good_Man_Goes_to_War,Steven_Moffat
Klutter!,Savage_Steve_Holland
Attack_on_Fear,Paul_Michael_Glaser
A_Place_Called_Chiapas,Subcomandante_Marcos
Remember_(John_Lennon_song),John_Lennon
Beautiful_Stranger,Madonna_(entertainer)
Riding_the_Bus_with_My_Sister,Joyce_Eliason
Three_Sailors_and_a_Girl,George_S._Kaufman
Hands_Across_the_Table,Norman_Krasna
Alien_Ant_Farm:_Live_in_Germany,Michael_Jackson
Four_Girls_in_Town,Jack_Sher
Evil_Under_the_Sun_(1982_film),Agatha_Christie
Kingdom_Hospital,Stephen_King
Under_the_Dome_(TV_series),Stephen_King
Murder_Ahoy!,Agatha_Christie
Summer_Holiday_(The_Young_Ones),Rik_Mayall
Port_of_Escape,Abby_Mann
Hills_of_Hate,E._V._Timms
ER_(season_2),Barnet_Kellman
Chaos;Head_(anime),Toshiki_Inoue
Möbius_(film),Éric_Rochant
Honest_(film),Ian_La_Frenais
"It's_Alright,_Ma_(I'm_Only_Bleeding)",Bob_Dylan
Shakespeare_in_Love,Tom_Stoppard
The_Stolen_Children,Sandro_Petraglia
Carrie_(musical),Stephen_King
Oz_(TV_series),Rita_Moreno
Guess_Who_(film),Peter_Tolan
Sole_Survivor_(2000_film),Dean_Koontz
School_Daze,Ossie_Davis
Lovecraft's_Providence_and_Adjacent_Parts,H._P._Lovecraft
Snow_White:_The_Sequel,Tony_Hendra
The_Night_They_Raided_Minsky's,Charles_Strouse
Taz-Mania,Tom_Ruegger
Madea's_Family_Reunion,Tyler_Perry
List_of_The_Late_Show_with_Stephen_Colbert_episodes_(2015),Stephen_King
My_Sin,George_Abbott
Mujeres_de_nadie,Adrián_Suar
Seasons_(Bing_Crosby_album),Oscar_Hammerstein_II
Chinga_(The_X-Files),Stephen_King
Sailor_Beware!_(1956_film),Philip_King_(playwright)
Sgt_–_Save_My_Boy!,David_Croft_(TV_producer)
Hangman's_Knot,Roy_Huggins
(I_Can't_Make_It)_Another_Day,Michael_Jackson
Sharpe's_Justice,Dominic_Muldowney
Look_Back_in_Anger_(1959_film),John_Osborne
Peppa_Pig,Andy_Hamilton
Starship_Titanic,Douglas_Adams
Clubbin',R._Kelly
What_We_Did_on_Our_Holiday,Andy_Hamilton
Trash-O-Madness,Pat_Irwin
Bad_Boyes,Lila_Kaye
A_que_no_me_dejas,Alfredo_Adame
Diva_(Glee),Brad_Falchuk
Giant_Robot_(Buckethead_album),Leslie_Bricusse
The_Guardian_(TV_series),Wendy_Moniz
CBS_Playhouse,Robert_Butler_(director)
"Thanks_for_the_Memory:_The_Great_American_Songbook,_Volume_IV",Alan_Jay_Lerner
Dream_Street_(Janet_Jackson_album),Janet_Jackson
Les_Parents_terribles_(film),Jean_Cocteau
Privilege_(film),Jean_Shrimpton
Hellcats,Kevin_Murphy_(screenwriter)
Patriotism_(film),Yukio_Mishima
Lady_Bump_(album),Michael_Kunze
Haunting_Sarah,Kim_Raver
Maggie_May_(musical),Lionel_Bart
Turnabout_Intruder,Gene_Roddenberry
The_Passing_of_the_Third_Floor_Back_(1918_film),Jerome_K._Jerome
Heads_Will_Roll_(Under_the_Dome),Stephen_King
Carousel_(film),Oscar_Hammerstein_II
The_Singles_(Pretenders_album),Robert_Christgau
Question_Time_George_Galloway_in_Finchley_controversy,David_Dimbleby
Rocky_Mountain_Holiday__with_John_Denver_and_The_Mu__1,Frank_Oz
Ethnohistory_(journal),Matthew_Restall
Ghare_Baire_(film),Satyajit_Ray
The_Speckled_Band_(1931_film),Arthur_Conan_Doyle
The_Charm_of_La_Boheme,Ernst_Marischka
A_Day_in_the_Death,Joseph_Lidster
The_Window_Over_the_Way,Georges_Simenon
Ask_the_Angels,Patti_Smith
The_Haunted_Palace,H._P._Lovecraft
Seven_Keys_to_Baldpate_(1916_film),Earl_Derr_Biggers
The_Devil's_Foot,Arthur_Conan_Doyle
Runaway_Ralph,Louis_Darling
Something's_Coming_(Desperate_Housewives),John_Pardee
Say_No_to_This,Lin-Manuel_Miranda
His_Picture_in_the_Papers,Anita_Loos
Sky_Trackers,Tony_Morphett
The_Spirit_of_the_Age,William_Cobbett
Dylan_(1973_album),Bob_Dylan
Music_of_Air,Jun_Maeda
Breaking_Up_(1985_film),Nick_Enright
Good_Deeds,Tyler_Perry
Revelation_(2001_film),Stuart_Urban
The_Mohole_Mystery,Leslie_Wood_(illustrator)
People_Have_the_Power,Patti_Smith
Eureka!_(video_game),Ian_Livingstone
Ninja_Assassin,J._Michael_Straczynski
Nayak_(1966_film)__Nayak__1,Satyajit_Ray
Sons_of_the_Sea_(Dad's_Army),David_Croft_(TV_producer)
Merry_Christmas_from_Sesame_Street,Jon_Stone
Britain's_Next_Top_Model,Dannii_Minogue
The_Coral_Sea_(album),Patti_Smith
By_Jeeves,Andrew_Lloyd_Webber
Go_Go_Swing_Live,Dorothy_Fields
Lady_Be_Good_(1941_film),Oscar_Hammerstein_II
Alapalooza:_The_Videos,%22Weird_Al%22_Yankovic
Outnumbered,Guy_Jenkin
Life_(1999_short_film),Mo_Willems
A_Piano_for_Mrs._Cimino,Tony_Converse
Esmeralda_(Brazilian_telenovela),Delia_Fiallo
Courage_the_Cowardly_Dog,Thea_White
The_White_Shadow_(TV_series),Marc_Norman
Utaite_Myōri:_Sono_Ichi,Hans_Christian_Andersen
Command_Decision_(Dad's_Army),David_Croft_(TV_producer)
Disaster_on_the_Coastliner,Frank_von_Zerneck
Murder_Ahoy!,Agatha_Christie
Son_of_Batman,Joe_R._Lansdale
Phantoms_(film),Dean_Koontz
CB4,Chris_Elliott
The_Stonewall_Celebration_Concert,Stephen_Sondheim
Hyperkind,Clive_Barker
Kanchenjungha_(film),Satyajit_Ray
Mujigen_Hunter_Fandora__novel__1,Go_Nagai
Changeling_(album),Nick_Cave
The_Bachelor_and_the_Bobby-Soxer,Sidney_Sheldon
Too_Much_Rain,Paul_McCartney
Mirror_Ball_(Neil_Young_album),Neil_Young
Dragon_Quest_Builders,Akira_Toriyama
Ass_Backwards,Bob_Odenkirk
It's_Bad_for_Ya,George_Carlin
Spenser:_For_Hire,Robert_B._Parker
Romance_(David_Cassidy_album),David_Cassidy
The_Legend_of_Broken_Sword,Gu_Long
The_Funtastic_World_of_Hanna-Barbera_(ride),William_Hanna
Designs_on_Jerry,Joseph_Barbera
The_Panic_in_Needle_Park,Joan_Didion
The_Man_from_the_Diners'_Club,William_Peter_Blatty
The_Magic_Crystal,Wong_Jing
Los_Ángeles_de_Estela,Jorge_Zabaleta
When_the_Wind_Blows_(1986_film),Raymond_Briggs
The_Flying_Fox_of_Snowy_Mountain_(1978_film),Jin_Yong
Fez_–_Being_Born,Brian_Eno
Series_of_Dreams,Bob_Dylan
The_Secret_Adversary_(film),Agatha_Christie
Top_Gear:_Botswana_Special,James_May
Ultra_Galaxy_Mega_Monster_Battle,Hiroyuki_Konishi
11.22.63,Stephen_King
Call_Me_Joe,Frank_Kelly_Freas
Sleepwalkers_(film),Stephen_King
Close_to_the_Edge,Robert_Christgau
Department_S_(TV_series),Terry_Nation
Watusi_(film),H._Rider_Haggard
Cher..._Special,Dolly_Parton
Sleep_(film),Andy_Warhol
Windfall_(TV_series),Mark_B._Perry
These_Are_the_Voyages...,William_Shatner
Passchendaele_(film),Paul_Gross
"Sakura_Wars:_So_Long,_My_Love",Kōsuke_Fujishima
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1976),Jim_Henson
Head_(Blackadder),Ben_Elton
Annie_Get_Your_Gun_(film),Sidney_Sheldon
Booker_(TV_series),Stephen_J._Cannell
Ronnie_Rocket,David_Lynch
Suicide_Kings,Peter_O'Fallon
Phenom_(TV_series),James_L._Brooks
Another_Period,David_Wain
Queen_of_the_Boulevards,Honoré_de_Balzac
The_Pit_and_the_Pendulum_(1961_film),Richard_Matheson
Cold_in_July_(film),Sam_Shepard
The_Books_of_Faerie,Neil_Gaiman
Friendship_(Ray_Charles_album),Willie_Nelson
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1988),George_Carlin
Woops!,Tony_Thomas_(producer)
Hold_Tight_(Madonna_song),Madonna_(entertainer)
Mars_Needs_Moms,Seth_Green
Kings_of_Speed,Michael_Moorcock
You_Will_Meet_a_Tall_Dark_Stranger,Woody_Allen
The_Sensual_World_(song)__Flower_of_the_Mountain__1,James_Joyce
Attica!,Robert_Christgau
General_Hospital:_Twist_of_Fate,Maurice_Benard
Thorpe_Park_(The_Inbetweeners),Damon_Beesley
Midhya,M._T._Vasudevan_Nair
Die_Mutter,Bertolt_Brecht
The_Shining_(miniseries),Stephen_King
E.L.E._(Extinction_Level_Event):_The_Final_World_Front,Robert_Christgau
The_Creature_from_the_Pit,Douglas_Adams
"Danny,_the_Champion_of_the_World_(film)",Roald_Dahl
Every_Day's_a_Holiday_(1937_film),Mae_West
The_English_Patient,Cecil_Beaton
Jack_the_Writer,Keith_Powell
Right_Here_(Justin_Bieber_song),Justin_Bieber
The_Seven-Per-Cent_Solution_(film),Arthur_Conan_Doyle
Jurassic_Park_(song),%22Weird_Al%22_Yankovic
Thoroughly_Modern_Bing,Lenny_Lipton
10_(Wet_Wet_Wet_album),Paul_McCartney
Onion_News_Network,Suzanne_Sena
Little_Nellie_Kelly,George_M._Cohan
Twelve_(2010_film),50_Cent
Gorilla_Warfare_(Dad's_Army),David_Croft_(TV_producer)
The_Wizard_of_Oz_(1987_musical),L._Frank_Baum
Nightmares_&_Dreamscapes:_From_the_Stories_of_Stephen_King,Stephen_King
Never_Forget_(Take_That_song),Jim_Steinman
State_Fair_(1962_film),Pat_Boone
Pictures_of_Perfection,Dalziel_and_Pascoe
A_Christmas_Carol_(Doctor_Who),Steven_Moffat
The_Lawnmower_Man_(film),Stephen_King
King_Nine_Will_Not_Return,Rod_Serling
Studio_60_on_the_Sunset_Strip,Aaron_Sorkin
The_Legend_of_the_Condor_Heroes_(2003_TV_series),Jiang_Qinqin
If_I_Fell__If_I_Fell__1,George_Martin
Her_Imaginary_Lover,A._E._W._Mason
Our_Kind_of_Love_(Andrew_Lloyd_Webber_song),Ben_Elton
City_of_Death,Douglas_Adams
Richie_Rich_Show,Joseph_Barbera
ER_(season_6),Lydia_Woodward
Olympia_(1938_film),Leni_Riefenstahl
A_Mighty_Wind,Christopher_Guest
Parrot_Sketch_Not_Included_–_20_Years_of_Monty_Python,Terry_Jones
Bad_Eggs,Tony_Martin_(comedian)
Big_Bad_World_(TV_series),Caroline_Quentin
The_Birds_and_the_Bees_(film),Sidney_Sheldon
Up_the_Creek_(1984_film),Sandy_Helberg
Médée_(2001_film),Isabelle_Huppert
Romola_(film),George_Eliot
Tokusou_Sentai_Dekaranger,Isao_Sasaki
Exclusively_for_My_Friends,Richard_Rodgers
The_Dead_Zone_(TV_series),Stephen_King
The_Wrong_Trousers,Nick_Park
The_Circus:_Inside_the_Greatest_Political_Show_on_Earth,John_Heilemann
The_Wiz,L._Frank_Baum
Mission:_Impossible_vs._the_Mob,Bruce_Geller
Charade_(1963_film),Peter_Stone
My_Little_Chickadee,Mae_West
Jungle_Girl_(serial),Edgar_Rice_Burroughs
The_Bridge_of_San_Luis_Rey_(1929_film),Thornton_Wilder
Brigadier_Gerard_(film),Arthur_Conan_Doyle
Star_Trek:_The_Next_Generation,Gene_Roddenberry
Hot_Spot_(musical),Stephen_Sondheim
Radio_Ethiopia,Patti_Smith
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1968),Isaac_Asimov
Men_at_Work_(season_2),Barnet_Kellman
Hills_of_Home_(film),Eric_Knight
Mr._District_Attorney_in_the_Carter_Case,Sidney_Sheldon
Kamen_Rider:_The_Next,Toshiki_Inoue
Lamb_(album),Robert_Christgau
Jana_of_the_Jungle,Doug_Wildey
The_Beauty_of_Bath,P._G._Wodehouse
Beneath_the_Surface,RZA
Scrooge_(musical),Charles_Dickens
Chowder_(TV_series),Tara_Strong
"South_Park:_Bigger,_Longer_&_Uncut",Mike_Judge
¡Vivan_los_niños!,Nicandro_Díaz_González
Fever_Pitch_(1997_film),Nick_Hornby
Dandelion_Dead,Sarah_Miles
Getting_to_Know_You_(song),Oscar_Hammerstein_II
I_Wish_I_Were_in_Love_Again,Lorenz_Hart
Cutie_Honey:_The_Live,Go_Nagai
Sarbjit_(film),Sonu_Nigam
Echoes_(TV_series),Maeve_Binchy
The_Crying_Game,Neil_Jordan
Secrets_(1992_American_film),Stephanie_Beacham
The_Empire_Strikes_Back,George_Lucas
Edge_of_the_City,Robert_Alan_Aurthur
List_of_The_Tonight_Show_with_Jay_Leno_episodes_(2000–09),Russell_Brand
My_Summer_with_Des,Arabella_Weir
Gore_Vidal:_The_Man_Who_Said_No,Gore_Vidal
Tarzan_and_the_Golden_Lion,J._Allen_St._John
Himitsu_Sentai_Gorenger,Tōru_Ōhira
The_Venetian_Twins_(musical),Terence_Clarke_(composer)
Pritzker_Military_Presents,Cord_A._Scott
Out_of_Mind:_The_Stories_of_H._P._Lovecraft,H._P._Lovecraft
The_Penal_Colony_(film),Franz_Kafka
Bloody_Wednesday_(film),Philip_Yordan
Superman_(TV_series),Joe_Ruby
Comic_Roots,Alexei_Sayle
Nebulous,Mark_Gatiss
American_Woman_(album),Robert_Christgau
The_Hunt_for_Tony_Blair,Jennifer_Saunders
Chicago_Story,Stu_Phillips_(composer)
Madhubala_–_Ek_Ishq_Ek_Junoon,Abhinav_Shukla
Too_Many_Girls_(musical),Richard_Rodgers
Stuck_in_the_Suburbs,Savage_Steve_Holland
Money_(Blackadder),Ben_Elton
Diary_of_the_Dead_(1976_film),Ruth_Rendell
Omphalos_(film),Greg_Bennick
Trapped_in_a_Purple_Haze,Robin_Dunne
Tales_of_Conan,Conan_the_Barbarian
Dandelion_Wine_(film),Ray_Bradbury
Big_Driver_(film),Richard_Christian_Matheson
Tintorettor_Jishu_(film),Satyajit_Ray
The_Monkey's_Paw_(1923_film),Louis_N._Parker
Human_Target_(1992_TV_series),Danny_Bilson
Just_So_(musical),George_Stiles
Metalocalypse,Brendon_Small
Metalocalypse:_The_Doomstar_Requiem,Mark_Hamill
Watch_the_Throne,RZA
The_Tunnel_(TV_series),Charlotte_Gainsbourg
This_Wheel's_on_Fire,Bob_Dylan
King_Nine_Will_Not_Return,Rod_Serling
The_Radio_Man,Jack_Gaughan
Michel_Strogoff_(1956_film),Jules_Verne
The_Stand:_American_Nightmares,Stephen_King
One_Night_in_Washington,Dizzy_Gillespie
Game_of_Thrones,David_Benioff
Give_In_to_Me,Michael_Jackson
Loved_Ones_(album),Stephen_Sondheim
The_Legend_of_the_Condor_Heroes_(1983_TV_series),Michael_Miu
The_Day_After_Tomorrow_(TV_special),Don_Fellows
Take_This_Waltz_(song),Leonard_Cohen
Her_First_Roman,George_Bernard_Shaw
The_Tailor_of_Panama_(film),John_le_Carré
An_Angel_on_Wheels,René_Barjavel
Something_Borrowed_(Torchwood),Russell_T_Davies
List_of_Conan_episodes_(2012),Rob_Delaney_(comedian)
The_Good_Companions_(1933_film),J._B._Priestley
Love_Make_the_World_Go_Round,Lin-Manuel_Miranda
Kuchh_Jhuki_Palkain,Ekta_Kapoor
Lo_svitato,Dario_Fo
Secrets_of_a_Secretary,George_Abbott
No_Spring_for_Frazer,David_Croft_(TV_producer)
Storefront_Lawyers,Roland_Kibbee
First_Target,Gregory_Harrison
The_Seminar,Ricky_Gervais
Lavender_Castle,Jimmy_Hibbert
A_Storm_in_a_Teacup,Ian_La_Frenais
Harry_O,Anthony_Zerbe
Underfist:_Halloween_Bash,Vanessa_Marshall
Hollywood_North_(film),Matthew_Modine
The_Riddle_of_the_Stinson,Terry_Hayes
Clone_(TV_series),Mark_Gatiss
Dead_On:_The_Life_and_Cinema_of_George_A._Romero,Stephen_King
Hey_Love_(Can_I_Have_a_Word),R._Kelly
Tenspeed_and_Brown_Shoe,Stephen_J._Cannell
James_at_15,Lance_Kerwin
We_Don't_Need_Another_Hero_(Thunderdome),Tina_Turner
Sally_Heathcote:_Suffragette,Bryan_Talbot
Captain_America_(serial),Ronald_Davidson
Whatever_Gets_You_thru_the_Night,John_Lennon
The_Swiss_Family_Robinson_(1975_TV_series),Irwin_Allen
Wallflower_(Diana_Krall_album),Bob_Dylan
The_Last_Heist,Henry_Rollins
Heads_Will_Roll_(Under_the_Dome),Stephen_King
The_Unquiet_Dead,Russell_T_Davies
Antony_and_Cleopatra_(1972_film),William_Shakespeare
The_Tartars,Orson_Welles
Alias_Smith_and_Jones,Glen_A._Larson
American_Vampire,Stephen_King
The_Stand_(miniseries),Stephen_King
Ride_Tonight!,Vilhelm_Moberg
Illusion_of_Gaia,Moto_Hagio
Un_Chien_Andalou,Salvador_Dalí
The_Life_&_Adventures_of_Santa_Claus_(2000_film),L._Frank_Baum
Seven_Deadly_Sins_(miniseries),Pamela_Rabe
Sweet_Sweetback's_Baadasssss_Song,Melvin_Van_Peebles
"Kiss_Me,_Kate",William_Shakespeare
The_Train_Now_Standing,Hugh_Walters_(actor)
Rare_Bird_Alert,Steve_Martin
Sword_of_Blood_and_Valour,Jin_Yong
Fear_Loves_This_Place,Julian_Cope
The_Legend_of_Rockabye_Point,Michael_Maltese
Totto-Chan:_The_Little_Girl_at_the_Window,Chihiro_Iwasaki
No_–_That's_Me_Over_Here!,Graham_Chapman
Pratidwandi,Satyajit_Ray
Neil_Simon's_I_Ought_to_Be_in_Pictures,Neil_Simon
Friends_(The_Beach_Boys_album),Oscar_Hammerstein_II
"Ronia,_the_Robber's_Daughter_(film)",Astrid_Lindgren
The_Showing_Up_of_Corporal_Jones,David_Croft_(TV_producer)
The_Claws_of_Axos,Terrance_Dicks
Richard_III_(1995_film),William_Shakespeare
Dalva,Lee_Holdridge
Kingdom_(2007_TV_series),Stephen_Fry
The_Forgotten_Village,John_Steinbeck
Emil_and_the_Piglet,Astrid_Lindgren
Bellamy's_People,Charlie_Higson
The_O'Reilly_Factor,Bill_O'Reilly_(political_commentator)
Night_Man,Glen_A._Larson
The_Ernie_Kovacs_Show,Barry_Shear
Mindgame_(Doctor_Who),Terrance_Dicks
"Welcome_Back,_Mr._McDonald",Kōki_Mitani
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1973),James_Randi
I_Found_Out,John_Lennon
Dorothea_Angermann,Herbert_Reinecker
Eureeka's_Castle,R._L._Stine
Baby_Geniuses,Steven_Paul
Dead_Man's_Island,Barbara_Eden
Berlin_Blues_(film),Sven_Regener
The_Bounder,George_Cole_(actor)
Star_Maidens,Christian_Quadflieg
Die_Hard,Steven_E._de_Souza
Tal_como_somos,Julissa
The_Sealed_Room,Edgar_Allan_Poe
Sword_Stained_with_Royal_Blood_(1982_film),Jin_Yong
Where_I_Live,Flex_Alexander
Elvis_(1979_film),John_Carpenter
The_Falklands_Play,Patricia_Hodge
Smuggling_Booze_in_the_Graveyard,RZA
Frontier_in_Space,Terrance_Dicks
The_New_Bob_Cummings_Show,Roland_Kibbee
The_Sign_of_Four_(1932_film),Arthur_Conan_Doyle
"To_Sir,_with_Love",James_Clavell
Eradu_Rekhegalu,K._Balachander
Kongi's_Harvest_(film),Ossie_Davis
Gormenghast_(TV_serial),Andy_Wilson_(director)
Giles_(Buffy_comic),Christopher_Golden
The_Million_Pound_Note,Mark_Twain
God_Only_Knows,Brian_Wilson
The_Tricky_Master,Wong_Jing
A_Master_Builder,Henrik_Ibsen
Enter_Laughing_(film),Joseph_Stein
Harrison_Bergeron_(film),Howie_Mandel
Croesus_(film),Jean_Giono
The_Empty_Planet,Gareth_Roberts_(writer)
Take_the_Weather_with_You,Jimmy_Buffett
The_Rise_and_Rise_of_Michael_Rimmer,Harold_Pinter
King_of_Sorrow_(film),Kim_Coates
Imaginary_Diseases,Frank_Zappa
American_Vampire,Stephen_King
200_Motels,Ringo_Starr
The_Hunger_(TV_series),F._Paul_Wilson
Futureworld,Stuart_Margolin
Citizen_Kane,Orson_Welles
Flying_Daggers,Julian_Cheung
Kanchenjungha_(film),Satyajit_Ray
Caesar_and_Cleopatra_(film),George_Bernard_Shaw
Chandralekha_(TV_series),Bhuvaneswari_(actress)
Tooth_and_Claw_(Doctor_Who),Russell_T_Davies
Children_of_the_Corn_(2009_film),Stephen_King
Flex_Your_Head,Henry_Rollins
The_Love_Captive,Max_Marcin
Boys_Do_Fall_in_Love,Maurice_Gibb
Iparhi_Logos,George_David_Weiss
Take_It_to_the_Limit_(Eagles_song),Willie_Nelson
Tales_of_Manhattan,Ben_Hecht
Monsignor_Renard,Ted_Childs
Boy_Called_Twist,Charles_Dickens
No_Romeo_No_Juliet,50_Cent
Canned_Feud,Warren_Foster
High_Finance,David_Croft_(TV_producer)
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1977),Peter_Ustinov
Battlestar_Galactica:_Blood_&_Chrome,Michael_Taylor_(screenwriter)
Lucky_Numbers,Nora_Ephron
Sahara_(2005_film),Clive_Cussler
Rosencrantz_&_Guildenstern_Are_Dead_(film),Tom_Stoppard
The_Robin_Flies_at_Dawn,John_Sullivan_(writer)
My_Fair_Lady,George_Bernard_Shaw
Nausicaä_of_the_Valley_of_the_Wind_(film),Hayao_Miyazaki
Charlie_X,Gene_Roddenberry
Flight_93_(2006_film),Peter_Markle
One_More_River,John_Galsworthy
The_Stronger_Passion,H._Rider_Haggard
The_Wicked_City_(1992_film),Hideyuki_Kikuchi
Super_Shark,Fred_Olen_Ray
The_Talisman_(comics),Stephen_King
My_Little_Pony_(TV_series),Cherie_Wilkerson
Memory_Man,David_Baldacci
The_Dark_Tower:_The_Gunslinger_Born,Stephen_King
Terry_Pratchett's_The_Colour_of_Magic,Terry_Pratchett
2point4_Children,John_Pickard_(British_actor)
Mister_Ajikko__tv_series__1,Yasuhiro_Imagawa
Kyodai_Ken_Byclosser,Shotaro_Ishinomori
C'era_una_volta_la_città_dei_matti...,Fabrizio_Gifuni
After_Casanova's_Fashion,Eduardo_De_Filippo
Glory!_Glory!,Stan_Daniels
Even_Cowgirls_Get_the_Blues_(film),Tom_Robbins
Tom_Connolly_(The_Blacklist),John_Eisendrath
10nen_Sakura,Yasushi_Akimoto
The_Emperor_and_His_Brother,Jin_Yong
Super_Friends_(1980_TV_series),Carl_Urbano
Leon_the_Pig_Farmer,Vadim_Jean
The_Big_Bang_(1987_film),Tony_Hendra
Women's_Murder_Club_(TV_series),James_Patterson
Stand_in_the_Fire,Robert_Christgau
The_Talisman_(comics),Stephen_King
Dragon_Ball:_Curse_of_the_Blood_Rubies,Toshiki_Inoue
Management_Training,Paul_Fenech
The_Bridge_of_San_Luis_Rey_(1929_film),Thornton_Wilder
The_Slaver_Weapon,Larry_Niven
House_of_Usher_(film),Richard_Matheson
The_Black_Knight_(film),Alec_Coppel
Panic_of_Girls,Paul_McCartney
I'll_Get_You,George_Martin
The_Driver's_Seat_(film),Andy_Warhol
A_Man_This_Lonely,Ronnie_Dunn
The_Wonderful_Wizard_of_Oz_(comics),L._Frank_Baum
The_Banana_Splits_in_Hocus_Pocus_Park,Hoyt_Curtin
Three_and_Out,Mackenzie_Crook
Jewel_(film),Patrick_Bergin
Far_Out_Isn't_Far_Enough:_The_Tomi_Ungerer_Story,Maurice_Sendak
Kailashey_Kelenkari_(film),Satyajit_Ray
Sgt._Frog__tv_series__1,Junichi_Sato
