Happy_(1960_TV_series),William_Loose
Hollow_Man,Mark_Goldblatt
Call_My_Name_(Prince_song),Prince_(musician)
Small_Fry_(film),Tom_Hanks
Crazy_Heart,Robert_Duvall
Somerset_Maugham_TV_Theatre,Daniel_Petrie
Manhattan_(1924_film),Frank_Tuttle
Bringing_up_Jack,Pamela_Fryman
Bhookailasa_(film),K._R._Seetharama_Sastry
Julie_(2004_film),Nishikant_Kamat
Bruce_Gentry_–_Daredevil_of_the_Skies,Sam_Katzman
Mister_Lonely,Werner_Herzog
Gladiator_(Hercules:_The_Legendary_Journeys),Ian_Mune
Crime_&_Punishment,Bill_Guttentag
Serpico_(TV_series),Elmer_Bernstein
The_Spectacular_Spider-Man_(TV_series),Victor_Cook
To_Catch_a_Woodpecker,Walter_Lantz
Fiza,Javed_Siddiqui
The_Vengeance_of_Ursus,Marcello_Ciorciolini
Gloria_(TV_series),Andy_Ackerman
Lucignolo,Tinto_Brass
The_Fourth_Alarm,Hal_Roach
Decameron_Nights,Guy_Green_(filmmaker)
Big_Red_(film),Louis_Pelletier
Seeing_Red_(Buffy_the_Vampire_Slayer),Nichole_Hiltz
The_A-Tom-Inable_Snowman,William_Hanna
Million_Dollar_Infield,Rob_Reiner
Bugs_Bunny:_Superstar,Tex_Avery
After_the_Ball_(1932_film),Max_Neufeld
Poru_Telangana,Ande_Sri
Kojak_(2005_TV_series),Norberto_Barba
Mama_Bagunnava,Bhanupriya
Play_Girl_(1932_film),Norman_Foster_(director)
Prey_(2007_film),Bridget_Moynahan
White_Eagle_(1922_serial),Hal_Roach
It_Takes_a_Thief_(1979_TV_series),Tsui_Hark
Saint_Philip_Neri:_I_Prefer_Heaven,Marco_Frisina
The_Typist_Gets_Married,Franz_Planer
GoBots:_Battle_of_the_Rock_Lords,William_Hanna
Choo-Choo!,Hal_Roach
Jathi_Malli,Mukesh_(actor)
Getting_On_(U.S._TV_series),Mark_V._Olsen
Aventuras_En_El_Tiempo,Rosy_Ocampo
Annabelle_2,James_Wan
Get_Low_(album),Master_P
NCIS_(season_1),Thomas_J._Wright
ZMD:_Zombies_of_Mass_Destruction_(film),Doug_Fahl
The_Second_Hundred_Years_(film),Hal_Roach
Yeh_Rastey_Hain_Pyar_Ke,Sunil_Dutt
When_We_Rise,Guy_Pearce
Periya_Kudumbam,Lakshmi_(actress)
"New_York,_I_Love_You",Tonino_Baliardo
Night_Life_of_New_York,Jesse_L._Lasky
Trader_Horn_(1931_film),Dale_Van_Every
Blade_II,Marco_Beltrami
Shivers_(film),Ivan_Reitman
Middlemarch_(TV_serial),Rufus_Sewell
We_Got_It_Made,Kim_Weiskopf
Devdas_(2002_Hindi_film),Ismail_Darbar
Mr._Hobbs_Takes_a_Vacation,James_Stewart
The_Keenen_Ivory_Wayans_Show,Keenen_Ivory_Wayans
Tom_and_Jerry_Tales,Joseph_Barbera
Concrete_Cowboys,Jimmy_Sangster
The_Sorcerer's_Apprentice_(Alfred_Hitchcock_Presents),Alfred_Hitchcock
Myrt_and_Marge_(film),Bonnie_Bonnell
El_búfalo_de_la_noche_(film),Guillermo_Arriaga
What_Scoundrels_Men_Are!,Mario_Soldati
Faustus_(play),David_Mamet
The_Other_(1999_film),Nabila_Ebeid
Star_Trek_(soundtrack),J._J._Abrams
Storia_de_fratelli_e_de_cortelli,Bruno_Corbucci
Bulworth,Don_Cheadle
Nobody_Walks,Lena_Dunham
Ahmed_(film),Samir_Guesmi
Law_&_Order_(season_16),Adam_Bernstein
"What's_New,_Scooby-Doo%3F",Joseph_Barbera
Petra_Maganai_Vitra_Annai,A._P._Nagarajan
Lois_&_Clark:_The_New_Adventures_of_Superman_(season_4),Mike_Vejar
Journey_into_Darkness_(film),Jennifer_Hilary
Actors_(film),Josiane_Balasko
Prison_Break,Paul_Scheuring
The_Irresistible_Lover,Edward_Ludwig
Robot_Rabbit,Arthur_Davis_(animator)
Tillers_of_the_Soil,Abel_Gance
Pilot_(Millennium),Chris_Carter_(screenwriter)
The_Man_Who_Could_Work_Miracles,Alexander_Korda
Doomed_Caravan,William_Boyd_(actor)
Hanzawa_Naoki,Mitsuhiro_Oikawa
Hang_'Em_High,Clint_Eastwood
The_Herculoids,Ted_Nichols
Rango_(2011_film),Johnny_Depp
Target_(UK_TV_series),Gordon_Flemyng
Wheelie_and_the_Chopper_Bunch,Joseph_Barbera
Moodupadam,A._Vincent
The_American_Prisoner_(film),Eliot_Stannard
Psych_(season_1),Jeff_Melman
The_Feud_Maker,S._Roy_Luby
Directed_by_John_Ford,James_Stewart
The_Night_Shift_(season_3),Darnell_Martin
Horse_Sense,Joey_Lawrence
"Ride_Him,_Bosko!",Friz_Freleng
Young_Hercules,Sam_Raimi
Miss_Congeniality_2:_Armed_and_Fabulous,Marc_Lawrence_(filmmaker)
Seven_Seas_to_Calais,Edy_Vessel
Imsai_Arasan_23rd_Pulikecei,S._Shankar
Aashayein,Girish_Karnad
Transformers:_Revenge_of_the_Fallen,Alex_Kurtzman
Men_into_Space,James_Clavell
The_Twilight_Zone_(1959_TV_series)_(season_3),Norman_Z._McLeod
Songs_in_A_Minor,Alicia_Keys
Thank_God_It's_Friday_(film),Armyan_Bernstein
No_More_Orchids,Walter_Connolly
Cavalier_in_Devil's_Castle,Sergio_Corbucci
Double_Identity_(film),Boaz_Davidson
Khyber_Patrol,Raymond_Burr
The_Flintstones:_Wind-Up_Wilma,Alex_Lovy
Lotsa_Luck,Bill_Persky
The_Mighty_Crusaders_(film),Sylva_Koscina
David_Copperfield_(1935_film),Lionel_Barrymore
The_Funtastic_World_of_Hanna-Barbera,William_Hanna
Sex_and_Zen_III,Wong_Jing
The_Positively_True_Adventures_of_the_Alleged_Texas_Cheerleader-Murdering_Mom,Jane_Anderson
The_White_Hope_(1922_film),John_MacAndrews
Moodu_Pani,Gangai_Amaran
Thank_God_He_Met_Lizzie,Cate_Blanchett
Night_Shift_(film),Carole_Bayer_Sager
You_Belong_to_Me_(1934_film),Grover_Jones
The_Last_Chance_(1937_film),Harry_Hughes_(director)
Kadalora_Kavithaigal,Sathyaraj
The_Debarted_(Gossip_Girl),Stephanie_Savage
True_Crime_(1999_film),Lisa_Gay_Hamilton
The_Pink_Diamond,William_Dieterle
Don't_Turn_'Em_Loose,William_Morgan_(director)
The_Pink_Panther_in:_A_Pink_Christmas,Friz_Freleng
Miracles_(TV_series),David_Greenwalt
Drop_Dead_Diva_(season_1),David_Petrarca
Utilities_(film),David_Greenwalt
Swargaputhri,Kanam_EJ
To_Be_or_Not_to_Be_(1983_film),Ernst_Lubitsch
The_Replacements_(film),Jon_Favreau
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1989),Fred_Savage
Rushin'_Ballet,Hal_Roach
Saddle_the_Wind,John_Cassavetes
Whiplash_(TV_series),John_Meredyth_Lucas
Dog_Heaven,Hal_Roach
13_Moons,Elizabeth_Bracco
The_Reel_Me,Paul_Oakenfold
Her_Gallant_Knights,James_Cruze
Bear_Facts_(film),Hal_Roach
The_Comeback_(TV_series),Dan_Bucatinsky
Evil_Under_the_Sun_(1982_film),James_Mason
Beau_Hunks,Hal_Roach
Aapadbandhavudu,A._Vincent
Arthur_Takes_Over,Darrell_Calker
Fonz_Hour,Joseph_Barbera
Shock_and_Awe_(album),Bill_Hicks
The_Lookalike,Diane_Ladd
Music_Box_(Mariah_Carey_album),Mariah_Carey
Slogan_(film),Melvin_Van_Peebles
Trauma_(TV_series),Jeffrey_Reiner
Rainbow_Island,Hal_Roach
Timeless_Tales_from_Hallmark,William_Hanna
Läther,Frank_Zappa
Spanky_(film),Hal_Roach
Behind_Enemy_Lines_(1986_film),Yoram_Globus
Nizhalgal,B._Kannan
Stepping_Out_(1919_film),George_Barnes_(cinematographer)
Johnny_on_the_Run,Antony_Hopkins
Journey_to_the_Unknown,James_Hill_(British_director)
One_Good_Turn_(1931_film),Oliver_Hardy
Why_Girls_Love_Sailors,Hal_Roach
Boom_Blox,Steven_Spielberg
Shakespeare_Wallah,Ismail_Merchant
Hello_Americans,Orson_Welles
Avan_Aval_Adhu_(1980_film),Sripriya
High_Society_(1924_film),Hal_Roach
Search_and_Destroy_(film),Dennis_Hopper
The_Penitentes,D._W._Griffith
Caged_Heat,Roger_Corman
Parenthood_(season_4),Dax_Shepard
No_Limit_(TV_series),Luc_Besson
The_Chinese_Woman,Jack_Tracy
All_Aboard_(film),Hal_Roach
The_Pink_Panther_in:_A_Pink_Christmas,Friz_Freleng
Mixology,Jeffrey_Walker_(actor)
The_Brothers_Schellenberg,Curt_Courant
Abbott_and_Costello_Meet_the_Keystone_Kops,Mack_Sennett
Alias_(season_1),Mikael_Salomon
Among_the_Mourners,Roscoe_Arbuckle
Bobby_(2002_film),Ravi_Babu
Hum_Hindustani,Sunil_Dutt
Heaven_on_Earth_(1931_film),Anita_Louise
Dead_Soldiers,Dennis_Lehane
Impulse_(1984_film),Tim_Matheson
Scooby-Doo_and_Scrappy-Doo_(1979_TV_series),William_Hanna
Riot_(1969_film),William_Castle
One_Step_to_Eternity,Danielle_Darrieux
Forbidden_Heaven,Sada_Cowan
Dynomutt_Hour,William_Hanna
Tom_and_Jerry:_Spy_Quest,William_Hanna
Tombstone_(film),Kurt_Russell
Heat_(perfume),Beyoncé
From_Here_to_Eternity,Jack_Warden
Dog_Shy,Hal_Roach
Confessions_of_a_Teen_Idol,Scott_Baio
Moebius_(Stargate_SG-1),Brad_Wright
Pixie_and_Dixie_and_Mr._Jinks,Joseph_Barbera
Birds_of_Prey_(TV_series),Joe_Napolitano
When_a_Woman's_Fed_Up,R._Kelly
Biggles_(film),Alex_Hyde-White
M_(1931_film),Peter_Lorre
General_Bakht_Khan_(film),Adeeb
Indiana_Jones_and_the_Last_Crusade,George_Lucas
Daytona_USA_(video_game),Yu_Suzuki
Alice_in_Wonderland_or_What's_a_Nice_Kid_Like_You_Doing_in_a_Place_Like_This%3F,Joseph_Barbera
Drivers_Wanted,Matthew_Ehlers
Transformers:_Animated,Tom_Kenny
The_Rogues_of_London,Fred_Paul
Divide_and_Conquer_(film),William_Hornbeck
"Run,_Run,_Sweet_Road_Runner",Friz_Freleng
Curley_(film),Hal_Roach
Bored_of_Education,Hal_Roach
Come_Back_Mrs._Noah,David_Croft_(TV_producer)
For_Love_of_Ivy,Jay_Weston
Clifford_the_Big_Red_Dog_(1988_series),Bill_Melendez
Traders_(season_4),David_Straiton
Blood_Brothers_(2007_action_film),John_Woo
Abigail's_Party,Mike_Leigh
Anthappuram,Jose_Prakash
Django_Strikes_Again,Sergio_Corbucci
Her_Husband's_Trademark,Lorna_Moon
Snorks,Joseph_Barbera
Telephone_Time,Leon_Klatzkin
Sweet_Revenge_(1987_film),Roger_Corman
The_Bed,Pierre_David
Sangili_(film),Prabhu_(actor)
The_Flintstones:_Fred's_Final_Fling,Joseph_Barbera
The_Black_Domino_(film),Rudolf_Walther-Fein
Villa_Falconieri_(film),Alfred_Halm
Scooby_Goes_Hollywood,Don_Messick
Go_On_(TV_series),Michael_Lehmann
Never_Wave_at_a_WAC,Elmer_Bernstein
El_herrero,Carlos_Orellana
Princess_Sissi,Bruno_Bianchi_(cartoonist)
The_Fugitive_(1972_film),Sammo_Hung
The_Persuaders!,Roy_Ward_Baker
Traders_(season_1),Holly_Dale
Unstoppable_(2004_film),Tom_Jacobson
Mork_&_Mindy,Brian_Levant
Her_Favourite_Husband,Margaret_Rutherford
Young_Guns_II,Alan_Ruck
Everybody_Loves_Raymond_(season_9),Andy_Ackerman
Brother_Brat,Arthur_Davis_(animator)
The_Blackguard,Alfred_Hitchcock
90210_(season_1),Michael_Grossman
Bacon_Grabbers,Hal_Roach
Ensign_Ro_(Star_Trek:_The_Next_Generation),Les_Landau
Lucky_Night,Myrna_Loy
Bellissima_(film),Francesco_Rosi
Trancers_6,Charles_Band
Up_for_the_Derby,Herbert_Wilcox
Hardball_(1989_TV_series),Frank_Lupo
Lost_Patrol_(1929_film),Arthur_B._Woods
The_Tom_and_Jerry_Comedy_Show,Joseph_Barbera
Anna_Attige,K._S._Ashwath
Scream_and_Scream_Again,Alfred_Marks
Gulliver_Mickey,Ben_Sharpsteen
Scorpion_(TV_series),Justin_Lin
Hook_and_Ladder_(1924_film),Hoot_Gibson
A_Gasoline_Wedding,Hal_Roach
Jessica_Novak,Helen_Shaver
Sinkin'_in_the_Bathtub,Friz_Freleng
Phobia_2,Nicole_Theriault
Alvin_and_the_Chipmunks_(film_series),Mark_Mothersbaugh
Annie_Laurie_(1916_film),Alma_Taylor
C.H.O.M.P.S.,Joseph_Barbera
Holiday_in_Your_Heart,Rebecca_Schull
The_Space_Children,Terry_O._Morse
Alita:_Battle_Angel,James_Cameron
Raghu_Romeo,Saurabh_Shukla
Boys_Will_Be_Joys,Hal_Roach
Chander_Pahar,Satyajit_Ray
The_New_Adventures_of_Huckleberry_Finn,Joseph_Barbera
The_Killer_Eye,Jacqueline_Lovell
Timmy_and_the_Lords_of_the_Underworld,Trey_Parker
Brink!,Jeffrey_Alan_Schechter
Volcano_(South_Park),Trey_Parker
Chuck_Moll,Peter_Martell
Daffy_Duck_for_President,Chuck_Jones
Captured!,Douglas_Fairbanks_Jr.
Teen_Wolf_(2011_TV_series),Russell_Mulcahy
Enough_(film),Irwin_Winkler
Sorcerer_Hunters__ova__1,Kenji_Kawai
The_Scoundrel,George_Antheil
Mother's_Joy,Hal_Roach
Spiritual_Kung_Fu,Dean_Shek
Jeeva_(1988_film),Gangai_Amaran
Werner_Herzog_Eats_His_Shoe,Werner_Herzog
Dancing_Stars_(film),Georg_Thomalla
Scream_(TV_series),Wes_Craven
Among_Those_Present,Hal_Roach
Ten_Zan:_The_Ultimate_Mission,Frank_Zagarino
Fatty's_Day_Off,Roscoe_Arbuckle
Laure_(film),Ovidio_G._Assonitis
Bas_Ek_Pal,Jimmy_Shergill
Bahay_Kubo:_A_Pinoy_Mano_Po!,Eric_Quizon
Seeing_the_World,Hal_Roach
How_Green_Was_My_Valley_(film),Philip_Dunne_(writer)
The_Precarious_Bank_Teller,Antonio_Siciliano
Dallas_(1978_TV_series)_(season_8),Alexander_Singer
Fog_City_Mavericks,Clint_Eastwood
Get_Smart's_Bruce_and_Lloyd:_Out_of_Control,Terry_Crews
The_Legend_of_Rockabye_Point,Don_Patterson_(animator)
"Win,_Lose_or_Draw",Robb_Weller
The_Reckless,Armando_Crispino
Nights_in_Rodanthe,James_Franco
Buffy_the_Vampire_Slayer_Season_Nine,Joss_Whedon
Hell_or_High_Water_(film),Taylor_Sheridan
The_Quiet_American_(2002_film),Christopher_Doyle
Homecoming_(Buffy_the_Vampire_Slayer),Danny_Strong
A_Pup_Named_Scooby-Doo,Joseph_Barbera
StreetDance_2,Sofia_Boutella
To_Kill_a_Mockingbird_(film),Alan_J._Pakula
Swayang_Professor_Shonku,Satyajit_Ray
The_Walking_Dead_(1936_film),Lillie_Hayward
Angels_in_Disguise_(film),Edward_J._Kay
The_Faithful_Taxicab,Roscoe_Arbuckle
Mere_Yaar_Ki_Shaadi_Hai,Saurabh_Shukla
Helping_Grandma,Hal_Roach
Il_bandolero_stanco,Renato_Rascel
Power_Rangers_Operation_Overdrive,Koichi_Sakamoto
Brooklyn_Rules,Scott_Caan
The_Family_Man,Mark_Helfrich_(film_editor)
Demonic_Toys_2,Richard_Band
Memórias_Póstumas,Reginaldo_Faria
"Merry_Christmas,_Charlie_Manson!",Trey_Parker
3_Dumb_Clucks,Jules_White
Striker_(2010_film),Yuvan_Shankar_Raja
ER_(season_2),George_Clooney
BlueBOB,David_Lynch
Dreamland_(The_X-Files),Frank_Spotnitz
"What's_New,_Mr._Magoo%3F",Bob_Ogle
An_Inspector_Calls_(2015_film),Chrissie_Chau
Dr._Seuss_on_the_Loose,Friz_Freleng
Portuguese_Vacation,António_da_Cunha_Telles
Oscar_Wilde_(film),Ralph_Richardson
Purgatory_(song),Steve_Harris_(musician)
The_Nanny_(1999_film),Fabrizio_Bentivoglio
Beowulf:_Return_to_the_Shieldlands,Laura_Donnelly_(actress)
Reckless_(TV_series),Michael_Apted
Girl_in_the_Headlines,Frederick_Wilson
The_Fuller_Brush_Girl,Frank_Tashlin
Tom_and_Jerry_Tales,Joseph_Barbera
XXX_(film_series),Dean_Semler
The_Two-Fisted_Lover,Ford_Beebe
The_Funtastic_World_of_Hanna-Barbera_(ride),William_Hanna
Small_Soldiers,Steven_Spielberg
Thunder_in_the_Desert,S._Roy_Luby
The_Arena_(1974_film),Roger_Corman
Escape_(TV_series),Jack_Webb
Bugs_Bunny:_Superstar,Friz_Freleng
The_Fate_of_Renate_Langen,Friedrich_Hollaender
Spanish_Nights_(film),William_LeBaron
Dunkirk_(1958_film),Richard_Attenborough
The_Comancheros_(film),James_Edward_Grant
Window_on_Main_Street,Tim_Matheson
Columbo_(season_2),Jeremy_Kagan
Love_Affair_(1939_film),Edward_Dmytryk
A_Study_in_Scarlet_(1933_film),Arthur_Edeson
The_Most_Precious_Thing_in_Life,Ethel_Hill
Badshahi_Angti_(novel),Satyajit_Ray
Dance_Charlie_Dance,Crane_Wilbur
Mooching_Through_Georgia,Buster_Keaton
Fraidy_Cat_(film),Irven_Spence
Bambi_II,Ariel_Winter
Shanghaied_(1915_film),Fred_Goodwins
White_Light_(Mighty_Morphin_Power_Rangers),Jonathan_Tzachor
Fast_Freight_(film),Robert_F._McGowan
King_Liar,Siddique_(director)
The_Woman_with_No_Name,Edward_Underdown
Una_botta_di_vita,Alberto_Sordi
Cardinal_Messias,Vittorio_Cottafavi
The_Nifty_Nineties,David_Swift_(director)
Blame_Canada,Trey_Parker
Wichita_Linebacker,Armie_Hammer
Between_Miracles,Luigi_Magni
Deccan_Queen_(film),Zia_Sarhadi
Boys_to_Board,Hal_Roach
Vidarunna_Mottukal,Kaviyoor_Ponnamma
North_Shore_(TV_series),David_Straiton
A_Gringo_Girl_in_Mexico,Luis_Alcoriza
When_Fate_Rebelled,Muriel_Ostriche
Love_Lives_On,April_Smith_(writer)
Undefeatable,Cynthia_Rothrock
The_Children_from_Overseas,Stuart_Legg
The_Last_Wagon_(1943_film),Federico_Fellini
Jodi_Hakki,V._Manohar
The_James_Brothers_of_Missouri,Franklin_Adreon
Angel_Square,Brian_Doyle_(writer)
Prime_Risk,Toni_Hudson
Twice_Two,Hal_Roach
The_Champions,Leslie_Norman_(director)
Out_of_Practice,Bob_Koherr
"Hello,_Dolly!_(film)",Walter_Matthau
The_Trials_of_O'Brien,Lamont_Johnson
Medium_(season_2),Arliss_Howard
Cloverfield_(franchise),Drew_Goddard
Idavelakku_Sesham,Mammootty
List_of_The_Late_Show_with_Stephen_Colbert_episodes_(2016),William_H._Macy
Unreal_(TV_series),Marti_Noxon
My_Own_Worst_Enemy_(TV_series),David_Semel
"Passions,_He_Had_Three",Mack_Sennett
All_That,Brian_Robbins
Vilakku_Vacha_Nerathula,K._Bhagyaraj
Chinna_Chinna_Aasaigal,Muktha_Srinivasan
Dog_Daze_(1937_film),Robert_McKimson
La_Belle_Noiseuse,William_Lubtchansky
Daratt,Abderrahmane_Sissako
Flame_of_Youth,Stanley_Wilson_(composer)
Sucker_Punch_(2011_film),Marius_de_Vries
The_Stone_Killer,John_Ritter
Killer_(1992_film),V._B._Rajendra_Prasad
The_Mermaid_(1965_film),Chang_Cheh
The_Detonator,William_Hope_(actor)
Red_Sonja_(film),Arnold_Schwarzenegger
Diary_of_a_Wimpy_Kid:_Dog_Days_(film),Wallace_Wolodarsky
Yogi_the_Easter_Bear,Joseph_Barbera
Københavnere,Alice_O'Fredericks
Creep_(2014_film),Mark_Duplass
NCIS_(season_4),Thomas_J._Wright
Accident_on_Hill_Road,Stuart_Gordon
The_Mob_Doctor,David_Grossman_(director)
Another_Way_(Adventure_Time),Pendleton_Ward
How_to_Deal,Allison_Janney
Careers_(film),John_Rawlins_(director)
Aaron_Loves_Angela,Kevin_Hooks
Hunter's_Prayer,Oren_Moverman
Luv_U_Alia,V._Ravichandran
The_Puppy's_Further_Adventures,Joseph_Barbera
Well_Worn_Daffy,Friz_Freleng
The_Lily_and_the_Rose,D._W._Griffith
Hambre_nuestra_de_cada_día,Luis_Alcoriza
Sour_Grapes_(film),Steven_Weber_(actor)
Nammavar,Kamal_Haasan
The_Tortellis,James_Burrows
Psycho_(2013_film),Ram_Gopal_Varma
Captain_Caveman_and_the_Teen_Angels,Joseph_Barbera
Welcome_to_Mooseport,Tom_Schulman
Kingdom_Hearts_Birth_by_Sleep,Yoko_Shimomura
Stanley_Kubrick's_Boxes,Stanley_Kubrick
The_Pajama_Game,George_Abbott
The_Sing-Off,Sam_Weisman
Brazil_Year_2000,Nello_Melli
The_Ancient_Mariner_(film),William_Fox_(producer)
Fatal_Vision_(miniseries),Gary_Cole
Monchhichis_(TV_series),William_Hanna
One_Precious_Year,Herbert_Wilcox
Darna_Mana_Hai,Ram_Gopal_Varma
All_Mine_to_Give,William_V._Skall
The_Wheel_of_Life_(film),Otho_Lovering
Lady_of_the_Lake_(Once_Upon_a_Time),Alan_Dale
The_Conquering_Horde,John_Leipold
Questo_amore_ai_confini_del_mondo,Fausto_Tozzi
2000_AD_(film),Derek_Yee
Dragnet_(1951_TV_series),Jack_Webb
Delightfully_Dangerous,Frank_Tashlin
The_Little_Prince_(2015_film),James_Franco
Fall_In,Fred_Guiol
Bon_Voyage_(Gilmore_Girls),Todd_Lowe
The_Immaculate_Collection,Madonna_(entertainer)
The_Black_Cauldron_(film),Billie_Hayes
Partners_(1982_film),Francis_Veber
Platinum_Blonde_(film),Robert_Williams_(actor)
Blackjack_(1998_film),Fred_Williamson
Corn_on_the_Cop,Friz_Freleng
Wild_Horse_Mesa_(1925_film),Bert_Glennon
Basanti_(2008_film),Saima_Noor
Jism_(2003_film),Mahesh_Bhatt
Jackson_County_Jail_(film),Roger_Corman
Head_(American_Horror_Story),Gabourey_Sidibe
True_Believer_(1989_film),George_Bowers_(filmmaker)
Weeds_(season_8),Phil_Abraham
The_Moralist,Vittorio_De_Sica
Voyage_sans_espoir,Robert_Lefebvre
Time_Bomb_(2006_film),Angela_Bassett
Dark_Skies,James_A._Contner
The_Merry_Vineyard_(1927_film),Arnold_Pressburger
Jekhane_Bhooter_Bhoy,Satyajit_Ray
Future's_End,Tarik_Ergin
Every_Man_for_Himself_(1924_film),Frank_Capra
Smarty_Cat,Ray_Patterson_(animator)
Nairobi_Half_Life,Tom_Tykwer
Wait_Till_Your_Father_Gets_Home,Joseph_Barbera
That_Forsyte_Woman,Joseph_Ruttenberg
Kartavya_(2003_film),Prosenjit_Chatterjee
Charlotte's_Web_(2006_film),Julia_Roberts
Dances_of_the_Kwakiutl,Robert_Gardner_(anthropologist)
Star_Wars:_Ewoks,George_Lucas
Buckaroo_Bugs,Robert_McKimson
Forty_Little_Mothers_(1936_film),Pauline_Carton
Arizona_Colt,Giuliano_Gemma
Sumuru_(2003_film),Michael_Shanks
Crime_Wave_(1954_film),Bernard_Gordon_(writer)
Babooshka_(song),Kate_Bush
Purple_Death_from_Outer_Space,Henry_MacRae
Man_Down_(TV_series),Greg_Davies
Madam_(1994_film),Jonnavithhula_Ramalingeswara_Rao
Snow_Excuse,Friz_Freleng
The_Loudwater_Mystery_(film),Gregory_Scott
Invitation_to_the_Dance_(film),Adrienne_Fazan
A_Flirt's_Mistake,Mack_Sennett
Midnight_Life_(film),Francis_X._Bushman
Our_Gang_Follies_of_1936,Hal_Roach
The_Cowboy_Kid,Joseph_De_Grasse
Life_Begins_with_Love,Edith_Fellows
Prestige_(1932_film),Joseph_Kane
Paris_Follies,Agnès_Godard
Never_Dance_Alone,Eric_Tsang
Cardboard_Cavalier,Noel_Langley
Deal_of_the_Century,Bud_S._Smith
The_Night_Watchman_(1938_film),Robert_McKimson
Wildfire_(1986_TV_series),Joseph_Barbera
Fonz_Hour,William_Hanna
Where's_Raymond%3F,Stanley_Shapiro
Top_Cat,John_Stephenson_(actor)
Sidewalks_of_New_York_(1931_film),Buster_Keaton
World's_Greatest_Dad,Lorraine_Nicholson
Naach_(2004_film),Antara_Mali
Nannaku_Prematho,Devi_Sri_Prasad
We_Are_from_Jazz,Mark_Minkov
