The_Paradise_Suite_(Armchair_Theatre),Sam_Wanamaker
List_of_One_Piece_films,Michiru_Shimada
Cane_(TV_series),Leon_Ichaso
Jack-Wabbit_and_the_Beanstalk,Phil_Monroe
Doctor_Faustus_(1982_film),Thomas_Mann
Onmyoji_2,Hayato_Ichihara
Top_Gear_(series_4),Martin_Clunes
City_on_Fire_(1987_film),Andrew_Lau
The_Booze_Hangs_High,Friz_Freleng
Noveltoons,David_Tendlar
The_Godfather_Part_III_(soundtrack),Francis_Ford_Coppola
Ghost_Wanted,Robert_McKimson
Swargam,Jagathy_Sreekumar
Crossroads_(1955_TV_series),Harry_Joe_Brown
The_Two_Rivals_(1960_film),Franco_Castellano
Talli_Kodukula_Anubandham,Jandhyala_Subramanya_Sastry
Matchstick_Men,Dody_Dorn
The_Goat_(1921_film),Edward_F._Cline
Normal_(New_Girl),Michaela_Watkins
Corn_on_the_Cop,Friz_Freleng
Red_Shoe_Diaries,Richard_Tyson
Do_You_Love_Your_Wife%3F,Stan_Laurel
The_Breed_(2001_film),Brad_Krevoy
Father_Was_a_Fullback,Casey_Robinson
Eps1.0_hellofriend.mov,Sam_Esmail
Afterimage_(Star_Trek:_Deep_Space_Nine),Les_Landau
Moonlight_on_the_Highway,Kenith_Trodd
The_Champions,Leslie_Norman_(director)
Njan_Ninne_Premikkunnu,P._Bhaskaran
Sentimental_Journey_(film),Maureen_O'Hara
Alaudin,Manivannan
"Arise,_My_Love",Ray_Milland
Sarada_Saradaga__Sarada_Saradaga__1,S._V._Krishna_Reddy
The_Loan_Stranger,Walter_Lantz
Pilot_(Forever),Brad_Anderson_(director)
Mad_About_Opera,Mario_Monicelli
Twilight_Zone:_The_Movie,Jerry_Goldsmith
Beezy_Bear,Bill_Thompson_(voice_actor)
One_Wild_Ride,Hal_Roach
Tree's_a_Crowd,Walter_Lantz
Tanks_a_Million,Hal_Roach
Forty_Thousand_Horsemen,Frank_Hurley
Sword_of_Freedom,Terry_Bishop
Puttin'_on_the_Dog,Ray_Patterson_(animator)
APB_(TV_series),Eric_Winter
New_Amsterdam_(TV_series),Lasse_Hallström
Beau_Ideal,Irene_Rich
The_Mountain_Men,Charlton_Heston
Underclassman,Roselyn_Sánchez
Private_Practice_(season_5),Jeannot_Szwarc
Paddy_the_Next_Best_Thing_(1923_film),Herbert_Wilcox
The_Crew_(TV_series),Dondre_Whitfield
Aatamin_puvussa_ja_vähän_Eevankin_(1971_film),Matti_Kassila
"Quincannon,_Frontier_Scout",John_Bromfield
One_Armed_Swordsman_Against_Nine_Killers,Jimmy_Wang_Yu
Truant_Officer_Donald,Jack_Hannah
List_of_The_Late_Late_Show_with_James_Corden_episodes_(2015),Mel_Brooks
"Merry_Christmas,_Charlie_Manson!",Trey_Parker
The_Commitments_(film),Ann_Peebles
The_Enforcer_(1951_film),Robert_Burks
Castle_(TV_series),Rob_Bowman_(director)
The_Sicilian_Connection,Duilio_Coletti
The_Lambeth_Walk_(film),Sally_Gray
The_Two_Marshals,Enzo_Barboni
Mission:_Impossible_(season_3),Robert_Butler_(director)
List_of_Sailor_Moon_Sailor_Stars_episodes,Junichi_Sato
Law_&_Order:_Criminal_Intent_(season_6),Ken_Girotti
Many_Waters_(film),Elizabeth_Allan
Casper's_First_Christmas,Joseph_Barbera
Kiss_of_the_Muse,David_Greenwalt
Astero,Alekos_Sakellarios
Die_Arche,Karl_Freund
Iron_Horse_(TV_series),Stanley_Adams_(actor)
Z_(1969_film),Françoise_Bonnot
Bonekickers,Iain_B._MacDonald
List_of_The_Late_Late_Show_with_Craig_Ferguson_episodes_(2009),Robert_Carlyle
Makin'_It_(TV_series),Lou_Antonio
Racket_Squad,Hal_Roach
Intermezzo_(1939_film),Gustaf_Molander
The_Curtain_Pole,Mack_Sennett
The_Call_of_the_Traumerei,Harry_von_Meter
The_Dick_Powell_Show,Jack_Lemmon
Ninì_Tirabusciò:_la_donna_che_inventò_la_mossa,Carlo_Rustichelli
The_Dukes_(film),Peter_Bogdanovich
Don't_Stop_Believin'__Regionals_version__1,Ryan_Murphy_(writer)
The_Land_Beyond_the_Sunset,Bigelow_Cooper
Makkala_Rajya,A._P._Komala
Egyptian_Melodies,Ben_Sharpsteen
Sri_Kalahastiswara_Mahatyam,K._Shankar
Shakedown!_The_Texas_Tapes_Revisited,John_Lennon
Everyone's_in_Love,Pasquale_Festa_Campanile
Log_Jammed,Walter_Lantz
November_(film),Gary_Winick
High_Society_(1924_film),Hal_Roach
Sardukupodaam_Randi__1,S._V._Krishna_Reddy
Intruder_(1989_film),Renée_Estevez
Block-Heads,Hal_Roach
Sunday_Calm,Hal_Roach
Truth_and_Advertising,Trey_Parker
The_People_v._O._J._Simpson:_American_Crime_Story,David_Schwimmer
Father_and_Son_(1929_film),Franz_Schulz
Porky's_Five_&_Ten,Chuck_Jones
3:10_to_Yuma_(2007_film),Russell_Crowe
Indira_(film),Nassar
The_Virgin_Suicides_(film),Francis_Ford_Coppola
Isle_of_the_Snake_People,Luis_Enrique_Vergara
Six_Degrees,David_Semel
BASEketball,Trey_Parker
Scooby-Doo's_Snack_Tracks:_The_Ultimate_Collection,Joseph_Barbera
Yossi_&_Jagger,Ohad_Knoller
Highway_Dragnet,Roger_Corman
Should_Sailors_Marry%3F,Hal_Roach
First_Love_(1941_film),Niccolò_Lazzari
Goal_(2007_Hindi_film),Anurag_Kashyap
The_Beast_to_Die,Takeshi_Kaga
Boo_Boo_Runs_Wild,Joseph_Barbera
Fall_In,Hal_Roach
Blackout_(1988_film),Carol_Lynley
Adalat_(1958_film),Nargis
Youth_on_Parole,Gordon_Oliver
Fury_(TV_series),Irving_Cummings
The_Gay_Nighties,Ben_Holmes
NCIS_(season_11),Arvin_Brown
Tremors_(film),S._S._Wilson
Dariya_Dil,Govinda_(actor)
Murders_in_the_Greenstreet,Erich_Pommer
Aajcha_Divas_Majha,Mahesh_Manjrekar
Law_&_Order_(season_9),David_Platt_(director)
Island_in_the_Sky_(1953_film),John_Wayne
The_Yearling_(film),Sidney_Franklin_(director)
Bellamy_(film),Clovis_Cornillac
Code_Name:_The_Cleaner,Brett_Ratner
Killer_Party,Paul_Bartel
Logan's_Run_(TV_series),Paul_Krasny
Red_(2010_film),Morgan_Freeman
Parking_Space_(film),Tex_Avery
The_Vampire_Diaries_(season_4),Darnell_Martin
El_vuelo_del_águila,Alma_Delfina
Kaun_Kitne_Paani_Mein,Kunal_Kapoor
Pocket_Listing_(film),Noel_Gugliemi
Eli_Stone,Marc_Guggenheim
The_Great_McGinty,Akim_Tamiroff
One_Froggy_Evening,Abe_Levitow
1-2-3_Go,Robert_A._McGowan
Yogi_and_the_Invasion_of_the_Space_Bears,Joseph_Barbera
Gosford_Park,Bob_Balaban
Punishment_to_the_Traitor,Jacinto_Cascales
Drop_Dead_Diva_(season_4),J._Miller_Tobin
Modigliani_(film),Philippe_Martinez
Zenobia_(film),Hal_Roach
The_Virginian_(season_2),William_Witney
The_Oh_in_Ohio,Paul_Rudd
Fire_Fighters_(film),Hal_Roach
Around_the_World_in_80_Days_(1956_film),David_Niven
Fedora_(film),Tom_Tryon
Weeds_(season_3),Ernest_Dickerson
List_of_The_Tonight_Show_Starring_Jimmy_Fallon_episodes_(2015),Edward_Burns
The_Wesley's_Mysterious_File,Wong_Jing
The_Song_of_Sister_Maria,Vicente_Escrivá
Beauties_in_Capri,Michele_Malaspina
Blank_Face_LP,Robert_Townsend_(actor)
Cry_of_the_Hunted,Polly_Bergen
Mr._and_Mrs._Is_the_Name,Cal_Dalton
You_and_Me_Are_Three,Pepe_Rubio
The_Way_West_(film),Otho_Lovering
Killdozer!_(film),Theodore_Sturgeon
Lord_Loveland_Discovers_America,Charles_Norris_Williamson
Ability_(Fringe),Michael_Cerveris
Spice_World_(film),Paul_Hardcastle
Empire_Burlesque,Bob_Dylan
Fariyaad,Khemchand_Prakash
The_Old_Maid_(1939_film),Casey_Robinson
Ali_Baba_Bunny,Abe_Levitow
Men_into_Space,William_Lundigan
Salem_(season_2),Allan_Arkush
Confidence_(1933_film),Tex_Avery
The_Scarecrow_(1920_film),Sybil_Seely
Anaconda_(film_series),Stephen_F._Windon
Yokel_Boy,Mikhail_Rasumny
All_in_One_Day,Midge_Ure
Brahmotsavam_(film),Abhay_Jodhpurkar
Hellbilly_58,Lloyd_Kaufman
Armstrong's_Wife,James_Cruze
Il_giustiziere_di_mezzogiorno,Bruno_Corbucci
Goldengirl,Danny_O'Donovan
Takeover_(song),Kanye_West
Carnival_Night,Igor_Ilyinsky
The_Running_Man_(1987_film),Steven_E._de_Souza
The_Curse_(1987_film),Franco_Micalizzi
Shaggy_&_Scooby-Doo_Get_a_Clue!,Joseph_Barbera
The_Outsiders_(TV_series),Jay_Gruska
Looney_Tunes_Golden_Collection:_Volume_2,Leon_Schlesinger
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1970),Dustin_Hoffman
Night_Caller_from_Outer_Space,Stephen_Dade
Understudy_(Smash),Charlie_Semine
The_Pool_Hustlers,Francesco_Nuti
Fighting_Back_(1982_Australian_film),Tom_Jeffrey
Sexual_Perversity_in_Chicago,David_Mamet
Sidewalks_of_New_York_(1931_film),Buster_Keaton
Decameron_Nights_(1924_film),Theodor_Sparkuhl
The_Dust_Bowl_(film),Dayton_Duncan
The_Foxy_Duckling,Bill_Melendez
Thodarum,S._V._Krishna_Reddy
A_Better_Tomorrow_II,Tsui_Hark
The_Adventures_of_Pluto_Nash,Pam_Grier
Headline_Shooter,David_Lewis_(producer)
The_Damned_(South_Park),Trey_Parker
Angel's_Hill,Osamu_Tezuka
The_Lost_Patrol_(1934_film),Cliff_Reid
The_Pink_Blueprint,Friz_Freleng
Hell_Bent_for_Leather_(film),Irving_Gertz
"With_Love,_Chér",Cher
The_Pink_Panther_Show,Friz_Freleng
Moritz_Makes_His_Fortune,André_Hugon
Burnt_Money,Juan_Carlos_Macías
The_Masks_of_the_Devil,Frank_Reicher
Uyire_Unakkaga,Dinesh_Baboo
I_Am_America_(And_So_Can_You!),Paul_Dinello
Judging_Amy,James_Hayman
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1991),Carl_Reiner
The_Dark_Avenger,Yvonne_Furneaux
8_Simple_Rules,James_Widdoes
Fairly_Legal,Andy_Wolk
All_About_Love_(2010_film),Wong_Jing
Doomed_(Buffy_the_Vampire_Slayer),David_Fury
Niagara_Falls_(1941_film),Hal_Roach
Mendiants_et_orgueilleux,Georges_Moustaki
"Happy_Birthday,_Charlie_Brown",Bill_Melendez
Hit_Parade_of_1941,William_Morgan_(director)
Fifty_Shades_Freed_(film),Dana_Brunetti
He-Man_&_She-Ra:_A_Christmas_Special,Shuki_Levy
The_Visitor_(TV_series),Dean_Devlin
The_Sandman_(2000_film),Tony_Miller_(cinematographer)
Challenge_of_the_Super_Friends,William_Hanna
The_End_of_Evangelion,Megumi_Hayashibara
Tim's_Vermeer,Penn_Jillette
100_Films_and_a_Funeral,Jodie_Foster
Bela_Seshe,Swatilekha_Sengupta
Devadas,Thoppil_Bhasi
Shivering_Spooks,Hal_Roach
Kamen_Rider_Kuuga,Joe_Odagiri
List_of_MacGyver_episodes_(season_3),Mike_Vejar
Mickey's_Service_Station,Wolfgang_Reitherman
Harry_and_the_Hendersons_(TV_series),Molly_Cheek
Smarty_Cat,Ray_Patterson_(animator)
Forced_Vengeance,Mary_Louise_Weller
Sean_Saves_the_World,James_Burrows
Bhoot_Returns,Manisha_Koirala
Diva_(2010_TV_series),Don_Michael_Perez
Goosed,Joan_Rivers
Heavyweights,Ben_Stiller
Gang_Busters_(serial),Irene_Hervey
The_First_Circle_(miniseries),Yevgeny_Mironov_(actor)
Old_Bones_of_the_River,Alfred_Roome
How_to_Make_an_American_Quilt,Ellen_Burstyn
Carnosaur_2,Roger_Corman
Oh!_This_Bavaria!,Jürgen_von_Alten
Cupid_(2009_TV_series),Michael_Fields_(director)
Cara_sposa,Mario_Morra
Texas_(film),Glenn_Ford
Epitaph_One,Joss_Whedon
Aval_(film),Adoor_Bhasi
Melancholic_Autumn,Benito_Perojo
Alpha_House,Jonathan_Alter
All_This_and_Rabbit_Stew,Robert_McKimson
30_Rock,Don_Scardino
Smart_Girl_(film),Ida_Lupino
County_Fair_(1937_film),Fuzzy_Knight
The_Possessed_(1977_film),Michael_A._Hoey
Doom_engine,John_Romero
Berlin_Conclusion,John_Eisendrath
Big_Bullet,Francis_Ng
His_Hare-Raising_Tale,Arthur_Davis_(animator)
The_New_Odd_Couple,John_Tracy_(director)
High_Finance_(film),Ida_Lupino
My_Letter_to_George,Jerzy_Skolimowski
Something_Something..._Unakkum_Enakkum,Manivannan
Firefly_(TV_series)__Firefly__1,Joss_Whedon
Wind_Up_Workin'_in_a_Gas_Station,Frank_Zappa
Alexandria..._New_York,Khaled_Youssef
Assault_and_Peppered,Friz_Freleng
Barcelona_(film),Christopher_Tellefsen
Junior_G-Men_(serial),Basil_Dickey
Interceptor_Force_2,Nigel_Bennett
Super_Friends_(1973_TV_series),William_Hanna
Mr._Hankey's_Christmas_Classics__South_Park:_Mr._Hankey's_Christmas_Classics__1,Trey_Parker
Amar_Deep_(1958_film),A._Vincent
Autobiography_of_a_Princess,Ismail_Merchant
Challenge_of_the_GoBots,William_Hanna
Unforgettable_(season_2),David_Platt_(director)
Soldier's_Heart_(song),R._Kelly
On_the_Wrong_Trek,Hal_Roach
Dr._Jekyll_and_Ms._Hyde,Harvey_Fierstein
Rockin'_with_Judy_Jetson,William_Hanna
The_Young_Victoria,Miranda_Richardson
Ghost_Whisperer_(season_1),Ian_Sander
Break_the_News_(film),Maurice_Chevalier
Khakee,Udit_Narayan
National_Lampoon's_Movie_Madness,Diane_Lane
They_Knew_What_They_Wanted_(film),William_Gargan
When_You_Grow_Up,Sia_Furler
Mystery_Island,Joseph_Barbera
The_Friar's_Club,John_O'Hurley
Private_Eyes_(TV_series),Kelly_Makin
Talvar_(film),Vishal_Bhardwaj
Movie_43,Leslie_Bibb
Hennessy_(film),John_Gay_(screenwriter)
Barood_(2004_film),Hari_(director)
Just_Shoot_Me!,Pamela_Fryman
The_Auntie_from_Chicago,Stefanos_Stratigos
The_Promise_(1995_film),Meret_Becker
Anna_Karenina_(1985_film),Christopher_Reeve
Oozham_(1988_film),John_Paul_Puthusery
Escape_Me_Never_(1935_film),Herbert_Wilcox
Our_Gang_(film),Hal_Roach
The_Decision_of_Christopher_Blake,Cecil_Kellaway
The_Incredible_Journey_(film),James_Algar
The_Marines_Are_Coming,Colbert_Clark
Mayalodu__Mayalodu__1,S._V._Krishna_Reddy
Monsieur_Verdoux,Orson_Welles
Being_Alive_(Desperate_Housewives),Jesse_D._Goins
Jungle_Drums_(film),Winston_Sharples
El_Condor_(film),Lee_Van_Cleef
Yogi_Bear_(film),Kent_Beyda
Wine_(1913_film),Roscoe_Arbuckle
5_Sundarikal,Fahadh_Faasil
Shagird_(2011_film),Nana_Patekar
Three_Hams_on_Rye,Moe_Howard
Godzilla_1985,Raymond_Burr
White_&_Nerdy,%22Weird_Al%22_Yankovic
Troublesome_Night_2,Simon_Lui
Daredevil_(TV_series),Vondie_Curtis-Hall
Goal!_(film),Michael_Barrett_(cinematographer)
Barbary_Coast_(film),Frank_Craven
The_Flintstone_Kids,William_Hanna
"Twinkle,_Twinkle_Lucky_Stars",Yuen_Biao
The_Accidental_Spy,Eric_Tsang
The_Following_(season_1),Marcos_Siega
A_Token_of_My_Extreme,Frank_Zappa
Endrendrum_Punnagai,Madhan_Karky
Deadly_Nightshade_(film),Sidney_Hayers
Should_We_Wed_Them%3F,Henri-Georges_Clouzot
Kevin_Hill,David_Solomon_(TV_producer)
Rendezvous_(1930_film),Robert_Florey
Sweet_Temptation_(film),Joyce_Eliason
Exodus_(Lost),Jonathan_Dixon_(American_actor)
Buddy_Steps_Out,Bob_Clampett
Collegiate_(film),Louis_D._Lighton
The_Animatrix,Photek
The_Last_Legion,Jez_Butterworth
Daffy's_Diner,Friz_Freleng
Julie_and_Carol_at_Carnegie_Hall,Bob_Banner
The_Second_Chance,Ruben_Studdard
Mindscape_(film),John_Ottman
Independence_Day_(Bruce_Springsteen_song),Bruce_Springsteen
Little_Shop_of_Horrors_(musical),Roger_Corman
Get_Lost_(film),Walter_Lantz
Love_in_Canada,Moushumi_Chatterjee
Laff-A-Lympics,William_Hanna
Work_It_(TV_series),Shelley_Jensen
List_of_The_Late_Late_Show_with_Craig_Ferguson_episodes_(2014),Carl_Reiner
Pink_Panther_and_Sons,William_Hanna
Gang_Bang_(song),Madonna_(entertainer)
The_Boy_(2015_film),Rainn_Wilson
The_Giant_Claw,Sam_Katzman
Yukon_Vengeance,William_F._Broidy
Sis_Hopkins_(1941_film),Edward_Eliscu
Boo_Boo_Runs_Wild,Joseph_Barbera
Jab_Pyar_Kisi_Se_Hota_Hai,Dev_Anand
Beacon_Hill_(TV_series),Stephen_Elliott_(actor)
Madame_Lu,Hans_Mierendorff
House_of_the_Long_Shadows,Vincent_Price
Snowpiercer,Park_Chan-wook
Danger_Zone_(film),Ron_Silver
Curve_(film),Julianne_Hough
Pappu_(film),K._Balachander
Safety_Not_Guaranteed,Mark_Duplass
Demetrius_and_the_Gladiators,Philip_Dunne_(writer)
Polisse,Laure_Gardette
Titanic_II_(film),Alexander_Yellen
Polka-Dot_Puss,Ray_Patterson_(animator)
Haal-e-Dil,Rajeev_Ravi
Episode_1_(Ashes_to_Ashes_series_1),Matthew_Graham
Let's_Go_(film),Hal_Roach
The_Gay_Parisian,Gordon_Hollingshead
"Swim_Girl,_Swim",Lloyd_Corrigan
Blade_on_the_Feather,Tony_Wharmby
Why_Do_These_Kids_Love_School%3F,Alex_De_Grassi
My_Wife's_Family_(1941_film),Walter_J._Harvey
Three_on_a_Limb,Buster_Keaton
The_Fox_Hunt_(1938_film),Clyde_Geronimi
Let_It_Be_Me_(1936_film),Robert_McKimson
Kaabil,Rakesh_Roshan
From_Dusk_till_Dawn,George_Clooney
The_Hanoi_Hilton_(film),Menahem_Golan
His_New_Profession,Roscoe_Arbuckle
Challenge_of_the_GoBots,Joseph_Barbera
Student_Tour,George_Seaton
11:14,Rachael_Leigh_Cook
The_Brainiacs.com,Dom_DeLuise
Holmes_&_Yo-Yo,Reza_Badiyi
The_Toll_Gate,William_S._Hart
Electric_Shadows,Derek_Yee
On_Time,William_Hanna
Guai_ai_vinti,Mario_Monicelli
Dhoom_2,Jolly_Mukherjee
The_Yellow_Cab_Man,Edward_Arnold_(actor)
The_Flintstones:_Little_Big_League,Joseph_Barbera
Terror_Is_a_Man,Eddie_Romero
The_Merry_Widow_(1925_film),John_Gilbert_(actor)
Roja,K._Balachander
Ice_(TV_series),Antoine_Fuqua
Desperate_Housewives_(season_4),Bethany_Rooney
Panther_(film),Melvin_Van_Peebles
A_Bear_for_Punishment,Ben_Washam
Matinee_Mouse,Dean_Elliott
The_Fuller_Brush_Girl,Frank_Tashlin
Scott_Tenorman_Must_Die,Trey_Parker
Ideal_Woman_Sought,Inge_Egger
Finding_Bliss,Leelee_Sobieski
Drillbit_Taylor,Seth_Rogen
Judging_Amy,Jack_Bender
The_Stars_Fell_on_Henrietta,Clint_Eastwood
Raiders_of_the_Lost_Ark:_The_Adaptation,Philip_Kaufman
Spanky_(film),Hal_Roach
Treasure_Island_(1972_live-action_film),Orson_Welles
The_Woman_Haters,Mack_Sennett
Ghost_(1990_film),Patrick_Swayze
Wu_yen,Cecilia_Cheung
His_Wife's_Friend,Thomas_H._Ince
Gift_Horse_(film),Richard_Attenborough
Vulgus,Tokuro_Fujiwara
Homicide:_Life_on_the_Street_(season_1),Peter_Markle
Donald's_Vacation,Jack_Hannah
Of_Feline_Bondage,William_Hanna
The_Matrix_(franchise),Don_Davis_(composer)
The_Duchess_of_Langeais,William_Lubtchansky
Sprucin'_Up,Hal_Roach
Le_Parti_des_Choses,Jean-Luc_Godard
C.H.O.M.P.S.,Joseph_Barbera
The_Soilers,Stan_Laurel
Bad_Blood_(2010_film),Herman_Yau
NCIS_(season_7),Arvin_Brown
Kyuukyuu_Sentai_GoGoFive,Yasuko_Kobayashi
Why_Is_Her_Door_Locked%3F,Alfred_Shaughnessy
Forgotten_Commandments,Irving_Pichel
Let's_Go_Places,Andrew_Bennison
The_Road_to_Yesterday,Howard_Hawks
Within_These_Walls_(film),Mark_Stevens_(actor)
Oru_Naal_Innoru_Naal,Nedumudi_Venu
The_Slap_(TV_series),Melissa_George
Pine_Barrens_(The_Sopranos),Tim_Van_Patten
Heartaches_(film),Margot_Kidder
Junior_High_School_(film),P._David_Ebersole
Yamini_(film),Madhu_(actor)
Eagle's_Claw,Huang_Feng
Spider-Woman_(TV_series),Friz_Freleng
Casta_Diva_(1935_film),Walter_Reisch
To_Live_and_Die_in_Tsimshatsui,Roy_Cheung
Bangkok_Traffic_Love_Story,Jira_Maligool
Dinosaurs!_–_A_Fun-Filled_Trip_Back_in_Time!,Fred_Savage
Melrose_Place_(season_1),James_Frawley
The_Twilight_Zone_(1959_TV_series)_(season_4),John_Brahm
The_Law_of_the_Wilds,B._Reeves_Eason
"John_Halifax,_Gentleman_(1915_film)",Fred_Paul
Younger_and_Younger,Hans_Zimmer
Bawarchi,Kishore_Kumar
The_Blessing_Way_(The_X-Files),Chris_Carter_(screenwriter)
Manasulo_Maata__Manasulo_Maata__1,S._V._Krishna_Reddy
Distant_Past,Joe_Keenan_(writer)
Witness_to_Murder,Nunnally_Johnson
Chandranudikkunna_Dikhil,Biju_Menon
Love_and_Courage,Roscoe_Arbuckle
The_Search_for_John_Gissing,Alan_Rickman
Mile-a-Minute_Kendall,Jack_McDonald_(actor)
Gilles'_Wife,Marion_Hänsel
Casper's_First_Christmas,William_Hanna
Crazy_to_Act,Mack_Sennett
Chocolate_(2008_film),Hiroshi_Abe_(actor)
Giants_vs._Yanks,Hal_Roach
Y_Tu_Mamá_También,Frank_Zappa
Without_a_Trace_(season_3),Tony_Goldwyn
World_of_Miracles,Jacques_Sernas
Brighton_Beach_Memoirs_(film),John_Bailey_(cinematographer)
Men_in_Black_(1934_film),Jules_White
Swamy_(film),V._Nagendra_Prasad
Buddy's_Garage,Jack_King_(animator)
This_Beautiful_City,Kristin_Booth
Going_Bananas_(film),Menahem_Golan
Brundavanam,Madhavapeddi_Suresh
Animal_House,Tim_Matheson
Casting_By,Martin_Scorsese
Night_of_the_Running_Man,Andrew_McCarthy
Persécution,Hiam_Abbass
Florian_(film),James_Kevin_McGuinness
Fatty_at_San_Diego,Roscoe_Arbuckle
Power_(1928_film),Tay_Garnett
Are_You_Being_Served%3F,Niky_Wardley
Aanandham_Paramaanandham,Chandrakala
The_Poisoned_Chalice,Peter_Sullivan_(actor)
Seven_Brides_for_Seven_Brothers,Jack_Cummings_(director)
Kiddie_League,Walter_Lantz
Seasons_in_the_Sun__Seasons_in_the_Sun__1,Jacques_Brel
The_Edge_(1997_film),Alec_Baldwin
Reflections_on_a_Crime,Norman_Buckley
Masquerade_(TV_series),John_Llewellyn_Moxey
Star's_Lover,Yoo_Ji-tae
Darr_Sabko_Lagta_Hai,Bipasha_Basu
The_Temporary_Widow,Walter_Reisch
Elstree_Calling,Adrian_Brunel
Threshold_(TV_series),Peter_Hyams
Rockin'_with_Judy_Jetson,Joseph_Barbera
Minority_Report_(TV_series),Steven_Spielberg
The_Last_Tycoon_(2012_film),Sammo_Hung
The_Top_Dog,Kenelm_Foss
Tom_and_Jerry_Tales,Joseph_Barbera
Angora_Love,Leo_McCarey
Jeevitham_(1984_film),Gangai_Amaran
Tingel-Tangel,Erich_Engels
Speedy_Gonzales_(film),Arthur_Davis_(animator)
