Murder_Will_Out_(1939_film),Roy_William_Neill
Tenchi_Muyo!_War_on_Geminar,Masaki_Kajishima
Doni_Sagali,Rajendra_Singh_Babu
Black_White_+_Gray,James_Crump
Seraa_Ala_El_Remal,Hatem_Ali
A_Time_for_Drunken_Horses,Bahman_Ghobadi
Tajna_starog_tavana,Vladimir_Tadej
Beyond_This_Place_(1959_film),Jack_Cardiff
Beyond_Shadowgate,Dave_Marsh_(game_developer)
Lady_Gaga_Presents_the_Monster_Ball_Tour:_At_Madison_Square_Garden,Laurieann_Gibson
The_Duke_of_West_Point,Alfred_E._Green
Star_Voice_of_India_2,Gajendra_Singh
Neengal_Kettavai,Balu_Mahendra
Silence_of_the_North,Allan_King
Mastram,Akhilesh_Jaiswal
A_Burning_Passion:_The_Margaret_Mitchell_Story,Larry_Peerce
Express_13,Alfred_Zeisler
Bloodlust!,Ralph_Brooke
Revenge_of_Itzik_Finkelstein,Enrique_Rottenberg
Easter_Yeggs,Robert_McKimson
Looney_Tunes_Showcase:_Volume_1,Bob_Clampett
Vinnie_&_Bobby,James_Widdoes
Así_O_De_Otra_Manera,David_José_Kohon
Tatakau_Shisho__tv_series__1,Toshiya_Shinohara
Latin_Lovers_(1965_film),Mario_Costa_(director)
Department_Store_(1939_film),Mario_Camerini
Fleshtone,Harry_Hurwitz
200_Motels,Tony_Palmer
The_War_on_Kids,Cevin_Soling
The_Fire_Raisers_(film),Michael_Powell
Sundhara_Travels,Thaha
Mademoiselle_ma_mère,Henri_Decoin
Three_Telegrams,Henri_Decoin
Gunsmoke:_Return_to_Dodge,Vincent_McEveety
Under_the_Salt,Mario_Muñoz
Bromo_and_Juliet,Leo_McCarey
Crossing_Over_(film),Wayne_Kramer_(filmmaker)
Tunnel_Vision_(film),Neal_Israel
Boris_Godunov_(1986_film),Sergei_Bondarchuk
Lemming_(film),Dominik_Moll
The_Roaring_Road,Frank_Urson
Ante_Up_(film),Paolo_Nuzzi
Kana_Kanmani,Akku_Akbar
Holy_Flying_Circus,Owen_Harris_(director)
Vikramadithyan,Lal_Jose
Money_to_Burn_(1926_film),Walter_Lang
A_Flat_(film),Hemant_Madhukar
The_Fourth_Man_(2007_film),Dejan_Zečević
Betty_Boop_and_Grampy,Dave_Fleischer
Flowers_and_Trees,Burt_Gillett
Grandmentor,Beth_McCarthy-Miller
Specials_@_10,Vikram_Bhatt
Melissa_P._(film),Luca_Guadagnino
María_José_(1995_telenovela),Beatriz_Sheridan
Gangster's_Law,Siro_Marcellini
The_Man_of_the_Hour_(1914_film),Maurice_Tourneur
The_Tooth_Will_Out,Edward_Bernds
Silent_Night_(2012_film),Steven_C._Miller
Emerald_City_(TV_series),Tarsem_Singh
My_Name_Is_Bill_W.,Daniel_Petrie
Aaytha_Ezhuthu,Mani_Ratnam
An_Angel_for_Satan,Camillo_Mastrocinque
Happy_Go_Ducky,William_Hanna
Three_Girls_Lost,Sidney_Lanfield
The_Night_Porter,Liliana_Cavani
Sex_Education_(Parks_and_Recreation),Craig_Zisk
Mission:_Impossible_(film_series),Brad_Bird
Five_(1951_film),Arch_Oboler
The_Jury's_Secret,Edward_Sloman
Prithvi_Vallabh,Sohrab_Modi
The_Lovers_of_Manon_Lescaut,Mario_Costa_(director)
Rain_Tree_(film),Hossein_Shahabi
Chicago_(2002_film),Rob_Marshall
Port_of_Temptation,René_Cardona
Poor_Girls,William_James_Craft
Lady_of_the_Lake_(Once_Upon_a_Time),Milan_Cheylov
The_Framed_Cat,Joseph_Barbera
No_Love_for_Johnnie,Ralph_Thomas
Zombie_Night_2:_Awakening,David_J._Francis
Let_Bartlet_Be_Bartlet,Laura_Innes
Human_Cobras,Bitto_Albertini
The_Makioka_Sisters_(film),Kon_Ichikawa
The_Fire_(1916_film),Giovanni_Pastrone
Fortean_TV,Luke_Campbell_(director)
El_Alamein:_The_Line_of_Fire,Enzo_Monteleone
Dear_Brigitte,Henry_Koster
Suvarna_Sethuve,Geethapriya
Do_Your_Duty,William_Beaudine
Win_Win_(film),Tom_McCarthy_(director)
Dolphins_(2000_film),Greg_MacGillivray
Spy_of_Madame_Pompadour,Karl_Grune
The_Nightbirds_of_London,Frank_Wilson_(director)
Barenaked_in_America,Jason_Priestley
NCR:_Not_Criminally_Responsible,John_Kastner_(filmmaker)
Darna_(2009_TV_series),Don_Michael_Perez
The_Woody_Woodpecker_Show,Alex_Lovy
Air_Raid_Wardens,Edward_Sedgwick
Second_Choice,Howard_Bretherton
My_Nanny's_Secret,Douglas_Jackson_(filmmaker)
The_Law_of_the_Yukon,Charles_Miller_(director)
Luke_Wins_Ye_Ladye_Faire,Hal_Roach
Joint_Security_Area_(film),Park_Chan-wook
Day_Break_Illusion__tv_series__1,Keizō_Kusakawa
Jalisco_Fair,Chano_Urueta
Extreme_Spots,Luke_Brookshier
American_Juniors,Bruce_Gowers
Diggers_in_Blighty,Raymond_Longford
A_Mix_Up_in_Hearts,Oliver_Hardy
Family_Plan_(1997_film),Fred_Gerber
Night_of_the_Orangutan,Kjell-Åke_Andersson
Carne_de_presidio,Emilio_Gómez_Muriel
The_Gambler_(film_series),Dick_Lowry
The_Green_Archer_(1961_film),Jürgen_Roland
Not_My_Type,Lucas_Belvaux
That_You_Fear_the_Most,Lodge_Kerrigan
Live_Evil_(film),Jay_Woelfel
Avunu_Valliddaru_Ista_Paddaru!,Vamsy
Soldier_of_Orange,Paul_Verhoeven
Kabukicho_Love_Hotel,Ryūichi_Hiroki
Rawhide_(1951_film),Henry_Hathaway
Drugstore_Girl,Katsuhide_Motoki
Brush_with_Fate,Brent_Shields
Gendai-jin,Minoru_Shibuya
Phir_Bhi_Dil_Hai_Hindustani,Aziz_Mirza
Boyy_Friennd,Vinayan
En_Thamizh_En_Makkal,Santhana_Bharathi
Strangers_in_the_Night_(film),Anthony_Mann
Nowhere_to_Run_(1989_film),Carl_Franklin
The_Gentleman_Without_a_Residence,Heinrich_Bolten-Baeckers
Monsters_(2010_film),Gareth_Edwards_(director)
Business_and_Pleasure,David_Butler_(director)
Swan_Song_(Glee),Brad_Falchuk
Fish_Tank_(film),Andrea_Arnold
Gamma_(miniseries),Salvatore_Nocita
Arbor_Day_(film),Fred_C._Newmeyer
The_Manxman_(1917_film),George_Loane_Tucker
Ratty_(film),Lennart_Gustafsson
"Red_Margaret,_Moonshiner",Allan_Dwan
The_House_Always_Wins,Marita_Grabiak
"Casablanca,_Nest_of_Spies",Henri_Decoin
You_for_Me,Don_Weis
Amara_Shilpi_Jakkanna,B._S._Ranga
The_Other_Man_(1916_film),Mack_Sennett
The_Isle_of_Pingo_Pongo,Tex_Avery
Go_Figure_(film),Francine_McDougall
Bob_&_Carol_&_Ted_&_Alice_(TV_series),Leo_Penn
Saraba_Kamen_Rider_Den-O:_Final_Countdown,Osamu_Kaneda
Air_Bud:_Spikes_Back,Mike_Southon_(cinematographer)
Gone_in_60_Seconds_(1974_film),H._B._Halicki
Bananas_for_Betty,Michael_Spiller
Fear_(of_the_Unknown)_(Grey's_Anatomy),Tony_Phelan
The_Dick_Powell_Show,Ray_Milland
Flipotte,Jacques_de_Baroncelli
To_a_Tee,Matt_Riddlehoover
McLaren's_Negatives,Marie-Josée_Saint-Pierre
Wolves_(2014_film),David_Hayter
San_Antonio_(film),David_Butler_(director)
Kentucky_Minstrels_(film),John_Baxter_(director)
Foetus_(film),Márta_Mészáros
Wealth_Without_a_Future,Ferdinando_Maria_Poggioli
Payment_Deferred_(film),Lothar_Mendes
10_Cloverfield_Lane,Dan_Trachtenberg
Sorority_House_(film),John_Farrow
High_Society_Blues,David_Butler_(director)
Radio_(2003_film),Michael_Tollin
Warrior_of_the_Lost_World,David_Worth_(cinematographer)
La_liceale_nella_classe_dei_ripetenti,Mariano_Laurenti
De_Dhakka,Atul_Kale
Police_Academy_2:_Their_First_Assignment,Jerry_Paris
Final_Fantasy_XIII-2,Motomu_Toriyama
300:_Rise_of_an_Empire,Noam_Murro
An_Innocent_Adventuress,Robert_G._Vignola
She_Learned_About_Sailors,George_Marshall_(director)
As_Tears_Go_By_(film),Wong_Kar-wai
"Here,_Beneath_the_North_Star",Edvin_Laine
Me_and_My_Pal_(1933_film),Lloyd_French
Sita_Rama_Kalyanam,Jandhyala_Subramanya_Sastry
Love_Never_Dies_(1955_film),Luis_César_Amadori
The_Queen_(2012_film),Mohammad_Ali_Bashe_Ahangar
The_Song_of_the_Riverside,Julio_Irigoyen
The_Happiest_Millionaire,Norman_Tokar
Encadenados_(1969_telenovela),Rafael_Banquells
Mary_Kom_(film),Omung_Kumar
Steel_Chariots,Tommy_Lee_Wallace
Ae_Fond_Kiss...,Ken_Loach
Midnight_Club_(film),Alexander_Hall
Nammanna_Don,Ramesh_Aravind
Detour_(NCIS),Mario_Van_Peebles
Antony_and_Cleopatra_(1972_film),Charlton_Heston
The_Sacrifice,Andrei_Tarkovsky
Premonition_(2004_film),Norio_Tsuruta
The_Heart_of_Youth,Robert_G._Vignola
Saazish_(1988_film),Rajkumar_Kohli
Beauty_of_the_World,Mario_Almirante
Hyper_(film),Santosh_Srinivas
Cookoo_Cavaliers,Jules_White
Indonesia_Calling,Joris_Ivens
The_Black_Robe_(film),Fritz_Peter_Buch
Just_Any_Woman,Rafael_Gil
Andari_Bandhuvaya,Chandra_Siddhartha
The_Secret_Agent_(1924_film),Erich_Schönfelder
Paradise_Road_(1997_film),Bruce_Beresford
Man_Afraid,Harry_Keller
La_Tarea,Jaime_Humberto_Hermosillo
Everything_in_Life,J._Elder_Wills
Phantom_of_Inferno,Kōichi_Mashimo
Rule_No._1,Kelvin_Tong
Once_Upon_a_Time_(The_Twilight_Zone),Norman_Z._McLeod
Angels_One_Five,George_More_O'Ferrall
The_Other_Side_of_the_Mountain_Part_2,Larry_Peerce
Mismates,Charles_Brabin
Canciones_para_después_de_una_guerra,Basilio_Martín_Patino
The_Mysterious_Monsters,Robert_Guenette
Video_Nasty_(Only_Fools_and_Horses),Ray_Butt
The_Specialist,Luis_Llosa
Rock_Star_(Law_&_Order:_Criminal_Intent),Bill_D'Elia
A_Saturday_on_Earth,Diane_Bertrand
Maya_Kannadi,Cheran_(director)
The_Little_Vampire_(TV_series),René_Bonnière
Big_Timber_(film),William_Desmond_Taylor
Happy_Days_(1991_film),Aleksei_Balabanov
Old_Gringo,Luis_Puenzo
Zamane_Se_Poocho,Abrar_Alvi
The_Little_Soldier,Jean-Luc_Godard
The_Sun_Has_Ears,Yim_Ho
The_Calling_(2009_film),Jan_Dunn
The_Legacy_of_a_Whitetail_Deer_Hunter,Jody_Hill
Two_Men_and_Two_Women_Amongst_Them,Rafael_Gil
Firewatch,Sean_Vanaman
Shera_(film),T._L._V._Prasad
Rodrigo_D:_No_Future,Víctor_Gaviria
THX_1138,George_Lucas
The_Mothers_of_Plaza_de_Mayo,Lourdes_Portillo
Charulata,Satyajit_Ray
"De_bloemen,_die_de_ziel_vertroosten",Louis_H._Chrispijn
A_Severa_(film),José_Leitão_de_Barros
It's_Great_to_Be_Young_(1956_film),Cyril_Frankel
Sinbad_(TV_series),Brian_Grant_(director)
Waxworks_(film),Paul_Leni
52nd_Street_(film),Harold_Young_(director)
Kamini_(film),Subair
Her_Final_Role,Jean_Gourguet
Change_of_Sex,Vicente_Aranda
Musang_Berjanggut,P._Ramlee
Itadakiman,Hiroshi_Sasagawa
Meet_Kevin_Johnson,Stephen_Williams_(director)
Singapore_Sling_(1990_film),Nikos_Nikolaidis
Her_Chum's_Brother,Sidney_Olcott
Bhoomiyile_Rajakkanmar,Thampi_Kannanthanam
Double_Whammy_(film),Tom_DiCillo
Andha_Bichar,Shakti_Samanta
Taxi_4,Gérard_Krawczyk
Hava_Aney_Dey,Partho_Sen-Gupta
Luke's_Fatal_Flivver,Hal_Roach
I'll_Remember_(The_Vampire_Diaries),Jeffrey_Hunt
Chennai2Singapore,Abbas_Akbar
The_Message_(2009_film),Gao_Qunshu
Vacation_(2005_film),K._K._Haridas
I_Love_Hong_Kong,Eric_Tsang
"Han,_hun_og_Hamlet",Lau_Lauritzen_Sr.
Stolen_Heaven,George_Abbott
"Elmer,_the_Great",Mervyn_LeRoy
Ponmudi_(1950_film),Ellis_R._Dungan
Bill_Cosby_77,Robert_Townsend_(actor)
Nostromo_(TV_serial),Alastair_Reid_(director)
Killer_Net,Geoffrey_Sax
Crocodile_(2000_film),Tobe_Hooper
Fresh_Beat_Band_of_Spies,Chuck_Sheetz
"I,_Don_Giovanni",Carlos_Saura
Caboblanco,J._Lee_Thompson
Azumi_(film),Ryuhei_Kitamura
Women_He's_Undressed,Gillian_Armstrong
Mr._Palfrey_of_Westminster,Gerald_Blake
The_Toxic_Avenger_Part_III:_The_Last_Temptation_of_Toxie,Michael_Herz_(producer)
Maa_Ooru,B._Narsing_Rao
"Good_Bye,_Radar",Charles_S._Dubin
Frenzied_Finance,Bobby_Burns
Ferrari_(film),Carlo_Carlei
Iphigenia_(film),Michael_Cacoyannis
Sarah_G._Presents,Wenn_V._Deramas
How_She_Triumphed,D._W._Griffith
Andha_Naal,Sundaram_Balachander
The_Harem_World_Tour:_Live_from_Las_Vegas,Bruce_Gowers
Springsteen_&_I,Baillie_Walsh
Diane_of_the_Green_Van,Wallace_Worsley
Belle_of_the_Yukon,William_A._Seiter
Diamond_Necklace_(film),Lal_Jose
Kunjaliyan,Saji_Surendran
The_Rebirth_(film),Masahiro_Kobayashi_(director)
Going_Ape!,Jeremy_Joe_Kronsberg
Paper_Clips_(film),Joe_Fab
Light's_Diamond_Jubilee,Roy_Rowland_(film_director)
The_Two_Faces_of_January_(film),Hossein_Amini
Unaru,Mani_Ratnam
Miss_Arizona_(film),Pál_Sándor_(director)
Cliffhanger_(film),Renny_Harlin
A_Régiséggyüjtö,Alfréd_Deésy
Richie_Rich_Show,Ray_Patterson_(animator)
Yahan_Pyar_Nahi_Hai,Fahim_Burney
Baby_(Supernatural),Thomas_J._Wright
Redfern_Now,Rachel_Perkins
The_Law_Is_the_Law,Christian-Jaque
George_White's_1935_Scandals,George_White_(producer)
Bandolero!,Andrew_V._McLaglen
The_Sun_Also_Rises_(1957_film),Henry_King_(director)
Begging_for_Billionaires,Phil_Klein
The_Pride_of_the_Fancy,Albert_Ward_(film_director)
Payback_(2012_film),Jennifer_Baichwal
Emma_(1996_theatrical_film),Douglas_McGrath
Empire_of_Dreams,Kevin_Burns
Fighter_Pilot:_Operation_Red_Flag,Stephen_Low
Zenith_(film),Vladan_Nikolic
The_Dragon_Dentist,Kazuya_Tsurumaki
