The_Best_of_Times_(2002_film),Chang_Tso-chi
Catch_as_Catch_Can_(1967_film),Franco_Indovina
Funny_or_Die_Presents,Jason_Woliner
What_the_Ancients_Did_for_Us,Kate_Murray
"I,_a_Woman",Mac_Ahlberg
Valli_(film),K._Natraj
Scrooge_(1935_film),Henry_Edwards_(actor)
Chase_Through_the_Night,Howard_Rubie
Henry_V_(1944_film),Laurence_Olivier
Blockbusters_(U.S._game_show),Ira_Skutch
Head_Above_Water,Jim_Wilson_(producer)
Roller_Boogie,Mark_L._Lester
Allah_Islam,Zvi_Yehezkeli
Custer's_Last_Fight,Francis_Ford_(actor)
8_(2008_film),Mira_Nair
My_American_Cousin,Sandy_Wilson_(director)
Phil_Spector_(film),David_Mamet
Hälsoresan_–_En_smal_film_av_stor_vikt,Lasse_Åberg
Idhayakkani,A._Jagannathan
Dragon_Fire_(1993_film),Rick_Jacobson
Vafaatheri_Kehiveriya,Ali_Seezan
It's_Alive!_(Dexter),Tony_Goldwyn
Westinghouse_Studio_One,Yul_Brynner
Crows_Zero_2,Takashi_Miike
Melody_of_a_Great_City,Wolfgang_Liebeneiner
When_Day_Breaks,Goran_Paskaljević
Half_Shot_Shooters,Jack_White_(film_producer)
Killer_Whale_(The_Avengers),Kim_Mills
Nyay_Anyay,Lawrence_D'Souza
Hostage_for_a_Day,John_Candy
Disha,Sai_Paranjpye
Tu_Hi_Re,Sanjay_Jadhav
I_complessi,Dino_Risi
Hello_Down_There,Ricou_Browning
Why_Smith_Left_Home,Donald_Crisp
La_Dama_de_Beirut,Ladislao_Vajda
Nightside_(film),Bernard_L._Kowalski
Temporary_Paradise,András_Kovács
Estet,Mamat_Khalid
Harichandra_(1998_film),Cheyyar_Ravi
Beautiful_Young_Minds,Morgan_Matthews_(filmmaker)
Mounam_Sammadham,K._Madhu
Finding_Bliss,Julie_Davis
Pet_Peeve_(1954_film),Joseph_Barbera
Kanamachi_(film),Raj_Chakraborty
Broken_Vessels,Scott_Ziehl
Letter_at_Dawn,Giorgio_Bianchi
Song_of_Lahore,Sharmeen_Obaid-Chinoy
Living_on_the_Edge_(film),Rodrigue_Jean
Silent_Hills,Guillermo_del_Toro
La_Petite_Vendeuse_de_Soleil,Djibril_Diop_Mambéty
Pooh's_Heffalump_Halloween_Movie,Elliot_M._Bour
Eyes_and_Ears_of_God:_Video_Surveillance_of_Sudan,Tomo_Križnar
"Hyppolit,_the_Butler",Steve_Sekely
The_Dirty_Game,Christian-Jaque
The_Snowy_Heron,Teinosuke_Kinugasa
Potta_Potti,Yuvaraj_Dhayalan
Chikara_to_Onna_no_Yo_no_Naka,Kenzō_Masaoka
Jumanji,Joe_Johnston
Broadway_Limited_(film),Gordon_Douglas_(director)
The_Wizard_of_Gore,Herschell_Gordon_Lewis
Aquatic_Language,Yasuhiro_Yoshiura
Mirrors_(film),Alexandre_Aja
Doctors'_Wives_(1931_film),Frank_Borzage
Ruin_Explorers__ova__1,Takeshi_Mori_(director)
Hum_Sab_Baraati,Sanjay_Chhel
Isn't_Life_Wonderful!_(1953_film),Harold_French
Taming_Sutton's_Gal,Lesley_Selander
Foo_Fighters:_Sonic_Highways,Dave_Grohl
30_Nights_of_Paranormal_Activity_with_the_Devil_Inside_the_Girl_with_the_Dragon_Tattoo,Craig_Moss
The_Bugs_Bunny_Mystery_Special,Chuck_Jones
Pravarakhyudu,Madan_(film_director)
Vilaiyaattu_Pillai,A._P._Nagarajan
Madame_Mystery,Stan_Laurel
Sold_(2014_film),Jeffrey_D._Brown
Antahpuram,Krishna_Vamsi
The_White_God,George_Schnéevoigt
Maverick_(film),Richard_Donner
Sangam_(1964_Urdu_film),Zahir_Raihan
Selfless_(Prison_Break),Michael_Switzer
"Bread,_Love_and_Andalusia",Javier_Setó
Dead_Men_Tell,Harry_Lachman
Shark_Monroe,William_S._Hart
Jerusalem_(2013_film),Daniel_Ferguson
Stanley_and_Livingstone,Henry_King_(director)
Daughter's_Hand,Mike_Judge
A_Woman_of_Independent_Means,Robert_Greenwald
PriPara__tv_series__1,Makoto_Moriwaki
Lucifer_Rising_(film),Kenneth_Anger
The_Penalty_(1941_film),Harold_S._Bucquet
The_Greeks_Had_a_Word_for_Them,Lowell_Sherman
Tip_Top_(film),Serge_Bozon
Go_to_Hell_(American_Horror_Story),Alfonso_Gomez-Rejon
Leaving_Fear_Behind,Jigme_Gyatso
Nadia:_The_Secret_of_Blue_Water,Shinji_Higuchi
Romance_Out_of_the_Blue,Ning_Ying
Prem_Granth,Rajiv_Kapoor
Room_in_the_House,Maurice_Elvey
Paris_Vice_Squad,Hervé_Bromberger
Her_First_Romance,Edward_Dmytryk
Freud_(miniseries),Moira_Armstrong
One_Wild_Night_(film),Eugene_Forde
Jules_Verne's_Rocket_to_the_Moon,Don_Sharp
The_Two_of_Us_(1981_TV_series),Peter_Bonerz
7_Days_in_Havana,Pablo_Trapero
Bhale_Ramudu,Vedantam_Raghavaiah
The_Trail_of_the_Lonesome_Pine_(1923_film),Charles_Maigne
The_Transporter_Refueled,Camille_Delamarre
Buttons_(film),George_W._Hill
Darkness_in_Tallinn,Ilkka_Järvi-Laturi
Old_Bill_Through_the_Ages,Thomas_Bentley
I_prepotenti,Mario_Amendola
Uncle_Kent,Joe_Swanberg
Ring_of_Steel_(film),Garson_Kanin
Glory_to_the_Filmmaker!,Takeshi_Kitano
Aces_'N'_Eights,Craig_R._Baxley
Public_Speaking_(film),Martin_Scorsese
King_of_Burlesque,Sidney_Lanfield
Mister_Roberts_(TV_series),Seymour_Robbie
Kadalora_Kavithaigal,P._Bharathiraja
A_Moment_of_Innocence,Mohsen_Makhmalbaf
The_Island_of_Doctor_Agor,Tim_Burton
Reach_Me,John_Herzfeld
Freesia_(manga)__live_film__1,Kazuyoshi_Kumakiri
It's_Your_Move,Tony_Singletary
Washington_Melodrama,S._Sylvan_Simon
Toy_Soldiers_(2010_film),John_Walsh_(filmmaker)
What_Women_Want,Nancy_Meyers
What_We_Do_in_the_Shadows,Jemaine_Clement
The_Crossing_(2014_film),John_Woo
Bench_Talkies_-_The_First_Bench,Karthik_Subbaraj
Hans:_Het_Leven_Voor_De_Dood,Louis_van_Gasteren
Hacksaw_Ridge,Mel_Gibson
Brilliant_Marriage,Phil_Rosen
F._Scott_Fitzgerald_and_'The_Last_of_the_Belles',George_Schaefer_(director)
Shyamol_Chhaya,Humayun_Ahmed
Under_the_Southern_Cross_(1927_film),Gustav_Pauli
Up!_Live_in_Chicago,Beth_McCarthy-Miller
La_ilusión_viaja_en_tranvía,Luis_Buñuel
Blackpool_(TV_serial),Coky_Giedroyc
The_Woman_Under_Oath,John_M._Stahl
Betty_Boop's_Ups_and_Downs,Dave_Fleischer
Here_(2011_film),Braden_King
Then_I_Sentenced_Them_All_to_Death,Sergiu_Nicolaescu
The_Surrogate_Woman,Im_Kwon-taek
La_caída,Leopoldo_Torre_Nilsson
Captive_Souls,Michael_Curtiz
The_Diary_of_Anne_Frank_(2009_miniseries),Jon_Jones_(director)
Split_Second_(1992_film),Tony_Maylam
The_Last_Chase,Martyn_Burke
Brilliant_Legacy,Jin_Hyuk
Respectable_(TV_series),Dominic_Brigstocke
Make_It_Three,David_MacDonald_(director)
Two_Daughters_of_Eve,D._W._Griffith
The_Man_Between,Carol_Reed
Stark_Fear,Skip_Homeier
Ultra_Reinforcement,Lam_Chi-chung
The_Silent_Man_(film),William_S._Hart
Story_of_O_(film),Just_Jaeckin
Frownland_(film),Ronald_Bronstein
Pleasantville_(film),Gary_Ross
Dust_(2012_film),Julio_Hernández_Cordón
That_Was_Then,Bryan_Gordon
Her_Husband's_Friend,Fred_Niblo
Back_Stage_(1917_film),Arvid_E._Gillstrom
Twitch_–_You_Are_My_Toy,Yūji_Tajiri
Welcome_to_Central_Jail,Sundar_Das
Dudes_(film),Penelope_Spheeris
Soft_and_Hard,Jean-Luc_Godard
Doppelgangers_(How_I_Met_Your_Mother),Pamela_Fryman
What_the_Deaf_Man_Heard,John_Kent_Harrison
A_Chorus_of_Disapproval_(film),Michael_Winner
Abel's_Island_(film),Michael_Sporn
Ammakilikkoodu,M._Padmakumar
No_Activity,Trent_O'Donnell
Far_from_Home:_The_Adventures_of_Yellow_Dog,Phillip_Borsos
Darling_(2007_Swedish_film),Johan_Kling
The_Pillar_of_Fire,Georges_Méliès
Pawn_Sacrifice,Edward_Zwick
Out_of_Reach_(film),Po-Chih_Leong
"Too_Much,_Too_Soon",Art_Napoleon
Pieces_of_April,Peter_Hedges
Dead_or_Alive_2,Tomonobu_Itagaki
Roselyne_et_les_lions,Jean-Jacques_Beineix
Gangsters_(TV_series),Roger_Tucker
The_Impostor_(1944_film),Julien_Duvivier
The_Barnyard_Battle,Ub_Iwerks
"On_Any_Sunday:_Motocross,_Malcolm,_&_More",Dana_Brown
Devullu,Kodi_Ramakrishna
Barareh_Nights,Mehran_Modiri
Hard_to_Hold_(film),Larry_Peerce
Mr._America_(film),Leonardo_Ferrari_Carissimi
Fudge_(TV_series),Bob_Clark
Rainbow's_End_(1995_film),Denny_Lawrence
Cujo_(film),Lewis_Teague
Dangerous_Money_(1924_film),Frank_Tuttle
The_Manson_Family_(film),Jim_Van_Bebber
His_Days_Are_Numbered,Elio_Petri
Varanmaare_Aavashyamundu,Hariharan_(director)
Noora,Mahmoud_Shoolizadeh
He_Fell_in_Love_with_His_Wife,William_Desmond_Taylor
Ah_Long_Pte_Ltd,Jack_Neo
The_Past_of_Mary_Holmes,Harlan_Thompson
Buster_and_Billie,Daniel_Petrie
Eve_of_Destruction_(film),Duncan_Gibbins
Cellar_Dweller,John_Carl_Buechler
The_Autonomines,Rafael_Gil
The_Fourth_King,Ted_Sieger
One-Eyed_Jacks,Marlon_Brando
South_West_Pacific_(film),Ken_G._Hall
The_Greatest_Store_in_the_World,Jane_Prowse
The_Man_Who_Watched_Trains_Go_By,Harold_French
A_Secret,Claude_Miller
Searchers_(film),Zacharias_Kunuk
Palermo_(film),Arturo_S._Mom
Betty_Boop_for_President,Dave_Fleischer
Wings_of_the_Navy,Lloyd_Bacon
The_Seven_Wonders_(American_Horror_Story),Alfonso_Gomez-Rejon
Sin_(1915_film),Herbert_Brenon
Youth_of_the_Big_City,Rudolf_Walther-Fein
Drømmeslottet,Svend_Wam
Rails_&_Ties,Alison_Eastwood
Go_Big_or_Go_Home,Dean_Holland
Natalee_Holloway_(film),Mikael_Salomon
Son_of_Django,Osvaldo_Civirani
Dumb_and_Dumber,Peter_Farrelly
Prema_Geethangal,Balachandra_Menon
Pulp_(1972_film),Mike_Hodges
That_Lucky_Touch,Christopher_Miles
Chi_(film),Anne_Wheeler
Looney_Tunes_Super_Stars'_Road_Runner_and_Wile_E._Coyote:_Supergenius_Hijinks,Matthew_O'Callaghan
Scream_2,Wes_Craven
Zipang_(manga)__tv_series__1,Kazuhiro_Furuhashi
Marudhamalai,Suraj_(director)
Steve_(film),Rupert_Friend
Adventures_of_Gallant_Bess,Lew_Landers
Sakkare,Abhaya_Simha
Baba_Yaga_(film),Corrado_Farina
The_Purple_Rose_of_Cairo,Woody_Allen
Mexican_Slayride_(film),Riccardo_Freda
Chicago_Calling,John_Reinhardt_(director)
Raja_Rishi,K._Shankar
Space_Sheriff_Sharivan,Hideo_Tanaka_(director)
Les_Rois_mages,Didier_Bourdon
Blood_of_Dracula's_Castle,Al_Adamson
American_Girl_(film_series),Nadia_Tass
The_Bad_Life_(film),Hugo_Fregonese
Pantjawarna,Njoo_Cheong_Seng
Jyo_Achyutananda,Srinivas_Avasarala
Cancer_Man_(Breaking_Bad),Jim_McKay_(director)
"Sex,_Drugs,_Rock_&_Roll_(film)",John_McNaughton
A_View_to_a_Kill_(The_Vampire_Diaries),Brad_Turner_(director)
Max_and_Paddy's_Road_to_Nowhere,Peter_Kay
Stop!_Or_My_Mom_Will_Shoot,Roger_Spottiswoode
Doraemon:_Nobita_and_the_Animal_Planet,Tsutomu_Shibayama
Bleed_for_This,Ben_Younger
Neon_Bull,Gabriel_Mascaro
The_Girl_from_U.N.C.L.E.,Jud_Taylor
Adam_Had_Four_Sons,Gregory_Ratoff
La_Muerte_en_el_desfiladero,Chano_Urueta
From_the_Village_to_the_City,Ertem_Eğilmez
Vargam,M._Padmakumar
Ring_of_Bright_Water_(film),Jack_Couffer
The_Fleet's_In_(1928_film),Malcolm_St._Clair_(filmmaker)
The_Captain_Hates_the_Sea,Lewis_Milestone
Location_Africa,Steff_Gruber
Here's_Boomer,Claudio_Guzmán
A_Midsummer_Night's_Dream_(1909_film),Charles_Kent_(actor)
The_Unchanging_Sea,D._W._Griffith
The_Life_and_Hard_Times_of_Guy_Terrifico,Michael_Mabbott
Montana_(1950_film),Ray_Enright
Tillie's_Punctured_Romance_(1928_film),A._Edward_Sutherland
A_Dream_of_Passion,Jules_Dassin
Sins_of_My_Father_(film),Nicolas_Entel
Rope_(film),Alfred_Hitchcock
Shakma,Tom_Logan_(director)
Riens_du_tout,Cédric_Klapisch
Conquer_by_the_Clock,Slavko_Vorkapić
Addicted_to_Love_(film),Griffin_Dunne
Bananas_Unpeeled,Nick_Shaw
She_Gods_of_Shark_Reef,Roger_Corman
10-8:_Officers_on_Duty,Martin_Campbell
Godfather_(2012_film),Sethu_Sriram
Girl_on_the_Bridge,Patrice_Leconte
Thambikku_Entha_Ooru,Rajasekhar_(director)
The_Nickel-Hopper,F._Richard_Jones
Ask_for_the_Moon,Giuseppe_Piccioni
The_Burning_Moon,Olaf_Ittenbach
Mulleya_Mulleya,Lee_Doo-yong
Noisy_Noises,Robert_F._McGowan
Ex-Bad_Boy,Vin_Moore
Mayhem_on_a_Sunday_Afternoon,William_Friedkin
Conflict_(1938_film),Léonide_Moguy
Exiled_to_Shanghai,Armand_Schaefer
Sword_of_Penitence,Yasujirō_Ozu
Stolen_Holiday,Michael_Curtiz
Great_Transport,Veljko_Bulajić
Finalmente_libero!,Mario_Amendola
The_Great_Heart,David_Miller_(director)
Pinocchio_(1940_film),Norm_Ferguson_(animator)
Aerograd,Alexander_Dovzhenko
Sorceress_(1982_film),Jack_Hill
SWAT_Kats:_The_Radical_Squadron,Robert_Alvarez
The_Comedy_Garage,Logan_Leistikow
Questo_amore_ai_confini_del_mondo,Giuseppe_Maria_Scotese
The_Beast_of_Borneo,Harry_Garson
Strictly_for_the_Birds,Vernon_Sewell
64:_Part_II,Takahisa_Zeze
Perils_of_the_Sentimental_Swordsman,Chor_Yuen
A_Hero_Ain't_Nothin'_but_a_Sandwich_(film),Ralph_Nelson
I_Feel_Sleepy,Reza_Attaran
Ganga_(1960_film),Rajen_Tarafdar
COMINT_(The_Americans),Holly_Dale
Hug_Wolf,Larry_Leichliter
Confidential_Agent,Herman_Shumlin
Doraemon:_Nobita's_Dorabian_Nights,Tsutomu_Shibayama
Queen_Bee_(film),Ranald_MacDougall
Onion_News_Network,Jon_Watts
The_Captain's_Paradise,Anthony_Kimmins
Bulldog_Drummond's_Peril,James_P._Hogan_(director)
AK_56,Om_Prakash_Rao
Skin_Deep_(Once_Upon_a_Time),Milan_Cheylov
Return_(1985_film),Andrew_Silver_(producer)
Travels_with_My_Aunt_(film),George_Cukor
The_Optimist_(TV_series),Robert_Fuest
The_Prophecy:_Uprising,Joel_Soisson
The_Troubleshooters_(1959_TV_series),Robert_Altman
"My_Heidelberg,_I_Can_Not_Forget_You",James_Bauer
"No_eres_tú,_soy_yo",Alejandro_Springall
Sunny_Skies_(film),Norman_Taurog
The_Desert_Song_(1929_film),Roy_Del_Ruth
Jungle_Girl_(serial),John_English_(director)
Fourteen_Hours,Henry_Hathaway
Hush_(2008_film),Mark_Tonderai
Way_Out_(TV_series),Mel_Ferber
Gumshoe_(film),Stephen_Frears
Sawdust_and_Tinsel,Ingmar_Bergman
Lover's_Lane,William_Beaudine
He's_Way_More_Famous_Than_You,Michael_Urie
Nomads_(1986_film),John_McTiernan
Dog_Watch,John_Langley
Garo:_Makai_no_Hana,Keita_Amemiya
Dog_Days_(1925_film),Robert_F._McGowan
The_New_Three_Stooges,Edward_Bernds
Fifty_(film),Biyi_Bandele
Camille_2000,Radley_Metzger
Char_Dil_Char_Rahen,Khwaja_Ahmad_Abbas
Me_and_My_Pal_(1933_film),Charley_Rogers
Live_Bait_(film),Bruce_Sweeney
Fatbeard,Trey_Parker
Alcoa_Premiere,George_Schaefer_(director)
Lonely_Hearts_(2006_film),Todd_Robinson_(film_director)
Defendor,Peter_Stebbings
The_Miracle_of_Joe_Petrel,Toshiya_Fujita_(director)
Duty_is_Duty,Carl_Boese
Devdas_(2002_Hindi_film),Sanjay_Leela_Bhansali
The_Naked_Face_(film),Bryan_Forbes
The_Insurgents,Scott_Dacko
The_World_Cup:_A_Captain's_Tale,Tom_Clegg_(director)
Die_Liebenden_vom_Hotel_von_Osman,İdil_Üner
Our_Miss_Fred,Bob_Kellett
After_the_Third_Bell,Ajay_Govind
Blockade_(2006_film),Sergei_Loznitsa
The_Last_Traitor,Giuseppe_Vari
The_Best_Plan_Is_No_Plan,Patrick_Kong
Sano_Sansar,Alok_Nembang
Mary_Stuart_(film),Leopold_Jessner
Joey_(1977_film),Horace_Jackson
His_Brother's_Ghost,Sam_Newfield
A_Glimpse_of_Tiger__A_Glimpse_of_Tiger__1,Anthony_Harvey
The_Classic_for_Girls,Cheng_Bugao
A_Play_for_a_Passenger,Vadim_Abdrashitov
The_House_with_Closed_Shutters,D._W._Griffith
Looking_for_Kitty,Edward_Burns
Adele_Live_in_New_York_City,Beth_McCarthy-Miller
Norman_Normal,Alex_Lovy
Beirut_Is_Back,Michael_Cuesta
The_Last_Five_Minutes,Giuseppe_Amato
Mr._Thank_You,Hiroshi_Shimizu_(director)
Cyberman_(film),Peter_Lynch_(director)
Marsha's_Scheme_of_Diamonds,James_B._Clark_(director)
Instinct_(Orphan_Black),John_Fawcett_(director)
Double_Take_(1998_film),Mark_L._Lester
Down_Dakota_Way,William_Witney
The_Wave_(2015_film),Roar_Uthaug
Evergreen_(film),Victor_Saville
Alto_Paraná_(film),Catrano_Catrani
Stealth_(The_Americans),Gregory_Hoblit
Rasputin_(1938_film),Marcel_L'Herbier
Nastasja,Andrzej_Wajda
Jack_of_All_Trades_(1936_film),Robert_Stevenson_(director)
The_Smurfs_(film),Raja_Gosnell
Tie_a_Yellow_Ribbon,Joy_Dietrich
Här_kommer_bärsärkarna,Arne_Mattsson
The_Taste_of_Tea,Katsuhito_Ishii
Venice,Henry_Jaglom
The_Great_Silence,Sergio_Corbucci
The_Puppet_Crown,George_Melford
All's_Faire_in_Love,Scott_Marshall_(director)
The_Mass_Is_Ended,Nanni_Moretti
The_Kaiser_Aluminum_Hour,George_Roy_Hill
Love_in_the_1980s,Huo_Jianqi
The_Man_in_the_Moonlight,Paul_Powell_(director)
Aakhree_Raasta,K._Bhagyaraj
The_Dakotas_(TV_series),Gordon_Bau
Horse_Play,Edward_Sedgwick
The_Texas_Chain_Saw_Massacre,Tobe_Hooper
Přísně_tajné_premiéry,Martin_Frič
The_Undergraduates,Norman_Buckley
No_Country_Club_for_Old_Men,Jerry_Langford
Words_with_Gods,Hideo_Nakata
Three_Girls_About_Town,Leigh_Jason
Hide_and_Seek_(1964_film),Cy_Endfield
Brand_X_(The_X-Files),Kim_Manners
The_Last_Princess_(film),Hur_Jin-ho
Melancholy_Baby,Sean_Hood
Tremors_3:_Back_to_Perfection,Brent_Maddock
Broadway_Bad,Sidney_Lanfield
Rampo_Noir,Hisayasu_Satō
The_King_of_Masks,Wu_Tianming
Batāshi_Kingyo__live_film__1,Joji_Matsuoka
Taxi_(2004_film),Tim_Story
Breakup_Buddies,Ning_Hao
Tortoise_Beats_Hare,Tex_Avery
9_Month_Stretch,Albert_Dupontel
The_Meanest_Gal_in_Town,Ray_Lissner
Ananda_Bashpa,R._Nagendra_Rao
Pacific_Palisades_(TV_series),Les_Landau
Jersey_No._10,Dinesh_Mahadev
The_Love_Flower,D._W._Griffith
Shanghai_Rumba,Peng_Xiaolian
A_Woman_for_a_Season,Gheorghe_Vitanidis
Maroa_(film),Solveig_Hoogesteijn
The_Tramp_Dentists,Allen_Curtis
Meet_the_Browns_(TV_series),Chip_Fields
The_Librarian:_Curse_of_the_Judas_Chalice,Jonathan_Frakes
"Kamen_Rider_Fourze_the_Movie:_Space,_Here_We_Come!",Koichi_Sakamoto
XXX_(film_series),Lee_Tamahori
Left_Turn_Ahead,Marcos_Siega
The_Adventures_of_Dollie,D._W._Griffith
The_Ladies_Man,Jerry_Lewis
The_Life_of_Leonardo_da_Vinci,Renato_Castellani
Tom_Waits_for_No_One,John_Lamb_(producer)
Angela_(2002_film),Roberta_Torre
Firaaq,Nandita_Das
Un_amour_de_parapluie,Jean_Laviron
Adam_and_Eve_(1923_film),Reinhold_Schünzel
Marked_Woman,Michael_Curtiz
Crusade_in_Jeans_(film),Ben_Sombogaart
Royal_Pudding,Trey_Parker
American_Playhouse,Kirk_Browning
Raised_by_Another,Marita_Grabiak
Slightly_Scarlet_(1930_film),Edwin_H._Knopf
Whistling_Hills,Derwin_Abrahams
Jane_Eyre_(1970_film),Delbert_Mann
Affæren_Birte,Lau_Lauritzen_Jr.
Movie_Movie,Stanley_Donen
Raw_Deal_(1977_film),Russell_Hagg
Muscle_Beach_Tom,William_Hanna
Dancing_Trees,Anne_Wheeler
The_American_Astronaut,Cory_McAbee
Railroad_Tigers,Ding_Sheng_(director)
2001_Nights__ova__1,Fumihiko_Sori
Travail_(film),Kentarō_Ōtani
The_Admiral's_Secret,Guy_Newall
Blondie_(1968_TV_series),Gene_Nelson
Radio_City_Revels,Benjamin_Stoloff
Hooper_(film),Hal_Needham
The_Ghost_in_the_Invisible_Bikini,Don_Weis
Los_Días_del_pasado,Mario_Camus
Karb,Amna_Nawaz_Khan
North_24_Kaatham,Anil_Radhakrishnan_Menon
Legends_of_the_Fall,Edward_Zwick
Crime_Story_(TV_series),Bobby_Roth
The_Assignment_(Star_Trek:_Deep_Space_Nine),Allan_Kroeker
Bloody_Mary_(South_Park),Trey_Parker
Geumbungeo,Na_Woon-gyu
Talk_to_Me_(1996_film),Graeme_Campbell_(director)
Little_Red_Flowers,Zhang_Yuan
