sub,obj,class,sid
Jordan,Amman,1,
Kazakhstan,Astana,1,
Kenya,Nairobi,1,
Kiribati,Tarawa,1,
Kosovo,Pristina,1,
Kuwait,Kuwait_City,1,
Kyrgyzstan,Bishkek,1,
Laos,Vientiane,1,
Latvia,Riga,1,
Lebanon,Beirut,1,
Lesotho,Maseru,1,
Liberia,Monrovia,1,
Libya,Tripoli,1,
Liechtenstein,Vaduz,1,
Lithuania,Vilnius,1,
Luxembourg,Luxembourg,1,
Macedonia,Skopje,1,
Madagascar,Antananarivo,1,
Malawi,Lilongwe,1,
Malaysia,Kuala_Lumpur,1,
Mali,Bamako,1,
Malta,Valletta,1,
Mauritania,Nouakchott,1,
Mauritius,Port_Louis,1,
Mexico,Mexico_City,1,
Monaco,Monaco,1,
Mongolia,Ulaanbaatar,1,
Montenegro,Podgorica,1,
Montserrat,"Plymouth,_Montserrat",1,
Morocco,Rabat,1,
Mozambique,Maputo,1,
Myanmar,Naypyidaw,1,
Namibia,Windhoek,1,
Nepal,Kathmandu,1,
Netherlands,Amsterdam,1,
Nicaragua,Managua,1,
Niger,Niamey,1,
Nigeria,Abuja,1,
North_Korea,Pyongyang,1,
Northern_Cyprus,Nicosia,1,
Northern_Ireland,Belfast,1,
Norway,Oslo,1,
Oman,"Muscat,_Oman",1,
Pakistan,Islamabad,1,
Panama,Panama_City,1,
Papua_New_Guinea,Port_Moresby,1,
Peru,Lima,1,
Pitcairn_Islands,"Adamstown,_Pitcairn_Islands",1,
Poland,Warsaw,1,
Portugal,Lisbon,1,
Puerto_Rico,"San_Juan,_Puerto_Rico",1,
Qatar,Doha,1,
Republic_of_the_Congo,Brazzaville,1,
Romania,Bucharest,1,
Russia,Moscow,1,
Rwanda,Kigali,1,
Saint_Helena,"Jamestown,_Saint_Helena",1,
Saint_Kitts_and_Nevis,Basseterre,1,
Saint_Lucia,Castries,1,
Saint_Vincent_and_the_Grenadines,Kingstown,1,
Samoa,Apia,1,
San_Marino,San_Marino,1,
Saudi_Arabia,Riyadh,1,
Scotland,Edinburgh,1,
Senegal,Dakar,1,
Serbia,Belgrade,1,
Seychelles,"Victoria,_Seychelles",1,
Sierra_Leone,Freetown,1,
Singapore,Singapore,1,
Sint_Maarten,"Philipsburg,_Sint_Maarten",1,
Slovakia,Bratislava,1,
Slovenia,Ljubljana,1,
Solomon_Islands,Honiara,1,
Somalia,Mogadishu,1,
Somaliland,Hargeisa,1,
South_Africa,Pretoria,1,
South_Georgia_and_the_South_Sandwich_Islands,Grytviken,1,
South_Korea,Seoul,1,
South_Sudan,Juba,1,
Spain,Madrid,1,
Sri_Lanka,Colombo,1,
Sudan,Khartoum,1,
Suriname,Paramaribo,1,
Swaziland,Mbabane,1,
Sweden,Stockholm,1,
Switzerland,Bern,1,
Syria,Damascus,1,
Tajikistan,Dushanbe,1,
Tanzania,Dodoma,1,
Thailand,Bangkok,1,
Trinidad_and_Tobago,Port_of_Spain,1,
Tristan_da_Cunha,Edinburgh_of_the_Seven_Seas,1,
Tunisia,Tunis,1,
Turkey,Ankara,1,
Turkmenistan,Ashgabat,1,
Turks_and_Caicos_Islands,Cockburn_Town,1,
Tuvalu,Funafuti,1,
Uganda,Kampala,1,
Ukraine,Kiev,1,
United_Arab_Emirates,Abu_Dhabi,1,
United_Kingdom,London,1,
United_States_Virgin_Islands,"Charlotte_Amalie,_U.S._Virgin_Islands",1,
Uruguay,Montevideo,1,
Uzbekistan,Tashkent,1,
Vanuatu,Port_Vila,1,
Vatican_City,Vatican_City,1,
Venezuela,Caracas,1,
Vietnam,Hanoi,1,
Wallis_and_Futuna,Mata-Utu,1,
Zambia,Lusaka,1,
Zimbabwe,Harare,1,
