Duchy_of_Ferrara,Ferrara
Derbent_Khanate,Derbent
Polish_National_Government_(January_Uprising),Warsaw
Colorado_Territory,"Golden,_Colorado"
Karaman_Eyalet,Kayseri
Ror_dynasty,Rohri
Sanjak_of_Çirmen,Ormenio
Gold_Coast_(British_colony),Accra
Atabegs_of_Yazd,Yazd
Saga_Prefecture,"Saga,_Saga"
Mihrabanids,Zaranj
First_Portuguese_Republic,Lisbon
Southern_Tang,Nanchang
Provisional_Priamurye_Government,Vladivostok
Maldives,Malé
County_of_Mark,Hamm
Chornobyl_Raion,Chernobyl
Csanád_County,Makó
Duchy_of_Saxe-Wittenberg,Wittenberg
Baghdad_Eyalet,Baghdad
Kingdom_of_Judah,Hebron
Provincias_Internas,Arizpe
State_of_Haiti,"Milot,_Haiti"
First_Bulgarian_Empire,Ohrid
Europa_(Roman_province),Marmara_Ereğlisi
Brandenburg,Potsdam
Gau_Weser-Ems,Oldenburg_(Oldenburg)
Shunga_Empire,Pataliputra
Philippines,Manila
Roman_Catholic_Diocese_of_Passau__Fürstbistum_Passau__1,Passau
United_States_of_Indonesia,Jakarta
Song_dynasty,Kaifeng
County_of_Durango,"Durango,_Biscay"
Lemko_Republic,Florynka
Stolberg-Wernigerode,County_of_Wernigerode
Dutch_Bengal,Hugli-Chuchura
Nakhichevan_Autonomous_Soviet_Socialist_Republic,Nakhchivan_(city)
Kazakhstan,Astana
Italian_occupation_of_Majorca,"Palma,_Majorca"
Kingdom_of_Spain_under_Joseph_Bonaparte,Madrid
Bavarian_Soviet_Republic,Munich
Ubangi-Shari,Bangui
Zeila_&_Lughaya_State,Zeila
Republic_of_Užice,Užice
Numayrid_dynasty,Harran
Duchy_of_Magdeburg,Magdeburg
Russian_America,"Sitka,_Alaska"
Tripoli_Eyalet,"Tripoli,_Lebanon"
Drava_Banovina,Ljubljana
Dark_ages_of_Cambodia,Phnom_Penh
Ayutthaya_Kingdom,Mueang_Lopburi_District
Principality_of_Grubenhagen,Herzberg_am_Harz
Taiwan_under_Qing_rule,Taipei
French_Indochina,Ho_Chi_Minh_City
Kazakh_Soviet_Socialist_Republic,Almaty
Margraviate_of_Moravia,Brno
Saint_Petersburg_Governorate,Shlisselburg
Polish_People's_Republic,Warsaw
Nieuwe_Republiek,Vryheid
Jolof_Empire,Linguère
History_of_the_Roman_Empire,Rome
Governorate_of_New_Castile,Lima
Golden_Ambrosian_Republic,Milan
Nusam,Port_Moresby
Bishopric_of_Hildesheim,Hildesheim
Kufra_District,"Al_Jawf,_Libya"
Government_of_Free_Vietnam,"Missouri_City,_Texas"
Northwest_Region_(Cameroon),Bamenda
Duchy_of_Estonia_(1561–1721),Tallinn
Dahomey,Abomey
Deng_(state),Dengzhou
Courland_Governorate,Jelgava
Bogotá_savanna,Bogotá
French_West_Africa,Dakar
Bishopric_of_Merseburg,Merseburg
"Lordship,_later_County,_of_Diepholz",Diepholz
Burgraviate_of_Nuremberg,Nuremberg
United_Principalities,Iași
Abarshahr,Nishapur
Gau_Baden,Karlsruhe
Kingdom_of_Bohemia,Prague
History_of_Nauru,Yaren_District
Greater_Hesse,Wiesbaden
Isenburg-Limburg,Limburg_an_der_Lahn
Dalmatia_(theme),Zadar
Savoy,Chambéry
Principality_of_Halych,Halych
Corpus_separatum_(Fiume),Rijeka
Damascus_Eyalet,Damascus
Duchy_of_Dol-Combourg,Dol-de-Bretagne
Barony_of_Veligosti,Veligosti
Walkenried_Abbey,Walkenried
Bishopric_of_Lübeck,Eutin
Phoenicia,Mount_Lebanon
Second_Philippine_Republic,Baguio
Jund_Filastin,Lod
Nevada_Territory,"Genoa,_Nevada"
Central_Black_Earth_Oblast,Voronezh
Kingdom_of_Italy,Turin
Darfur,Al-Fashir
Pagaruyung_Kingdom,Sumatra
Svalbard,Longyearbyen
Reutlingen__Reichsstadt_Reutlingen__1,Reutlingen_(district)
"Victoria_County,_Ontario","Lindsay,_Ontario"
Province_of_Limburg_(1815–39),Maastricht
County_of_Schaunberg,Hartkirchen
All-Palestine_Government,Jerusalem
Principality_of_Transylvania_(1570–1711),Alba_Iulia
Italian_Cyrenaica,Benghazi
Mauretania_Caesariensis,Cherchell
Antigua_and_Barbuda,"St._John's,_Antigua_and_Barbuda"
Taifa_of_Ronda,Ronda
Lagunes_Region,Abidjan
Republic_of_Noli,Noli
Arnaia_Province,Arnaia
Principality_of_Pereyaslavl,Pereiaslav-Khmelnytskyi
Pashalik_of_Timbuktu,Timbuktu
Argentine_Confederation,"Paraná,_Entre_Ríos"
Taifa_of_Lorca,"Lorca,_Spain"
Schwarzburg-Sondershausen,Sondershausen
Imperial_County_of_Rantzau,"Rantzau,_Plön"
Sasanian_Iberia,Tbilisi
Kingdom_of_Holland,The_Hague
Taifa_of_Alpuente,Alpuente
Principality_of_Anhalt-Zerbst,Zerbst
Carantania,Maria_Saal
QwaQwa,Phuthaditjhaba
Travancore-Cochin,Thiruvananthapuram
Unification_of_Hispaniola,Port-au-Prince
Tiris_al-Gharbiyya,"Dakhla,_Western_Sahara"
Stura,Cuneo
Mahra_Sultanate,Qishn
Principality_of_Serbia_(medieval),Stari_Ras
Podolia_Governorate,Vinnytsia
British_Military_Administration_(Libya),Tripoli
Estelí_Department,Estelí
Republic_of_Bosnia_and_Herzegovina,Sarajevo
Montana_Territory,"Bannack,_Montana"
Colony_of_Virginia,"Jamestown,_Virginia"
Sui_dynasty,Luoyang
Smolensk_Voivodeship,Smolensk
Tonga,Nukuʻalofa
Portuguese_Ceylon,Colombo
Fredericia_Municipality,Fredericia
Sanjak_of_Tirhala,Larissa
Manchukuo,Changchun
Volhynian_Governorate,Novohrad-Volynskyi
Archbishopric_of_Bremen,Bremervörde
Vanuatu,Port_Vila
Principality_of_Hamamshen,Hemşin
French_Protectorate_of_Cambodia,Phnom_Penh
Province_of_Canada,Montreal
Zand_dynasty,Shiraz
Civic-military_dictatorship_of_Uruguay,Montevideo
Bishopric_of_Worms,Ladenburg
Norrland_County,Hudiksvall
Insular_Government_of_the_Philippine_Islands,Manila
Captaincy_General_of_the_Philippines,Manila
Kingdom_of_Dublin,Dublin
Later_Liang_(Five_Dynasties),Kaifeng
Lithuania_District,Vilnius
Medri_Bahri,Debarwa
Roman_Empire,Ravenna
Pale_of_Calais,Calais
South_African_Republic,Pretoria
Governorate_of_Chiloé,"Castro,_Chile"
Solms-Wildenfels,Wildenfels
Saint_Paul_Capisterre_Parish,Saint_Paul_Capisterre
"Saint_Helena,_Ascension_and_Tristan_da_Cunha","Jamestown,_Saint_Helena"
Sanjak_of_Zvornik,Zvornik
Twente,Enschede
March_of_Tuscany,San_Miniato
Portuguese_Mozambique,Maputo
Ross_Dependency,Scott_Base
Duchy_of_Bavaria,Regensburg
Duchy_of_Croatia,"Nin,_Croatia"
Singranatore_family,Singra_Upazila
National_Legionary_State,Bucharest
Arad_County_(former),"Arad,_Romania"
Opsikion,Nicaea
Roman_Cyprus,Paphos
Tajik_Autonomous_Soviet_Socialist_Republic,Dushanbe
Interim_Government_of_Iran,Tehran
Oultrejordain,Kerak_Castle
Palmares_(quilombo),Brazil
Gau_Munich-Upper_Bavaria,Munich
Halle-Merseburg,Merseburg
Bialystok-Grodno_District,Białystok
Thomond,Ennis
Second_Brazilian_Republic,Brasília
Santiago_Province_(Dominican_Republic),Santiago_de_los_Caballeros
Department_of_Alaska,"Sitka,_Alaska"
Grand_Duchy_of_Frankfurt,Aschaffenburg
Cherokee_Nation,"Tahlequah,_Oklahoma"
Kingdom_of_Wallachia,Valašské_Klobouky
Later_Tang,Daming_County
Mandatory_Palestine,Jerusalem
District_of_Brussels,Brussels
Kingdom_of_Sussex,Selsey
Laos,Vientiane
Principality_of_Khachen,Seyidbəyli
Qajar_dynasty,Tehran
France,Paris
Japan,Tokyo
Taifa_of_Algeciras,Algeciras
Isfendiyarids,Eflani
Territory_of_the_Military_Commander_in_Serbia,Belgrade
Sanjak_of_Herzegovina,Foča
County_of_Zeeland,Middelburg
Guyana,"Georgetown,_Guyana"
Myinsaing_Kingdom,Mekkhaya
Belarusian_Central_Council,Minsk
Manchukuo,Linjiang
Tokushima_Prefecture,"Tokushima,_Tokushima"
Duchy_of_Parma,Parma
History_of_the_Philippines_(1965–86),Manila
Kingdom_of_Judah,Jerusalem
Odanad,Mavelikkara
Italy,Rome
Dutch_Coromandel,Pulicat
Provisional_Democratic_Government,Gramos
Jingnan,Jiangling_County
Somaliland,Hargeisa
Gau_Upper_Silesia,Katowice
Arab_Kingdom_of_Syria,Damascus
Cherepovets_Governorate,Cherepovets
Salamat_Prefecture,Am_Timan
Southern_Tang,Nanjing
Duchy_of_Athens,"Thebes,_Greece"
Republic_of_Anguilla,"The_Valley,_Anguilla"
Somalia,Mogadishu
Kiribati,Tarawa
Ombrone_(department),Siena
Estado_Novo_(Portugal),Lisbon
Kumanovo_district_(Ottoman),Kumanovo
An_der_Etsch,Bolzano
Batticaloa_Territory,Puliyanthivu
Polish–Lithuanian_Commonwealth,Vilnius
Hoysala_Empire,Halebidu
Kingdom_of_East_Anglia,Rendlesham
Chagatai_Khanate,Qarshi
East_Florida,"St._Augustine,_Florida"
Francia,Tournai
Durrani_Empire,Herat
Beylik_of_Dulkadir,Kahramanmaraş
Florida,"Tallahassee,_Florida"
Grand_Duchy_of_Moscow,Moscow
First_Republic_of_Armenia,Yerevan
Cossack_Hetmanate,Chyhyryn
Syrian_Interim_Government,Idlib
Artuqids,Diyarbakır
Morea_Eyalet,"Tripoli,_Greece"
Fatimid_Caliphate,Cairo
Logone_Occidental_Prefecture,Moundou
"Eastern_Slavonia,_Baranja_and_Western_Syrmia_(1995–98)",Vukovar
County_of_Gorizia,Lienz
East_Breifne,Cavan
Transcaspian_Oblast,Ashgabat
County_of_Montbéliard,Montbéliard
Sanjak_of_Smederevo,Smederevo
Alpes_Poeninae,Moûtiers
Ikkō-ikki,Ishiyama_Hongan-ji
Butnan_District,Tobruk
Ming_dynasty,Nanjing
Prome_Kingdom,Pyay
Duchy_of_Pomerania,Demmin
Nafplia,Nafplio
Colony_of_Rhode_Island_and_Providence_Plantations,"Newport,_Rhode_Island"
Dutch_Cape_Colony,Castle_of_Good_Hope
Principality_of_Regensburg,Regensburg
West_Ukrainian_People's_Republic,Ivano-Frankivsk
Gau_Halle-Merseburg,Halle_(Saale)
Bishopric_of_Brandenburg,Ziesar
First_Republic_of_South_Korea,Busan
Delhi_Sultanate,Agra
National_Coalition_Government_of_the_Union_of_Burma,Yangon
Stadion-Thannhausen,Thannhausen
Kingdom_of_Kartli,Tbilisi
Gau_Westmark,Neustadt_an_der_Weinstraße
Gau_Silesia,Wrocław
Sanjak_of_Vize,Vize
Austrasia,Reims
Isfendiyarids,Kastamonu
Colony_of_Aden,Aden
Misl,Amritsar
Baoruco_Province,Neiba
Duchy_of_Troppau,Opava
Province_of_Magdeburg,Magdeburg
Hotak_dynasty,Isfahan
Sajid_dynasty,Ardabil
4th_of_August_Regime,Athens
Afghan_Transitional_Administration,Kabul
History_of_Portugal_(1415–1578),Lisbon
Kingdom_of_Ava,Pinya
Karafuto_Prefecture,Yuzhno-Sakhalinsk
Aria_(satrapy),Herat
Kingdom_of_Croatia-Slavonia,Zagreb
KaNgwane,Louieville
Tandjilé_Prefecture,Laï
Idaho_Territory,"Lewiston,_Idaho"
Durrani_Empire,Kandahar
Government_of_Free_Vietnam,"Garden_Grove,_California"
Principality_of_Samos,"Vathy,_Samos"
Polish_National-Territorial_Region,Naujoji_Vilnia
Bács-Bodrog_County,Sombor
Augustów_Voivodeship,Suwałki
Kahlur,"Bilaspur,_Himachal_Pradesh"
Gévaudan,Javols
Italian_United_Provinces,Bologna
Socialist_Republic_of_Croatia,"Split,_Croatia"
Syunik_(historic_province),Baghaberd
Saxe-Coburg-Saalfeld,Saalfeld
Cai_(state),Xincai_County
Stadion-Warthausen,Warthausen
Marquisate_of_Finale,Finale_Ligure
Chinese_Soviet_Republic,Yan'an
Fürstenberg-Fürstenberg,Donaueschingen
Arizona_Territory,"Fort_Whipple,_Arizona"
Punjab_Province_(British_India),Shimla
Duchy_of_Pomerania,Wolgast
Belgrade_City_Administration_(1929–41),Belgrade
County_of_Flanders,Lille
West_Breifne,Dromahair
Novgorod_Governorate,Veliky_Novgorod
Wisconsin_Territory,"Burlington,_Iowa"
Agra_Presidency,Agra
Taiwan_under_Qing_rule,Tainan
Surinam_(Dutch_colony),Fort_Zeelandia_(Paramaribo)
Palaestina_Secunda,Beit_She'an
Herodian_Tetrarchy,Jerusalem
Hiroshima_Prefecture,Hiroshima
Kingdom_of_Greece,Nafplio
Lower_Canada,Quebec_City
History_of_Portugal_(1777–1834),Rio_de_Janeiro
Urmia_Khanate,Urmia
Balasagan,Derbent
Littoral_Region_(Cameroon),Douala
Alash_Autonomy,Semey
Federation_of_Arab_Republics,Cairo
Xian_(state),Huangzhou_District
Saxe-Merseburg,Merseburg
Bosnia_Eyalet,Banja_Luka
Rinpungpa,Shigatse
Second_Brazilian_Republic,Rio_de_Janeiro
History_of_Portugal_(1834–1910),Lisbon
Sirte_District,Sirte
Werle,Kassow
Russian_Turkestan,Tashkent
United_Kingdom,London
Hohenzollern-Haigerloch,Haigerloch
Ay_kingdom,Mavelikkara
French_Congo,Brazzaville
Marquisate_of_Ceva,Ceva
Almohad_Caliphate,Seville
Łódź_Voivodeship_(1919–39),Łódź
Kuban_Soviet_Republic,Krasnodar
United_Provinces_of_British_India,Lucknow
Osraige,Kilkenny
Mosquito_Coast,Bluefields
Czech_Republic,Prague
Turkestan_Autonomous_Soviet_Socialist_Republic,Tashkent
Saxe-Coburg-Eisenach,Coburg
Mississippi,"Jackson,_Mississippi"
Îles_des_Saintes,"Fond-du-Curé,_les_Saintes"
Kingdom_of_Pamplona,Pamplona
International_Authority_for_the_Ruhr,Düsseldorf
Serbian_Vojvodina,Sremski_Karlovci
Huo_(state),Huozhou
Bolivia,Sucre
Nawabs_of_Bengal_and_Murshidabad,Murshidabad
Pontianak_Sultanate,"Pontianak,_Indonesia"
Luhansk_People's_Republic,Luhansk
Peru,Lima
East_Africa_Protectorate,Mombasa
Dapeng_(state),Tongshan_District
Sind_Province_(1936–55),Karachi
Nyasaland,"Zomba,_Malawi"
Xianbei_state,Mongolia
Las_Bela_(princely_state),"Bela,_Pakistan"
Ottoman_Algeria,Algiers
Mexico,Mexico_City
Cisleithania,Vienna
Government_of_the_Grand_National_Assembly,Ankara
Bishopric_of_Eichstätt,Eichstätt
History_of_the_Ryukyu_Islands,Shuri_Castle
Southwest_Territory,"Knoxville,_Tennessee"
Majeerteen_Sultanate,Bargal
Louisiana_(New_Spain),New_Orleans
"Taoyuan_County,_Taiwan",Taoyuan_District
Kuru_Kingdom,Assandh
Lordship_of_Parchim-Richenberg,Parchim
"Los_Altos,_Central_America",Quetzaltenango
Xing_(state),Xingtai
Kingdom_of_Sarawak,Kuching
Quedlinburg_Abbey,Quedlinburg
Papal_States,Rome
Yamanashi_Prefecture,Kōfu
Cook_Islands_Federation,Avarua
Autonomous_Province_of_Kosovo_and_Metohija,Pristina
Khanate_of_Kazan,Kazan
Batavian_Republic,The_Hague
United_Kingdom_of_the_Netherlands,Brussels
Spanish_East_Indies,Iloilo_City
Salm-Kyrburg,Kirn
Tsardom_of_Vidin,Vidin
Kruševo_Republic,Kruševo
Austria-Hungary,Vienna
Principality_of_Transylvania_(1711–1867),Cluj-Napoca
Sanjak_of_Kavala,Kavala
Andhra_State,Kurnool
Ankara_Eyalet,Ankara
Jin_(Chinese_state),"Houma,_Shanxi"
Haushabi,Musaymir
Konya_Vilayet,Konya
Kingdom_of_Asturias,Oviedo
Adal_Kingdom,Zeila
Malta,Valletta
Principality_of_Bidache,Bidache
Kingdom_of_Poland_(1025–1385),Kraków
Kingdom_of_Georgia,Kutaisi
Safavid_dynasty,Qazvin
Kingdom_of_Poland_(1025–1385),Płock
County_of_Loon,Hasselt
Jufra_District,"Hun,_Libya"
United_Arab_Republic,Cairo
Principality_of_Schaumburg-Lippe,Bückeburg
County_of_Tripoli,Tartus
Sultanate_of_Siak_Sri_Indrapura,Pekanbaru
Duchy_of_Livonia,Viljandi
Bishopric_of_Lebus,Fürstenwalde
Rumelia_Eyalet,Bitola
British_Western_Pacific_Territories,Honiara
State_of_Deseret,Salt_Lake_City
Gau_Hamburg,Hamburg
Taifa_of_Purchena,Purchena
Republic_of_Montenegro_(1992–2006),Podgorica
Akita_Prefecture,"Akita,_Akita"
Buyid_dynasty,Shiraz
Principality_of_Lower_Pannonia,Zalavár
Rashtrakuta_dynasty,Manyakheta
Kingdom_of_Powys,Wroxeter
Saint_James_Windward_Parish,"Newcastle,_Saint_Kitts_and_Nevis"
History_of_the_Philippines_(1986–present),Manila
Saint_John_Figtree_Parish,"Figtree,_Saint_Kitts_and_Nevis"
Colonial_Mauritania,Nouakchott
Viscounty_of_Béarn,Orthez
Berestia,"Brest,_Belarus"
North_Borneo_Federation,Bandar_Seri_Begawan
Operational_Zone_of_the_Alpine_Foothills,Bolzano
Mercia,"Tamworth,_Staffordshire"
People's_Revolutionary_Government_(Grenada),"St._George's,_Grenada"
East_Region_(Cameroon),Bertoua
Monte_Plata_Province,Monte_Plata
Operational_Zone_of_the_Adriatic_Littoral,Trieste
Sultanate_of_Banjar,Banjarmasin
Middle_Saxons,London
Vermont,"Montpelier,_Vermont"
Danish_India,Fort_Dansborg
Derg,Addis_Ababa
Krassó-Szörény_County,Lugoj
South_Ossetia,Tskhinvali
Bishopric_of_Dorpat,Tartu
British_Somaliland,Berbera
Hariphunchai,Lamphun
Habesh_Eyalet,Massawa
Sanjak_of_Albania,Gjirokastër
Grand_Duchy_of_Würzburg,Würzburg
Imperial_County_of_Reuss,Plauen
Ross_Dependency,New_Zealand
Portugal_in_the_Middle_Ages,Lisbon
Indiana_Territory,"Corydon,_Indiana"
Second_Occupation_of_Cuba,Havana
Saint_George_Basseterre_Parish,Basseterre
Verden_(state),Rotenburg_an_der_Wümme
Empire_of_Harsha,Kannauj
Denmark,Copenhagen
Lordship_of_Glamorgan,Cardiff
Mafraq_Governorate,Mafraq
Province_of_New_York,New_York_City
Szolnok-Doboka_County,Dej
Belarusian_People's_Republic,Minsk
Nagar_(princely_state),Pakistan
Basra_Vilayet,Basra
Tawngpeng_State,Namhsan
Republic_of_South_Peru,Tacna
Kansas,"Topeka,_Kansas"
Eastern_Xia,Yanji
Habsburg_Monarchy,Prague
Sayyid_dynasty,Delhi
Kosovo_Vilayet,Pristina
Norwegian_expansion_during_the_Middle_Ages,Sarpsborg
Sanjak_of_Smederevo,Belgrade
María_Trinidad_Sánchez_Province,Nagua
Republic_of_Entre_Ríos,Concepción_del_Uruguay
Paraguay,Asunción
West_Prussia,Gdańsk
Second_Bulgarian_Empire,Vidin
Sivaganga_estate,Sivaganga
Eshrefids,Beyşehir
United_Arab_Emirates,Abu_Dhabi
California,"Sacramento,_California"
Moldavian_Soviet_Socialist_Republic,Chișinău
History_of_the_Philippines_(1946–65),Quezon_City
Kostroma_Governorate,Kostroma
Duarte_Province,San_Francisco_de_Macorís
Cayenne_(Dutch_colony),Cayenne
Duchy_of_Oświęcim,Oświęcim
Republic_of_San_Marco,Republic_of_Venice
Mahdist_Sudan,Omdurman
Vichy_France,Vichy
Principality_of_Hungary,Esztergom
Vakataka_dynasty,Washim
Province_of_Georgia,"Savannah,_Georgia"
Xikang,Xichang
Province_of_Canada,Quebec_City
History_of_Bolivia_(1964–82),La_Paz
Province_of_Schleswig-Holstein,Kiel
Taifa_of_Badajoz,Badajoz
Nepal,Kathmandu
List_of_Ottoman_governors_of_Baghdad,Baghdad
Ghana_Empire,Koumbi_Saleh
Syburi,Alor_Setar
County_of_Guastalla,Guastalla
Ajuran_Sultanate,Merca
Kara-Khanid_Khanate,Samarkand
Mawkmai_State,Mawkmai
Bishopric_of_Worms,"Worms,_Germany"
Baranya_County_(former),Pécs
Palaestina_Salutaris,Petra
Stellaland,Vryburg
Rías_Baixas,Pontevedra
Comtat_Venaissin,Carpentras
State_of_Franklin,"Jonesborough,_Tennessee"
Jin_dynasty_(1115–1234),Kaifeng
Est_Department,Abengourou
Sidon_Eyalet,Safed
Massachusetts_Bay_Colony,Boston
Dutch_government-in-exile,Amsterdam
Sanjak_of_Montenegro,Cetinje
Esbjerg_Municipality,Esbjerg
Duchy_of_Courland_and_Semigallia_(1918),Riga
Mthwakazi,Bulawayo
Muisca_Confederation,Tunja
Dorpat_Voivodeship,Tartu
Nógrád_County_(former),Balassagyarmat
Sanjak_of_Vidin,Vidin
Crown_of_Castile,Madrid
Kingdom_of_Iberia,Mtskheta
Republic_of_Mainz,Mainz
Sultanate_of_Hobyo,Hobyo
Kyzylbayrak__Chuy_Province__1,Bishkek
Reichsgau_Wartheland,Poznań
Province_of_Upper_Silesia,Opole
Ashanti_Empire,Kumasi
Republic_of_Venice,Eraclea
Baria_State,Devgadh_Baria
Gallic_Empire,Cologne
Sánchez_Ramírez_Province,Cotuí
Italian_Somaliland,Mogadishu
Theodorias_(province),Latakia
Kingdom_of_Kakheti,Telavi
The_Bahamas,"Nassau,_Bahamas"
Kingdom_of_Kurdistan,Sulaymaniyah
Kingdom_of_Hungary_(1526–1867),Bratislava
Whangaroa_County,Kaeo
Federation_of_Arab_Republics,Tripoli
Cherokee_Nation_(1794–1907),New_Echota
Osaka_Prefecture,Osaka
Syrian_Republic_(1930–58),Damascus
Captaincy_General_of_Puerto_Rico,"San_Juan,_Puerto_Rico"
Don_Host_Oblast,Novocherkassk
Timurid_Empire,Herat
Northern_Rhodesia,Lusaka
Lower_Saxony,Hanover
Wakayama_Prefecture,"Wakayama,_Wakayama"
Maurya_Empire,Pataliputra
Kingdom_of_Northumbria,Bamburgh
Kingdom_of_Romania,Iași
Kingdom_of_Galicia–Volhynia,Lviv
Free_Ilocos,Vigan
San_Marino,City_of_San_Marino
Republic_of_Serbian_Krajina,Knin
Carolingian_Empire,Aachen
Curaçao_and_Dependencies,Curaçao
Kingdom_of_Italy_(Napoleonic),Milan
British_Windward_Islands,Bridgetown
Taifa_of_Majorca,Majorca
State_of_Hanover,Hanover
Assens_Municipality,"Assens,_Denmark"
Principality_of_Orange-Nassau,"Diez,_Germany"
Heves_County_(former),Eger
Kingdom_of_the_Two_Sicilies,Palermo
Egypt_(Roman_province),Alexandria
Absaroka_(proposed_state),"Sheridan,_Wyoming"
British_Kaffraria,King_William's_Town
March_of_Lusatia,Lübben_(Spreewald)
Bishopric_of_Ösel–Wiek,Kuressaare
Twenty-sixth_Dynasty_of_Egypt,"Sais,_Egypt"
Zimbabwe_Rhodesia,Harare
E_(state),Xiangning_County
Falkland_Islands_Dependencies,"Stanley,_Falkland_Islands"
French_Cochinchina,Ho_Chi_Minh_City
Eastern_Hungarian_Kingdom,"Lipova,_Arad"
Łomża_Governorate,Łomża
Wisconsin_Territory,"Madison,_Wisconsin"
Cyrenaica_Emirate,Benghazi
Colony_of_Niger,Zinder
Uzbek_Soviet_Socialist_Republic,Samarkand
Darfur_Regional_Authority,Al-Fashir
Revolutionary_Serbia,Topola
Prince-Bishopric_of_Liège,Liège
Wallis_(island),Mata-Utu
Taifa_of_Lisbon,Lisbon
Republic_of_Crema,"Crema,_Lombardy"
Arakkal_kingdom,Kannur
Kingdom_of_Tashir-Dzoraget,Lori_Fortress
County_of_Tripoli,"Tripoli,_Lebanon"
"Michaelsberg_Abbey,_Siegburg",Siegburg
Pandyan_dynasty,Tenkasi
Malmöhus_County,Malmö
Kamerun,Douala
Chingleput_District_(Madras_Presidency),Karunguzhi
SAO_Bosanska_Krajina,Banja_Luka
Duchy_of_Bavaria,Munich
Eğri_Eyalet,Eger
Early_Pagan_Kingdom,Arimaddana
Clutha_County,"Balclutha,_New_Zealand"
Vilnius_Voivodeship,Vilnius
Barbados,Bridgetown
Hanthawaddy_Kingdom,Donwun
People's_Republic_of_Mozambique,Maputo
Dervish_state,Taleh
Arkansas,"Little_Rock,_Arkansas"
Ottoman_Empire,Edirne
West_Ukrainian_People's_Republic,Ternopil
Schwarzburg-Rudolstadt,Rudolstadt
Oregon_Territory,"Salem,_Oregon"
Principality_of_Serbia,Gornja_Crnuća
Zhou_(Zhang_Shicheng's_kingdom),Suzhou
Songhai_Empire,Gao
Prince-Bishopric_of_Warmia,Olsztyn
Suriname_(Kingdom_of_the_Netherlands),Paramaribo
European_Union,Brussels
Bad_Pyrmont__Grafschaft_Fürstentum_Pyrmont__1,Lügde
Riograndense_Republic,Piratini
Kingdom_of_Hejaz_and_Nejd,Riyadh
Togoland,Lomé
South_Region_(Cameroon),Ebolowa
Kingdom_of_England,City_of_London
Vitebsk_Voivodeship,Vitebsk
Province_of_Pomerania_(1653–1815),Szczecin
Bernicia,Bamburgh
Chalco_(altépetl),Tlalmanalco
Northern_Cyprus,North_Nicosia
Ottoman_Empire,Istanbul
Province_of_Posen,Poznań
Mongpan_State,Mong_Pan
Duchy_of_Legnica,Legnica
Duchy_of_Rome,Rome
Paraguayan_architecture,Asunción
Roman_Republic_(18th_century),Rome
Mughal_Empire,Lahore
Second_Empire_of_Haiti,Port-au-Prince
Taifa_of_Málaga,Málaga
Curaçao,Willemstad
Republic_of_the_Rio_Grande,"Laredo,_Texas"
Duchy_of_Courland_and_Semigallia,Jelgava
History_of_the_Philippines_(1898–1946),Manila
Saxe-Coburg-Saalfeld,Coburg
Luxembourg,Luxembourg_City
Seychelles,"Victoria,_Seychelles"
Kingdom_of_Hungary,Esztergom
Republic_of_Central_Lithuania,Vilnius
Comoros,"Moroni,_Comoros"
Cuba,Havana
Provisional_Military_Dictatorship_of_Mughan,Lankaran
Cheng_Han,Chengdu
Gothenburg_and_Bohus_County,Gothenburg
Republic_of_Lakotah,Republic_of_Lakotah
South_Carolina,"Columbia,_South_Carolina"
Waimea_County,"Richmond,_New_Zealand"
Western_Satraps,Ujjain
Hwicce,Worcester
Xu_(state),Pizhou
Zambia,Lusaka
Kingdom_of_Scotland,Edinburgh
Pomeranian_Voivodeship_(1919–39),Toruń
Kiev_Voivodeship,Zhytomyr
Bishopric_of_Ratzeburg,Ratzeburg
Inflanty_Voivodeship,Daugavpils
Chiba_Prefecture,"Chiba,_Chiba"
State_of_the_Teutonic_Order,Malbork_Castle
Government_of_the_Republic_of_China_in_Guangzhou,Guangzhou
Jin_(Chinese_state),Yicheng_County
Duchy_of_Lorraine,"Nancy,_France"
Sultanate_of_Bulungan,Bulungan_Regency
Shaki_Khanate,"Shaki,_Azerbaijan"
Independent_Macedonia_(1944),Skopje
County_of_Nice,Nice
Reichsgau_Salzburg,Salzburg
Louisiana_(New_France),New_Orleans
Kingdom_of_Cambodia_(1953–70),Phnom_Penh
Republic_of_Mountainous_Armenia,Goris
Sanjak_of_Klis,Livno
Champa,Phan_Rang–Tháp_Chàm
Province_of_Carolina,South_Carolina
Bishopric_of_Ösel–Wiek,Haapsalu
Mongolia_under_Qing_rule,Hohhot
Khmer_Republic,Phnom_Penh
Oman_proper,Nizwa
Lodi_dynasty,Delhi
Enlightenment_in_Spain,Madrid
Kalabhra_dynasty,Madurai
First_Mexican_Republic,Mexico_City
Benin_Empire,Benin_City
Madeira,Funchal
Tuvan_People's_Republic,Kyzyl
Margraviate_of_Austria,Vienna
Kingdom_of_Strathclyde,Govan
Masaya_Department,Masaya
Arabia_Petraea,Petra
Bosnia_Vilayet,Sarajevo
Ancient_Corinth,Corinth
Taifa_of_Carmona,Andalusia
Duchy_of_Modena_and_Reggio,Modena
Arizona,"Phoenix,_Arizona"
Far_Eastern_Republic,"Chita,_Zabaykalsky_Krai"
Greater_Pibor_Administrative_Area,Pibor
Sanjak_of_Siroz,Serres
Pauravas,Hastinapur
Ahom_kingdom,Garhgaon
Khilji_dynasty,Delhi
