sid,sub,obj,pred,class
48,"Cocos_(Keeling)_Islands","West_Island,_Cocos_(Keeling)_Islands","countryCapital",1
49,"Colombia","Bogotá","countryCapital",1
50,"Comoros","Moroni,_Comoros","countryCapital",1
51,"Cook_Islands","Avarua","countryCapital",1
52,"Costa_Rica","San_José","countryCapital",1
53,"Croatia","Zagreb","countryCapital",1
54,"Cuba","Havana","countryCapital",1
55,"Curaçao","Willemstad","countryCapital",1
56,"Republic_of_Cyprus","Nicosia","countryCapital",1
57,"Czech_Republic","Prague","countryCapital",1
58,"Ivory_Coast","Yamoussoukro","countryCapital",1
59,"The_Democratic_Republic_Of_Congo","Kinshasa","countryCapital",1
60,"Denmark","Copenhagen","countryCapital",1
61,"Djibouti","Djibouti","countryCapital",1
62,"Dominica","Roseau","countryCapital",1
63,"Dominican_Republic","Santo_Domingo","countryCapital",1
64,"East_Timor","Dili","countryCapital",1
65,"Easter_Island","Hanga_Roa","countryCapital",1
66,"Ecuador","Quito","countryCapital",1
67,"Egypt","Cairo","countryCapital",1
68,"El_Salvador","San_Salvador","countryCapital",1
69,"Equatorial_Guinea","Malabo","countryCapital",1
70,"Eritrea","Asmara","countryCapital",1
71,"Estonia","Tallinn","countryCapital",1
72,"Ethiopia","Addis_Ababa","countryCapital",1
73,"Falkland_Islands","Stanley,_Falkland_Islands","countryCapital",1
74,"Faroe_Islands","Tórshavn","countryCapital",1
75,"Federated_States_of_Micronesia","Palikir","countryCapital",1
76,"Fiji","Suva","countryCapital",1
77,"Finland","Helsinki","countryCapital",1
78,"France","Paris","countryCapital",1
79,"French_Guiana","Cayenne","countryCapital",1
80,"French_Polynesia","Papeete","countryCapital",1
81,"Gabon","Libreville","countryCapital",1
82,"The_Gambia","Banjul","countryCapital",1
83,"Georgia","Tbilisi","countryCapital",1
84,"Germany","Berlin","countryCapital",1
85,"Ghana","Accra","countryCapital",1
86,"Gibraltar","Gibraltar","countryCapital",1
87,"Greece","Athens","countryCapital",1
88,"Greenland","Nuuk","countryCapital",1
89,"Grenada","Saint_George's","countryCapital",1
90,"Guam","Hagåtña","countryCapital",1
91,"Guatemala","Guatemala_City","countryCapital",1
92,"Guernsey","Saint_Peter_Port","countryCapital",1
93,"Guinea","Conakry","countryCapital",1
94,"Guinea-Bissau","Bissau","countryCapital",1
95,"Guyana","Georgetown,_Guyana","countryCapital",1
96,"Haiti","Port-au-Prince","countryCapital",1
97,"Honduras","Tegucigalpa","countryCapital",1
98,"Hungary","Budapest","countryCapital",1
99,"Iceland","Reykjavík","countryCapital",1
100,"India","New_Delhi","countryCapital",1
101,"Indonesia","Jakarta","countryCapital",1
102,"Iran","Tehran","countryCapital",1
103,"Iraq","Baghdad","countryCapital",1
104,"Ireland","Dublin","countryCapital",1
105,"Isle_of_Man","Douglas,_Isle_of_Man","countryCapital",1
106,"Israel","Jerusalem","countryCapital",1
107,"Italy","Rome","countryCapital",1
108,"Jamaica","Kingston,_Jamaica","countryCapital",1
109,"Japan","Tokyo","countryCapital",1
110,"Jersey","Saint_Helier,_Jersey","countryCapital",1
111,"Jordan","Amman","countryCapital",1
112,"Kazakhstan","Astana","countryCapital",1
113,"Kenya","Nairobi","countryCapital",1
114,"Kiribati","Tarawa","countryCapital",1
115,"Kosovo","Pristina","countryCapital",1
116,"Kuwait","Kuwait_City","countryCapital",1
117,"Kyrgyzstan","Bishkek","countryCapital",1
118,"Laos","Vientiane","countryCapital",1
119,"Latvia","Riga","countryCapital",1
120,"Lebanon","Beirut","countryCapital",1
121,"Lesotho","Maseru","countryCapital",1
122,"Liberia","Monrovia","countryCapital",1
123,"Libya","Tripoli","countryCapital",1
124,"Liechtenstein","Vaduz","countryCapital",1
125,"Lithuania","Vilnius","countryCapital",1
126,"Luxembourg","Luxembourg","countryCapital",1
127,"Macedonia","Skopje","countryCapital",1
128,"Madagascar","Antananarivo","countryCapital",1
129,"Malawi","Lilongwe","countryCapital",1
130,"Malaysia","Kuala_Lumpur","countryCapital",1
131,"Maldives","Malé","countryCapital",1
132,"Mali","Bamako","countryCapital",1
133,"Malta","Valletta","countryCapital",1
134,"Marshall_Islands","Majuro","countryCapital",1
135,"Mauritania","Nouakchott","countryCapital",1
136,"Mauritius","Port_Louis","countryCapital",1
137,"Mexico","Mexico_City","countryCapital",1
138,"Moldova","Chisinau","countryCapital",1
139,"Monaco","Monaco","countryCapital",1
140,"Mongolia","Ulaanbaatar","countryCapital",1
141,"Montenegro","Podgorica","countryCapital",1
142,"Montserrat","Plymouth,_Montserrat","countryCapital",1
143,"Morocco","Rabat","countryCapital",1
144,"Mozambique","Maputo","countryCapital",1
145,"Myanmar","Naypyidaw","countryCapital",1
146,"Nagorno"-"Karabakh_Republic,Stepanakert","countryCapital",1
147,"Namibia","Windhoek","countryCapital",1
148,"Nauru","Yaren","countryCapital",1
149,"Nepal","Kathmandu","countryCapital",1
150,"Netherlands","Amsterdam","countryCapital",1
151,"New_Caledonia","Nouméa","countryCapital",1
152,"New_Zealand","Wellington","countryCapital",1
153,"Nicaragua","Managua","countryCapital",1
154,"Niger","Niamey","countryCapital",1
155,"Nigeria","Abuja","countryCapital",1
156,"Niue","Alofi","countryCapital",1
157,"Norfolk_Island","Kingston,_Norfolk_Island","countryCapital",1
158,"North_Korea","Pyongyang","countryCapital",1
159,"Northern_Cyprus","Nicosia","countryCapital",1
160,"Northern_Ireland","Belfast","countryCapital",1
161,"Northern_Mariana_Islands","Saipan","countryCapital",1
162,"Norway","Oslo","countryCapital",1
163,"Oman","Muscat,_Oman","countryCapital",1
164,"Pakistan","Islamabad","countryCapital",1
165,"Palau","Ngerulmud","countryCapital",1
166,"Palestine","Jerusalem","countryCapital",1
167,"Panama","Panama_City","countryCapital",1
168,"Papua_New_Guinea","Port_Moresby","countryCapital",1
169,"Paraguay","Asunción","countryCapital",1
170,"Peru","Lima","countryCapital",1
171,"Philippines","Manila","countryCapital",1
172,"Pitcairn_Islands","Adamstown,_Pitcairn_Islands","countryCapital",1
173,"Poland","Warsaw","countryCapital",1
174,"Portugal","Lisbon","countryCapital",1
175,"Puerto_Rico","San_Juan,_Puerto_Rico","countryCapital",1
176,"Qatar","Doha","countryCapital",1
177,"Taiwan","Taipei","countryCapital",1
178,"Republic_of_the_Congo","Brazzaville","countryCapital",1
179,"Romania","Bucharest","countryCapital",1
180,"Russia","Moscow","countryCapital",1
181,"Rwanda","Kigali","countryCapital",1
182,"Saint_Barthélemy","Gustavia","countryCapital",1
183,"Saint_Helena","Jamestown,_Saint_Helena","countryCapital",1
184,"Saint_Kitts_and_Nevis","Basseterre","countryCapital",1
185,"Saint_Lucia","Castries","countryCapital",1
186,"Saint_Martin","Marigot","countryCapital",1
187,"Saint_Pierre_and_Miquelon","'Saint-Pierre,_Saint-Pierre_and_Miquelon","countryCapital",1
188,"Saint_Vincent_and_the_Grenadines","Kingstown","countryCapital",1
189,"Samoa","Apia","countryCapital",1
190,"San_Marino","San_Marino","countryCapital",1
191,"Saudi_Arabia","Riyadh","countryCapital",1
192,"Scotland","Edinburgh","countryCapital",1
193,"Senegal","Dakar","countryCapital",1
194,"Serbia","Belgrade","countryCapital",1
195,"Seychelles","Victoria,_Seychelles","countryCapital",1
196,"Sierra_Leone","Freetown","countryCapital",1
197,"Singapore","Singapore","countryCapital",1
198,"Sint_Maarten","Philipsburg,_Sint_Maarten","countryCapital",1
199,"Slovakia","Bratislava","countryCapital",1
200,"Slovenia","Ljubljana","countryCapital",1
201,"Solomon_Islands","Honiara","countryCapital",1
202,"Somalia","Mogadishu","countryCapital",1
203,"Somaliland","Hargeisa","countryCapital",1
204,"South_Africa","Pretoria","countryCapital",1
205,"South_Georgia_and_the_South_Sandwich_Islands","Grytviken","countryCapital",1
206,"South_Korea","Seoul","countryCapital",1
207,"South_Ossetia","Tskhinvali","countryCapital",1
208,"South_Sudan","Juba","countryCapital",1
209,"Spain","Madrid","countryCapital",1
210,"Sri_Lanka","Colombo","countryCapital",1
211,"Sudan","Khartoum","countryCapital",1
212,"Suriname","Paramaribo","countryCapital",1
213,"Swaziland","Mbabane","countryCapital",1
214,"Sweden","Stockholm","countryCapital",1
215,"Switzerland","Bern","countryCapital",1
216,"Syria","Damascus","countryCapital",1
217,"São_Tomé_and_Príncipe","São_Tomé","countryCapital",1
218,"Tajikistan","Dushanbe","countryCapital",1
219,"Tanzania","Dodoma","countryCapital",1
220,"Thailand","Bangkok","countryCapital",1
221,"Togo","Lomé","countryCapital",1
222,"Tonga","Nukuʻalofa","countryCapital",1
223,"Transnistria","Tiraspol","countryCapital",1
224,"Trinidad_and_Tobago","Port_of_Spain","countryCapital",1
225,"Tristan_da_Cunha","Edinburgh_of_the_Seven_Seas","countryCapital",1
226,"Tunisia","Tunis","countryCapital",1
227,"Turkey","Ankara","countryCapital",1
228,"Turkmenistan","Ashgabat","countryCapital",1
229,"Turks_and_Caicos_Islands","Cockburn_Town","countryCapital",1
230,"Tuvalu","Funafuti","countryCapital",1
231,"Uganda","Kampala","countryCapital",1
232,"Ukraine","Kiev","countryCapital",1
233,"United_Arab_Emirates","Abu_Dhabi","countryCapital",1
234,"United_Kingdom","London","countryCapital",1
235,"United_States","Washington,_D.C.","countryCapital",1
236,"United_States_Virgin_Islands","Charlotte_Amalie,_U.S._Virgin_Islands","countryCapital",1
237,"Uruguay","Montevideo","countryCapital",1
238,"Uzbekistan","Tashkent","countryCapital",1
239,"Vanuatu","Port_Vila","countryCapital",1
240,"Vatican_City","Vatican_City","countryCapital",1
241,"Venezuela","Caracas","countryCapital",1
242,"Vietnam","Hanoi","countryCapital",1
243,"Wales","Cardiff","countryCapital",1
244,"Wallis_and_Futuna","Mata-Utu","countryCapital",1
245,"Western_Sahara","El_Aaiún","countryCapital",1
246,"Yemen","Sanaá","countryCapital",1
247,"Zambia","Lusaka","countryCapital",1
248,"Zimbabwe","Harare","countryCapital",1
