Kresty_Prison,Saint_Petersburg
Tolombeh-ye_Darudi,Fars_Province
Düsseldorf-Flingern_station,Düsseldorf
Transbay_Tube,California
"Anita,_Iowa",United_States
Sant_Fruitós_de_Bages,Spain
"Mountain_City,_Texas",United_States
Surrey_Quays,London
Poilvache_Castle,Belgium
Gdańsk_Port_Północny_railway_station,Gdańsk
Tripoli_District,"Tripoli,_Lebanon"
"Akçaalan,_Bolu",Bolu
"Foch,_West_Virginia",United_States
Buntsevo,Bulgaria
Guadalupe_Valley_Creek,California
Phoenix_Tower,Texas
Santa_Margalida,Spain
Mirax-Plaza_Russia,Moscow
Daiwal,Pakistan
St._Mark's_Hospital,London
"North_East,_Pennsylvania",United_States
Queens_Place_Mall,United_States
"West_Ridge,_Arkansas",United_States
Aldersbrook,London
Kanaker-Zeytun_District,Yerevan
"Branchville,_Virginia",United_States
"Central_City,_Phoenix","Phoenix,_Arizona"
"Upper_Hanover_Township,_Montgomery_County,_Pennsylvania",United_States
"Madison,_Virginia",United_States
"St._Mary's_Church,_Walthamstow",London
"Newton,_Marquette_County,_Wisconsin",United_States
Yugoslav_Ministry_of_Defence_building,Belgrade
Riyadh_Military_Hospital,Riyadh
Paris_Bourse,Paris
Ilac_Centre,Dublin
"Schultz,_West_Virginia",West_Virginia
International_Finance_Complex,Phnom_Penh
Workers_Indoor_Arena,Beijing
"Rockton,_Pennsylvania",United_States
North_Luzon_East_Expressway,Quezon_City
Kentron_District,Yerevan
"Manston_Township,_Wilkin_County,_Minnesota",United_States
Catrimani_River,Brazil
İnşaatçılar_(Baku_Metro),Baku
Francis_A._Gregory_Neighborhood_Library,United_States
Saucedilla,Extremadura
Baldwins_Creek,United_States
General_University_Hospital_of_Patras,Patras
"Sigel_Township,_Michigan",United_States
"Muratlar,_Bolu",Bolu
Merrimack_County_Courthouse,"Concord,_New_Hampshire"
Canjáyar,Spain
Church_of_St._Clement_of_Ohrid,Skopje
Hartwall_Arena,Belgrade
Folly_Theatre,London
Recoletos_(Madrid),Madrid
"Metamora,_Michigan",United_States
Southside_Wandsworth,London
Cathedral_of_Praise,Manila
Pirita,Tallinn
Oklahoma_City_Crosstown_Expressway,Oklahoma_City
Manchester_Grand_Hyatt_Hotel,United_States
"Kemper_County,_Mississippi",United_States
"Vetren,_Kyustendil_Province",Bulgaria
"Shippensburg_Township,_Cumberland_County,_Pennsylvania",United_States
Sava,Zagreb
"Parker_Junction,_California",United_States
"Eaton_Rapids,_Michigan",United_States
"Ridgeland,_South_Carolina",United_States
Via_Imperii,Rome
Galleria_Nazionale_d'Arte_Antica,Rome
"Byrnes_Mill,_Missouri",United_States
"Taylorville_Township,_Christian_County,_Illinois",United_States
"Standingstone,_West_Virginia",United_States
"Oliver_Township,_Perry_County,_Pennsylvania",United_States
"Brittons_Neck,_South_Carolina",South_Carolina
"Kirvin,_Texas",Texas
Fishvar_Rural_District,Fars_Province
Cascade_Centar,Zagreb
"Nuckols,_Kentucky",United_States
Õismäe,Tallinn
Do_Peixe_River_(Jaguari_River),Brazil
Cuxhaven,Bremen
Lillian_Goldman_Law_Library,"New_Haven,_Connecticut"
Chausath_Khamba,New_Delhi
Harris_County_Jail,Texas
"Eggville,_Mississippi",Mississippi
DR-6,Santo_Domingo
"Frontenac,_Kansas",United_States
Olaus_Petri_Church,Örebro
Peace_and_Friendship_Stadium,Geneva
Ameixoeira_(Lisbon),Lisbon
Rosie_Hackett_Bridge,Dublin
"Rancho_San_Diego,_California",California
"Riofrío,_Ávila",Spain
Wandsbek_(quarter),Hamburg
Mesa_de_Ocaña,Spain
"Tyanevo,_Dobrich_Province",Bulgaria
"Centralhatchee,_Georgia",United_States
Zhongshan_Soccer_Stadium,Taipei
"Union_Township,_Calhoun_County,_Iowa",United_States
North–South_Expressway_Northern_Route,Alor_Setar
"Bridgewater_(CDP),_Massachusetts",United_States
CTO_Hospital_(Turin),Turin
Peralejos_de_Arriba,Spain
Soumagne,Belgium
"Dustabad,_Fars",Fars_Province
ALYN_Hospital,Jerusalem
Papuan_Peninsula,Port_Moresby
"Diamond_Township,_Cherokee_County,_Iowa",United_States
"Flórida,_Paraná",Brazil
Trafalgar_(Madrid),Madrid
Norderelbe,Hamburg
Das_Fêmeas_River,Brazil
"Hoffman_Crossing,_Indiana",United_States
Henry_Hirshfeld_House_and_Cottage,"Austin,_Texas"
827_Wolfiana,Vienna
Betxí,Spain
City_Hall_Prešov,Prešov
Ziefen,Switzerland
Chitral_2,Pakistan
Som_Sanuk,Thailand
Anguilla_Channel,"Marigot,_Saint_Martin"
"Goessel,_Kansas",United_States
G1511_Rizhao–Lankao_Expressway,Kaifeng
Matter_(venue),London
San_Isidro_(Madrid),Madrid
Hilldale_Shopping_Center,United_States
"Marks,_Mississippi",United_States
"DeMoor_Subdivision,_West_Virginia",West_Virginia
"Livingston,_West_Virginia",West_Virginia
Minoa_Pediada,Crete
"Hidden_Valley,_West_Virginia",West_Virginia
"Bidestan,_Fars",Fars_Province
"Mattawan,_Michigan",United_States
"Randolph,_Wisconsin",United_States
Vallfogona_de_Riucorb,Spain
"Are,_Saare_County",Pöide_Parish
"Miller_Township,_LaSalle_County,_Illinois",United_States
"Ithaca,_Nebraska",United_States
Basilica_of_Saint_John_the_Evangelist,United_States
"Caju,_Rio_de_Janeiro",Rio_de_Janeiro
"Salvador,_Bahia",Brazil
Kayseri_Atatürk_Stadium,Kayseri
Ampoi_River,Alba_Iulia
"Summit_Township,_Butler_County,_Nebraska",United_States
"North_Oaks,_Indiana",United_States
"Qavamabad,_Pasargad",Fars_Province
"Longmeadow,_Massachusetts",Massachusetts
"Gilead_Township,_Michigan",United_States
"Gülef,_Kastamonu",Kastamonu
"Skippack_Township,_Montgomery_County,_Pennsylvania",United_States
Lavin_(Rhaetian_Railway_station),Switzerland
"Fonfría,_Teruel",Spain
"Aberdeen,_West_Virginia",West_Virginia
National_Library_of_Jamaica,"Kingston,_Jamaica"
Wadi_Mejenin_Dam,Tripoli
"Mahone,_West_Virginia",West_Virginia
Papineau-Leblanc_Bridge,Montreal
"Detroit,_Texas",United_States
"Cashtown-McKnightstown,_Pennsylvania",United_States
Mountjoy_Prison,Dublin
Waimangarara_River,New_Zealand
Yekaterinoslav_Governorate,Russian_Empire
Kiel-Hassee_CITTI-PARK_station,Kiel
Nelson_Mandela_Forum,Rio_de_Janeiro
Vilnius_District_Municipality,Vilnius
"Petersburg,_Alaska",United_States
"Capanema,_Pará",Brazil
"Headrick,_Oklahoma",United_States
London_City_Airport,London
Morgan_Brake_National_Wildlife_Refuge,United_States
Saint-Étienne-du-Mont,Paris
Museum_of_Romanticism_(Madrid),Spain
Engine_Company_2_Fire_Station,"Hartford,_Connecticut"
North_Point_Mall,United_States
New_Buffalo_station,United_States
Nydeggbrücke,Bern
Las_Acacias_(Madrid),Madrid
Khaosan_Road,Thailand
"Goodrich_Township,_Crawford_County,_Iowa",United_States
Millennium_Dome,London
Schinkelbuurt,Amsterdam
Hargeisa_Canadian_Medical_Center,Hargeisa
Yugoslav_Ministry_of_Defence_building,Belgrade
"Ilmon,_California",California
Three_Handed_Mother_of_God_Church,Tallinn
National_Museum_of_Oriental_Art,Rome
"Smithflat,_California",United_States
"Geetingsville,_Indiana",United_States
"Little_Portugal,_Montreal",Montreal
A6_motorway_(Portugal),Lisbon
Amawar,Allahabad
"Fieldale,_Virginia",United_States
Quebec_Route_358,Quebec_City
Crisnée,Belgium
Northern_Great_Plain,Debrecen
Joods_Historisch_Museum,Amsterdam
"South_Mountain,_Texas",Texas
European_route_E007,Tashkent
Sanoth,Delhi
Seikkan_Township,Yangon
"Brown_County,_Wisconsin",United_States
"St_George's_Church,_Hanworth",London
Küçükmenderes_River,İzmir
Songshan_Cultural_and_Creative_Park,Taipei
Turnbull_Thomson_Park,New_Zealand
"Franconia,_Virginia",United_States
Tenaya_Peak,United_States
Al_Taqwa_Mosque,Kuala_Lumpur
Charles_de_Gaulle_Airport,Paris
"Graettinger,_Iowa",United_States
"Braintree,_Massachusetts",Massachusetts
County_of_Loon,Belgium
"Khodadadi,_Fars",Fars_Province
"Glen_Lyon,_Pennsylvania",United_States
Neo_Souli,Patras
Chemosphere,California
State_Historical_Museum,Moscow
Mohammad_Jafar_Abadei_mosque,Isfahan
Silesia,Wrocław
"Delaney,_West_Virginia",West_Virginia
Monument_to_Victims_of_the_Wola_Massacre,Warsaw
"Piles,_Valencia",Spain
Asalat_pur_khawad,Delhi
Rita_Blanca_Creek,United_States
Nelson_Center,"Springfield,_Illinois"
Ovchevo,Bulgaria
"Monroe_Township,_Bradford_County,_Pennsylvania",United_States
One_International_Place,Massachusetts
Moscow_Museum_of_Modern_Art,Moscow
"South_San_Gabriel,_California",United_States
Macacu_River,Brazil
Andés,Spain
Shatt_Al-Arab_District,Iraq
Cheluvamba_Hospital,Mysore
"Wachapreague,_Virginia",United_States
Shrine_of_Ali,Afghanistan
Coleto_Creek_Reservoir,United_States
Calzada_de_Valdunciel,Spain
"Beaver,_Washington",United_States
Temple_Expiatori_del_Sagrat_Cor,Spain
"Justiceburg,_Texas",United_States
Man_Department,"Man,_Ivory_Coast"
Colney_Hatch,London
Expo_Axis,Stuttgart
National_Art_Museum_of_Ukraine,Kiev
"College_Station,_Texas",United_States
Makiš_Stadium,Belgrade
Sava,Belgrade
Kerzers,Switzerland
Maracanã_Stadium,Belgrade
"Palermo,_California",United_States
"Fullers_Crossroads,_Alabama",United_States
SM_City_Manila,Manila
Kastellokampos,Patras
Atomium,Brussels
Sun_Yat-sen_Memorial_Hall_Station_(Taipei_Metro),Guangzhou
Don_Enrique_T._Yuchengco_Hall,Manila
CentralPlaza_Rama_III,Bangkok
"Pancake,_West_Virginia",United_States
Piranhas,Brazil
Shah_Jahanian,Pakistan
Pinki_Hall,Belgrade
Bannered_routes_of_U.S._Route_2,"Montpelier,_Vermont"
Kārte_Naw,Afghanistan
"Lower_Pottsgrove_Township,_Montgomery_County,_Pennsylvania",United_States
La_Trompette,London
Sopeira,Spain
Pyeongchang_Olympic_Stadium,Beijing
Wettswil_am_Albis,Switzerland
Western_Dedicated_Freight_Corridor,Delhi
"Burkville,_Alabama",United_States
Pelguranna,Tallinn
Queen's_Chapel,London
Carruth_Plaza,United_States
"Hardeman_County,_Texas",Texas
Nantou_County,Taiwan
European_route_E843,Taranto
"Chicopee,_Massachusetts",Massachusetts
Melkweg,Amsterdam
"Magenta,_Lombardy",Province_of_Milan
"Stonebridge,_London",London
Brás_de_Pina,Rio_de_Janeiro
DN5,Bucharest
Sukhothai_Province,Thailand
Clal_Center,Jerusalem
"Juno,_Georgia",United_States
"St._Dominic's_Church,_Macau",Macau
Sungai_Buloh_Highway,Kuala_Lumpur
Mahdia_Governorate,Mahdia
Lakhta_air_base,Arkhangelsk
Whitecrow_Lake,United_States
Palacio_de_Deportes_de_la_Comunidad_de_Madrid,Belgrade
"Ivanhoe_Estates,_Florida",United_States
Monument_to_Nizami_Ganjavi_in_Rome,Rome
Cumbres_del_Ajusco_National_Park,Mexico_City
Xi'an,Luoyang
Lourenço_Velho_River,Brazil
Society_Islands,Papeete
Staatstheater_Darmstadt,Darmstadt
"Morgans_Landing,_California",United_States
Musala,Bulgaria
Shrine_of_the_Book,Jerusalem
Waihi_River,New_Zealand
"University,_Hayes_and_Orton_Halls","Columbus,_Ohio"
Killiney,Dublin
Gardaneh_ye_Kuli_Kash,Fars_Province
"Muskogee_County,_Oklahoma",United_States
Porta_Tenaglia,Milan
Tennessee_State_Route_24,Tennessee
"Långsjön,_Älvsjö",Stockholm
Route_8_(Uruguay),Montevideo
Museum_of_Pawiak_Prison,Warsaw
"Harveys_Lake,_Pennsylvania",United_States
Argente,Spain
Bebresh_Viaduct,Sofia
Monument_to_Nizami_Ganjavi_in_Rome,Rome
Shah-i-Zinda,Samarkand
Kenneth_Hahn_Hall_of_Administration,California
Primary_Children's_Hospital,Salt_Lake_City
Babu_China,Pakistan
The_End_(club),London
Hotel_Grande_Bretagne,Athens
Jand_Sharif,Pakistan
Sunan_Station,Pyongyang
"Independence,_Oregon",United_States
Seraing,Liège
Plieningen,Stuttgart
"Prairie_Grove,_Arkansas",United_States
"Center_Township,_Boone_County,_Indiana",United_States
Georgia_State_Route_3,Tennessee
Tolka_Park,Dublin
Church_of_St._Benedict_the_Moor_(Pittsburgh),United_States
Pampaneira,Spain
Wicklow_Mountains_National_Park,Dublin
"Pike,_California",United_States
Vilanova_de_Segrià,Spain
"Saadatabad,_Mamasani",Fars_Province
"Maple_Creek,_Wisconsin",United_States
"New_Lothrop,_Michigan",United_States
Golyamo_Asenovo,Bulgaria
Karol_Bagh,Delhi
C._M._Gardner_State_Park,Massachusetts
Das_Cobras_River,Brazil
Čop_Street,Ljubljana
"Surrey_Chapel,_Southwark",London
"Santa_Cruz,_Chile",Chile
"Orinda,_California",California
Capçanes,Spain
"Bruneau,_Idaho",United_States
"Atlantic_Highlands,_New_Jersey",United_States
Belgrade_Tower,Belgrade
Black_Hills_National_Forest,United_States
Bay_of_Santander,Spain
"East_Richmond_Heights,_California",United_States
"Yolkonak,_Kastamonu",Kastamonu
Fuentes_Calientes,Spain
Trinity_River_(Texas),United_States
Box_Bar_Stadium,Banjul
"Ashley,_North_Dakota",United_States
Gaviota_Tunnel,California
U.S._Route_285,"Santa_Fe,_New_Mexico"
Greek_National_Road_2,Thessaloniki
Parvomay,Plovdiv
Alcalá_de_Henares_Cathedral,Spain
Fort_Zachary_Taylor_Historic_State_Park,United_States
Edulabad_Lake,Hyderabad
"Despard,_West_Virginia",West_Virginia
"New_Pittsburg,_Indiana",United_States
Gazey,Bulgaria
Leopold_II_Tunnel,Brussels
European_route_E962,"Thebes,_Greece"
Saint_John_the_Baptist_at_the_Béguinage,Brussels
"Lake_Michigan_Beach,_Michigan",United_States
Beaver_Meadow_Brook_Archeological_Site,"Concord,_New_Hampshire"
Marindvor,"Požega,_Croatia"
North_Delhi,Delhi
Estadio_Defensores_del_Chaco,Bogotá
Navacarros,Spain
"Lebam,_Washington",United_States
"Oregon_Township,_Michigan",United_States
Fakr_ad-Din_Mosque,Mogadishu
Cocokyun_Township,Yangon
"Nevisdale,_Kentucky",United_States
Baikal_Highway,"Chita,_Zabaykalsky_Krai"
"Midway_Corner,_Arkansas",United_States
Berlin–Dresden_railway,Berlin
Bursaspor__Timsah_Arena__1,Bursa
"Sunnyside,_Fresno_County,_California",California
Petilla_de_Aragón,Spain
El_Pla_de_Santa_Maria,Spain
Moosarambagh,Hyderabad
Jean-Lesage,Quebec_City
Main_Post_Office_building_in_Bydgoszcz,Bydgoszcz
Sulaiman_Mountains,Afghanistan
"Rohini,_Delhi",Delhi
"Franklin,_Albemarle_County,_Virginia",United_States
"Saint_Joe,_Indiana",United_States
"Heron,_Montana",United_States
Swedish_Army_Museum,Stockholm
"Heating_plant_and_main_controls_cabin,_Florence",Florence
"Shillington,_Pennsylvania",United_States
534_Nassovia,Heidelberg
"Kryovrysi,_Ioannina",Ioannina
National_road_2_(Poland),Poznań
Fronalpstock_(Schwyz),Switzerland
Schneller_Orphanage,Jerusalem
St._Michael's_Basilica_(Madrid),Madrid
"St._Joseph's_Catholic_Church_(Salem,_Oregon)","Salem,_Oregon"
Porta_Nuova_(Milan),Milan
Praga_Park,Warsaw
"West_Wyoming,_Pennsylvania",United_States
"Hales_Grove,_California",California
"La_Zona,_Santa_Cruz",Chile
"Harlan_Township,_Warren_County,_Ohio",United_States
County_Dublin,Dublin
Athens_International_Airport,Athens
The_Ashton,"Austin,_Texas"
Park_Bulvar,Baku
Country_Hall_Ethias_Liège,Belgrade
"Orin,_Wyoming",United_States
Kolkata,Kozhikode
"McDonaldsville_Township,_Norman_County,_Minnesota",United_States
Edwin_Andrews_Air_Base,Zamboanga_City
Guimarán,Spain
"Clay,_Mississippi",Mississippi
Roman_Catholic_Archdiocese_of_Denver,United_States
"Villa_Real,_Buenos_Aires",Buenos_Aires
Delhi_Cantonment,Delhi
"Hospitality_Lane_District,_San_Bernardino,_California",California
Castillo_de_Villamalefa,Spain
Fortaleza_de_São_João_(Rio_de_Janeiro),Rio_de_Janeiro
Satu_Mare,Uzhhorod
Interstate_95_in_New_Jersey,"Elizabeth,_New_Jersey"
"Northern_District,_Riga",Riga
New_Providence_Wharf,London
Shahid_Poursharifi_Arena,Tabriz
Buckley_Island,United_States
"León,_Spain",Voronezh
China_National_Highway_109,Beijing
Musée_de_l'Homme,Paris
"Shady_Grove,_Illinois",United_States
"Mustang,_Texas",United_States
Aleppo,Mecca
Ransdorp,Amsterdam
Dasht-e_Lahbaz,Fars_Province
"Camp_Verde,_Texas",Texas
Kabang_District,Thailand
Connecticut_Route_337,"New_Haven,_Connecticut"
"The_Burg,_Illinois",United_States
"Bowen,_West_Virginia",United_States
Friedrichshagen,Berlin
Prairie_Capital_Convention_Center,"Springfield,_Illinois"
Songming_County,Kunming
Tybee_National_Wildlife_Refuge,"Savannah,_Georgia"
Siam_Center,Thailand
Patroon_Creek,"Albany,_New_York"
Central_Greece_Motorway,Trikala
Furggelenstock,Switzerland
La_Trastienda_Club,Buenos_Aires
"Grippe,_West_Virginia",United_States
"Leelanau_County,_Michigan",United_States
Sredna,Bulgaria
Gójar,Spain
Lake_Waubesa,United_States
Pattom,Thiruvananthapuram
"Lakin_Township,_Barton_County,_Kansas",United_States
Zhuanghe,Dalian
Torroella_de_Fluvià,Spain
Frederick_Hanger_House,"Little_Rock,_Arkansas"
Catete_Palace,Rio_de_Janeiro
"Glasgow_Township,_Wabasha_County,_Minnesota",United_States
Liechtenstein,German_Confederation
São_João_de_Meriti,Rio_de_Janeiro
Ottawa_Centre,Ottawa
Valby_Idrætspark,Copenhagen
"Milligan,_Nebraska",United_States
"Manton,_Kentucky",United_States
"Oneida_County,_New_York",United_States
Barros_(Langreo),Spain
Naves_(Llanes),Spain
Institute_of_Mental_Health_(Belgrade),Belgrade
Piavets,Bulgaria
"Belvedere,_London",London
South_Luzon_Expressway,Manila
Motorway_21_(Greece),Bulgaria
Mandohol_Dam,Ahmednagar
Chelston,Lusaka
"Ada_County,_Idaho","Boise,_Idaho"
Sant_Just_Desvern,Barcelona
Barlow_Pass_(Washington),United_States
Navahondilla,Spain
Ghumdan_Palace,Sana'a
Pocloș_River,Târgu_Mureș
"Rialto_Theatre_(Tucson,_Arizona)",United_States
Camp_Helen_State_Park,United_States
Rouen_Cathedral,Rouen
"Laurence_Harbor,_New_Jersey",United_States
"Cora,_Wyoming",Wyoming
"Daykin,_Nebraska",United_States
Palace_Hotel_(Copenhagen),Copenhagen
"Russet,_West_Virginia",United_States
Uniform_Distribution_and_Accreditation_Centre,London
"Hanson,_Kentucky",United_States
A180_highway_(Russia),Saint_Petersburg
"Swansboro,_California",United_States
Canindé_de_São_Francisco,Brazil
Archaeological_Museum_of_Thessaloniki,Thessaloniki
Norwood_New_Town,London
Bridge_of_Segovia_(Madrid),Madrid
1090_Vermont_Avenue,"Washington,_D.C."
Nowy_Świat_Street,Warsaw
Heiligensee,Berlin
"Green_Lake,_Seattle",United_States
"Boston,_Lincolnshire",London
Parc_des_Princes,Paris
King_Fahd_Mosque_(Sarajevo),Sarajevo
Hastsal,Delhi
"Culver,_Minnesota",United_States
"Kızılsaray,_Söğüt",Söğüt
"Masonville_Township,_Michigan",United_States
Charlemagne_building,Brussels
"Lancaster,_California",California
Jianggan_District,Hangzhou
"Underhill_(community),_Wisconsin",United_States
Jongno_Tower,Seoul
National_Museum_of_Ethnography,Warsaw
Walker_River,California
"Ash_Creek_Township,_Ellsworth_County,_Kansas",United_States
National_Museum_(Malaysia),Kuala_Lumpur
Bareja_(area),Ahmedabad
Kalevi_Spordihall,Tallinn
Cape_Ann,United_States
Fakiya,Bulgaria
"Freedom_Square,_Bydgoszcz",Bydgoszcz
Berlin_Brandenburg_Airport,Berlin
Dunkin'_Donuts_Center,"Albany,_New_York"
Dozhdevitsa,Bulgaria
Mont_Orignal,Quebec_City
Centennial_Tower_(Philippines),Manila
"Gales_Creek,_Oregon",United_States
Hispaniola,Santo_Domingo
Sarum_Chase,London
Vigy,Metz
"Hacıilyas,_Kastamonu",Kastamonu
Širok_Sokak,Bitola
"Museum_Building_(Trinity_College,_Dublin)",Dublin
City_Hall_of_Quebec_City,Quebec_City
Mother_Neff_State_Park,Texas
"Oreide,_West_Virginia",United_States
Nederlands_Scheepvaartmuseum,Amsterdam
_Monteflores_(Santurce),"San_Juan,_Puerto_Rico"
Cobos_de_Fuentidueña,Spain
"Reiner_Township,_Pennington_County,_Minnesota",United_States
"Cessna_Township,_Hardin_County,_Ohio",United_States
"Beaverlick,_Kentucky",United_States
Islamic_Museum_of_Tripoli,Tripoli
"Crooked_Creek,_Alaska",United_States
"Elmer,_Louisiana",United_States
"Eulogy,_Mississippi",Mississippi
"Clair-Mel_City,_Florida",United_States
Church_of_St._Peter_in_Gallicantu,Jerusalem
Czerniaków,Warsaw
"East_Fallowfield_Township,_Chester_County,_Pennsylvania",United_States
Max-Schmeling-Halle,Moscow
Greater_Natal_International_Airport,Brazil
Beacon_Hill_(California),California
Gallery_of_Admiral_Cheng_Ho,Malacca_City
"Blockton,_Iowa",United_States
1328_Devota,Algiers
Europa_(Seville_Metro),Andalusia
"Canton,_Illinois",United_States
Warsaw_Trade_Tower,Warsaw
Hayashi_Department_Store,Taiwan
"North_Leeds,_Wisconsin",United_States
NBC_Building,California
Admiralty_Arch,London
Little_Saco_River,United_States
Atarot_Airport,Jerusalem
Mueang_Phang_Nga_District,Thailand
Irish_Film_Theatre,Dublin
"Alexander_Nevsky_Cathedral,_Baku",Baku
"Viera_East,_Florida",United_States
Zizhuyuan_Subdistrict,Beijing
Waldkappel,Kassel
Rizoupoli,Athens
"Havre,_Montana",United_States
"East_Fishkill,_New_York",United_States
Ermelino_Matarazzo_(district_of_São_Paulo),Brazil
Juan_Carlos_I_Park,Madrid
Beckton,London
"Davinópolis,_Maranhão",Brazil
"Stafford,_Kansas",United_States
Amsteldorp,Amsterdam
Greek_National_Road_74,"Pyrgos,_Elis"
Crevillent,Spain
"Hoseynabad,_Kamfiruz",Fars_Province
"Stokes_County,_North_Carolina",United_States
"Celina,_Minnesota",United_States
"Neihu_Line,_Taipei_Metro",Taipei
"Coronado,_Kansas",United_States
Devetak,Bulgaria
"Frederika,_Iowa",United_States
Interstate_110_(Louisiana),"Baton_Rouge,_Louisiana"
Estadio_Torrero,Spain
"Indian_Point,_Missouri",United_States
Kern_Lake_(Kern_County),United_States
"Silver_Lake,_North_Carolina",United_States
Wendlingen,Stuttgart
"Adam_Mickiewicz_Monument,_Warsaw",Warsaw
Shougang_Gymnasium,Beijing
Hall_Aleksandar_Nikolić,Nicosia
"Osage_Township,_Crawford_County,_Kansas",United_States
"Kern_Lake,_California",California
Santa_Maria_Regina_Coeli,Naples
"Vilas,_North_Carolina",United_States
Lantian_County,Xi'an
Nieuwerkerken,Belgium
Royal_London_Hospital_for_Integrated_Medicine,London
DR-6,Santo_Domingo
Bari_Karol_Wojtyła_Airport,Bari
Kalakan_(village),Afghanistan
Église_Saint-Jacques-du-Haut-Pas,Paris
El_Sahugo,Spain
"Saint_Joseph_Cathedral,_Bucharest",Bucharest
"Speicherville,_Indiana",United_States
Nakhon_Champassak_Province,Thailand
J._A._Skinner_State_Park,Massachusetts
"Zelenci,_Banja_Luka",Banja_Luka
"Tiffin_Township,_Adams_County,_Ohio",United_States
Autovía_A-8,Bilbao
Savannah_Victorian_Historic_District,"Savannah,_Georgia"
"Montvale,_Virginia",United_States
4547_Massachusetts,Sapporo
Beshneh,Fars_Province
"Grizzly_Peak_(Mariposa_County,_California)",United_States
Olca,Chile
"Crane_Creek_Township,_Barry_County,_Missouri",United_States
Thornton_Lakes,United_States
Arari_River,Brazil
Glenmalure_Park,Dublin
Kemayoran_Airport,Jakarta
Palace_%22Ukraine%22,Kiev
Konareh-ye_Rostam,Fars_Province
Horn_of_Africa,Asmara
Smithsonian_Gardens,"Washington,_D.C."
Motorway_65_(Greece),Athens
Azalea_Court_Apartments,"Mobile,_Alabama"
"Shenandoah,_Virginia",United_States
Otter_Tail_Lake,United_States
Arrondissement_of_Leuven,Belgium
Inter_Milan__Stadio_Giuseppe_Meazza__1,Milan
"Eye,_West_Virginia",West_Virginia
"Perry_Township,_Muskingum_County,_Ohio",United_States
"Selmer,_Tennessee",Tennessee
Ochsehorn,Switzerland
Province_of_Cuneo,Cuneo
Southlands_Methodist_Church,York
"North_Manchester,_Indiana",United_States
Estadio_Nacional_de_Costa_Rica_(2011),Baku
"Laurelwood,_Oregon",United_States
"Millcreek,_Utah",Salt_Lake_City
"St._Joseph,_La_Crosse_County,_Wisconsin",United_States
Amherst_Peak,"Juneau,_Alaska"
"Immaculate_Conception_Cathedral,_Taipei",Taipei
Centennial_Park_Conservatory,Toronto
"Culdrum_Township,_Morrison_County,_Minnesota",United_States
Kulušić,Zagreb
Hajr_Ismail,Mecca
"Arlington,_Arizona",United_States
Poznań–Szczecin_railway,Szczecin
Chahar_Bid-e_Sartang,Fars_Province
Agra_Airport,Agra
"Jean,_Nevada",United_States
Dashengguan_Yangtze_River_Bridge,Nanjing
Caminreal,Spain
State_Highway_57_(Uttar_Pradesh),Delhi
Plaza_de_Toros_de_Zaragoza,Zaragoza
Geffrye_Museum,London
Phrai_Bueng_District,Thailand
Sony_Centre_for_the_Performing_Arts,Toronto
Stag_Lane_Aerodrome,London
"Asbury,_West_Virginia",United_States
"Salem,_Kentucky",United_States
Koregaon,Satara_(city)
Ambroz_(Madrid),Madrid
"Sabzabad,_Neyriz",Fars_Province
Vallemaggia_(district),Switzerland
Roman_Catholic_Archdiocese_of_Patna,Patna
