sid,sub,obj,class
36,dbr:Oklahoma,dbr:Oklahoma_City,1
37,dbr:Oregon,"dbr:Salem,_Oregon",1
38,dbr:Pennsylvania,"dbr:Harrisburg,_Pennsylvania",1
39,dbr:Rhode_Island,"dbr:Providence,_Rhode_Island",1
40,dbr:South_Carolina,"dbr:Columbia,_South_Carolina",1
41,dbr:South_Dakota,"dbr:Pierre,_South_Dakota",1
42,dbr:Tennessee,"dbr:Nashville,_Tennessee",1
43,dbr:Texas,"dbr:Austin,_Texas",1
44,dbr:Utah,dbr:Salt_Lake_City,1
45,dbr:Vermont,"dbr:Montpelier,_Vermont",1
46,dbr:Virginia,"dbr:Richmond,_Virginia",1
47,dbr:Washington,"dbr:Olympia,_Washington",1
48,dbr:West_Virginia,"dbr:Charleston,_West_Virginia",1
49,dbr:Wisconsin,"dbr:Madison,_Wisconsin",1
50,dbr:Wyoming,"dbr:Cheyenne,_Wyoming",1
51,dbr:Massachusetts,"dbr:Albany,_New_York",0
52,dbr:Arkansas,"dbr:Lansing,_Michigan",0
53,dbr:Kentucky,"dbr:Little_Rock,_Arkansas",0
54,dbr:South_Dakota,"dbr:Madison,_Wisconsin",0
55,dbr:Iowa,"dbr:Austin,_Texas",0
56,dbr:Ohio,"dbr:Boise,_Idaho",0
57,dbr:New_Hampshire,"dbr:Montpelier,_Vermont",0
58,dbr:Mississippi,"dbr:Montgomery,_Alabama",0
59,dbr:Maine,dbr:Honolulu,0
60,dbr:Indiana,"dbr:Des_Moines,_Iowa",0
61,dbr:Iowa,"dbr:Harrisburg,_Pennsylvania",0
62,dbr:Michigan,"dbr:Hartford,_Connecticut",0
63,dbr:Oregon,"dbr:Annapolis,_Maryland",0
64,dbr:South_Carolina,"dbr:Providence,_Rhode_Island",0
65,dbr:Illinois,dbr:Indianapolis,0
66,dbr:Tennessee,"dbr:Boise,_Idaho",0
67,dbr:Indiana,"dbr:Dover,_Delaware",0
68,dbr:Utah,"dbr:Augusta,_Maine",0
69,dbr:Wisconsin,"dbr:Olympia,_Washington",0
70,dbr:Georgia,dbr:Oklahoma_City,0
71,dbr:Connecticut,"dbr:Columbia,_South_Carolina",0
72,dbr:New_Mexico,"dbr:Jackson,_Mississippi",0
73,dbr:Montana,"dbr:Concord,_New_Hampshire",0
74,dbr:Wyoming,"dbr:Concord,_New_Hampshire",0
75,dbr:Minnesota,dbr:Atlanta,0
76,dbr:Montana,"dbr:Austin,_Texas",0
77,dbr:Wisconsin,"dbr:Topeka,_Kansas",0
78,dbr:Oregon,dbr:Honolulu,0
79,dbr:Ohio,"dbr:Juneau,_Alaska",0
80,dbr:Florida,dbr:Indianapolis,0
81,dbr:Ohio,"dbr:Lansing,_Michigan",0
82,dbr:Idaho,"dbr:Sacramento,_California",0
83,dbr:Tennessee,"dbr:Sacramento,_California",0
84,dbr:New_York,"dbr:Montgomery,_Alabama",0
85,dbr:New_York,dbr:Indianapolis,0
86,dbr:Georgia,"dbr:Montgomery,_Alabama",0
87,dbr:North_Dakota,"dbr:Sacramento,_California",0
88,dbr:Tennessee,"dbr:Austin,_Texas",0
89,dbr:Wyoming,"dbr:Madison,_Wisconsin",0
90,dbr:Montana,"dbr:Frankfort,_Kentucky",0
91,dbr:South_Carolina,"dbr:Montpelier,_Vermont",0
92,dbr:New_York,"dbr:Montpelier,_Vermont",0
93,dbr:New_York,"dbr:Helena,_Montana",0
94,dbr:New_Mexico,dbr:Atlanta,0
95,dbr:Hawaii,"dbr:Jefferson_City,_Missouri",0
96,dbr:Rhode_Island,"dbr:Helena,_Montana",0
97,dbr:Colorado,"dbr:Nashville,_Tennessee",0
98,dbr:Oklahoma,dbr:Indianapolis,0
99,dbr:New_Mexico,"dbr:Tallahassee,_Florida",0
100,dbr:Hawaii,dbr:Atlanta,0
