sid,sub,obj,class
36,dbr:Oklahoma,dbr:Oklahoma_City,1
37,dbr:Oregon,"dbr:Salem,_Oregon",1
38,dbr:Pennsylvania,"dbr:Harrisburg,_Pennsylvania",1
39,dbr:Rhode_Island,"dbr:Providence,_Rhode_Island",1
40,dbr:South_Carolina,"dbr:Columbia,_South_Carolina",1
41,dbr:South_Dakota,"dbr:Pierre,_South_Dakota",1
42,dbr:Tennessee,"dbr:Nashville,_Tennessee",1
43,dbr:Texas,"dbr:Austin,_Texas",1
44,dbr:Utah,dbr:Salt_Lake_City,1
45,dbr:Vermont,"dbr:Montpelier,_Vermont",1
46,dbr:Virginia,"dbr:Richmond,_Virginia",1
47,dbr:Washington,"dbr:Olympia,_Washington",1
48,dbr:West_Virginia,"dbr:Charleston,_West_Virginia",1
49,dbr:Wisconsin,"dbr:Madison,_Wisconsin",1
50,dbr:Wyoming,"dbr:Cheyenne,_Wyoming",1
51,dbr:Missouri,"dbr:Nashville,_Tennessee",0
52,dbr:South_Dakota,"dbr:Charleston,_West_Virginia",0
53,dbr:Utah,"dbr:Jefferson_City,_Missouri",0
54,dbr:Delaware,"dbr:Sacramento,_California",0
55,dbr:Wisconsin,"dbr:Frankfort,_Kentucky",0
56,dbr:Georgia,"dbr:Austin,_Texas",0
57,dbr:Oregon,"dbr:Saint_Paul,_Minnesota",0
58,dbr:New_Jersey,"dbr:Saint_Paul,_Minnesota",0
59,dbr:Colorado,"dbr:Pierre,_South_Dakota",0
60,dbr:Colorado,dbr:Honolulu,0
61,dbr:Louisiana,dbr:Salt_Lake_City,0
62,dbr:California,"dbr:Phoenix,_Arizona",0
63,dbr:Washington,"dbr:Richmond,_Virginia",0
64,dbr:Idaho,"dbr:Annapolis,_Maryland",0
65,dbr:Ohio,"dbr:Concord,_New_Hampshire",0
66,dbr:Wisconsin,"dbr:Salem,_Oregon",0
67,dbr:Kansas,dbr:Oklahoma_City,0
68,dbr:California,"dbr:Montpelier,_Vermont",0
69,dbr:South_Dakota,dbr:Indianapolis,0
70,dbr:Oregon,dbr:Indianapolis,0
71,dbr:Missouri,"dbr:Lansing,_Michigan",0
72,dbr:Alabama,"dbr:Cheyenne,_Wyoming",0
73,dbr:West_Virginia,"dbr:Hartford,_Connecticut",0
74,dbr:New_Jersey,"dbr:Albany,_New_York",0
75,dbr:New_Hampshire,"dbr:Lincoln,_Nebraska",0
76,dbr:Texas,dbr:Boston,0
77,dbr:Alabama,"dbr:Boise,_Idaho",0
78,dbr:Alabama,"dbr:Lansing,_Michigan",0
79,dbr:Montana,"dbr:Richmond,_Virginia",0
80,dbr:West_Virginia,"dbr:Baton_Rouge,_Louisiana",0
81,dbr:Missouri,"dbr:Juneau,_Alaska",0
82,dbr:Maryland,"dbr:Frankfort,_Kentucky",0
83,dbr:Colorado,"dbr:Madison,_Wisconsin",0
84,dbr:New_Hampshire,"dbr:Charleston,_West_Virginia",0
85,dbr:Arkansas,"dbr:Lincoln,_Nebraska",0
86,dbr:Michigan,dbr:Honolulu,0
87,dbr:Nebraska,"dbr:Providence,_Rhode_Island",0
88,dbr:West_Virginia,"dbr:Helena,_Montana",0
89,dbr:North_Carolina,"dbr:Providence,_Rhode_Island",0
90,dbr:Georgia,"dbr:Helena,_Montana",0
91,dbr:Michigan,"dbr:Madison,_Wisconsin",0
92,dbr:South_Dakota,"dbr:Jefferson_City,_Missouri",0
93,dbr:Massachusetts,"dbr:Phoenix,_Arizona",0
94,dbr:Oregon,"dbr:Annapolis,_Maryland",0
95,dbr:Vermont,"dbr:Springfield,_Illinois",0
96,dbr:Louisiana,dbr:Atlanta,0
97,dbr:Rhode_Island,"dbr:Lincoln,_Nebraska",0
98,dbr:Arkansas,"dbr:Hartford,_Connecticut",0
99,dbr:South_Dakota,"dbr:Helena,_Montana",0
100,dbr:Vermont,"dbr:Charleston,_West_Virginia",0
