id,sub,obj,class
274,Abkhazia,Port_Moresby,0
275,Brunei,San_Marino,0
276,Netherlands,Algiers,0
277,San_Marino,Funafuti,0
278,Nicaragua,Panama_City,0
279,Guernsey,Santo_Domingo,0
280,Montserrat,Bangkok,0
281,Guyana,Kiev,0
282,Luxembourg,Juba,0
283,Latvia,Dakar,0
284,South_Africa,Singapore,0
285,Brunei,"Philipsburg,_Sint_Maarten",0
286,Sudan,Quito,0
287,Andorra,Nicosia,0
288,Lithuania,"Hamilton,_Bermuda",0
289,Turkey,"The_Valley,_Anguilla",0
290,France,Nicosia,0
291,Guatemala,Jerusalem,0
292,South_Georgia_and_the_South_Sandwich_Islands,London,0
293,Somaliland,Managua,0
294,Guatemala,Damascus,0
295,Solomon_Islands,Porto-Novo,0
296,Greece,Doha,0
297,Somaliland,Nicosia,0
298,Falkland_Islands,Cairo,0
299,Turks_and_Caicos_Islands,Vienna,0
300,Central_African_Republic,Bishkek,0
301,Australia,Gibraltar,0
302,Qatar,Rabat,0
303,Mauritania,Paramaribo,0
304,Montenegro,Ljubljana,0
305,Andorra,Zagreb,0
306,Sweden,Port_of_Spain,0
307,Bhutan,Pago_Pago,0
308,East_Timor,Cockburn_Town,0
309,Montenegro,Castries,0
310,Myanmar,Lima,0
311,Czech_Republic,Jerusalem,0
312,Ethiopia,Andorra_la_Vella,0
313,Lebanon,"Plymouth,_Montserrat",0
314,Barbados,"Jamestown,_Saint_Helena",0
315,Malaysia,Warsaw,0
316,Burundi,Palikir,0
317,Ecuador,Brazzaville,0
318,Central_African_Republic,Saint_Peter_Port,0
319,Bolivia,Accra,0
320,Malawi,Brussels,0
321,British_Virgin_Islands,Malabo,0
322,Montenegro,Road_Town,0
323,Slovakia,"Stanley,_Falkland_Islands",0
324,Belgium,Ashgabat,0
325,Bangladesh,Road_Town,0
326,French_Guiana,Malabo,0
327,India,Apia,0
328,Swaziland,Sarajevo,0
329,East_Timor,Moscow,0
330,Kuwait,Kiev,0
331,El_Salvador,"San_Juan,_Puerto_Rico",0
332,Haiti,Maseru,0
333,Belarus,Nuuk,0
334,American_Samoa,Freetown,0
335,Guinea-Bissau,Vilnius,0
336,Dominica,Djibouti,0
337,Trinidad_and_Tobago,Port_Vila,0
338,Peru,Suva,0
339,Montenegro,Nicosia,0
340,San_Marino,Montevideo,0
341,Malta,Tehran,0
342,Tajikistan,Vatican_City,0
343,Lithuania,Belfast,0
344,Scotland,Antananarivo,0
345,Scotland,Kampala,0
346,Northern_Ireland,Hanoi,0
347,Cuba,Mbabane,0
348,Saint_Helena,Ottawa,0
349,Singapore,Nicosia,0
350,Slovenia,Yamoussoukro,0
351,Israel,Tbilisi,0
352,Puerto_Rico,Vientiane,0
353,Lithuania,Nairobi,0
354,Turkmenistan,Road_Town,0
355,Mauritius,Yerevan,0
356,Canada,Jerusalem,0
357,Liechtenstein,Paramaribo,0
358,Afghanistan,Islamabad,0
359,Solomon_Islands,Montevideo,0
360,Federated_States_of_Micronesia,Bandar_Seri_Begawan,0
361,Angola,Djibouti,0
362,Wallis_and_Futuna,Ottawa,0
363,Nicaragua,Moscow,0
364,Uganda,Luanda,0
365,Papua_New_Guinea,Seoul,0
366,Sri_Lanka,Santiago,0
367,Ascension_Island,Cockburn_Town,0
368,Malaysia,Tehran,0
369,Ukraine,Belfast,0
370,Greece,Mexico_City,0
371,Puerto_Rico,Dodoma,0
372,Peru,Tegucigalpa,0
373,Azerbaijan,"Kingston,_Jamaica",0
374,North_Korea,Ulaanbaatar,0
375,Saint_Kitts_and_Nevis,Port_Moresby,0
376,North_Korea,Tirana,0
377,British_Virgin_Islands,Riyadh,0
378,Syria,Tallinn,0
379,Equatorial_Guinea,Luxembourg,0
380,Guatemala,Dili,0
381,Mongolia,Kiev,0
382,Senegal,Maseru,0
383,Suriname,Pretoria,0
384,Ivory_Coast,Suva,0
385,Papua_New_Guinea,Rabat,0
386,South_Georgia_and_the_South_Sandwich_Islands,Kigali,0
387,Swaziland,Naypyidaw,0
388,Zambia,Libreville,0
389,Samoa,Baghdad,0
390,Estonia,Castries,0
391,Argentina,Lilongwe,0
392,Saint_Kitts_and_Nevis,Cairo,0
393,Bulgaria,Paramaribo,0
394,Mauritius,Nuuk,0
395,Zimbabwe,Maputo,0
396,San_Marino,Canberra,0
397,Morocco,Kigali,0
398,Pitcairn_Islands,Porto-Novo,0
