sid,sub,obj,class
36,dbr:Oklahoma,dbr:Oklahoma_City,1
37,dbr:Oregon,"dbr:Salem,_Oregon",1
38,dbr:Pennsylvania,"dbr:Harrisburg,_Pennsylvania",1
39,dbr:Rhode_Island,"dbr:Providence,_Rhode_Island",1
40,dbr:South_Carolina,"dbr:Columbia,_South_Carolina",1
41,dbr:South_Dakota,"dbr:Pierre,_South_Dakota",1
42,dbr:Tennessee,"dbr:Nashville,_Tennessee",1
43,dbr:Texas,"dbr:Austin,_Texas",1
44,dbr:Utah,dbr:Salt_Lake_City,1
45,dbr:Vermont,"dbr:Montpelier,_Vermont",1
46,dbr:Virginia,"dbr:Richmond,_Virginia",1
47,dbr:Washington,"dbr:Olympia,_Washington",1
48,dbr:West_Virginia,"dbr:Charleston,_West_Virginia",1
49,dbr:Wisconsin,"dbr:Madison,_Wisconsin",1
50,dbr:Wyoming,"dbr:Cheyenne,_Wyoming",1
51,dbr:Alaska,"dbr:Carson_City,_Nevada",0
52,dbr:Washington,"dbr:Trenton,_New_Jersey",0
53,dbr:Texas,"dbr:Montpelier,_Vermont",0
54,dbr:Oregon,"dbr:Jefferson_City,_Missouri",0
55,dbr:Alabama,"dbr:Madison,_Wisconsin",0
56,dbr:Arkansas,"dbr:Austin,_Texas",0
57,dbr:South_Carolina,dbr:Denver,0
58,dbr:Ohio,"dbr:Saint_Paul,_Minnesota",0
59,dbr:Maine,"dbr:Harrisburg,_Pennsylvania",0
60,dbr:Iowa,dbr:Oklahoma_City,0
61,dbr:Vermont,"dbr:Madison,_Wisconsin",0
62,dbr:Oregon,"dbr:Baton_Rouge,_Louisiana",0
63,dbr:North_Carolina,"dbr:Boise,_Idaho",0
64,dbr:Kansas,dbr:Denver,0
65,dbr:West_Virginia,dbr:Boston,0
66,dbr:Texas,"dbr:Baton_Rouge,_Louisiana",0
67,dbr:Washington,"dbr:Columbus,_Ohio",0
68,dbr:South_Carolina,"dbr:Charleston,_West_Virginia",0
69,dbr:Delaware,"dbr:Bismarck,_North_Dakota",0
70,dbr:Illinois,"dbr:Santa_Fe,_New_Mexico",0
71,dbr:Iowa,"dbr:Dover,_Delaware",0
72,dbr:Nevada,"dbr:Juneau,_Alaska",0
73,dbr:Idaho,dbr:Salt_Lake_City,0
74,dbr:Pennsylvania,"dbr:Tallahassee,_Florida",0
75,dbr:Vermont,"dbr:Saint_Paul,_Minnesota",0
76,dbr:Colorado,"dbr:Raleigh,_North_Carolina",0
77,dbr:Maine,"dbr:Hartford,_Connecticut",0
78,dbr:California,"dbr:Columbus,_Ohio",0
79,dbr:Connecticut,"dbr:Frankfort,_Kentucky",0
80,dbr:Rhode_Island,"dbr:Sacramento,_California",0
81,dbr:Montana,"dbr:Columbus,_Ohio",0
82,dbr:Idaho,dbr:Atlanta,0
83,dbr:Maine,dbr:Boston,0
84,dbr:Pennsylvania,"dbr:Carson_City,_Nevada",0
85,dbr:Pennsylvania,"dbr:Helena,_Montana",0
86,dbr:Indiana,"dbr:Helena,_Montana",0
87,dbr:Missouri,"dbr:Augusta,_Maine",0
88,dbr:Arizona,"dbr:Montpelier,_Vermont",0
89,dbr:Michigan,"dbr:Columbus,_Ohio",0
90,dbr:Oklahoma,"dbr:Bismarck,_North_Dakota",0
91,dbr:North_Carolina,"dbr:Montgomery,_Alabama",0
92,dbr:Iowa,"dbr:Columbia,_South_Carolina",0
93,dbr:South_Dakota,dbr:Atlanta,0
94,dbr:Georgia,"dbr:Saint_Paul,_Minnesota",0
95,dbr:Rhode_Island,"dbr:Little_Rock,_Arkansas",0
96,dbr:Kentucky,"dbr:Providence,_Rhode_Island",0
97,dbr:South_Dakota,"dbr:Montpelier,_Vermont",0
98,dbr:New_Jersey,"dbr:Santa_Fe,_New_Mexico",0
99,dbr:Connecticut,"dbr:Jackson,_Mississippi",0
100,dbr:South_Dakota,"dbr:Lansing,_Michigan",0
