Imperial_Noble_Consort_Zhuangjing,Xianfeng_Emperor
Arnar_Jónsson_(actor),Þórhildur_Þorleifsdóttir
Aurora_Lacasa,Frank_Schöbel
Braj_Kachru,Yamuna_Kachru
Joe_Weider,Betty_Brosmer
Dana_Wynter,Greg_Bautzer
Conway_Berners-Lee,Mary_Lee_Woods
Joan_Kroc,Ray_Kroc
Rowan_Williams,Jane_Williams_(theologian)
Val_Jellay,Maurie_Fields
Countess_Palatine_Dorothea_Sophie_of_Neuburg,"Francesco_Farnese,_Duke_of_Parma"
Paul_McGrath_(actor),Anne_Sargent
Musbah_bint_Nasser,Abdullah_I_of_Jordan
Archduchess_Maria_Theresa_of_Austria_(1845–1927),Duke_Philipp_of_Württemberg
Richie_Aprile,Janice_Soprano
Allan_Myers,Maria_Myers
Paul_Anka,Anna_Anka
Marion_Stein,"George_Lascelles,_7th_Earl_of_Harewood"
Ecgwynn,Edward_the_Elder
Lauren_Bowles,Patrick_Fischler
Margarita_Zavala,Felipe_Calderón
Pamela_Peck,Paul_Tse
Allen_Paulson,Madeleine_A._Pickens
Princess_Khentkaus,Khufukhaf_II
Gertrude_of_Süpplingenburg,"Henry_X,_Duke_of_Bavaria"
Keith_Getty,Kristyn_Getty
Julie_McWhirter,Rick_Dees
Henry_the_Young_King,"Margaret_of_France,_Queen_of_England_and_Hungary"
Qudsia_Begum,Muhammad_Shah
"Louis_I,_Landgrave_of_Hesse","Anna_of_Saxony,_Landgravine_of_Hesse"
Habibullah_Bahar_Chowdhury,Anwara_Bahar_Chowdhury
Steve_Johnson_(special_effects_artist),Linnea_Quigley
Sarah_Greene,Mike_Smith_(broadcaster)
Selim_I,Hafsa_Sultan_(wife_of_Selim_I)
Sucharit_Suda,Vajiravudh
Yumjaagiin_Tsedenbal,Anastasia_Filatova
Amala_Paul,A._L._Vijay
Peter_Griffin,Lois_Griffin
Princess_Pauline_of_Anhalt-Bernburg,"Leopold_I,_Prince_of_Lippe"
Mona_Maris,Clarence_Brown
Thibaw_Min,Supayalat
Amy_Irving,Bruno_Barreto
Mostafa_Adl,Mozaffar_ad-Din_Shah_Qajar
Mara_Jade,Luke_Skywalker
"Amadeus_V,_Count_of_Savoy",Sybille_of_Bâgé
Mathilda_of_Dendermonde,"William_II,_Lord_of_Béthune"
"Francis_Douglas,_11th_Marquess_of_Queensberry",Cathleen_Mann
Narapati_I_of_Ava,Atula_Thiri_Maha_Yaza_Dewi_of_Ava
Sussanne_Khan,Hrithik_Roshan
"Bogusław_I,_Duke_of_Pomerania",Anastasia_of_Greater_Poland
Dorothy_Bishop_(psychologist),Patrick_Rabbitt
LisaRaye_McCoy,Tony_Martin_(American_football)
Ruqaiya_Hasan,Michael_Halliday
Violante_of_Vilaragut,"Otto,_Duke_of_Brunswick-Grubenhagen"
"Catherine_of_Austria,_Queen_of_Portugal",John_III_of_Portugal
Christina_Applegate,Johnathon_Schaech
Avril_Elgar,James_Maxwell_(actor)
Krystyna_Lubomirska_(d._1669),Feliks_Kazimierz_Potocki
Mandy_Musgrave,Matt_Cohen_(actor)
Lakshamilavan,Vajiravudh
Tranquillina,Gordian_III
Nelle_Wilson_Reagan,Jack_Reagan
Eleanor_Powell,Glenn_Ford
Ahmose-Meritamun,Amenhotep_I
Hank_Hill,Peggy_Hill
"Theodore_Eustace,_Count_Palatine_of_Sulzbach",Landgravine_Maria_Eleonore_of_Hesse-Rotenburg
Mary_Ellen_Trainor,Robert_Zemeckis
Thomas_Hager,Lauren_Kessler
Sam_Worthington,Lara_Bingle
Ken_Berry,Jackie_Joseph
Elizabeth_Hartman,Gill_Dennis
Abhishek_Kapoor,Pragya_Yadav
Suharto,Siti_Hartinah
Mary_Ball_Washington,Augustine_Washington
Colin_Mochrie,Debra_McGrath
Martha_Hart,Owen_Hart
Ranavalona_III,Rainilaiarivony
Tobias_Zilliacus,Linda_Zilliacus
Dona_Cadman,Chuck_Cadman
Raymond_Woodard_Brink,Carol_Ryrie_Brink
Lucy_Porter,Justin_Edwards_(actor)
Lily_Pastré,Jean_Pastré
Joseph_M._McCormick,Ruth_Hanna_McCormick
Rachelle_Wilkos,Steve_Wilkos
"Anastasia,_Princess_of_Löwenstein-Wertheim-Rosenberg","Alois-Konstantin,_9th_Prince_of_Löwenstein-Wertheim-Rosenberg"
James_Fox_(journalist),Bella_Freud
Athina_Livanos,Stavros_Niarchos
Wahinepio,Kamehameha_I
Reuven_Rivlin,Nechama_Rivlin
Kathy_Jamieson,John_McArdle
Stefan_Löfven,Ulla_Löfvén
Sthefany_Brito,Alexandre_Pato
Joel_Klein,Nicole_Seligman
Marie_Charlotte_de_la_Trémoille,"Bernhard_II,_Duke_of_Saxe-Jena"
Murad_I,Kera_Tamara
Jean-Pierre_Boyer,Marie-Madeleine_Lachenais
Gerberga_of_Saxony,"Gilbert,_Duke_of_Lorraine"
Josh_Beech,Shenae_Grimes
Nanmadaw_Me_Nu,Bagyidaw
María_Cristina_Arango_Vega,Misael_Pastrana_Borrero
Mary_Ann_Mobley,Gary_Collins_(actor)
Gisela_Agnes_of_Anhalt-Köthen,"Leopold_II,_Prince_of_Anhalt-Dessau"
Anna_of_Racibórz,"Nicholas_II,_Duke_of_Opava"
"Maximilian_Karl,_6th_Prince_of_Thurn_and_Taxis",Baroness_Wilhelmine_of_Dörnberg
Crispin_Odey,Nichola_Pease
Judith_Roberts_(actress),Pernell_Roberts
Jonathan_Safran_Foer,Nicole_Krauss
Folake_Coker,Folorunsho_Coker
Tracy_Reed_(English_actress),Edward_Fox_(actor)
Britta_Holmberg,Stig_Olin
Donna_Frye,Skip_Frye
Ione_Skye,Ben_Lee
"Elizabeth_de_Badlesmere,_Countess_of_Northampton","William_de_Bohun,_1st_Earl_of_Northampton"
Olga_Feodorovna_of_Baden,Grand_Duke_Michael_Nikolaevich_of_Russia
Ludu_Daw_Amar,Ludu_U_Hla
Dexter_Fletcher,Dalia_Ibelhauptaitė
Olga_Schoberová,John_Calley
Madge_Kendal,William_Hunter_Kendal
Shekhar_Kapur,Suchitra_Krishnamoorthi
Ingeborg_of_Mecklenburg-Schwerin,"Henry_II,_Count_of_Holstein-Rendsburg"
Joseph_Bologna,Renée_Taylor
Ælfgifu_of_York,Æthelred_the_Unready
Julia_Blake,Terry_Norris_(actor)
Duchess_Anna_of_Prussia,"John_Sigismund,_Elector_of_Brandenburg"
Geoffrey_Robertson,Kathy_Lette
Elizabeth_of_Austria_(1526–1545),Sigismund_II_Augustus
Elis_Sella,Seela_Sella
"Philipp_I,_Count_of_Hanau-Münzenberg",Adriana_of_Nassau-Dillenburg
"Sophie,_Countess_of_Wessex","Prince_Edward,_Earl_of_Wessex"
Richard_Johnson_(actor),Kim_Novak
"Gaston,_Duke_of_Orléans","Marie_de_Bourbon,_Duchess_of_Montpensier"
Lucy_Torres,Richard_Gomez
Edward_II_of_England,Isabella_of_France
Kaley_Cuoco,Ryan_Sweeting
Chuck_Bass,Blair_Waldorf
Sam_Elliott,Katharine_Ross
Alicia_Ostriker,Jeremiah_P._Ostriker
Ateneh_Faghih_Nasiri,Fariborz_Arabnia
Archduchess_Ilona_of_Austria,"Georg_Alexander,_Duke_of_Mecklenburg"
Ashley_Blue,Dave_Naz
Ikbal_Ali_Shah,Saira_Elizabeth_Luiza_Shah
John_Woodvine,Lynn_Farleigh
Parag_Tyagi,Shefali_Zariwala
Harold_Lloyd,Mildred_Davis
"Douglas_Sheffield,_Baroness_Sheffield","John_Sheffield,_2nd_Baron_Sheffield"
Simon_Sebag_Montefiore,Santa_Montefiore
Roger_Spottiswoode,Holly_Palance
"Afonso,_Duke_of_Porto",Nevada_Stoody_Hayes
Ferenc_Mádl,Dalma_Mádl
Ian_McFadyen,Mary-Anne_Fahey
Martin_Bursík,Kateřina_Jacques
Jocelyn_Lane,Prince_Alfonso_of_Hohenlohe-Langenburg
Kim_Hartman,John_Nolan_(British_actor)
George_W._Bush,Laura_Bush
Mary_Bono,Stephen_S._Oswald
Grand_Duchess_Elena_Pavlovna_of_Russia,"Frederick_Louis,_Hereditary_Grand_Duke_of_Mecklenburg-Schwerin"
Simon_I_of_Kartli,"Nestan-Darejan_of_Kakheti,_Queen_of_Kartli"
William_Wilde,Jane_Wilde
Toni_Redpath,Michael_Mead
Jeannette_McHugh,Michael_McHugh
Kadu_Andou,Eiji_Okuda
Ione_Skye,Ad-Rock
Humphrey_Bogart,Helen_Menken
Joel_Kleefisch,Rebecca_Kleefisch
Recep_Tayyip_Erdoğan,Emine_Erdoğan
Gabrielle_Colonna-Romano,Alfred_Edwards_(journalist)
Alexander_II_of_Scotland,Marie_de_Coucy
Edwin_Schlossberg,Caroline_Kennedy
Ameitta_Thiri_Maha_Dhamma_Dewi_of_Ava,Thihathura_of_Ava
Lee_de_Forest,Marie_Mosquini
Margaret_Leighton,Michael_Wilding_(actor)
Princess_Ulrike_Friederike_Wilhelmine_of_Hesse-Kassel,"Frederick_August_I,_Duke_of_Oldenburg"
"Theobald_I,_Count_of_Blois",Luitgarde_of_Vermandois
Chris_Young_(actor),Lea_Moreno_Young
André_Bettencourt,Liliane_Bettencourt
Loret_Miller_Ruppe,Philip_Ruppe
Brynn_Thayer,Gerald_Anthony
Satpal_Maharaj,Amrita_Rawat
Tee_Tee_Luce,Gordon_Luce
Liz_Feldman,Rachael_Cantu
Steve_Cochran,Fay_McKenzie
Yang_Zishan,Matt_Wu
Andrei_Linde,Renata_Kallosh
Yao_Yecheng,Chiang_Kai-shek
Richard_Egan_(actor),Patricia_Hardy
"Charlotte,_Landgravine_of_Hesse-Kassel","Charles_I_Louis,_Elector_Palatine"
Stephen_Tomašević_of_Bosnia,"Maria_of_Serbia,_Queen_of_Bosnia"
Kristin_Cavallari,Jay_Cutler_(American_football)
"Coloman,_King_of_Hungary",Felicia_of_Sicily
Clark_Donnelly,Mary_Darling
Shin_Bo-Me,Minkhaung_I
Claire_Fraser_(character),Jamie_Fraser_(character)
Isabelle_De_Funès,Michel_Duchaussoy
Seena_Owen,George_Walsh
Willard_Mack,Pauline_Frederick
"Hermann,_Prince_of_Hohenlohe-Langenburg",Princess_Leopoldine_of_Baden
"Ferdinand_Philippe,_Duke_of_Orléans",Duchess_Helene_of_Mecklenburg-Schwerin
"Charles_Alexander,_Margrave_of_Brandenburg-Ansbach",Princess_Frederica_Caroline_of_Saxe-Coburg-Saalfeld
Pythodorida_of_Pontus,Archelaus_of_Cappadocia
Krystyna_Drohojowska,Hassling-Ketling_of_Elgin
Kirodi_Lal_Meena,Golma_Devi_Meena
Margaret_Rutherford,Stringer_Davis
Julia_Trevelyan_Oman,Roy_Strong
Tim_Waterstone,Rosie_Alison
Roland_Culver,Daphne_Rye
Naratheinkha,Weluwaddy
Daoguang_Emperor,Empress_Xiaojingcheng
Anne_Rice,Stan_Rice
Rita_Sargsyan,Serzh_Sargsyan
"Agnes_of_Aquitaine,_Queen_of_León_and_Castile",Alfonso_VI_of_León_and_Castile
Wallace_Beery,Gloria_Swanson
Emperor_Taizong_of_Tang,Empress_Zhangsun
"Frederick,_Duke_of_Bavaria",Maddalena_Visconti
Chlothar_I,Guntheuc
"Robert_Devereux,_3rd_Earl_of_Essex","Frances_Carr,_Countess_of_Somerset"
Victoria_Shaw_(actress),Roger_Smith_(actor)
"Elizabeth_Capell,_Countess_of_Essex","Arthur_Capell,_1st_Earl_of_Essex"
Irma_Dorantes,Pedro_Infante
"William_V,_Duke_of_Bavaria",Renata_of_Lorraine
Stuart_Firestein,Diana_Reiss
Arna_Selznick,John_van_Bruggen
Assia_Wevill,David_Wevill
Azlan_Shah_of_Perak,Tuanku_Bainun
Natalia_Alexeievna_(Wilhelmina_Louisa_of_Hesse-Darmstadt),Paul_I_of_Russia
Ina_Garten,Jeffrey_Garten
Lois_Andrews,Steve_Brodie_(actor)
Christina_Onassis,Thierry_Roussel
Frances_Bagley,Tom_Orr
Kyansittha,Manisanda
Princess_Cecilia_of_Sweden,"Christopher_II,_Margrave_of_Baden-Rodemachern"
Ralph_Merkle,Carol_Shaw_(video_game_designer)
"Frederick_III,_Duke_of_Holstein-Gottorp",Duchess_Marie_Elisabeth_of_Saxony
Cao_Rui,Empress_Mao_(Ming)
Adrian_(costume_designer),Janet_Gaynor
Ilona_Zrínyi,Francis_I_Rákóczi
Amanda_Hillwood,Matt_Frewer
Lady_Charles_Bentinck,Lord_Charles_Bentinck
Leora_Dana,Kurt_Kasznar
"Heinrich_VII,_Prince_Reuss_of_Köstritz",Princess_Marie_Alexandrine_of_Saxe-Weimar-Eisenach
Barbara_Ruick,Robert_Horton_(actor)
Cliff_Edwards,Judith_Barrett
Jack_Hulbert,Cicely_Courtneidge
"James_Wilde,_1st_Baron_Penzance","Mary_Wilde,_Baroness_Penzance"
Margaret_Knox,John_Knox
Agnès_of_Navarre,"Gaston_III,_Count_of_Foix"
Carl_Lumbly,Vonetta_McGee
David_Miscavige,Michele_Miscavige
Count_Dracula,Brides_of_Dracula
Victor_Pinchuk,Olena_Pinchuk
Rachel_Miner,Worthington_Miner
Nadine_Schiff,Fred_Rosen_(businessman)
Nikephoros_III_Botaneiates,Maria_of_Alania
Hatice_Muazzez_Sultan,Ibrahim_of_the_Ottoman_Empire
