Robert_Z._Leonard,Mae_Murray
Carlo_Buonaparte,Letizia_Ramolino
Humphrey_Ker,Megan_Ganz
Leanza_Cornett,Mark_Steines
Sandra_Day_O'Connor,John_Jay_O'Connor
"Violet_Manners,_Duchess_of_Rutland","Henry_Manners,_8th_Duke_of_Rutland"
Sangeetha_Krish,Krish_(singer)
Mary_Merrall,Franklin_Dyall
"John_Henry,_Margrave_of_Moravia",Margaret_of_Opava
Glenn_Falkenstein,Frances_Willard_(magician)
Sita_bint_Fahd_Al_Damir,Khalid_of_Saudi_Arabia
Peggy_Cartwright,Phil_Baker_(comedian)
Lee_Radziwill,Herbert_Ross
Ivan_Alexander_of_Bulgaria,Theodora_of_Wallachia
Florence_Gilbert,Edgar_Rice_Burroughs
Béla_III_of_Hungary,"Margaret_of_France,_Queen_of_England_and_Hungary"
Dorothy_Dandridge,Harold_Nicholas
Luther_Reed,Naomi_Childers
Meresankh_II,Khafra
Margaret_Elisabeth_of_Leiningen-Westerburg,"Frederick_I,_Landgrave_of_Hesse-Homburg"
Albert_Salmi,Peggy_Ann_Garner
Sidney_Craig,Jenny_Craig_(entrepreneur)
Christiane_Charlotte_of_Württemberg-Winnental,"William_Frederick,_Margrave_of_Brandenburg-Ansbach"
Elaine_Tettemer_Marshall,E._Pierce_Marshall
Robert_Menzies,Pattie_Menzies
Elisabeth_Delatour_Préval,René_Préval
Ji_Sung,Lee_Bo-young
Fanya_Baron,Aron_Baron
Eadbald_of_Kent,Emma_of_Austrasia
Rachel_Kempson,Michael_Redgrave
Nikephoros_III_Botaneiates,Maria_of_Alania
Bobet_Vidanes,Cory_Vidanes
Octavia_of_the_Julii,Mark_Antony_(Rome_character)
Meta_Vaux_Warrick_Fuller,Solomon_Carter_Fuller
Jean_Peters,Stan_Hough
David_Ben-Gurion,Paula_Ben-Gurion
Frances_Osborne,George_Osborne
Pōtatau_Te_Wherowhero,Whakaawi
Jefferson_Mays,Susan_Lyons
Mark_Shand,Clio_Goldsmith
Ankita_Karan_Patel,Karan_Patel
Zbigniew_Brzezinski,Emilie_Benes_Brzezinski
Harold_Jeffreys,Bertha_Swirles
Vaitiare_Bandera,Peter_Bandera
Roger_I_of_Sicily,Judith_d'Évreux
Kevin_Federline,Britney_Spears
Elinor_Kershaw,Thomas_H._Ince
Max_Frisch,Gertrud_Frisch-von_Meyenburg
Vendela_Kirsebom,Olaf_Thommessen
Emma_Roldán,Alfredo_del_Diestro
Virginia_Christine,Fritz_Feld
Lepa_Brena,Slobodan_Živojinović
Ximena_Armas,Henri_Richelet
Patti_Newton,Bert_Newton
Stacey_Nelkin,Barry_Bostwick
Eric_IV_of_Denmark,Jutta_of_Saxony
Saif_Ali_Khan,Amrita_Singh
Qiao_Guanhua,Zhang_Hanzhi
Kasi_Lemmons,Vondie_Curtis-Hall
Consuelo_de_Saint_Exupéry,Enrique_Gómez_Carrillo
Suzanne_Bernert,Akhil_Mishra
Oksana_Lutsyshyn,Andrey_Kasparov
"Anne,_Princess_Royal_and_Princess_of_Orange","William_IV,_Prince_of_Orange"
Weslyn_Mather,Dick_Mather
William_II_of_Württemberg,Charlotte_of_Schaumburg-Lippe
Puyi,Li_Yuqin
John_Cromwell_(director),Kay_Johnson
Robert_Taylor_(Australian_actor),Ayisha_Davies
Domitilla_the_Elder,Vespasian
Marvin_Minoff,Bonnie_Franklin
Margaret_of_Anhalt-Köthen,"John,_Elector_of_Saxony"
Jacqueline_Piatigorsky,Gregor_Piatigorsky
Clara_Porset,Xavier_Guerrero
Carter_Covington,Patrick_Sean_Smith
Viggo_Hansteen,Kirsten_Hansteen
Mohammed_Nadir_Shah,Mah_Parwar_Begum
Agnes_of_Solms-Laubach,"Maurice,_Landgrave_of_Hesse-Kassel"
Mona_Bruns,Frank_M._Thomas
Stephen_Bekassy,Hanna_Hertelendy
Alexandra_Coelho_Ahndoril,Alexander_Ahndoril
Robin_Chandler_Duke,Angier_Biddle_Duke
Carter_Harrison_Jr.,Edith_Ogden_Harrison
Prince_Gabriel_of_Bourbon-Two_Sicilies,Princess_Cecylia_Lubomirska
Satyavati,Shantanu
Rajesh_Khattar,Neelima_Azeem
David_A._Siegel,Jackie_Siegel
Alex_Hyde-White,Karen_Dotrice
Kanaiyalal_Maneklal_Munshi,Lilavati_Munshi
Bolesław_II_of_Masovia,Gaudemunda_of_Lithuania
Latha_Walpola,Dharmadasa_Walpola
Marc_Chagall,Bella_Rosenfeld
Woody_Allen,Louise_Lasser
Mark_Womack_(British_actor),Samantha_Womack
Rand_Brooks,Stan_Laurel
Katie_Kitamura,Hari_Kunzru
Gillian_Blake,Peter_Whitbread
"Princess_Marilène_of_Orange-Nassau,_van_Vollenhoven","Prince_Maurits_of_Orange-Nassau,_van_Vollenhoven"
Béatrice_Schönberg,Jean-Louis_Borloo
Manav_Gohil,Shweta_Kawatra
Ash_Carter,Clayton_Spencer
Rosemary_Harris,Ellis_Rabb
Antonio_Damasio,Hanna_Damasio
Elaine_S._Edwards,Edwin_Edwards
Danny_DeVito,Rhea_Perlman
"Sir_Charles_Dilke,_2nd_Baronet","Emilia,_Lady_Dilke"
Laulu_Fetauimalemau_Mata'afa,Fiame_Mata'afa_Faumuina_Mulinu'u_II
Felix_Kramer,Rochelle_Lefkowitz
Eileen_Way,Felix_Warden_Brown
Katrine_Conroy,Ed_Conroy_(politician)
Yoshihiro_Togashi,Naoko_Takeuchi
Caroline_St-Hilaire,Maka_Kotto
Martha_Raddatz,Ben_Bradlee_Jr.
Patrick_Tatopoulos,McKenzie_Westmore
Yoshiko_Yamaguchi,Isamu_Noguchi
Kalki_Koechlin,Anurag_Kashyap
Viridis_Visconti,"Leopold_III,_Duke_of_Austria"
Kikko_Matsuoka,Hayato_Tani
Charles_Barron,Inez_Barron
Shin_Shwe_of_Pagan,Narathihapate
Sonia_McMahon,William_McMahon
Vera_Miles,Gordon_Scott
Louise_Thompson_Patterson,Wallace_Thurman
Jayant_Pandurang_Naik,Chitra_Naik
Haskell_Wexler,Rita_Taggart
Lloyd_Hughes,Gloria_Hope
Michael_C._Hall,Jennifer_Carpenter
Cathal_Brugha,Caitlín_Brugha
Henry_de_La_Falaise,Constance_Bennett
George_VII_of_Imereti,Princess_Rodam_of_Kartli
Deepa_Mehta,Paul_Saltzman
Hope_Portocarrero,Anastasio_Somoza_Debayle
Debbie_Dingell,John_Dingell
Rajalakshmi_Parthasarathy,Y._G._Parthasarathy
Richard_Lawson_(actor),Tina_Knowles
"Bernhard_I,_Duke_of_Saxe-Meiningen",Marie_Hedwig_of_Hesse-Darmstadt
Margaret_Rhodes,Denys_Rhodes
Kiersten_Warren,Jonathan_Lemkin
Pete_Wilder,Violet_Turner
Archduke_Karl_Ferdinand_of_Austria,Archduchess_Elisabeth_Franziska_of_Austria
Infanta_Maria_Antonia_of_Portugal,"Robert_I,_Duke_of_Parma"
Hugh_Williams,Margaret_Vyner
"Guy,_Count_of_Flanders",Isabelle_of_Luxembourg
Norma_Reid_Birley,Derek_Birley
Joyce_Carol_Oates,Raymond_J._Smith
