Terry_Rhoads,Lise_Simms
Alma_Mahler,Walter_Gropius
Mekhi_Phifer,Malinda_Williams
Emilia_Solórzano_Alfaro,Tomás_Guardia_Gutiérrez
Filipa_Moniz_Perestrelo,Christopher_Columbus
Alice_S._Huang,David_Baltimore
Maria_Angela_Caterina_d'Este,"Emmanuel_Philibert,_Prince_of_Carignano"
Navid_Kermani,Katajun_Amirpur
Jean_Willes,Gerard_Cowhig
Samuel_Benchetrit,Marie_Trintignant
Henrietta_of_England,"Philippe_I,_Duke_of_Orléans"
Season_Hubley,Kurt_Russell
Dick_Powell,Joan_Blondell
Pen_Tennyson,Nova_Pilbeam
Teji_Bachchan,Harivansh_Rai_Bachchan
Marie_Victoire_de_Noailles,Louis_de_Pardaillan_de_Gondrin_(1688–1712)
Don_Oreck,Joanna_Moore
Mary_Hatcher,Alvin_Stoller
Alexandra_Colen,Paul_Beliën
Henry_Rapoport,Sonya_Rapoport
"Francis_IV,_Duke_of_Modena",Maria_Beatrice_of_Savoy
Montserrat_Caballé,Bernabé_Martí
Keiko_Takahashi,Banmei_Takahashi
Sacha_Bennett,Marina_Fiorato
Roberto_Benabib,Amy_Spindler
Renée_French,Rob_Pike
Garth_Fisher,Jessica_Canseco
Rachel_Robinson,Jackie_Robinson
Princess_Elisabeth_of_Saxe-Altenburg_(1865–1927),Grand_Duke_Konstantin_Konstantinovich_of_Russia
Joan_Dowling,Harry_Fowler
Gurmeet_Choudhary,Debina_Bonnerjee
Patricia_Broderick,James_Broderick
Blanche_of_Brittany,Philip_of_Artois
Monika_Lundi,Horst_Janson_(actor)
Henri-Georges_Clouzot,Véra_Clouzot
