"Sydney_Buxton,_1st_Earl_Buxton",Prince_Arthur_of_Connaught
"John_West,_1st_Earl_De_La_Warr",George_II_of_Great_Britain
"Friedrich_Christian,_Margrave_of_Meissen",Frederick_Augustus_III_of_Saxony
Samuel_Fenton_Cary,Rutherford_B._Hayes
Lynne_Cheney,George_H._W._Bush
Sancho_I_of_León,Ordoño_IV_of_León
"Henry_Raspe,_Landgrave_of_Thuringia","Henry_III,_Margrave_of_Meissen"
Ngô_Đình_Nhu,Ngô_Đình_Thục
Mahmud_II,Abdülmecid_I
Aaron_Burr,John_Laurance
"Rupert_II,_Elector_Palatine","Rupert_I,_Elector_Palatine"
Robert_J._Corbett,H._John_Heinz_III
Ferdinand_VII_of_Spain,Charles_IV_of_Spain
Lawrence_S._Bacow,John_A._DiBiaggio
Peter_IV_of_Aragon,Martin_of_Aragon
"Amadeus_V,_Count_of_Savoy","Aymon,_Count_of_Savoy"
Naile_Sultan,Abdülmecid_I
Anna_d'Este,"Henry_I,_Duke_of_Guise"
Christian_VII_of_Denmark,Paul_I_of_Russia
Vakhtang_I_of_Iberia,Mihrdat_V_of_Iberia
Margaret_Thatcher,Harold_Wilson
John_Wilson_(governor),William_IV_of_the_United_Kingdom
Charles_G._Dawes,Calvin_Coolidge
"Joan,_Countess_of_Ponthieu",Eleanor_of_Castile
Mahmud_II,Abdülmecid_I
Alan_Stephen_Gold,Bill_Clinton
Rufus_Ada_George,Peter_Odili
Candy_Spelling,Tori_Spelling
Henry_Hugh_Gordon_Stoker,Bram_Stoker
Manuel_Blum,Ronitt_Rubinfeld
Æthelwulf,Alfred_the_Great
Bob_Casey_Jr.,Ed_Rendell
Said_Durrah,Bill_Cosby
Robert_Crichton_Wyllie,Kamehameha_III
Eleanor_of_Provence,Beatrice_of_Savoy
Ethan_Peck,Gregory_Peck
"Maximilian_de_Beauharnais,_3rd_Duke_of_Leuchtenberg",Eugène_de_Beauharnais
Princess_Louise_of_Denmark_(1750–1831),Prince_Frederik_of_Hesse
Mickey_Petralia,Beck
Charles_Arbuthnot,"William_Eliot,_2nd_Earl_of_St_Germans"
Fred_Karger,Ronald_Reagan
Václav_Klaus,Vladimír_Špidla
Daryl_Dawson,Malcolm_Fraser
Andrew_II_of_Hungary,Béla_III_of_Hungary
Azam_Jah,Mukarram_Jah
Alfonso_V_of_Aragon,Ferdinand_I_of_Aragon
Patrick_Macnee,Patrick_Magee_(actor)
Reuven_Rivlin,Avraham_Burg
Tony_Mullins,Kenny_Chesney
Tvrtko_II_of_Bosnia,Tvrtko_I_of_Bosnia
"George_Howard,_6th_Earl_of_Carlisle","William_Lamb,_2nd_Viscount_Melbourne"
Chandrika_Kumaratunga,Ranil_Wickremesinghe
Peggy_Schuyler,Alexander_Hamilton
Samuel_Parker_(Hawaii),John_Mott-Smith
Christian_Brando,Marlon_Brando
Daniel_Webster,John_Forsyth_(Georgia)
"Charles,_Count_of_Valois","Charles_II,_Count_of_Alençon"
Edward_Akufo-Addo,Ignatius_Kutu_Acheampong
Judi_Patton,Libby_Jones
Susan_Howe,Wallace_Stevens
Mechthild_of_Germany,"Louis_III,_Elector_Palatine"
Christian_III_of_Denmark,Frederick_II_of_Denmark
David_Henshaw,John_Tyler
Robert_F._Wagner_Jr.,Hugo_Rogers
William_Ewart_Gladstone,William_Henry_Gladstone
Jacob_Stumm,Andrew_Fisher
James_Brolin,Josh_Brolin
"Albert_III,_Duke_of_Austria","Rudolf_IV,_Duke_of_Austria"
Ben_Chifley,George_Pearce
Romano_Prodi,Silvio_Berlusconi
Jeff_Rose,Bob_Rae
Umm_Salama,Umar
Bennie_Maupin,Miles_Davis
Ephraim_F._Morgan,Howard_Mason_Gore
Jim_Edwards_(Queensland_politician),Joh_Bjelke-Petersen
Regina_Ip,Leung_Chun-ying
Kunigunde_of_Austria,Susanna_of_Bavaria
Singspiel_(horse),Mohammed_bin_Rashid_Al_Maktoum
Aleksandra_Marianna_Wiesiołowska,Marek_Sobieski
Saddam_Hussein,Ahmed_Hassan_al-Bakr
Mohammad_Aliabadi,Mahmoud_Ahmadinejad
Simon_Khaya-Moyo,Robert_Mugabe
Murshid_Quli_Khan,Aurangzeb
Yung_Wun,Swizz_Beatz
Philip_II_of_Spain,"Carlos,_Prince_of_Asturias"
Katharine_Smith_Reynolds,Zachary_Smith_Reynolds
José_Bono_Martínez,José_Luis_Rodríguez_Zapatero
William_Nelson_Runyon,Warren_G._Harding
Jairam_Ramesh,Manmohan_Singh
Edward_Lowassa,Benjamin_Mkapa
Renee_Sands,Fergie_(singer)
"Robert_Stewart,_Viscount_Castlereagh",George_IV_of_the_United_Kingdom
Andrew_Marr,Nick_Robinson
Casimir_II_the_Just,Salomea_of_Berg
Tatiana_Samoilova,Yevgeny_Samoylov
John_D._MacArthur,J._Roderick_MacArthur
"John_I,_Duke_of_Brabant","Henry_III,_Duke_of_Brabant"
Princess_Regina_of_Saxe-Meiningen,Andrea_von_Habsburg
John_of_Bohemia,"Wenceslaus_I,_Duke_of_Luxembourg"
Socks_(cat),Bill_Clinton
Woodrow_Wilson,Josephus_Daniels
Oakley_Hall,Michael_Chabon
Philip_Niarchos,Eugenia_Livanos
Mediha_Sultan,Abdülmecid_I
"Hugh_Percy,_2nd_Duke_of_Northumberland","Hugh_Percy,_1st_Duke_of_Northumberland"
"João_I,_Duke_of_Braganza","Teodósio_II,_Duke_of_Braganza"
Mehmed_Emin_Rauf_Pasha,Abdülmecid_I
"Charles_IV,_Holy_Roman_Emperor",John_of_Bohemia
Bud_Gaugh,Gwen_Stefani
Sophia_Louise_of_Mecklenburg-Schwerin,Sophia_Dorothea_of_Hanover
Abaza_Siyavuş_Pasha_I,Melek_Ahmed_Pasha
Ismail_Nasiruddin_of_Terengganu,Sultan_Ali_Shah
Will_Graham_(character),Hugh_Dancy
Keeaumoku_Nui,Keōua
"John_Fane,_10th_Earl_of_Westmorland","John_Fane,_9th_Earl_of_Westmorland"
Walter_Nathan_Tobriner,Richard_Nixon
Judith_of_Flanders,Osburh
Dr._Luke,Avril_Lavigne
Mirek_Topolánek,Václav_Klaus
Dara_Murphy,Enda_Kenny
Barbara_Bodine,George_W._Bush
Kōichi_Kido,Hirohito
Christina_Henderson,Elizabeth_McCombs
Marion_De_Vries,William_McKinley
Kamehameha_I,Kamehameha_II
Jay_Leno,Jerry_Seinfeld
Bibliography_of_Ulysses_S._Grant,Schuyler_Colfax
Sigismund_III_Vasa,Charles_IX_of_Sweden
Princess_Leopoldina_of_Brazil,Prince_August_Leopold_of_Saxe-Coburg_and_Gotha
George_Turner_(Australian_politician),Chris_Watson
Lin_Thorp,Nick_McKim
Gough_Whitlam,Arthur_Calwell
Jacky_Heung,Tiffany_Chen
Bonnie_Lowenthal,Robert_Garcia_(California_politician)
Duchess_Frederica_of_Württemberg,"Augustus,_Grand_Duke_of_Oldenburg"
"Frederick_Pethick-Lawrence,_1st_Baron_Pethick-Lawrence","William_Hare,_5th_Earl_of_Listowel"
Adam_Yarmolinsky,Babette_Deutsch
Meredith_MacRae,Heather_MacRae
Grand_Duke_Michael_Pavlovich_of_Russia,Paul_I_of_Russia
Adelbert_Theodor_Wangemann,Otto_von_Bismarck
Amber_Valletta,Cindy_Crawford
Fanny_Brice,William_Brice
Robert_Mitchell_(organist),Rudolph_Valentino
Mathurin_Romegas,Philip_II_of_Spain
William_E._Chandler,William_H._Hunt
Kunigunde_of_Brandenburg-Kulmbach,Susanna_of_Bavaria
"Agnes_of_Burgundy,_Duchess_of_Bourbon",Margaret_of_Bourbon_(1438–1483)
Thomas_G._Turner,William_Sprague_IV
Xue_Juzheng,Emperor_Taizu_of_Song
Bogusław_Leszczyński,Rafał_Leszczyński_(1650–1703)
John_Norquay,Queen_Victoria
Frederic_Clay_Bartlett,Florence_Dibell_Bartlett
William_Easterly,Milton_Friedman
"John_Murray,_3rd_Duke_of_Atholl",George_III_of_the_United_Kingdom
Juan_Núñez_I_de_Lara,Nuño_González_de_Lara_(died_1296)
Finola_Hughes,Fiona_Hughes
"Richeza_of_Sweden,_Duchess_of_Poland",Margaret_of_Brandenburg
Janus_of_Cyprus,John_II_of_Cyprus
Robert_Finch_(American_politician),Ronald_Reagan
Matti_Vanhanen,Tarja_Halonen
Henry_of_Almain,"Richard,_1st_Earl_of_Cornwall"
Duchess_Maria_Anna_Victoria_of_Bavaria,Philip_V_of_Spain
"Peter_II,_Grand_Duke_of_Oldenburg","Augustus,_Grand_Duke_of_Oldenburg"
Yazathingyan_of_Pagan,Narathihapate
Jeanne_Sauvé,Edward_Schreyer
Rodney_Jerkins,Whitney_Houston
Martin_Scorsese,Martin_Scorsese
Chlothar_I,Theudebald
Princess_Yōko_of_Mikasa,Prince_Tomohito_of_Mikasa
Ralph_E._Church,George_A._Paddock
Jesudasu_Seelam,Manmohan_Singh
John_Diefenbaker,Elizabeth_II
Chlothar_I,Guntram
"Edward,_the_Black_Prince",Philippa_of_Hainault
Samuel_Tenney,Francis_Gardner
Don_Draper,Brandon_Killham
Kōki_Hirota,Hirohito
Gennadiy_Seleznyov,Vladimir_Putin
Franklin_D._Roosevelt,Herbert_H._Lehman
"Edward_Smith-Stanley,_14th_Earl_of_Derby","Henry_John_Temple,_3rd_Viscount_Palmerston"
Joop_den_Uyl,Wim_Meijer_(Labour_Party)
Ethelinde_of_Northeim,Richenza_of_Swabia
Frasier_Crane,Martin_Crane
Guy_de_Maupassant,Anton_Chekhov
Tim_Hitchens,Theresa_May
Andrew_Peacock,John_Gorton
Margaret_Ritchie_(politician),Nigel_Dodds
Liu_Bei,Liu_Shan
Carl_Jung,Erich_Neumann_(psychologist)
"John_I,_Count_Palatine_of_Zweibrücken","Wolfgang,_Count_Palatine_of_Zweibrücken"
Bill_Brock,Howard_Baker
Annie_Porter_(character),Sandra_Bullock
Salahuddin_of_Selangor,Sirajuddin_of_Perlis
"Rudolf_IV,_Duke_of_Austria","Albert_II,_Duke_of_Austria"
Adriano_Moreira,Aníbal_Cavaco_Silva
"Frederick_Casimir,_Count_Palatine_of_Zweibrücken-Landsberg","John_II,_Count_Palatine_of_Zweibrücken"
Juana_Enríquez,Mariana_Fernández_de_Córdoba_y_Ayala
Feng_Yuxiang,Chiang_Kai-shek
Jacquetta_of_Luxembourg,Mary_Woodville
Frances_Adeline_Seward,Frances_Adeline_%22Fanny%22_Seward
Alie_Badara_Mansaray,Ernest_Bai_Koroma
"Frederick_Augustus_II,_Grand_Duke_of_Oldenburg","Peter_II,_Grand_Duke_of_Oldenburg"
Dale_Bozzio,Frank_Zappa
Shishman_(son_of_Michael_Shishman),Michael_Shishman_of_Bulgaria
Steven_Weinberg,John_Preskill
Stuart_Bell,Gordon_Brown
Friðrik_Klemenz_Sophusson,Ólafur_Ragnar_Grímsson
Princess_Elisabeth_of_Waldeck_and_Pyrmont,Princess_Helena_of_Nassau
"Paras,_Crown_Prince_of_Nepal",Gyanendra_of_Nepal
Elyse_Knox,Mark_Harmon
Sultan_bin_Zayed_bin_Khalifa_Al_Nahyan,Zayed_bin_Sultan_Al_Nahyan
Hashem_bin_Abdullah,Queen_Rania_of_Jordan
Beatrice_Bhadrayuvadi,Chulalongkorn
Alex_Chernov,Elizabeth_II
"George_Lyttelton,_1st_Baron_Lyttelton","William_Pitt,_1st_Earl_of_Chatham"
Per_Hækkerup,Ivar_Nørgaard
Ralph_Klein,Donald_Adam_Hartman
Sara_Gilbert,Allison_Adler
Helen_Connon,Millicent_Baxter
James_Wright_(poet),Stanley_Kunitz
Adam_Hughes,Dave_Stevens
Mohan_Kundariya,Narendra_Modi
Jim_Flaherty,Drummond_White
Phil_Poole,Ryan_DeGraffenried
Prince_Konrad_of_Bavaria,Princess_Amalie_Isabella_of_Bavaria
Heng_Samrin,Hun_Sen
David_Kohan,Rhea_Kohan
Marie_of_Baden-Sponheim,Kunigunde_of_Austria
Siti_Hartinah,Tommy_Suharto
Ferdinand_II_of_León,Alfonso_IX_of_León
Marion_Keisker,Elvis_Presley
Sarah-Jane_Potts,Andrew-Lee_Potts
Arch_A._Moore_Jr.,Jay_Rockefeller
Wellington_Webb,Jimmy_Carter
Mace_Windu,Samuel_L._Jackson
Alexander_II_of_Russia,Nicholas_I_of_Russia
Anne_S._Ferro,Barack_Obama
Arthur_Chaskalson,Nelson_Mandela
Pierre_Amine_Gemayel,Joyce_Gemayel
Bolesław_II_the_Generous,Władysław_I_Herman
"Arthur_Chichester,_1st_Marquess_of_Donegall",Charles_James_Fox
Countess_Palatine_Elisabeth_Auguste_of_Sulzbach,Count_Palatine_Joseph_Charles_of_Sulzbach
Carole_Keeton_Strayhorn,Susan_Combs
Robin_Kinahan,Martin_Kelso_Wallace
Tabinshwehti,Mingyi_Nyo
Khaleda_Zia,Sheikh_Hasina
"Guy_III,_Count_of_Saint-Pol","Hugh_I,_Count_of_Blois"
Grand_Duke_Michael_Nikolaevich_of_Russia,Nicholas_I_of_Russia
"John_Montagu,_4th_Earl_of_Sandwich","John_Montagu,_5th_Earl_of_Sandwich"
Chiang_Hsiao-yung,Demos_Chiang
Edmund_Barton,William_McMillan_(Australian_politician)
"Julia,_Princess_of_Battenberg",Prince_Louis_of_Battenberg
Shibdas_Ghosh,Mao_Zedong
Benito_Mussolini,Raffaele_Guariglia
Alanson_B._Houghton,Stanley_Baldwin
Donald_Regan,Howard_Baker
"Pedro_de_Castro,_1st_Duque_de_la_Conquista",Philip_V_of_Spain
Philip_II_of_Macedon,Alexander_the_Great
Summer_Roberts,Zach_Stevens
Gorm_the_Old,Harald_Bluetooth
Edwin_Edwards,Dave_Treen
John_Wain,John_Wayne
"Spencer_Cavendish,_8th_Duke_of_Devonshire",William_Ewart_Gladstone
Naihe,Ululani
Sohini_Sengupta,Swatilekha_Sengupta
Joseph_Emory_Davis,Jefferson_Davis
Wang_Mang,Ruzi_Ying
Selena,Abraham_Quintanilla_Jr.
Fred_Marshall_(British_politician),Ronald_Tree
Joanna_II_of_Naples,Margaret_of_Durazzo
Mike_McCurry_(press_secretary),Dee_Dee_Myers
"William_I,_Elector_of_Hesse","William_II,_Elector_of_Hesse"
Irina_Walker,Michael_I_of_Romania
Marco_Aurélio_Mello,Fernando_Collor_de_Mello
Poonsuk_Banomyong,Potjaman_Na_Pombejra
Baldwin_II_of_Jerusalem,Baldwin_I_of_Jerusalem
"John_II,_Count_of_Oldenburg","Christian_III,_Count_of_Oldenburg"
"Elizabeth_Seymour,_Lady_Cromwell","Henry_Cromwell,_2nd_Baron_Cromwell"
Oskar_R._Lange,Karl_Marx
Elie_Wiesel,George_Clooney
Il-Arslan,Ala_ad-Din_Tekish
Madeleine_M._Kunin,Richard_A._Snelling
Inetkaes,Djoser
Sammy_Wilson,Nigel_Dodds
Keōpūolani,Kamehameha_II
Lyman_Enos_Knapp,Benjamin_Harrison
John_Donelson,Andrew_Jackson
Ric_Parnell,Michael_Des_Barres
Amala_Shankar,Mamata_Shankar
Attilio_Celant,Amartya_Sen
The_Young_and_the_Restless_characters_(1990s),Ken_Howard
"Henry_Stafford,_2nd_Duke_of_Buckingham","Humphrey_Stafford,_Earl_of_Stafford"
Paul_Barras,Joséphine_de_Beauharnais
Frank_C._Newman,Jerry_Brown
Angela_Merkel,Jürgen_Trittin
Marion_De_Vries,Warren_G._Harding
Constance_of_Hungary,Béla_III_of_Hungary
Philip_V_of_Spain,Charles_II_of_Spain
Brendan_Byrne,Thomas_Kean
Will_H._Hays,Warren_G._Harding
Dick_Roche,Lucinda_Creighton
Tabinshwehti,Mingyi_Nyo
F._W._de_Klerk,Thabo_Mbeki
Shah_Mehmood_Qureshi,Nawaz_Sharif
Ellen_Moyer,Joshua_J._Cohen
Tessa_Jowell,Tony_McNulty
Janice_Soprano,David_Chase
Billy_Connolly,Russell_Howard
Mary_de_Bohun,"Humphrey_de_Bohun,_7th_Earl_of_Hereford"
Princess_Eleonore_of_Solms-Hohensolms-Lich,"Georg_Donatus,_Hereditary_Grand_Duke_of_Hesse"
Pinkie_Brown,Richard_Attenborough
Han_Suyin,Mao_Zedong
Akbar_Hashemi_Rafsanjani,Ali_Khamenei
Zofia_Branicka,Franciszek_Ksawery_Branicki
Dhruba_Bahadur_Pradhan,Birendra_of_Nepal
Jack_Garfein,Herschel_Garfein
"John_Spencer,_8th_Earl_Spencer","Charles_Spencer,_9th_Earl_Spencer"
"Charlotte_Lee,_Countess_of_Lichfield","George_Lee,_2nd_Earl_of_Lichfield"
Asghar_Farhadi,Sarina_Farhadi
Saad_bin_Abdulaziz,Ibn_Saud
Dennis_Robertson_(economist),Knut_Wicksell
"Edward_Cavendish,_10th_Duke_of_Devonshire","Douglas_Hacking,_1st_Baron_Hacking"
Prince_Gabriel_of_Bourbon-Two_Sicilies,Princess_Maria_Antonietta_of_Bourbon-Two_Sicilies
Pierre_R._Graham,Richard_Nixon
John_Harris_(Alaska_politician),Sarah_Palin
Ali,Muhammad
L._Craig_Johnstone,Ronald_Reagan
Drusus_Caesar,Agrippina_the_Elder
Charles_Martel,Pepin_of_Herstal
Nicholas_Scott,John_Major
Bhumibol_Adulyadej,Ananda_Mahidol
Norman_Willmore,John_Lyle_Robinson
Frylock,Matt_Maiellaro
Isabella_of_Savoy,"Francesco_I_d'Este,_Duke_of_Modena"
"Albert,_Prince_Consort","Ernest_I,_Duke_of_Saxe-Coburg_and_Gotha"
Andrew_Peacock,Jane_Chapple-Hyam
Jim_Halpert,Greg_Daniels
Debbie_Stabenow,Joe_Schwarz
Carl_Reiner,Rob_Reiner
Patsy_Reddy,Jerry_Mateparae
Ferdinand_III_of_Castile,Berengaria_of_Castile
Gideon_Gono,Robert_Mugabe
"George_Villiers,_2nd_Duke_of_Buckingham","Katherine_Villiers,_Duchess_of_Buckingham"
Galusha_A._Grow,Abraham_Lincoln
"Jacques-René_de_Brisay_de_Denonville,_Marquis_de_Denonville",Louis_de_Buade_de_Frontenac
Ivan_Sergeyevich_Obolensky,Ava_Alice_Muriel_Astor
Augusta_Victoria_of_Schleswig-Holstein,Prince_August_Wilhelm_of_Prussia
Itō_Hirobumi,Emperor_Meiji
Ricardo_Lagos,Eduardo_Frei_Ruiz-Tagle
"John_Ponsonby,_4th_Earl_of_Bessborough",William_IV_of_the_United_Kingdom
Jack_Abbott_(author),Mao_Zedong
Tessa_Jowell,Liam_Byrne
Henri_Queuille,François_Mitterrand
August_Košutić,Alexander_I_of_Yugoslavia
Princess_Victoria_of_Saxe-Coburg-Saalfeld,Queen_Victoria
List_of_German_football_transfers_winter_2008–09,Kevin-Prince_Boateng
Norina_Matchabelli,Meher_Baba
"Edmund_Mortimer,_3rd_Earl_of_March","Roger_Mortimer,_4th_Earl_of_March"
Bronisław_Komorowski,Donald_Tusk
Gavin_Williamson,David_Cameron
A._Thomas_McLellan,Barack_Obama
Lady_Abahai,Empress_Xiaocigao_(Qing_dynasty)
Selim_II,Murad_III
"Zaifeng,_Prince_Chun",Puyi
Ulric_Manfred_II_of_Turin,Manfred_I_of_Turin
Niobe_(The_Matrix),Jada_Pinkett_Smith
Joseph_E._Davies,Hugh_S._Gibson
Pōmare_V,Ariifaaite
Princess_Luise_Dorothea_of_Prussia,Frederick_I_of_Prussia
Volodymyr_Khandohiy,Petro_Poroshenko
Reverdy_Johnson,Millard_Fillmore
Henry_Monck-Mason_Moore,George_VI
William_Pugsley,"Victor_Cavendish,_9th_Duke_of_Devonshire"
Tamás_Fellegi,Tibor_Navracsics
Sweyn_II_of_Denmark,Harald_III_of_Denmark
"Edward_Harley,_5th_Earl_of_Oxford_and_Earl_Mortimer","Alfred_Harley,_6th_Earl_of_Oxford_and_Earl_Mortimer"
Robert_Menzies,Andrew_Peacock
Laureano_Gómez,Gustavo_Rojas_Pinilla
"Berthold_IV,_Duke_of_Zähringen","Conrad_I,_Duke_of_Zähringen"
1999–2000_Wimbledon_F.C._season__Stewart_Castledine__1,Stewart_Castledine
Jean_Chrétien,Brian_Mulroney
Michael_I_of_Russia,Władysław_IV_Vasa
MC_Galaxy,Swizz_Beatz
Xi_Jinping,Li_Yuanchao
Philip_II_of_Macedon,Alexander_the_Great
"Wartislaw_VII,_Duke_of_Pomerania","Bogislaw_V,_Duke_of_Pomerania"
Maurice_Cummins,Enda_Kenny
John_F._Kennedy_Jr.,John_F._Kennedy
Steven_R._McQueen,Steve_McQueen
Fujiwara_no_Teishi,Fujiwara_no_Michitaka
Phelan_Beale,Bouvier_Beale
Gojong_of_Korea,Cheoljong_of_Joseon
Duke_Aiona,Neil_Abercrombie
Benny_Cassette,Kanye_West
"Eleanor_of_Austria,_Queen_of_Poland",Élisabeth_Charlotte_d'Orléans
Ann_Meekitjuk_Hanson,Stephen_Harper
Charley_Eugene_Johns,LeRoy_Collins
Hans_Hedtoft,Einar_Gerhardsen
Adelaide-Blanche_of_Anjou,Emma_of_Italy
2007–08_Everton_F.C._season__Mikel_Arteta__1,Mikel_Arteta
Prince_Karl_of_Auersperg,Franz_Joseph_I_of_Austria
"Ferdinand_III,_Holy_Roman_Emperor","Ferdinand_II,_Holy_Roman_Emperor"
Jean_de_Brunhoff,Laurent_de_Brunhoff
Ray_Burke_(Irish_politician),Jack_Lynch
Jerry_Ross_(composer),Richard_Adler
"John_Frederick_II,_Duke_of_Saxony","Augustus,_Elector_of_Saxony"
Audrey_Azoulay,Manuel_Valls
Robert_C._Eckhardt,Lera_Millard_Thomas
Jean_Casselman_Wadds,William_Earl_Rowe
Rock_Hudson,Henry_Willson
"Francis_II,_Duke_of_Lorraine",Marguerite_of_Lorraine
Broadway_Is_My_Beat,Elliott_Lewis_(radio)
Frederick_Chien,Lien_Chan
Enrique_Bolaños,José_Rizo_Castellón
Raphaël_Enthoven,Carla_Bruni
Willi_Stoph,Erich_Honecker
Princess_Olga_of_Greece_and_Denmark,Princess_Elizabeth_of_Yugoslavia
Leon_Ware,Quincy_Jones
"Maurice_FitzGerald,_9th_Duke_of_Leinster","Ralph_Percy,_12th_Duke_of_Northumberland"
Olaf_III_of_Norway,Magnus_Barefoot
"Henry,_3rd_Earl_of_Lancaster","Thomas,_2nd_Earl_of_Lancaster"
Steve_Pajcic,Bob_Graham
Ingeborg_of_Kiev,Christina_Ingesdotter_of_Sweden
Henry_IV_of_England,"Humphrey,_Duke_of_Gloucester"
Maurice_Macmillan,Dryden_Brook
William_Lowthian_Green,Kalākaua
Empress_Feng_(Later_Jin),Empress_Li_(Later_Jin)
Iskhak_Akhmerov,Earl_Browder
William_I_of_Württemberg,Princess_Catherine_of_Württemberg
William_McMahon,John_Gorton
"Frederick_II,_Holy_Roman_Emperor",Conrad_IV_of_Germany
'Abd_al-Rahman_ibn_'Awf,Muhammad
William_II_of_Württemberg,Charles_I_of_Württemberg
