0.91  birthPlace(A ,F)  :-  location(F ,F)   ,  placeOfBurial(F ,B).
0.07  birthPlace(E ,A)  :-  birthPlace(A ,E)   ,  federalState(E ,B).
0.07  birthPlace(A ,B)  :-  beatifiedPlace(B ,A).
0.06  birthPlace(A ,E)  :-  leaderName(E ,E)   ,  primeMinister(E ,B).
0.06  birthPlace(B ,A)  :-  memberOfParliament(A ,A).
0.06  birthPlace(A ,E)  :-  capital(E ,E)   ,  billed(E ,B).
0.06  birthPlace(A ,F)  :-  capital(F ,B)   ,  sportCountry(B ,F).
0.06  birthPlace(B ,F)  :-  leaderName(F ,F)   ,  vicePresident(F ,A).
0.06  birthPlace(B ,F)  :-  isPartOf(F ,F)   ,  memberOfParliament(F ,A).
0.05  birthPlace(A ,F)  :-  author(F ,F)   ,  premierePlace(F ,B).
0.05  birthPlace(E ,A)  :-  birthPlace(A ,E)   ,  metropolitanBorough(E ,B).
0.05  birthPlace(F ,B)  :-  leader(B ,A)   ,  nationalAffiliation(A ,F).
0.05  birthPlace(A ,F)  :-  capital(F ,B)   ,  billed(B ,F).
0.05  birthPlace(E ,A)  :-  party(A ,E)   ,  mayor(E ,B).
0.04  birthPlace(A ,B)  :-  canonizedPlace(B ,A).
0.04  birthPlace(A ,B)  :-  region(B ,A).
0.04  birthPlace(E ,A)  :-  birthPlace(A ,E)   ,  countySeat(E ,B).
0.04  birthPlace(B ,F)  :-  country(F ,F)   ,  memberOfParliament(F ,A).
0.04  birthPlace(A ,F)  :-  isPartOf(F ,F)   ,  sportCountry(F ,B).
0.04  birthPlace(B ,F)  :-  leaderName(F ,F)   ,  deputy(F ,A).
0.03  birthPlace(E ,B)  :-  deathPlace(B ,E)   ,  ceremonialCounty(E ,A).
0.03  birthPlace(E ,B)  :-  deathPlace(B ,E)   ,  lieutenancyArea(E ,A).
0.03  birthPlace(E ,A)  :-  deathPlace(A ,E)   ,  ceremonialCounty(E ,B).
0.02  birthPlace(A ,B)  :-  education(B ,A).
0.02  birthPlace(E ,A)  :-  birthPlace(A ,E)   ,  governmentRegion(E ,B).
0.02  birthPlace(A ,B)  :-  training(B ,A).
0.02  birthPlace(E ,A)  :-  birthPlace(A ,E)   ,  highestRegion(E ,B).
0.02  birthPlace(E ,B)  :-  region(B ,E)   ,  countySeat(E ,A).
0.02  birthPlace(A ,B)  :-  school(B ,A).
0.02  birthPlace(E ,A)  :-  successor(A ,E)   ,  memberOfParliament(E ,B).
0.02  birthPlace(E ,A)  :-  residence(A ,E)   ,  countySeat(E ,B).
0.01  birthPlace(E ,A)  :-  deathPlace(A ,E)   ,  metropolitanBorough(E ,B).
0.01  birthPlace(A ,B)  :-  ethnicity(B ,A).
0.01  birthPlace(E ,B)  :-  deathPlace(B ,E)   ,  metropolitanBorough(E ,A).
0.01  birthPlace(B ,F)  :-  county(F ,A)   ,  alumni(A ,F).
0.01  birthPlace(E ,A)  :-  deathPlace(A ,E)   ,  lieutenancyArea(E ,B).
0.01  birthPlace(E ,A)  :-  deathPlace(A ,E)   ,  countySeat(E ,B).
0.01  birthPlace(E ,B)  :-  deathPlace(B ,E)   ,  administrativeDistrict(E ,A).
0.01  birthPlace(E ,A)  :-  deathPlace(A ,E)   ,  administrativeDistrict(E ,B).
0.01  birthPlace(E ,B)  :-  party(B ,E)   ,  nationalAffiliation(E ,A).
0.00  birthPlace(B ,F)  :-  headquarter(F ,A)   ,  secretaryGeneral(A ,F).
0.00  birthPlace(B ,A)  :-  saint(A ,A).
0.00  birthPlace(B ,F)  :-  region(F ,A)   ,  associate(A ,F).
0.00  birthPlace(A ,F)  :-  region(F ,B)   ,  majorShrine(B ,F).
0.00  birthPlace(B ,F)  :-  city(F ,A)   ,  alumni(A ,F).
0.00  birthPlace(B ,A)  :-  mayor(A ,A).
0.00  birthPlace(A ,F)  :-  region(F ,B)   ,  governor(B ,F).
0.00  birthPlace(A ,F)  :-  region(F ,B)   ,  incumbent(B ,F).
0.00  birthPlace(B ,A)  :-  leaderName(A ,A).
0.00  birthPlace(A ,F)  :-  city(F ,B)   ,  highschool(B ,F).
0.00  birthPlace(A ,F)  :-  city(F ,B)   ,  education(B ,F).
0.00  birthPlace(B ,E)  :-  leaderName(E ,E)   ,  primeMinister(E ,A).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  formerCoach(B ,F).
0.00  birthPlace(A ,B)  :-  highschool(B ,A).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  currentPartner(A ,F).
0.00  birthPlace(A ,B)  :-  majorShrine(B ,A).
0.00  birthPlace(A ,E)  :-  leaderName(E ,E)   ,  vicePresident(E ,B).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  coach(B ,F).
0.00  birthPlace(B ,F)  :-  region(F ,A)   ,  saint(A ,F).
0.00  birthPlace(B ,F)  :-  leaderParty(F ,F)   ,  chairperson(F ,A).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  formerChoreographer(B ,F).
0.00  birthPlace(A ,F)  :-  isPartOf(F ,B)   ,  billed(B ,F).
0.00  birthPlace(B ,F)  :-  state(F ,A)   ,  alumni(A ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  creativeDirector(A ,F).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  primeMinister(B ,F).
0.00  birthPlace(A ,E)  :-  leaderName(E ,E)   ,  deputy(E ,B).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  vicePresident(B ,F).
0.00  birthPlace(A ,F)  :-  region(F ,B)   ,  associate(B ,F).
0.00  birthPlace(A ,F)  :-  state(F ,B)   ,  education(B ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  formerPartner(A ,F).
0.00  birthPlace(A ,F)  :-  hometown(F ,B)   ,  associatedAct(B ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  memberOfParliament(A ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  doctoralStudent(A ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  associate(A ,F).
0.00  birthPlace(B ,F)  :-  region(F ,A)   ,  governor(A ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  chairperson(A ,F).
0.00  birthPlace(A ,F)  :-  location(F ,B)   ,  placeOfBurial(B ,F).
0.00  birthPlace(B ,F)  :-  headquarter(F ,A)   ,  chairperson(A ,F).
0.00  birthPlace(A ,F)  :-  country(F ,F)   ,  majorShrine(F ,B).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  vicePresident(A ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  primeMinister(A ,F).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  incumbent(B ,F).
0.00  birthPlace(B ,F)  :-  deathPlace(F ,A)   ,  vicePresident(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  primeMinister(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  secretaryGeneral(A ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  vicePresident(B ,F).
0.00  birthPlace(A ,F)  :-  capital(F ,F)   ,  majorShrine(F ,B).
0.00  birthPlace(B ,F)  :-  nationality(F ,A)   ,  primeMinister(A ,F).
0.00  birthPlace(A ,E)  :-  isPartOf(E ,E)   ,  highschool(E ,B).
0.00  birthPlace(A ,F)  :-  regionServed(F ,B)   ,  employer(B ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  primeMinister(B ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  firstLeader(A ,F).
0.00  birthPlace(A ,B)  :-  significantBuilding(B ,A).
0.00  birthPlace(B ,F)  :-  headquarter(F ,A)   ,  leader(A ,F).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  primeMinister(B ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  opponent(A ,F).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  associate(B ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  currentPartner(B ,F).
0.00  birthPlace(A ,F)  :-  region(F ,B)   ,  opponent(B ,F).
0.00  birthPlace(A ,F)  :-  locationCountry(F ,B)   ,  employer(B ,F).
0.00  birthPlace(A ,F)  :-  province(F ,B)   ,  highschool(B ,F).
0.00  birthPlace(A ,F)  :-  location(F ,B)   ,  lastRace(B ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  primeMinister(B ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  child(A ,F).
0.00  birthPlace(A ,F)  :-  location(F ,B)   ,  firstRace(B ,F).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  formerPartner(B ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  deputy(B ,F).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  deputy(B ,F).
0.00  birthPlace(B ,F)  :-  deathPlace(F ,A)   ,  associate(A ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  formerPartner(B ,F).
0.00  birthPlace(B ,F)  :-  nationality(F ,A)   ,  vicePresident(A ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  incumbent(A ,F).
0.00  birthPlace(A ,F)  :-  isPartOf(F ,B)   ,  highschool(B ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  associate(B ,F).
0.00  birthPlace(B ,F)  :-  deathPlace(F ,A)   ,  child(A ,F).
0.00  birthPlace(A ,B)  :-  significantProject(B ,A).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  governor(B ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  vicePresident(B ,F).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  currentPartner(B ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  leader(A ,F).
0.00  birthPlace(A ,F)  :-  state(F ,B)   ,  highschool(B ,F).
0.00  birthPlace(A ,F)  :-  location(F ,B)   ,  highschool(B ,F).
0.00  birthPlace(B ,F)  :-  nationality(F ,A)   ,  doctoralStudent(A ,F).
0.00  birthPlace(B ,F)  :-  deathPlace(F ,A)   ,  deputy(A ,F).
0.00  birthPlace(B ,F)  :-  deathPlace(F ,A)   ,  doctoralStudent(A ,F).
0.00  birthPlace(B ,F)  :-  jurisdiction(F ,A)   ,  leader(A ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  governor(A ,F).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  associate(B ,F).
0.00  birthPlace(B ,F)  :-  deathPlace(F ,A)   ,  primeMinister(A ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  formerCoach(A ,F).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  vicePresident(B ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  leader(A ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  formerCoach(B ,F).
0.00  birthPlace(B ,F)  :-  nationality(F ,A)   ,  influencedBy(A ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  alumni(A ,F).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  governor(B ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  formerChoreographer(B ,F).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  child(B ,F).
0.00  birthPlace(B ,F)  :-  city(F ,A)   ,  chairperson(A ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  coach(B ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  coach(A ,F).
0.00  birthPlace(B ,F)  :-  poleDriverCountry(F ,A)   ,  poleDriver(A ,F).
0.00  birthPlace(B ,F)  :-  deathPlace(F ,A)   ,  influencedBy(A ,F).
0.00  birthPlace(B ,F)  :-  deathPlace(F ,A)   ,  governor(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  creativeDirector(A ,F).
0.00  birthPlace(A ,F)  :-  leaderName(F ,F)   ,  opponent(F ,B).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  deputy(B ,F).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  opponent(B ,F).
0.00  birthPlace(B ,F)  :-  nationality(F ,A)   ,  associate(A ,F).
0.00  birthPlace(B ,F)  :-  nationality(F ,A)   ,  deputy(A ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  governor(B ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  deputy(B ,F).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  influencedBy(B ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  child(B ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  influencedBy(B ,F).
0.00  birthPlace(B ,F)  :-  state(F ,A)   ,  viceChancellor(A ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  choreographer(A ,F).
0.00  birthPlace(B ,F)  :-  stateOfOrigin(F ,A)   ,  child(A ,F).
0.00  birthPlace(B ,F)  :-  residence(F ,A)   ,  formerChoreographer(A ,F).
0.00  birthPlace(B ,F)  :-  county(F ,A)   ,  chairperson(A ,F).
0.00  birthPlace(B ,F)  :-  garrison(F ,A)   ,  secondCommander(A ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  choreographer(B ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  doctoralStudent(B ,F).
0.00  birthPlace(A ,F)  :-  location(F ,B)   ,  significantBuilding(B ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  currentPartner(A ,F).
0.00  birthPlace(B ,F)  :-  firstDriverCountry(F ,A)   ,  poleDriver(A ,F).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  opponent(B ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  showJudge(A ,F).
0.00  birthPlace(B ,F)  :-  secondDriverCountry(F ,A)   ,  secondDriver(A ,F).
0.00  birthPlace(B ,F)  :-  city(F ,A)   ,  viceChancellor(A ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  opponent(B ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  opponent(B ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  executiveProducer(A ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  influencedBy(B ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  alumni(A ,F).
0.00  birthPlace(A ,F)  :-  location(F ,B)   ,  employer(B ,F).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  child(B ,F).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  partner(B ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  coach(A ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  incumbent(B ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  associate(B ,F).
0.00  birthPlace(B ,F)  :-  thirdDriverCountry(F ,A)   ,  thirdDriver(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  formerPartner(A ,F).
0.00  birthPlace(A ,F)  :-  deathPlace(F ,B)   ,  doctoralStudent(B ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  incumbent(B ,F).
0.00  birthPlace(B ,F)  :-  nationality(F ,A)   ,  child(A ,F).
0.00  birthPlace(A ,F)  :-  birthPlace(F ,B)   ,  associatedAct(B ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  showJudge(A ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  doctoralStudent(B ,F).
0.00  birthPlace(A ,F)  :-  residence(F ,B)   ,  doctoralStudent(B ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  child(B ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  executiveProducer(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  viceChancellor(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  voice(A ,F).
0.00  birthPlace(A ,F)  :-  nationality(F ,B)   ,  partner(B ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  vicePresident(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  memberOfParliament(A ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  architect(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  ceo(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  chairperson(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  mayor(A ,F).
0.00  birthPlace(B ,F)  :-  nationality(F ,A)   ,  portrayer(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  secondDriver(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  poleDriver(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  deputy(A ,F).
0.00  birthPlace(A ,F)  :-  assembly(F ,B)   ,  designCompany(B ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  secondDriver(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  associate(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  secondCommander(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  illustrator(A ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  poleDriver(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  saint(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  coach(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  foundingPerson(A ,F).
0.00  birthPlace(B ,F)  :-  location(F ,A)   ,  engineer(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  formerCoach(A ,F).
0.00  birthPlace(B ,F)  :-  locatedInArea(F ,A)   ,  firstAscentPerson(A ,F).
0.00  birthPlace(B ,F)  :-  country(F ,A)   ,  dean(A ,F).
