Death_of_a_Gossip,Marion_Chesney
The_Hounds_of_Tindalos_(book),Frank_Belknap_Long
The_Wall_(TV_film),Charles_Fuller
Avenue_of_Mysteries,John_Irving
Growth_Hacker_Marketing,Ryan_Holiday
Once_a_Greek,Friedrich_Dürrenmatt
Wheat_of_Fire_–_Women_during_the_Nights_of_War,Jamal_Hussein_Ali
The_Next_Hundred_Million,Joel_Kotkin
"Good_Night,_Moon",Bruce_Sterling
The_Solar_Anus,Georges_Bataille
"Hello_Muddah,_Hello_Faddah!_(book)",Allan_Sherman
Let's_Get_Together_(short_story),Isaac_Asimov
Enemies:_How_America's_Foes_Steal_Our_Vital_Secrets_–_And_How_We_Let_It_Happen,Bill_Gertz
The_Maintenance_of_Headway,Magnus_Mills
The_Woman_of_Endor,Sue_Isle
The_Film_Club,David_Gilmour_(writer)
That_Night_I_Saw_Her,Drago_Jančar
"Hitty,_Her_First_Hundred_Years",Rachel_Field
Estefanía,José_Ignacio_Cabrujas
The_Death_of_Nelson_(Maclise_painting),Daniel_Maclise
Polyptych_of_the_Misericordia_(Piero_della_Francesca),Piero_della_Francesca
"Colorado_Springs_Notes,_1899–1900",Nikola_Tesla
Journey_to_the_West_(1996_TV_series),Wu_Cheng'en
The_Dreams_in_the_Witch_House_and_Other_Weird_Stories,H._P._Lovecraft
Revelation_(short_story),Flannery_O'Connor
Six_Degrees:_Our_Future_on_a_Hotter_Planet,Mark_Lynas
My_Own_Words,Ruth_Bader_Ginsburg
Absolute_Power_(novel),David_Baldacci
The_White_Raven_(novel),Robert_Low
Banana_(TV_series),Russell_T_Davies
Amazon_Adventure,Willard_Price
The_Year_of_the_Death_of_Ricardo_Reis,José_Saramago
Molecular_Biology_of_the_Cell_(textbook),Peter_Walter
A_Crack_Up_at_the_Race_Riots,Harmony_Korine
The_Expert_at_the_Card_Table,S._W._Erdnase
The_Ones_Who_Walk_Away_from_Omelas,Ursula_K._Le_Guin
Four_Moons_of_Darkover,Marion_Zimmer_Bradley
The_Frost_King,Helen_Keller
The_7D,Deanna_Oliver
Mr._Magorium's_Wonder_Emporium_(novel),Suzanne_Weyn
The_Russian_People,Clifford_Odets
The_Worst_Journey_in_the_World_(docudrama),Mark_Gatiss
The_Day's_Work,Rudyard_Kipling
The_Ice_Limit,Douglas_Preston
The_Marvelous_Palace_And_Other_Stories,Pierre_Boulle
Reaching_(sculpture),Zenos_Frudakis
Washington:_A_Life,Ron_Chernow
La_Vie_(painting),Pablo_Picasso
Frog_and_Toad_Are_Friends,Arnold_Lobel
Black_Saddle,Richard_Levinson
The_Good_Companions,J._B._Priestley
Why_Leaders_Lie,John_Mearsheimer
Little_Star_(novel),John_Ajvide_Lindqvist
The_Little_Sisters_of_Eluria,Stephen_King
Yume_Kira_Dream_Shoppe,Aqua_Mizuto
Invisible_Friends,Alan_Ayckbourn
Ophelia_(painting),John_Everett_Millais
Indian_Nocturne,Antonio_Tabucchi
The_Fairytaler,Hans_Christian_Andersen
Cast_of_Shadows,Kevin_Guilfoile
The_Panic_Hand,Jonathan_Carroll
Terminal_Bar_(book),Stefan_Nadelman
Smallbone_Deceased,Michael_Gilbert
Tucket's_Ride,Gary_Paulsen
State_of_the_Union_(play),Russel_Crouse
Flying_Colors_(musical),Arthur_Schwartz
Kamen_Rider_Ryuki,Toshiki_Inoue
Blue_Light_(TV_series),Donald_S._Sanford
Make_Death_Love_Me,Ruth_Rendell
Over_Drive_(manga),Yasuda_Tsuyoshi
Tcpcrypt,Dan_Boneh
The_Sideshow,Simon_Dodd
The_King_of_the_Copper_Mountains,Paul_Biegel
Harry_and_the_Hendersons_(TV_series),Sam_Denoff
Huddling_Place,Clifford_D._Simak
World_Made_By_Hand,James_Howard_Kunstler
Kyunki_Saas_Bhi_Kabhi_Bahu_Thi,Mrinal_Jha
Brain_Powerd__light_novel__1,Yoshiyuki_Tomino
6_Great_Short_Novels_of_Science_Fiction,Groff_Conklin
Cold_Tom,Sally_Prue
"Russian_Rebels,_1600–1800",Paul_Avrich
Black_Atlantic,Peter_J._Evans
Fraggle_Rock,Carol_Bolt
Socialism_(book),Ludwig_von_Mises
Duo_(novel),Colette
Medalon,Jennifer_Fallon
Tales_From_the_Shadowhunter_Academy,Maureen_Johnson
Badenheim_1939,Aharon_Appelfeld
Embraced_by_the_Moonlight,Saki_Hiwatari
TV's_Bloopers_&_Practical_Jokes,Bryan_Michael_Stoller
Pattern_for_Conquest,George_O._Smith
Rusalka_(book),C._J._Cherryh
Reading_in_the_Dark,Seamus_Deane
A_Vision_of_Britain:_A_Personal_View_of_Architecture,"Charles,_Prince_of_Wales"
Jude_the_Obscure,Thomas_Hardy
Behind_the_Paint,Violent_J
Saint_Philip_Neri:_I_Prefer_Heaven,Giacomo_Campiotti
The_Standing_March,JR_(artist)
Blackmoor_(supplement),Dave_Arneson
Whispers_of_the_Mist_Children,Trudi_Canavan
Selected_Poems_(Pinsky_collection),Robert_Pinsky
Mystery_of_the_Whale_Tattoo,Franklin_W._Dixon
The_Apple_Tree,Sheldon_Harnick
Database_System_Concepts,Abraham_Silberschatz
A.M.P.E.D.,Vince_Gilligan
Life_and_Death_of_a_Spanish_Town,Elliot_Paul
This_Is_Life,Dan_Rhodes
Aurora_in_Four_Voices,Catherine_Asaro
The_Ugly_Little_Boy,Robert_Silverberg
"Man,_the_State,_and_War",Kenneth_Waltz
The_Complete_Stories_(O'Connor),Flannery_O'Connor
Santa_Esperanza,Aka_Morchiladze
Open_All_Night_(short_story_collection),Paul_Morand
Storm_Damage,Lennie_James
The_Island_of_the_Mighty,Evangeline_Walton
Still_life_II_(Julio_González),Julio_González_(sculptor)
Being_Different,Rajiv_Malhotra
Conscience_in_Art,O._Henry
Main_Force_Assault,David_Sherman
A_Mercy,Toni_Morrison
It's_All_in_Your_Head_(book),Suzanne_O'Sullivan
Our_Day_Out_(musical),Willy_Russell
The_First_Confessor:_The_Legend_of_Magda_Searus,Terry_Goodkind
Who_Goes_There%3F_and_Other_Stories,John_W._Campbell
The_Child's_Brain,Giorgio_de_Chirico
Prikrita_harmonija,Katarina_Marinčič
Maggie_Cassidy,Jack_Kerouac
El_Jetón,Arturo_Ambrogi
Delta_Solar,Alejandro_Otero
Stone_Flower_(sculpture),Bogdan_Bogdanović
The_Cider_House_Rules,John_Irving
Guard_of_Honor,James_Gould_Cozzens
Zen_and_the_Art_of_Motorcycle_Maintenance,Robert_M._Pirsig
Smilin'_Through_(play),Jane_Cowl
"Jupiter,_Neptune_and_Pluto",Caravaggio
The_Brothers_Karamazov,Fyodor_Dostoyevsky
Rebellion_(novel),Joseph_Roth
Commando_Cody:_Sky_Marshal_of_the_Universe,Ronald_Davidson
Reply_(TV_series),Lee_Woo-jung
Amon:_The_Darkside_of_The_Devilman,Go_Nagai
Beautiful_Bastard,Christina_Lauren
Red_Mask,E._V._Timms
Sweet_Nothing_in_My_Ear,Stephen_Sachs
Last_Day_in_Limbo,Peter_O'Donnell
John_Henry_(novel),Roark_Bradford
No_Night_Is_Too_Long,Ruth_Rendell
Spellbound_(Green_novel),Jane_Green_(author)
Dianetics:_The_Evolution_of_a_Science,L._Ron_Hubbard
Between_Two_Rivers,Nicholas_Rinaldi
Beyond_Belief:_Islamic_Excursions_among_the_Converted_Peoples,V._S._Naipaul
Caddie_Woodlawn,Carol_Ryrie_Brink
The_Quiet_Gentleman,Georgette_Heyer
Rousing_Call_to_Hindu_Nation,Eknath_Ranade
"Komm,_süßer_Tod_(novel)",Wolf_Haas
Green_Wheat_Field_with_Cypress,Vincent_van_Gogh
In_the_Mist_and_Other_Uncanny_Encounters,Elizabeth_Walter
Julia's_Kitchen_Wisdom,Julia_Child
Summer_of_the_Aliens,Louis_Nowra
The_Best_Science_Fiction_Stories_and_Novels:_Ninth_Series,T._E._Dikty
Tales_from_Jabba's_Palace,Timothy_Zahn
The_Gold_Bug_(short_story),Orson_Scott_Card
The_Master_of_Man,Hall_Caine
New_Writings_in_SF_24,Kenneth_Bulmer
Nature_morte_(Metzinger),Jean_Metzinger
Spirit_of_Wonder,Kenji_Tsuruta
Barack_and_Michelle,Christopher_Andersen
The_Queen_of_Air_and_Darkness,T._H._White
Alta_(novel),Mercedes_Lackey
The_Denial_of_Saint_Peter_(Caravaggio),Caravaggio
Cardsharps_(Caravaggio),Caravaggio
Hull_Zero_Three,Greg_Bear
Fast_Forward_(TV_series),Steve_Vizard
Amakusa_1637,Michiyo_Akaishi
Towards_a_Sociology_of_the_Novel,Lucien_Goldmann
Fushigi_Yûgi_Byakko_Ibun,Yuu_Watase
NET_Playhouse,Christopher_Fry
Bartholomew_and_the_Oobleck,Dr._Seuss
Hunter's_Room,Neo_Rauch
The_Next_100_Years,George_Friedman
The_Taking,Dean_Koontz
The_Eiger_Sanction,Trevanian
My_Brilliant_Career,Miles_Franklin
Homo_Deus:_A_Brief_History_of_Tomorrow,Yuval_Noah_Harari
Sacred_and_Profane_Love,Titian
Merlin_(miniseries),David_Stevens_(screenwriter)
The_Secret_(short_story),Arthur_C._Clarke
L'Arrêt_de_mort,Maurice_Blanchot
Self-portrait_(Chassériau),Théodore_Chassériau
The_Death_of_the_Heart,Elizabeth_Bowen
EasyWriter,John_Draper
Ane_no_Kekkon,Keiko_Nishi
The_Dark_(Curley_novel),Marianne_Curley
"The_Defeat_of_the_Floating_Batteries_at_Gibraltar,_September_1782",John_Singleton_Copley
The_Wingless_Victory,Maxwell_Anderson
The_Doorbell_Rang,Rex_Stout
Probability_Sun,Nancy_Kress
Goldsborough_(novel),Stefan_Heym
Modern_Greece:_A_History_Since_1821,John_S._Koliopoulos
Katy_Brand's_Big_Ass_Show,Andy_Riley
The_Mysterious_Planet__The_Mysterious_Planet__1,Terrance_Dicks
True_You,David_Ritz
Dark_Forces_(book),Kirby_McCauley
None_but_Lucifer,H._L._Gold
Catastrophea,Terrance_Dicks
The_Art_of_Intrusion,Kevin_Mitnick
One:_Kagayaku_Kisetsu_e,Midori_Tateyama
Zoot_Suit_(play),Luis_Valdez
The_Words_(book),Jean-Paul_Sartre
What_a_Life!_(novel),E._V._Lucas
The_Civilization_of_the_Renaissance_in_Italy,Jacob_Burckhardt
Onmyōji_(manga),Reiko_Okano
The_Roman_Spring_of_Mrs._Stone_(2003_film),Tennessee_Williams
"Buffalo_Gals,_Won't_You_Come_Out_Tonight",Ursula_K._Le_Guin
Numbertime,Toby_Jones
The_New_Market_Wizards,Jack_D._Schwager
The_Sister_of_the_South,Jennifer_Rowe
The_Martian_Chronicles_(miniseries),Richard_Matheson
The_Silent_Stars_Go_By_(novel),Dan_Abnett
La_Loge,Pierre-Auguste_Renoir
Trigun,Yasuhiro_Nightow
The_Swoop!,P._G._Wodehouse
Haridama_Magic_Cram_School,Atsushi_Suzumi
You_Have_to_Stop_This,Pseudonymous_Bosch
Bad_Science_(book),Ben_Goldacre
Coyote_Waits,Tony_Hillerman
Incompetence_(novel),Rob_Grant
Salvation_of_a_Saint,Keigo_Higashino
Swindle_(novel),Gordon_Korman
Annals_of_the_Former_World,John_McPhee
The_Crisscross_Shadow,Franklin_W._Dixon
The_Journal_of_Julius_Rodman,Edgar_Allan_Poe
The_Quantum_Rose,Catherine_Asaro
What_Video_Games_Have_to_Teach_Us_About_Learning_and_Literacy,James_Paul_Gee
The_Chelsea_Murders,Lionel_Davidson
Fallen_Angels_(science_fiction_novel),Larry_Niven
Sign_of_the_Cross_(novel),Chris_Kuzneski
The_Poem_of_the_Man-God,Maria_Valtorta
Sailor's_Grudge,Robert_E._Howard
An_Introduction_to_the_Rock-Forming_Minerals,William_Alexander_Deer
Rubí_(1968_telenovela),Yolanda_Vargas_Dulché
Tatooine_Ghost,Troy_Denning
The_Adventures_of_Edward_the_Less,Bill_Corbett
Blameless_(novel),Gail_Carriger
The_Year_of_Spring,Vyacheslav_Krasko
Among_the_Impostors,Margaret_Peterson_Haddix
RoboCop:_Alpha_Commando,Cary_Bates
The_Frogs_(musical),Burt_Shevelove
Armageddon_Summer,Jane_Yolen
Kingpin_(book),Kevin_Poulsen
Trading_Faces_(novel),Jennifer_Roy
The_American_Volunteer_(statue),George_Keller_(architect)
Sons_of_Cain,David_Williamson
The_Burning_Land,Bernard_Cornwell
Do_Over,Josh_Bycel
Elmer_and_the_Dragon,Ruth_Stiles_Gannett
Woods_Runner,Gary_Paulsen
How_Far_Can_You_Go%3F,David_Lodge_(author)
Chocolat_(manga),Eisaku_Kubonouchi
Elvis_in_Concert,Annett_Wolf
The_Little_Nugget,P._G._Wodehouse
The_Demon_Seated,Mikhail_Vrubel
The_Legend_of_King_O'Malley,Bob_Ellis
Macs_(short_story),Terry_Bisson
A_Death_of_Honor,Joe_Clifford_Faust
Night_Train_(novel),Martin_Amis
Meri_Teri_Uski_Baat,Yashpal
Safe_Area_Goražde,Joe_Sacco
The_Wiki_Way,Bo_Leuf
The_Muppet_Show:_Sex_and_Violence,Marshall_Brickman
Regiment_of_Women,Clemence_Dane
Battle_Royale_(manga),Hitoshi_Tomizawa
On_Truth,Harry_Frankfurt
Via_Galactica,Christopher_Gore
Between_the_Rivers,Harry_Turtledove
The_Undercover_Economist,Tim_Harford
Whoopee!,William_Anthony_McGuire
Scapin_the_Schemer,Molière
A_Million_Little_Pieces,James_Frey
Three_at_Wolfe's_Door,Rex_Stout
The_Voyage_of_the_Dawn_Treader,C._S._Lewis
Bel_Canto_(novel),Ann_Patchett
The_Art_of_Drowning,Billy_Collins
Play_(play),Samuel_Beckett
Flashing_Swords!_1,Lin_Carter
A_Case_of_Need,Michael_Crichton
TextSecure,Moxie_Marlinspike
Murder_in_Greenwich_(film),Dave_Erickson
"Listen_to_Me,_Girls._I_Am_Your_Father!",Tomohiro_Matsu
Emu's_TV_Series,Rod_Hull
A_Few_Good_Men_(play),Aaron_Sorkin
Young_Justice_(TV_series),Jon_Weisman
Job_and_the_Snake,Roberto_Muñoz_(producer)
Undercover:_The_True_Story_of_Britain's_Secret_Police,Paul_Lewis_(journalist)
Madonna_with_Child_(Crivelli),Carlo_Crivelli
The_Good_Terrorist,Doris_Lessing
The_1986_Annual_World's_Best_SF,Arthur_W._Saha
Gare_Montparnasse_(The_Melancholy_of_Departure),Giorgio_de_Chirico
Osiris_Rising,Ayi_Kwei_Armah
Here_Comes_Peter_Cottontail,Romeo_Muller
The_Best_of_Poul_Anderson,Poul_Anderson
Orochi:_Blood,Kazuo_Umezu
Shattered_(Casey_book),Kathryn_Casey
Colonna_Madonna,Raphael
Critical_Mass_(Pohl_and_Kornbluth_short_story),Frederik_Pohl
The_Stranger_(short_story_collection),Gordon_R._Dickson
P.S._I_Luv_U,Glen_A._Larson
The_10_Percenters,Rob_Grant
Death_in_Holy_Orders,P._D._James
EP_Daily,Jason_Margolis
If_These_Walls_Could_Talk,Nancy_Savoca
Mister_T_(TV_series),Paul_Dini
_Fashion,William_Baker_(fashion_designer)
Supernormal_Stimuli,Deirdre_Barrett
Cain's_Hundred,David_Karp_(novelist)
Cent_Nouvelles_Nouvelles,Antoine_de_la_Sale
"Are_You_There,_Chelsea%3F",Chelsea_Handler
The_Original_Text_Solar_Pons_Omnibus_Edition,August_Derleth
The_Magic_of_Krynn,Margaret_Weis
The_Cat_and_the_Fiddle_(musical),Otto_Harbach
The_Slave_(Singer_novel),Isaac_Bashevis_Singer
Nero_Wolfe_(film),Frank_D._Gilroy
Burnside_Fountain,Henry_Bacon
Monster_(Kellerman_novel),Jonathan_Kellerman
Scanners_Live_in_Vain,Cordwainer_Smith
Roundhouse_(TV_series),Becky_Hartman_Edwards
"An_Encyclopedia_of_Claims,_Frauds,_and_Hoaxes_of_the_Occult_and_Supernatural",James_Randi
Kara_no_Kyōkai,Kinoko_Nasu
Son_of_Godfather,Osamu_Tezuka
Black_Swan_Green,David_Mitchell_(author)
Ryze,Adrian_Scott_(entrepreneur)
Mr._Monk_in_Trouble,Lee_Goldberg
Dance_a_Little_Closer,Alan_Jay_Lerner
A_Taste_of_Evil,Jimmy_Sangster
The_Day_Before_the_Revolution,Ursula_K._Le_Guin
"Ten_Kids,_No_Pets",Ann_M._Martin
Daikaiju!_Giant_Monster_Tales,Rob_Hood
Saas_Bina_Sasural,Munisha_Rajpal
The_Patron_Saint_of_Liars_(film),Ann_Patchett
Journey_Among_Warriors,Ève_Curie
Men_Against_the_Sea,Charles_Nordhoff
The_Almanac_of_American_Politics,Richard_E._Cohen
Baidu_Knows,Robin_Li
Starling_(software),Blaine_Cook_(programmer)
The_Secret_Diary_of_Adrian_Mole_(TV_series),Sue_Townsend
The_Foundling_(novel),Georgette_Heyer
Piece_of_My_Heart_(novel),Peter_Robinson_(novelist)
Downsize_This!,Michael_Moore
Blackadder:_The_Cavalier_Years,Richard_Curtis
Destination_Mecca,Idries_Shah
Hippies_(TV_series),Arthur_Mathews_(writer)
The_Last_Celt,Glenn_Lord
Can-Can_(musical),Abe_Burrows
Shion_no_Ō,Naoko_Hayashiba
Outcast_(Star_Wars_novel),Aaron_Allston
Portrait_of_a_Woman_Standing,Frans_Hals
One_for_the_Money_(novel),Janet_Evanovich
Doppelganger_(Brennan_novel),Marie_Brennan
Saint_Genet,Jean-Paul_Sartre
Il_Passo_delle_Sensazioni,Marco_Di_Meco
Kamen_Rider_Amazons,Yasuko_Kobayashi
Dark_Eden_(novel),Chris_Beckett
Specter_of_the_Past,Timothy_Zahn
George_Carlin:_Again!,George_Carlin
The_Shadow_of_the_Wind,Carlos_Ruiz_Zafón
Tirukkuṛaḷ,Thiruvalluvar
Inspirações_da_Tarde,Bernardo_Guimarães
A_Hell_of_a_Woman,Jim_Thompson_(writer)
All_the_Myriad_Ways,Larry_Niven
Naga_Kanyaka,Mrinal_Jha
Prosa_del_Observatorio,Julio_Cortázar
Halloween_with_the_New_Addams_Family,George_Tibbles
Devil_Red,Joe_R._Lansdale
Alien_Apocalypse,Josh_Becker
Natasha_and_Other_Stories,David_Bezmozgis
"Republic,_Lost",Lawrence_Lessig
Woza_Albert!,Mbongeni_Ngema
Lieutenant_Hornblower,C._S._Forester
Intention_(book),Elizabeth_Anscombe
Sunrise_Calendar,Pierre_Valade
Autism:_Explaining_the_Enigma,Uta_Frith
SuperFreakonomics,Stephen_J._Dubner
A_Great_Fall,Mildred_Savage
An_Educational_Encyclopedia_of_Islam,Syed_Iqbal_Zaheer
Fake_Reaction,Kevin_Day
Storm_Thief,Chris_Wooding
Mr._Monk_Gets_on_Board,Hy_Conrad
The_High_Fructose_Adventures_of_Annoying_Orange,Tim_Cahill_(producer)
Shadows_Alive,Orson_Scott_Card
Snow_Storm:_Steam-Boat_off_a_Harbour's_Mouth,J._M._W._Turner
Cain's_Hundred,Eliot_Asinof
Losing_It,Valerie_Bertinelli
The_Goblin_Tower,L._Sprague_de_Camp
Parineeta,Sarat_Chandra_Chattopadhyay
New_Worlds_for_Old,Lin_Carter
The_Eerie_Mr._Murphy,Howard_Wandrei
The_Sacred_Art_of_Stealing,Christopher_Brookmyre
The_Pigman_&_Me,Paul_Zindel
List_of_Star_Trek:_Enterprise_novels,Andy_Mangels
Room_on_the_Broom_(film),Axel_Scheffler
Chhinnamastar_Abhishap,Satyajit_Ray
Philosophy_and_the_Mirror_of_Nature,Richard_Rorty
Micah_(novel),Laurell_K._Hamilton
Hawks_over_Shem,L._Sprague_de_Camp
Cyteen,C._J._Cherryh
W1A_(TV_series),John_Morton_(writer)
Ice_Road_(2004),Gillian_Slovo
The_Story_of_Ferdinand,Munro_Leaf
The_Banquet_of_Cleopatra,Giovanni_Battista_Tiepolo
Marsh_with_Water_Lilies,Vincent_van_Gogh
Eye_of_the_Gorgon__Eye_of_the_Gorgon__1,Phil_Ford_(writer)
The_Moons_of_Jupiter,Alice_Munro
S._(Dorst_novel),Doug_Dorst
The_Accidental_Time_Machine,Joe_Haldeman
Freeway_Fighter,Ian_Livingstone
"Judas,_My_Brother",Frank_Yerby
Cinderella_(1997_film),Oscar_Hammerstein_II
Timoleon_Vieta_Come_Home,Dan_Rhodes
Dreaming_Is_a_Private_Thing,Isaac_Asimov
Gaza_in_Crisis,Noam_Chomsky
That_Was_Then,Tom_Spezialy
Athletic_Shorts:_Six_Short_Stories,Chris_Crutcher
Acts_of_God_(James_BeauSeigneur_novel),James_BeauSeigneur
Dry_Valley_(novel),Ivan_Bunin
"Sports,_Sin_and_Subversion",Evan_X_Hyde
Gray_Lensman,E._E._Smith
The_Green_Bay_Tree,Mordaunt_Shairp
Career_of_Evil,J._K._Rowling
Monument_with_Standing_Beast,Jean_Dubuffet
If_I_Ran_the_Circus,Dr._Seuss
Man_in_the_mud,Peter_Corlett
Family_of_Don_Philip_of_Bourbon,Giuseppe_Baldrighi
Beaver_Towers,Nigel_Hinton
Sharpe's_Honour_(TV_programme),Bernard_Cornwell
Overland_Trail_(TV_series),Fred_Freiberger
To_Sell_is_Human,Daniel_H._Pink
A_Conspiracy_of_Kings,Megan_Whalen_Turner
A_History_of_the_American_People,Paul_Johnson_(writer)
The_Spoils_Before_Dying,Matt_Piedmont
Christ_of_Saint_John_of_the_Cross,Salvador_Dalí
Swann_Memorial_Fountain,Alexander_Stirling_Calder
Canada's_Got_Talent,Trevor_Boris
Boston_Women's_Memorial,Meredith_Bergmann
Awful_End,Philip_Ardagh
Star_Wars:_Darth_Bane:_Rule_of_Two,Drew_Karpyshyn
The_Descent_(novel),Jeff_Long_(writer)
Across_the_Zodiac,Percy_Greg
Odd_Man_Rush:_A_Harvard_Kid's_Hockey_Odyssey_from_Central_Park_to_Somewhere_in_Sweden—with_Stops_along_the_Way,Bill_Keenan
Map_(painting),Jasper_Johns
The_J_Curve:_A_New_Way_to_Understand_Why_Nations_Rise_and_Fall,Ian_Bremmer
Secret_Windows,Stephen_King
Yamamoto_Zenjirou_to_Moushimasu,Yōko_Maki_(artist)
Death_(book),Mahyar_Dean
Surface_Detail,Iain_Banks
Avenger_Penguins,Jimmy_Hibbert
Invisible_Man,Ralph_Ellison
Throne_of_Jade,Naomi_Novik
The_Dogs_of_Riga,Henning_Mankell
City_of_Bohane,Kevin_Barry_(author)
The_Day_I_Shot_Cupid,Jennifer_Love_Hewitt
Red_(play),John_Logan_(writer)
On_Basilisk_Station,David_Weber
The_New_Canada,Preston_Manning
The_Mask_of_Nostradamus,James_Randi
My_Redbreast,Miho_Mosulishvili
The_Battle_for_Skies,Maxim_Kalashnikov
Frankenstein,Mary_Shelley
